id,species,category,growth_stage,farm,Duplicated_Sample,category2,category_with_pigstage
C31009,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31021,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31071,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31112,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31129,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31160,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31219,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31232,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31236,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31267,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31300,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31328,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31333,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31343,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31360,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31379,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31416,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31428,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31450,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31452,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31512,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31519,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31537,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31557,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31600,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31637,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31700,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31711,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31714,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31723,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31749,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31750,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31766,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530050,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530052,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530055,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530074,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530075,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530119,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530154,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530163,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530167,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
