	f23ppA	f8pp	w8pp	f12ppA	f13pp	S9H1	w1pp	S14Hp	w14pp	f24pp	w23pp	S18H1	f18pp	w3pp	S1Hp	f6ppA	f6ppB	w13pp	w28pp	f2pp	f4pp	f1pp	F8H1	f30pp	f28pp	f11pp	f14ppA	F22HpB	f10pp	f21pp	f31pp
f23ppA	0.0	0.24847295659651253	0.3418299176338119	0.27298933596831965	0.3845636914731503	0.4735429697886776	0.4077066754890548	0.444253025570978	0.4382385216948039	0.3598339142081689	0.405033563445403	0.3625128132446741	0.3433432125578499	0.37511135325276385	0.3545027800571277	0.3217642404463365	0.34351738591679376	0.2637910185122268	0.3704885224288135	0.30718778348490877	0.27720674794016387	0.26271358030954445	0.4240262579453874	0.30028572172580154	0.2874140842032568	0.31880789676069043	0.28547516239139614	0.38431579228383744	0.2578602494658204	0.19602172044983604	0.19672501689038785
f8pp	0.24847295659651253	0.0	0.1824953235891273	0.16364082265307994	0.27521517815791063	0.36419445647343796	0.29835816217381517	0.33490451225573836	0.3288900083795642	0.25048540089292926	0.29568505013016333	0.2531642999294344	0.23399469924261018	0.26576283993752414	0.245154266741888	0.23694353408861746	0.2586966795590747	0.17897031215450773	0.2998382823401392	0.23653754339623445	0.20655650785148955	0.2085220732476195	0.3698347508834625	0.2460942146638766	0.23322257714133188	0.3063652244873066	0.2730324901180123	0.37187312001045364	0.24541757719243656	0.2222560758980825	0.24068918215340224
w8pp	0.3418299176338119	0.1824953235891273	0.0	0.25699778369037934	0.36857213919521004	0.45755141751073736	0.39171512321111457	0.42826147329303776	0.42224696941686357	0.34384236193022866	0.38904201116746273	0.3465212609667338	0.3273516602799096	0.35911980097482354	0.3385112277791874	0.33030049512591686	0.3520536405963741	0.2723272731918071	0.3931952433774386	0.32989450443353385	0.29991346888878895	0.3018790342849189	0.4631917119207619	0.339451175701176	0.3265795381786313	0.3997221855246059	0.36638945115531163	0.465230081047753	0.3387745382297359	0.31561303693538184	0.3340461431907016
f12ppA	0.27298933596831965	0.16364082265307994	0.25699778369037934	0.0	0.26182992073471045	0.35080919905023783	0.284972904750615	0.3215192548325382	0.3155047509563641	0.2371001434697291	0.28229979270696315	0.23977904250623427	0.22060944181941003	0.252377582514324	0.23176900931868788	0.2614599134604246	0.28321305893088183	0.20348669152631488	0.3243546617119464	0.2610539227680416	0.23107288722329666	0.23303845261942663	0.39435113025526963	0.2706105940356837	0.257738956513139	0.3308816038591137	0.2975488694898194	0.39638949938226076	0.2699339565642437	0.2467724552698896	0.26520556152520935
f13pp	0.3845636914731503	0.27521517815791063	0.36857213919521004	0.26182992073471045	0.0	0.39130187262255267	0.3254655783229298	0.362011928404853	0.3559974245286789	0.3335455171165455	0.3787451663537796	0.33622441615305065	0.31705481546622644	0.34882295616114045	0.3282143829655043	0.37303426896525527	0.3947874144357125	0.31506104703114557	0.435929017216777	0.37262827827287226	0.34264724272812735	0.3446128081242573	0.5059254857601003	0.3821849495405144	0.3693133120179697	0.4424559593639444	0.4091232249946501	0.5079638548870915	0.3815083120690744	0.3583468107747203	0.37677991703004
S9H1	0.4735429697886776	0.36419445647343796	0.45755141751073736	0.35080919905023783	0.39130187262255267	0.0	0.38646377950094263	0.4230101295828658	0.4169956257066917	0.4225247954320729	0.46772444466930696	0.42520369446857803	0.4060340937817538	0.4378022344766678	0.41719366128103164	0.4620135472807826	0.48376669275123985	0.4040403253466729	0.5249082955323043	0.4616075565883996	0.4316265210436547	0.43359208643978464	0.5949047640756276	0.47116422785604173	0.458292590333497	0.5314352376794718	0.4981025033101774	0.5969431332026187	0.4704875903846017	0.4473260890902476	0.4657591953455673
w1pp	0.4077066754890548	0.29835816217381517	0.39171512321111457	0.284972904750615	0.3254655783229298	0.38646377950094263	0.0	0.21863457468501565	0.21262007080884154	0.35668850113245004	0.4018881503696841	0.3593674001689552	0.34019779948213097	0.371965940177045	0.35135736698140885	0.3961772529811598	0.41793039845161706	0.3382040310470501	0.45907200123268155	0.3957712622887768	0.3657902267440319	0.36775579214016185	0.5290684697760049	0.40532793355641894	0.3924562960338742	0.4655989433798489	0.4322662090105546	0.531106838902996	0.4046512960849789	0.38148979479062484	0.3999229010459445
S14Hp	0.444253025570978	0.33490451225573836	0.42826147329303776	0.3215192548325382	0.362011928404853	0.4230101295828658	0.21863457468501565	0.0	0.18096478324886406	0.39323485121437324	0.4384345004516073	0.3959137502508784	0.37674414956405416	0.4085122902589682	0.38790371706333204	0.432723603063083	0.45447674853354025	0.3747503811289733	0.49561835131460474	0.4323176123707	0.4023365768259551	0.40430214222208505	0.565614819857928	0.44187428363834214	0.4290026461157974	0.5021452934617721	0.4688125590924778	0.5676531889849192	0.4411976461669021	0.41803614487254803	0.4364692511278677
w14pp	0.4382385216948039	0.3288900083795642	0.42224696941686357	0.3155047509563641	0.3559974245286789	0.4169956257066917	0.21262007080884154	0.18096478324886406	0.0	0.3872203473381991	0.4324199965754332	0.3898992463747043	0.37072964568788	0.40249778638279404	0.3818892131871579	0.42670909918690886	0.4484622446573661	0.36873587725279916	0.48960384743843066	0.4263031084945259	0.39632207294978095	0.3982876383459109	0.559600315981754	0.435859779762168	0.4229881422396233	0.496130789585598	0.4627980552163037	0.561638685108745	0.43518314229072796	0.4120216409963739	0.43045474725169364
f24pp	0.3598339142081689	0.25048540089292926	0.34384236193022866	0.2371001434697291	0.3335455171165455	0.4225247954320729	0.35668850113245004	0.39323485121437324	0.3872203473381991	0.0	0.3047345223601269	0.262213772159398	0.2831266612960516	0.31489480199096553	0.2942862287953294	0.3483044917002739	0.37005763717073115	0.2903312697661642	0.41119923995179564	0.3478985010078909	0.317917465463146	0.31988303085927594	0.48119570849511895	0.35745517227553303	0.3445835347529883	0.417726182098963	0.3843934477296687	0.48323407762211007	0.356778534804093	0.3336170335097389	0.3520501397650586
