	31714	31723	S9H1	31637	F3H1	530451	w15pp	f11pp	w29pp	w11pp	w4pp	S4Hp	f9pp	f10pp	w16pp	F23HpA	S15Hp	S19H1	F6H1	S3Hp	31343	S10H1	530075	S1Hp	S26Hp	530154	31557	31711	530050	31749	31750	S23Hp	s4pp	S21H1	S11Hp	s1pp	S25Hp	s31pp	s17pp	w30pp	s11pp	f8pp	s18pp	s20pp	s28pp	530315	S13Hp	w20pp	530167	530251	F7H1	31219	31129	w9pp	s13pp	f23ppA	f3pp	w12pp	s25pp	F29H1	s15pp	w32pp	F32H1	s10pp	S30H1	S31Hp	w14pp	F8H1	w2pp	w8pp	31700	s12pp	s3pp	s16pp	s32pp	w6pp	w7pp	w18pp	S6Hp	s24pp	s21pp	s2pp	s30pp	s26pp	s22pp	s7pp	s9pp	s29pp	s23pp	s19pp	s6pp	s14pp	s27pp	w25pp
31714	0.0	0.05385790199671658	0.16524935909086713	0.21819044882037775	0.23361676597291153	0.23732876651543272	0.24482044169843492	0.24418424397613625	0.2124018305205207	0.2113067072729246	0.2113079093009595	0.19353618401652112	0.18688358257660398	0.18256662570602938	0.16901178827404084	0.16503637317311803	0.17954238663975247	0.19417156383356954	0.15726057856097633	0.43045400986064736	0.5136233204833904	0.5105925307155358	0.5938190176565817	0.4877430724457108	0.5012859322420233	0.5076914721234846	0.5083526134638171	0.5433166130505659	0.5394680000619241	0.47395352673443153	0.4773507528708844	0.1849200457165396	0.17906272366107467	0.2756250892999845	0.22063743041110523	0.17545781502794514	0.20330904449267417	0.17415561107508667	0.18361253050460222	0.2098760539918773	0.20685962994221313	0.24222259636460156	0.22615345398510653	0.22647544220095905	0.2607312128832834	0.32558708504979406	0.3027807932716108	0.35559982316130057	0.3237540750800362	0.3444567374567903	0.2927629927407946	0.2815517494399168	0.32619428445562737	0.27461859989976367	0.28399457095837044	0.3033449276304275	0.2877172880603209	0.2917018692346119	0.2630141386634408	0.23296636405842847	0.23037419728577452	0.2595782583710654	0.25487452819333234	0.24547017934245258	0.25539762383025033	0.27792214302433504	0.2701272318098281	0.27742684470065404	0.27313299617227704	0.27405948982808864	0.26724661309951114	0.26456154156691125	0.26906197095392537	0.26682114416195535	0.26456254156741127	0.2700584284525155	0.27399667854768006	0.28928045657245555	0.2852969225284294	0.22340406043188576	0.21239239419890948	0.20860106621359242	0.20651537922943292	0.20651537922943292	0.20397500974502833	0.1886038793170231	0.1984082778229687	0.1984082778229687	0.19817696944691737	0.1502793004837472	0.15600206356619675	0.1622756215929548	0.15902740116629419	0.156618456333175
31723	0.05385790199671658	0.0	0.1971309890615776	0.2500720787910883	0.265498395943622	0.2692103964861432	0.2767020716691454	0.2760658739468468	0.2442834604912312	0.24318833724363512	0.24318953927167	0.2254178139872316	0.21876521254731446	0.2144482556767399	0.20089341824475135	0.1969180031438285	0.21142401661046298	0.22605319380428004	0.1891422085316868	0.46233563983135784	0.5455049504541009	0.5424741606862462	0.6257006476272922	0.5196247024164213	0.5331675622127339	0.5395731020941952	0.5402342434345275	0.5751982430212763	0.5713496300326346	0.505835156705142	0.5092323828415949	0.2168016756872501	0.21094435363178515	0.30750671927069495	0.2525190603818157	0.20733944499865561	0.23519067446338465	0.20603724104579715	0.2154941604753127	0.2417576839625878	0.2387412599129236	0.27410422633531206	0.258035083955817	0.25835707217166953	0.2926128428539938	0.3574687150205046	0.3346624232423212	0.3874814531320111	0.3556357050507467	0.3763383674275007	0.32464462271150507	0.3134333794106272	0.3580759144263379	0.3065002298704741	0.315876200929081	0.33522655760113795	0.31959891803103135	0.32358349920532237	0.29489576863415123	0.26484799402913894	0.262255827256485	0.29145988834177594	0.2867561581640429	0.27735180931316306	0.28727925380096087	0.3098037729950455	0.3020088617805386	0.3093084746713645	0.30501462614298747	0.3059411197987991	0.2991282430702217	0.29644317153762173	0.3009436009246359	0.2987027741326658	0.29644417153812175	0.30194005842322597	0.3058783085183905	0.321162086543166	0.31717855249913995	0.25528569040259624	0.24427402416961996	0.2404826961843029	0.2383970092001434	0.2383970092001434	0.2358566397157388	0.22048550928773358	0.23028990779367917	0.23028990779367917	0.23005859941762785	0.1821609304544577	0.18788369353690723	0.19415725156366528	0.19090903113700466	0.18850008630388548
S9H1	0.16524935909086713	0.1971309890615776	0.0	0.11019132749291952	0.1256176446454533	0.12932964518797446	0.13682132037097666	0.13618512264867802	0.10440270919306247	0.10330758594546638	0.10330878797350126	0.08553706268906286	0.10517707295786946	0.1008601160872949	0.1141813406223619	0.11020592552143908	0.12471193898807353	0.13934111618189063	0.1024301309092974	0.3976774346199096	0.48084674524265264	0.47781595547479805	0.561042442415844	0.45496649720497306	0.46850935700128565	0.47491489688274696	0.47557603822307937	0.5105400378098282	0.5066914248211865	0.4411769514936938	0.44457417763014667	0.15214347047580187	0.14628614842033694	0.24284851405924676	0.1878608551703675	0.1426812397872074	0.17053246925193644	0.14137903583434894	0.15083595526386448	0.17709947875113957	0.1740830547014754	0.20944602112386382	0.1933768787443688	0.19369886696022132	0.22795463764254562	0.2928105098090563	0.27000421803087304	0.32282324792056283	0.29097749983929844	0.31168016221605255	0.25998641750005685	0.24877517419917902	0.29341770921488963	0.2418420246590259	0.2512179957176327	0.27056835238968974	0.25494071281958314	0.25892529399387415	0.23023756342270305	0.20018978881769073	0.19759762204503678	0.2268016831303277	0.22209795295259463	0.21269360410171484	0.22262104858951262	0.2451455677835973	0.23735065656909038	0.2446502694599163	0.24035642093153928	0.2412829145873509	0.23447003785877343	0.2317849663261735	0.23628539571318766	0.2340445689212176	0.23178596632667353	0.23728185321177775	0.2412201033069423	0.2565038813317178	0.2525203472876917	0.19062748519114803	0.17961581895817175	0.17582449097285469	0.17373880398869518	0.17373880398869518	0.1711984345042906	0.15582730407628537	0.16563170258223095	0.16563170258223095	0.16540039420617964	0.11750272524300948	0.12322548832545901	0.12949904635221707	0.12625082592555645	0.12384188109243728
31637	0.21819044882037775	0.2500720787910883	0.11019132749291952	0.0	0.0659048924844616	0.06961689302698273	0.07710856820998493	0.07647237048768629	0.12422158973256224	0.12312646648496617	0.12312766851300105	0.12057760460280305	0.1581181626873801	0.1538012058168055	0.16712243035187255	0.1631470152509497	0.17765302871758418	0.19228220591140127	0.15537122063880804	0.4506185243494203	0.5337878349721633	0.5307570452043087	0.6139835321453546	0.5079075869344837	0.5214504467307963	0.5278559866122576	0.52851712795259	0.5634811275393388	0.5596325145506971	0.49411804122320446	0.49751526735965734	0.20508456020531252	0.1992272381498476	0.2957896037887574	0.24080194489987816	0.19562232951671804	0.22347355898144705	0.19432012556385958	0.20377704499337512	0.2300405684806502	0.22702414443098606	0.26238711085337446	0.24631796847387943	0.24663995668973196	0.28089572737205626	0.345751599538567	0.32294530776038366	0.3757643376500735	0.3439185895688091	0.36462125194556316	0.3129275072295675	0.30171626392868967	0.3463587989444003	0.29478311438853655	0.3041590854471434	0.3235094421192004	0.3078818025490938	0.3118663837233848	0.2831786531522137	0.25313087854720134	0.25053871177454745	0.27974277285983834	0.2750390426821053	0.2656346938312255	0.27556213831902326	0.2980866575131079	0.290291746298601	0.2975913591894269	0.2932975106610499	0.2942240043168616	0.2874111275882841	0.28472605605568413	0.2892264854426983	0.2869856586507282	0.2847270560561842	0.29022294294128836	0.29416119303645294	0.3094449710612285	0.30546143701720235	0.2435685749206587	0.2325569086876824	0.2287655807023653	0.22667989371820585	0.22667989371820585	0.22413952423380124	0.20876839380579598	0.2185727923117416	0.2185727923117416	0.21834148393569028	0.17044381497252012	0.17616657805496966	0.1824401360817277	0.1791919156550671	0.17678297082194794
F3H1	0.23361676597291153	0.265498395943622	0.1256176446454533	0.0659048924844616	0.0	0.02101729234892373	0.028508967531925927	0.027872769809627277	0.13964790688509604	0.13855278363749995	0.13855398566553484	0.13600392175533682	0.1735444798399139	0.1692275229693393	0.18254874750440633	0.1785733324034835	0.19307934587011796	0.20770852306393506	0.17079753779134182	0.466044841501954	0.549214152124697	0.5461833623568425	0.6294098492978885	0.5233339040870175	0.53687676388333	0.5432823037647914	0.5439434451051238	0.5789074446918726	0.5750588317032308	0.5095443583757382	0.5129415845121911	0.2205108773578463	0.2146535553023814	0.3112159209412912	0.25622826205241195	0.21104864666925183	0.23889987613398084	0.20974644271639337	0.2192033621459089	0.24546688563318397	0.24245046158351985	0.27781342800590825	0.2617442856264132	0.2620662738422658	0.29632204452459004	0.3611779166911008	0.33837162491291745	0.3911906548026073	0.3593449067213429	0.38004756909809695	0.32835382438210126	0.31714258108122345	0.3617851160969341	0.31020943154107034	0.31958540259967716	0.33893575927173414	0.32330811970162754	0.32729270087591855	0.2986049703047475	0.26855719569973513	0.26596502892708124	0.2951690900123721	0.29046535983463906	0.28106101098375924	0.29098845547155705	0.31351297466564176	0.30571806345113484	0.31301767634196076	0.3087238278135837	0.3096503214693953	0.30283744474081786	0.30015237320821797	0.3046528025952321	0.30241197580326207	0.30015337320871793	0.3056492600938222	0.3095875101889867	0.3248712882137622	0.32088775416973614	0.2589948920731925	0.24798322584021618	0.2441918978548991	0.24210621087073964	0.24210621087073964	0.23956584138633502	0.22419471095832977	0.23399910946427538	0.23399910946427538	0.23376780108822406	0.1858701321250539	0.19159289520750344	0.1978664532342615	0.19461823280760088	0.19220928797448172
530451	0.23732876651543272	0.2692103964861432	0.12932964518797446	0.06961689302698273	0.02101729234892373	0.0	0.020435057292040492	0.019798859569741846	0.14335990742761717	0.14226478418002111	0.142265986208056	0.139715922297858	0.17725648038243502	0.17293952351186048	0.1862607480469275	0.18228533294600469	0.19679134641263912	0.21142052360645622	0.17450953833386298	0.4697568420444752	0.5529261526672182	0.5498953628993637	0.6331218498404096	0.5270459046295386	0.5405887644258512	0.5469943043073126	0.547655445647645	0.5826194452343938	0.578770832245752	0.5132563589182594	0.5166535850547123	0.22422287790036746	0.21836555584490253	0.3149279214838123	0.2599402625949331	0.214760647211773	0.24261187667650203	0.21345844325891453	0.22291536268843007	0.24917888617570516	0.24616246212604098	0.28152542854842943	0.26545628616893435	0.2657782743847869	0.3000340450671112	0.36488991723362196	0.3420836254554386	0.3949026553451285	0.3630569072638641	0.3837595696406181	0.33206582492462244	0.3208545816237446	0.3654971166394553	0.31392143208359147	0.32329740314219835	0.3426477598142553	0.3270201202441487	0.33100470141843974	0.3023169708472686	0.2722691962422563	0.26967702946960237	0.2988810905548933	0.29417736037716025	0.28477301152628043	0.29470045601407824	0.3172249752081629	0.30943006399365597	0.3167296768844819	0.31243582835610484	0.3133623220119165	0.30654944528333905	0.3038643737507391	0.3083648031377533	0.3061239763457832	0.3038653737512391	0.30936126063634334	0.31329951073150786	0.3285832887562834	0.3245997547122573	0.2627068926157136	0.25169522638273734	0.24790389839742027	0.24581821141326077	0.24581821141326077	0.24327784192885618	0.22790671150085096	0.23771111000679654	0.23771111000679654	0.23747980163074522	0.18958213266757507	0.1953048957500246	0.20157845377678266	0.19833023335012204	0.19592128851700286
w15pp	0.24482044169843492	0.2767020716691454	0.13682132037097666	0.07710856820998493	0.028508967531925927	0.020435057292040492	0.0	0.009353619110038437	0.15085158261061937	0.14975645936302331	0.1497576613910582	0.1472075974808602	0.18474815556543722	0.18043119869486268	0.1937524232299297	0.18977700812900689	0.20428302159564132	0.21891219878945842	0.18200121351686518	0.4772485172274774	0.5604178278502204	0.5573870380823658	0.6406135250234117	0.5345375798125409	0.5480804396088534	0.5544859794903148	0.5551471208306471	0.5901111204173959	0.5862625074287542	0.5207480341012616	0.5241452602377145	0.23171455308336966	0.22585723102790473	0.3224195966668145	0.2674319377779353	0.2222523223947752	0.2501035518595042	0.22095011844191673	0.23040703787143227	0.25667056135870736	0.2536541373090432	0.28901710373143163	0.27294796135193655	0.2732699495677891	0.3075257202501134	0.37238159241662416	0.3495753006384408	0.4023943305281307	0.3705485824468663	0.3912512448236203	0.33955750010762464	0.3283462568067468	0.3729887918224575	0.32141310726659367	0.33078907832520055	0.3501394349972575	0.3345117954271509	0.33849637660144194	0.3098086460302708	0.2797608714252585	0.27716870465260457	0.3063727657378955	0.30166903556016245	0.29226468670928263	0.30219213119708044	0.3247166503911651	0.31692173917665817	0.3242213520674841	0.31992750353910704	0.3208539971949187	0.31404112046634125	0.3113560489337413	0.3158564783207555	0.3136156515287854	0.3113570489342413	0.31685293581934554	0.32079118591451006	0.3360749639392856	0.3320914298952595	0.2701985677987158	0.25918690156573954	0.2553955735804225	0.25330988659626297	0.25330988659626297	0.25076951711185835	0.23539838668385316	0.24520278518979874	0.24520278518979874	0.24497147681374742	0.19707380785057727	0.2027965709330268	0.20907012895978486	0.20582190853312424	0.20341296370000506
f11pp	0.24418424397613625	0.2760658739468468	0.13618512264867802	0.07647237048768629	0.027872769809627277	0.019798859569741846	0.009353619110038437	0.0	0.15021538488832073	0.14912026164072467	0.14912146366875953	0.14657139975856154	0.1841119578431386	0.179795000972564	0.19311622550763108	0.18914081040670824	0.2036468238733427	0.21827600106715978	0.18136501579456654	0.4766123195051788	0.5597816301279218	0.5567508403600672	0.6399773273011131	0.5339013820902422	0.5474442418865548	0.5538497817680161	0.5545109231083485	0.5894749226950973	0.5856263097064556	0.520111836378963	0.5235090625154158	0.23107835536107102	0.2252210333056061	0.3217833989445159	0.26679574005563667	0.22161612467247654	0.24946735413720555	0.22031392071961808	0.22977084014913363	0.2560343636364087	0.25301793958674457	0.28838090600913296	0.27231176362963794	0.27263375184549044	0.30688952252781476	0.3717453946943255	0.34893910291614216	0.401758132805832	0.3699123847245676	0.39061504710132167	0.33892130238532603	0.32771005908444817	0.3723525941001588	0.32077690954429505	0.3301528806029019	0.3495032372749589	0.3338755977048523	0.3378601788791433	0.3091724483079722	0.27912467370295985	0.27653250693030595	0.30573656801559684	0.3010328378378638	0.291628488986984	0.30155593347478177	0.3240804526688664	0.3162855414543595	0.3235851543451854	0.3192913058168084	0.3202177994726201	0.3134049227440426	0.31071985121144263	0.3152202805984568	0.31297945380648673	0.3107208512119427	0.31621673809704687	0.32015498819221144	0.335438766216987	0.33145523217296086	0.2695623700764172	0.2585507038434409	0.2547593758581238	0.25267368887396435	0.25267368887396435	0.25013331938955974	0.23476218896155449	0.2445665874675001	0.2445665874675001	0.24433527909144878	0.19643761012827862	0.20216037321072816	0.20843393123748621	0.2051857108108256	0.20277676597770644
w29pp	0.2124018305205207	0.2442834604912312	0.10440270919306247	0.12422158973256224	0.13964790688509604	0.14335990742761717	0.15085158261061937	0.15021538488832073	0.0	0.014993281502718888	0.014994483530753767	0.11478898630294598	0.15232954438752305	0.14801258751694846	0.1613338120520155	0.15735839695109266	0.17186441041772713	0.18649358761154422	0.149582602338951	0.4448299060495632	0.5279992166723062	0.5249684269044517	0.6081949138454976	0.5021189686346267	0.5156618284309392	0.5220673683124005	0.522728509652733	0.5576925092394818	0.55384389625084	0.48832942292334736	0.49172664905980024	0.19929594190545546	0.19343861984999056	0.29000098548890035	0.2350133266000211	0.189833711216861	0.21768494068159	0.18853150726400253	0.19798842669351807	0.22425195018079314	0.221235526131129	0.2565984925535174	0.24052935017402238	0.2408513383898749	0.2751071090721992	0.33996298123870994	0.3171566894605266	0.36997571935021645	0.33812997126895206	0.3588326336457061	0.3071388889297104	0.2959276456288326	0.34057018064454325	0.2889944960886795	0.2983704671472863	0.3177208238193433	0.3020931842492367	0.3060777654235277	0.27739003485235664	0.2473422602473443	0.2447500934746904	0.2739541545599813	0.2692504243822482	0.2598460755313684	0.2697735200191662	0.2922980392132509	0.284503127998744	0.2918027408895699	0.28750889236119287	0.28843538601700447	0.281622509288427	0.27893743775582713	0.28343786714284125	0.28119704035087123	0.2789384377563271	0.28443432464143137	0.2883725747365959	0.3036563527613714	0.2996728187173453	0.23777995662080165	0.22676829038782534	0.22297696240250825	0.2208912754183488	0.2208912754183488	0.21835090593394418	0.20297977550593893	0.21278417401188454	0.21278417401188454	0.21255286563583323	0.16465519667266307	0.1703779597551126	0.17665151778187066	0.17340329735521004	0.1709943525220909
w11pp	0.2113067072729246	0.24318833724363512	0.10330758594546638	0.12312646648496617	0.13855278363749995	0.14226478418002111	0.14975645936302331	0.14912026164072467	0.014993281502718888	0.0	0.005337720792205233	0.11369386305534991	0.15123442113992697	0.14691746426935237	0.1602386888044194	0.15626327370349657	0.17076928717013104	0.18539846436394813	0.1484874790913549	0.4437347828019671	0.5269040934247101	0.5238733036568556	0.6070997905979015	0.5010238453870306	0.5145667051833431	0.5209722450648044	0.5216333864051369	0.5565973859918857	0.5527487730032439	0.48723429967575127	0.49063152581220415	0.19820081865785938	0.19234349660239447	0.28890586224130427	0.23391820335242502	0.1887385879692649	0.21658981743399391	0.18743638401640644	0.19689330344592199	0.22315682693319705	0.22014040288353293	0.2555033693059213	0.2394342269264263	0.23975621514227882	0.2740119858246031	0.33886785799111385	0.3160615662129305	0.36888059610262036	0.33703484802135597	0.35773751039811	0.30604376568211433	0.29483252238123653	0.33947505739694717	0.2878993728410834	0.29727534389969024	0.3166257005717472	0.3009980610016406	0.30498264217593163	0.27629491160476055	0.2462471369997482	0.24365497022709431	0.2728590313123852	0.26815530113465214	0.2587509522837723	0.2686783967715701	0.29120291596565484	0.2834080047511479	0.29070761764197384	0.2864137691135968	0.2873402627694084	0.28052738604083094	0.27784231450823105	0.28234274389524516	0.28010191710327514	0.277843314508731	0.2833392013938353	0.2872774514889998	0.3025612295137753	0.2985776954697492	0.23668483337320556	0.22567316714022925	0.22188183915491216	0.2197961521707527	0.2197961521707527	0.2172557826863481	0.20188465225834284	0.21168905076428846	0.21168905076428846	0.21145774238823714	0.16356007342506698	0.16928283650751652	0.17555639453427457	0.17230817410761395	0.1698992292744948
