	S20H1	S18H1	f12ppB	f12ppA	w15pp	w27pp	S22Hp	w31pp	f25pp	f26pp	f2pp	f17ppA	f1pp	S14Hp	w1pp	f13pp	f4pp	f17ppB	w8pp	f3pp	w3pp	S9H1	w10pp	w23pp	f10pp	f24pp	w24pp	f14ppA	f11pp	w11pp	f23ppA	f8pp	f31pp	w26pp	f32pp	f7pp	f30pp	f19pp	f21pp	f23ppB	f16ppB	w16pp	w20pp	f6ppA	f15pp	f20ppA	w13pp	f29pp	f6ppB	f28pp	w28pp	f18pp	f16ppA	S1Hp
S20H1	0.0	0.3618594399912982	0.4258809557281008	0.36398110891298263	0.49662312169429923	0.49536966376495084	0.629732950629512	0.44508990086502154	0.44204097881042287	0.4299288979845626	0.42492290237518593	0.45704794803407495	0.43222425354843164	0.5848077447021187	0.5119701045783277	0.45825518577330937	0.36650993282520666	0.5066320693852716	0.5023830440692821	0.5185355958504982	0.40008385153345594	0.6104393646585458	0.4974801519596942	0.391389331793564	0.33232557718733263	0.408438313286432	0.4962162351429472	0.4172127808053197	0.47249479956411844	0.5180752110974801	0.3522390745164926	0.3509278497389445	0.35976463145754733	0.5000572546643706	0.43976427039501265	0.4097912822117167	0.3722869077157237	0.5110298487604068	0.36523594414145305	0.47585901210385273	0.48029014493827143	0.48308262969168003	0.48777314386301746	0.46063380471094484	0.43940120771344315	0.4177316041917305	0.33836212792654047	0.49243403331926305	0.4005388177426855	0.4622664891554882	0.42433511221993914	0.3124853718133977	0.39094536044795775	0.5537616817578752
S18H1	0.3618594399912982	0.0	0.16499398202832294	0.10309413521320471	0.26063932998240474	0.25938587205305635	0.3937491589176174	0.20910610915312702	0.20605718709852835	0.19394510627266803	0.18893911066329144	0.22106415632218043	0.19624046183653712	0.3488239529902243	0.2759863128664332	0.22227139406141486	0.13052614111331218	0.27064827767337707	0.26639925235738765	0.2825518041386037	0.1641000598215614	0.3744555729466512	0.26149636024779965	0.1554055400816695	0.09634178547543812	0.1724545215745375	0.26023244343105273	0.18122898909342522	0.23651100785222395	0.2820914193855856	0.11625528280459811	0.11494405802704996	0.12378083974565282	0.2640734629524761	0.2037804786831181	0.17380749049982216	0.13630311600382922	0.27504605704851226	0.1292521524295585	0.23987522039195824	0.24430635322637692	0.24709883797978552	0.25178935215112297	0.22465001299905035	0.20341741600154867	0.18174781247983596	0.10237833621464593	0.2564502416073685	0.16455502603079103	0.2262826974435937	0.18835132050804465	0.09446788919959176	0.1959252138729523	0.36564295492048116
f12ppB	0.4258809557281008	0.16499398202832294	0.0	0.14462536011177438	0.3246608457192073	0.3234073877898589	0.45777067465441995	0.2731276248899296	0.2700787028353309	0.2579666220094706	0.252960626400094	0.285085672058983	0.2602619775733397	0.4128454687270268	0.34000782860323575	0.2862929097982174	0.19454765685011471	0.33466979341017966	0.3304207680941902	0.3465733198754063	0.228121575558364	0.43847708868345375	0.32551787598460225	0.21942705581847205	0.16036330121224068	0.23647603731134004	0.32425395916785527	0.24525050483022776	0.3005325235890265	0.34611293512238817	0.18027679854140066	0.17896557376385253	0.18780235548245539	0.3280949786892786	0.2678019944199207	0.23782900623662473	0.20032463174063175	0.33906757278531485	0.1932736681663611	0.3038967361287608	0.3083278689631795	0.3111203537165881	0.3158108678879255	0.2886715287358529	0.2674389317383512	0.24576932821663855	0.1663998519514485	0.3204717573441711	0.22857654176759362	0.29030421318039623	0.2523728362448472	0.15848940493639435	0.2599467296097549	0.4296644706572837
f12ppA	0.36398110891298263	0.10309413521320471	0.14462536011177438	0.0	0.2627609989040891	0.2615075409747407	0.3958708278393017	0.21122777807481138	0.20817885602021272	0.1960667751943524	0.1910607795849758	0.2231858252438648	0.19836213075822148	0.3509456219119086	0.2781079817881176	0.22439306298309922	0.13264781003499654	0.2727699465950615	0.268520921279072	0.2846734730602881	0.16622172874324576	0.3765772418683355	0.26361802916948407	0.15752720900335387	0.09846345439712248	0.17457619049622186	0.2623541123527371	0.18335065801510958	0.23863267677390831	0.28421308830726993	0.11837695172628247	0.11706572694873432	0.12590250866733718	0.26619513187416044	0.20590214760480247	0.17592915942150653	0.13842478492551358	0.2771677259701966	0.13137382135124287	0.2419968893136426	0.24642802214806128	0.24922050690146988	0.2539110210728073	0.2267716819207347	0.20553908492323303	0.18386948140152032	0.10450000513633029	0.2585719105290529	0.1666766949524754	0.22840436636527806	0.190472989429729	0.09658955812127612	0.19804688279463667	0.36776462384216546
w15pp	0.49662312169429923	0.26063932998240474	0.3246608457192073	0.2627609989040891	0.0	0.2547501237328398	0.3891134105974008	0.23964307938732	0.23659415733272132	0.22448207650686097	0.25373383280907935	0.2858588784679683	0.26103518398232506	0.41361867513601214	0.3407810350122211	0.2870661162072028	0.19532086325910009	0.33544299981916503	0.33119397450317556	0.34734652628439167	0.22889478196734933	0.43925029509243907	0.3262910823935876	0.22020026222745742	0.17176304581456178	0.2631167734101046	0.3508946952666198	0.2718912409289923	0.32717325968779104	0.37275367122115266	0.2069175346401652	0.20560630986261705	0.2144430915812199	0.35473571478804317	0.2944427305186852	0.2644697423353892	0.2269653678393963	0.36570830888407935	0.2199144042651256	0.33053747222752533	0.3512187126913605	0.35401119744476917	0.35870171161610653	0.33156237246403397	0.3103297754665323	0.28866017194481963	0.20929069567962955	0.3768736692818585	0.2849784537052811	0.3467061251180837	0.30877474818253464	0.2292315709025928	0.3306888955759533	0.5004066366234822
w27pp	0.49536966376495084	0.25938587205305635	0.3234073877898589	0.2615075409747407	0.2547501237328398	0.0	0.3344060380724929	0.2383896214579716	0.23534069940337293	0.22322861857751258	0.25248037487973096	0.2846054205386199	0.25978172605297667	0.41236521720666375	0.33952757708287273	0.2858126582778544	0.1940674053297517	0.33418954188981664	0.32994051657382717	0.3460930683550433	0.22764132403800094	0.4379968371630907	0.3250376244642392	0.21894680429810903	0.1705095878852134	0.2618633154807562	0.3496412373372714	0.2706377829996439	0.32591980175844265	0.37150021329180427	0.20566407671081682	0.20435285193326866	0.21318963365187152	0.3534822568586948	0.2931892725893368	0.26321628440604083	0.22571190991004791	0.36445485095473096	0.2186609463357772	0.32928401429817694	0.3499652547620121	0.3527577395154208	0.35744825368675814	0.3303089145346856	0.3090763175371839	0.28740671401547124	0.20803723775028116	0.3756202113525101	0.2837249957759327	0.3454526671887353	0.30752129025318625	0.2279781129732444	0.32943543764660493	0.4991531786941338
S22Hp	0.629732950629512	0.3937491589176174	0.45777067465441995	0.3958708278393017	0.3891134105974008	0.3344060380724929	0.0	0.3727529083225326	0.36970398626793394	0.3575919054420736	0.38684366174429197	0.41896870740318093	0.3941450129175377	0.5467285040712248	0.47389086394743374	0.4201759451424154	0.3284306921943127	0.46855282875437765	0.4643038034383882	0.4804563552196043	0.362004610902562	0.5723601240276517	0.45940091132880023	0.35331009116267004	0.30487287474977437	0.39622660234531715	0.4840045242018324	0.40500106986420487	0.4602830886230036	0.5058635001563653	0.3400273635753778	0.33871613879782964	0.3475529205164325	0.4878455437232557	0.4275525594538978	0.39757957127060184	0.36007519677460886	0.49881813781929196	0.3530242332003382	0.4636473011627379	0.48432854162657313	0.4871210263799818	0.49181154055131915	0.4646722013992466	0.4434396044017449	0.42177000088003225	0.34240052461484216	0.5099834982170711	0.4180882826404937	0.47981595405329636	0.4418845771177473	0.36234139983780544	0.463798724511166	0.6335164655586948
w31pp	0.44508990086502154	0.20910610915312702	0.2731276248899296	0.21122777807481138	0.23964307938732	0.2383896214579716	0.3727529083225326	0.0	0.18505893650244354	0.1729468556765832	0.20220061197980163	0.23432565763869062	0.2095019631530473	0.36208545430673444	0.28924781418294343	0.23553289537792504	0.14378764242982237	0.2839097789898873	0.27966075367389787	0.2958133054551139	0.1773615611380716	0.3877170742631614	0.27475786156430987	0.1686670413981797	0.12022982498528406	0.21158355258082684	0.29936147443734207	0.22035802009971456	0.2756400388585133	0.3212204503918749	0.15538431381088746	0.1540730890333393	0.1629098707519422	0.3032024939587654	0.24290950968940744	0.21293652150611153	0.17543214701011856	0.3141750880548016	0.16838118343584788	0.2790042513982476	0.2996854918620828	0.3024779766154914	0.30716849078682884	0.2800291516347563	0.2587965546372546	0.23712695111554188	0.15775747485035185	0.3253404484525808	0.23344523287600333	0.29517290428880594	0.2572415273532569	0.17769835007331508	0.27915567474667563	0.4488734157942044
f25pp	0.44204097881042287	0.20605718709852835	0.2700787028353309	0.20817885602021272	0.23659415733272132	0.23534069940337293	0.36970398626793394	0.18505893650244354	0.0	0.1535618062109536	0.19915168992520296	0.23127673558409195	0.20645304109844864	0.3590365322521357	0.2861988921283447	0.23248397332332638	0.1407387203752237	0.2808608569352886	0.27661183161929914	0.29276438340051525	0.17431263908347294	0.38466815220856265	0.2717089395097112	0.16561811934358103	0.1171809029306854	0.20853463052622817	0.2963125523827434	0.2173090980451159	0.2725911168039146	0.31817152833727624	0.1523353917562888	0.15102416697874063	0.15986094869734352	0.30015357190416675	0.23986058763480878	0.20988759945151286	0.1723832249555199	0.31112616600020293	0.1653322613812492	0.2759553293436489	0.29663656980748415	0.29942905456089275	0.30411956873223017	0.27698022958015756	0.25574763258265587	0.23407802906094322	0.15470855279575318	0.3222915263979821	0.23039631082140466	0.2921239822342073	0.2541926052986583	0.1746494280187164	0.27610675269207696	0.44582449373960575
f26pp	0.4299288979845626	0.19394510627266803	0.2579666220094706	0.1960667751943524	0.22448207650686097	0.22322861857751258	0.3575919054420736	0.1729468556765832	0.1535618062109536	0.0	0.18703960909934264	0.21916465475823163	0.19434096027258832	0.3469244514262754	0.2740868113024844	0.22037189249746605	0.12862663954936338	0.26874877610942827	0.26449975079343885	0.2806523025746549	0.16220055825761262	0.37255607138270236	0.25959685868385085	0.1535060385177207	0.10506882210482507	0.19642254970036785	0.2842004715568831	0.20519701721925557	0.26047903597805433	0.30605944751141595	0.14022331093042847	0.1389120861528803	0.1477488678714832	0.28804149107830646	0.22774850680894848	0.1977755186256525	0.16027114412965957	0.29901408517434264	0.15322018055538889	0.2638432485177886	0.28452448898162386	0.2873169737350324	0.2920074879063699	0.26486814875429726	0.24363555175679558	0.2219659482350829	0.14259647196989284	0.3101794455721218	0.21828422999554434	0.280011901408347	0.24208052447279793	0.1625373471928561	0.2639946718662166	0.4337124129137454
f2pp	0.42492290237518593	0.18893911066329144	0.252960626400094	0.1910607795849758	0.25373383280907935	0.25248037487973096	0.38684366174429197	0.20220061197980163	0.19915168992520296	0.18703960909934264	0.0	0.17011017723948846	0.14528648275384515	0.2978699739075322	0.2250323337837412	0.19459523762412403	0.10284998467602136	0.24297212123608627	0.23872309592009683	0.2548756477013129	0.1364239033842706	0.3467794165093603	0.23382020381050886	0.1277293836443787	0.10006282649544848	0.19141655409099126	0.2791944759475065	0.20019102160987898	0.25547304036867774	0.30105345190203936	0.13521731532105188	0.13390609054350372	0.1427428722621066	0.28303549546892987	0.2227425111995719	0.19276952301627592	0.15526514852028298	0.29400808956496605	0.1482141849460123	0.25883725290841203	0.2795184933722472	0.28231097812565586	0.28700149229699323	0.25986215314492067	0.238629556147419	0.2169599526257063	0.13759047636051625	0.3051734499627452	0.21327823438616775	0.2750059057989704	0.23707452886342134	0.1575313515834795	0.25898867625684	0.42870641730436887
