	w11pp	s3pp	w3pp	f12ppA	w17pp	f1pp	w31pp	w9pp	f17ppA	f9pp	f20ppB	f17ppB	f19pp	S1Hp	w13pp	f12ppB	f21pp	f20ppA	f22ppB	s22pp	f22ppA	w21pp	f13pp	f14ppA	f14ppB	f23ppB	f28pp	w28pp	w4pp	f4pp	f23ppA	f18pp	f8pp	f2pp	s17pp	w1pp	s16pp	f16ppA	f25pp	f16ppB	w25pp	s25pp	w16pp	f24pp	s29pp	s24pp	w24pp	f26pp	S26Hp	w29pp	w27pp	w10pp	f10pp	w6pp	f6ppA	f6ppB	w15pp	f15pp	f32pp	f30pp	f7pp	w7pp	w23pp	f31pp	s32pp	w32pp	w12pp	S12Hp	s18pp	w18pp	S18H1	f11pp
w11pp	0.0	0.24212182161977502	0.17530379371372456	0.1457848908232141	0.2668969934144656	0.26093528689054785	0.27413845383591195	0.2600229557200332	0.2519363613733423	0.22574748849774257	0.2747574875757723	0.2550660356365899	0.23601524747306857	0.357116014100216	0.24846560362074194	0.21302369221810497	0.19430136978589935	0.36939335910981436	0.38798755385529804	0.2942109356042211	0.32581005508819677	0.21895404455097556	0.22945072138952666	0.20066447629612333	0.19273972399911404	0.239137449803551	0.3276548724148164	0.3060510221654074	0.2979912864208425	0.2320765373019203	0.27248027118279466	0.22612533636886245	0.22326537597767493	0.19240222376570681	0.3924165575461154	0.31539444769045283	0.33186129667102987	0.24608463565279082	0.2678997020393853	0.26584714369488344	0.28383253958295646	0.29451477634935963	0.2514946286667882	0.2501284666724009	0.362326793770011	0.31164236066691886	0.34545368430459145	0.3480535209318975	0.45348010421056345	0.4451193661014024	0.2564036886110865	0.2318647119037816	0.23419870034683382	0.32044173812206	0.32800710093399205	0.33531148781567277	0.2506768587730028	0.22554149773451354	0.27512722295410474	0.29516101022228397	0.4035499437746639	0.35317243716980906	0.3531588496028291	0.224263070463109	0.26535039872952837	0.24953582592724816	0.1770885766721102	0.3199922491708885	0.17422462241612768	0.17570934526762205	0.26458397622716734	0.14742704588137617
s3pp	0.24212182161977502	0.0	0.10182083388466186	0.1907991181323243	0.3119112207235758	0.30594951419965805	0.31915268114502215	0.3050371830291434	0.2969505886824525	0.2707617158068528	0.31977171488488254	0.3000802629457001	0.28102947478217877	0.4021302414093262	0.29347983092985214	0.2580379195272152	0.23931559709500955	0.41440758641892456	0.43300178116440824	0.3392251629133313	0.370824282397307	0.26396827186008576	0.2744649486986369	0.24567870360523356	0.23775395130822424	0.2841516771126612	0.3726690997239266	0.35106524947451767	0.3430055137299527	0.27709076461103055	0.31749449849190486	0.27113956367797265	0.26827960328678513	0.23741645107481704	0.4374307848552256	0.36040867499956303	0.3768755239801401	0.291098862961901	0.3129139293484955	0.31086137100399364	0.32884676689206666	0.33952900365846983	0.2965088559758984	0.2951426939815111	0.4073410210791212	0.35665658797602906	0.39046791161370165	0.3930677482410077	0.49849433151967365	0.4901335934105126	0.3014179159201967	0.2768789392128918	0.2792129276559441	0.3654559654311702	0.37302132824310225	0.38032571512478297	0.295691086082113	0.2705557250436238	0.32014145026321494	0.3401752375313942	0.4485641710837741	0.39818666447891926	0.3981730769119393	0.2692772977722192	0.31036462603863857	0.29455005323635836	0.2221028039812204	0.3650064764799987	0.21923884972523788	0.22072357257673225	0.33926675121106864	0.24718329913898546
w3pp	0.17530379371372456	0.10182083388466186	0.0	0.12398109022627388	0.24509319281752537	0.23913148629360761	0.25233465323897175	0.238219155123093	0.2301325607764021	0.20394368790080236	0.2529536869788321	0.23326223503964968	0.21421144687612834	0.3353122135032758	0.2266618030238017	0.19121989162116476	0.17249756918895912	0.3475895585128741	0.36618375325835784	0.27240713500728087	0.30400625449125657	0.19715024395403533	0.20764692079258645	0.17886067569918312	0.1709359234021738	0.21733364920661077	0.3058510718178762	0.2842472215684672	0.2761874858239023	0.2102727367049801	0.2506764705858544	0.20432153577192225	0.2014615753807347	0.1705984231687666	0.37061275694917517	0.29359064709351257	0.31005749607408967	0.2242808350558506	0.24609590144244506	0.2440433430979432	0.2620287389860162	0.2727109757524194	0.22969082806984795	0.22832466607546067	0.3405229931730708	0.28983856006997866	0.32364988370765124	0.32624972033495725	0.4316763036136232	0.42331556550446214	0.23459988801414625	0.21006091130684137	0.21239489974989362	0.2986379375251198	0.3062033003370518	0.31350768721873257	0.22887305817606254	0.20373769713757334	0.25332342235716454	0.27335720962534377	0.3817461431777237	0.33136863657286886	0.33135504900588886	0.2024592698661688	0.24354659813258817	0.22773202533030792	0.15528477607516997	0.2981884485739482	0.15242082181918745	0.15390554467068182	0.2724487233050182	0.18036527123293503
f12ppA	0.1457848908232141	0.1907991181323243	0.12398109022627388	0.0	0.17055438835996484	0.16459268183604708	0.1777958487814112	0.16368035066553246	0.15559375631884156	0.12940488344324186	0.17841488252127155	0.15872343058208915	0.1396726424185678	0.2607734090457152	0.15212299856624117	0.11668108716360424	0.09795876473139858	0.27305075405531365	0.2916449488007973	0.19786833054972036	0.22946745003369604	0.12261143949647481	0.13310811633502595	0.10432187124162261	0.09639711894461328	0.14279484474905024	0.23131226736031565	0.20970841711090668	0.20164868136634176	0.1357339322474196	0.1761376661282939	0.12978273131436174	0.12692277092317417	0.0960596187112061	0.2960739524916146	0.21905184263595207	0.23551869161652914	0.14974203059829008	0.17155709698488453	0.16950453864038267	0.1874899345284557	0.19817217129485887	0.15515202361228742	0.15378586161790014	0.2659841887155102	0.21529975561241813	0.2491110792500907	0.25171091587739675	0.3571374991560627	0.34877676104690164	0.16006108355658571	0.13552210684928084	0.13785609529233311	0.22409913306755924	0.23166449587949128	0.23896888276117204	0.154334253718502	0.12919889268001283	0.178784617899604	0.19881840516778324	0.30720733872016315	0.2568298321153083	0.2568162445483283	0.1279204654086083	0.16900779367502763	0.1531932208727474	0.08074597161760945	0.2236496441163877	0.09743542811370254	0.0989201509651969	0.24292982041450772	0.15084636834242454
w17pp	0.2668969934144656	0.3119112207235758	0.24509319281752537	0.17055438835996484	0.0	0.15148145439543248	0.1646846213407966	0.18811040964306053	0.18002381529636963	0.1538349424207699	0.24021769629467507	0.2205262443554927	0.20147545619197135	0.32257622281911874	0.21392581233964475	0.17848390093700778	0.1765442458741584	0.3516362351980734	0.37023042994355715	0.2764538116924802	0.3080529311764558	0.20119692063923464	0.21169359747778577	0.18290735238438244	0.1749826000873731	0.2213803258918101	0.3098977485030755	0.28829389825366647	0.2802341625091016	0.2143194133901794	0.2547231472710537	0.20836821245712156	0.205508252065934	0.17464509985396592	0.3746594336343745	0.2976373237787119	0.3141041727592889	0.22832751174104993	0.25014257812764434	0.2480900197831425	0.2660754156712155	0.2767576524376187	0.23373750475504726	0.23237134276065996	0.3445696698582701	0.29388523675517797	0.32769656039285056	0.33029639702015656	0.4357229802988225	0.42736224218966146	0.23864656469934553	0.2141075879920407	0.21644157643509293	0.30268461421031906	0.3102499770222511	0.3175543639039319	0.23291973486126183	0.20778437382277265	0.25737009904236385	0.277403886310543	0.385792819862923	0.33541531325806806	0.33540172569108817	0.2065059465513681	0.26441122622464774	0.24859665342236753	0.1761494041672296	0.31905307666600785	0.21854753070495403	0.2200322535564484	0.3640419230057592	0.27195847093367603
f1pp	0.26093528689054785	0.30594951419965805	0.23913148629360761	0.16459268183604708	0.15148145439543248	0.0	0.14248639282364003	0.18214870311914277	0.1740621087724519	0.14787323589685217	0.23425598977075734	0.21456453783157498	0.19551374966805363	0.316614516295201	0.207964105815727	0.17252219441309005	0.17058253935024065	0.3456745286741557	0.36426872341963934	0.2704921051685624	0.3020912246525381	0.19523521411531689	0.205731890953868	0.17694564586046468	0.16902089356345534	0.21541861936789233	0.3039360419791577	0.28233219172974877	0.2742724559851838	0.20835770686626165	0.24876144074713596	0.2024065059332038	0.19954654554201626	0.16868339333004817	0.3686977271104567	0.29167561725479413	0.3081424662353712	0.22236580521713217	0.2441808716037266	0.24212831325922474	0.26011370914729776	0.27079594591370093	0.2277757982311295	0.2264096362367422	0.3386079633343523	0.28792353023126016	0.32173485386893275	0.3243346904962388	0.4297612737749048	0.42140053566574376	0.23268485817542778	0.20814588146812293	0.21047986991117518	0.2967229076864013	0.30428827049833335	0.31159265738001407	0.22695802833734408	0.2018226672988549	0.25140839251844604	0.2714421797866253	0.3798311133390052	0.32945360673415036	0.32944001916717036	0.20054424002745036	0.25844951970073005	0.24263494689844978	0.17018769764331185	0.3130913701420901	0.21258582418103628	0.21407054703253064	0.35808021648184146	0.2659967644097583
w31pp	0.27413845383591195	0.31915268114502215	0.25233465323897175	0.1777958487814112	0.1646846213407966	0.14248639282364003	0.0	0.19535187006450688	0.187265275717816	0.16107640284221628	0.24745915671612145	0.22776770477693908	0.20871691661341774	0.3298176832405651	0.2211672727610911	0.18572536135845416	0.18378570629560476	0.35887769561951977	0.3774718903650035	0.28369527211392653	0.3152943915979022	0.208438381060681	0.21893505789923212	0.1901488128058288	0.18222406050881945	0.22862178631325644	0.31713920892452185	0.2955353586751128	0.28747562293054796	0.22156087381162576	0.2619646076925001	0.21560967287856792	0.21274971248738037	0.18188656027541228	0.38190089405582084	0.30487878420015824	0.3213456331807353	0.23556897216249628	0.2573840385490907	0.25533148020458885	0.27331687609266186	0.28399911285906504	0.24097896517649361	0.23961280318210632	0.35181113027971644	0.3011266971766243	0.3349380208142969	0.3375378574416029	0.44296444072026886	0.4346037026111078	0.2458880251207919	0.22134904841348704	0.22368303685653929	0.3099260746317654	0.31749143744369746	0.32479582432537824	0.24016119528270818	0.215025834244219	0.2646115594638102	0.2846453467319894	0.3930342802843694	0.3426567736795144	0.3426431861125345	0.21374740697281447	0.2716526866460941	0.2558381138438139	0.18339086458867596	0.3262945370874542	0.22578899112640038	0.22727371397789475	0.37128338342720557	0.2791999313551224
w9pp	0.2600229557200332	0.3050371830291434	0.238219155123093	0.16368035066553246	0.18811040964306053	0.18214870311914277	0.19535187006450688	0.0	0.15133277304156267	0.12514390016596294	0.2333436586002427	0.21365220666106033	0.19460141849753898	0.3157021851246864	0.20705177464521238	0.17160986324257543	0.16967020817972603	0.34476219750364107	0.36335639224912475	0.2695797739980478	0.3011788934820235	0.19432288294480227	0.2048195597833534	0.17603331468995007	0.16810856239294075	0.21450628819737771	0.3030237108086431	0.2814198605592341	0.2733601248146692	0.20744537569574703	0.24784910957662135	0.2014941747626892	0.19863421437150164	0.16777106215953355	0.3677853959399421	0.2907632860842795	0.3072301350648566	0.22145347404661753	0.24326854043321197	0.24121598208871015	0.2592013779767831	0.26988361474318634	0.2268634670606149	0.22549730506622762	0.3376956321638377	0.28701119906074557	0.32082252269841816	0.32342235932572416	0.42884894260439016	0.4204882044952291	0.2317725270049132	0.20723355029760832	0.20956753874066056	0.2958105765158867	0.3033759393278187	0.3106803262094995	0.22604569716682948	0.20091033612834028	0.25049606134793145	0.2705298486161107	0.3789187821684906	0.3285412755636357	0.32852768799665577	0.19963190885693574	0.2575371885302154	0.24172261572793516	0.16927536647279723	0.3121790389715755	0.21167349301052166	0.21315821586201603	0.3571678853113268	0.26508443323924363
f17ppA	0.2519363613733423	0.2969505886824525	0.2301325607764021	0.15559375631884156	0.18002381529636963	0.1740621087724519	0.187265275717816	0.15133277304156267	0.0	0.09574778128017276	0.22525706425355185	0.20556561231436948	0.18651482415084814	0.3076155907779955	0.1989651802985215	0.16352326889588456	0.16158361383303516	0.3366756031569502	0.35526979790243385	0.26149317965135693	0.29309229913533263	0.1862362885981114	0.19673296543666252	0.1679467203432592	0.16002196804624985	0.20641969385068684	0.2949371164619522	0.2733332662125433	0.2652735304679783	0.19935878134905616	0.23976251522993047	0.19340758041599831	0.19054762002481077	0.15968446781284268	0.3596988015932512	0.28267669173758864	0.29914354071816573	0.21336687969992668	0.2351819460865211	0.23312938774201925	0.25111478363009226	0.26179702039649544	0.21877687271392401	0.21741071071953672	0.3296090378171468	0.27892460471405467	0.31273592835172725	0.3153357649790333	0.4207623482576993	0.41240161014853827	0.2236859326582223	0.19914695595091744	0.20148094439396969	0.2877239821691958	0.29528934498112785	0.3025937318628086	0.21795910282013858	0.1928237417816494	0.24240946700124058	0.26244325426941983	0.3708321878217997	0.32045468121694487	0.32044109364996487	0.19154531451024487	0.2494505941835245	0.23363602138124429	0.16118877212610633	0.3040924446248846	0.20358689866383076	0.20507162151532513	0.3490812909646359	0.25699783889255273
f9pp	0.22574748849774257	0.2707617158068528	0.20394368790080236	0.12940488344324186	0.1538349424207699	0.14787323589685217	0.16107640284221628	0.12514390016596294	0.09574778128017276	0.0	0.19906819137795212	0.17937673943876975	0.1603259512752484	0.28142671790239576	0.17277630742292177	0.13733439602028483	0.13539474095743542	0.31048673028135043	0.32908092502683417	0.2353043067757572	0.26690342625973285	0.16004741572251166	0.1705440925610628	0.14175784746765946	0.13383309517065012	0.1802308209750871	0.2687482435863525	0.24714439333694352	0.2390846575923786	0.17316990847345642	0.21357364235433074	0.16721870754039858	0.16435874714921103	0.13349559493724295	0.3335099287176515	0.2564878188619889	0.27295466784256595	0.18717800682432695	0.20899307321092137	0.2069405148664195	0.22492591075449253	0.2356081475208957	0.19258799983832428	0.19122183784393698	0.3034201649415471	0.252735731838455	0.2865470554761276	0.2891468921034336	0.3945734753820995	0.3862127372729385	0.19749705978262255	0.1729580830753177	0.17529207151836995	0.2615351092935961	0.2691004721055281	0.2764048589872089	0.19177022994453885	0.16663486890604967	0.21622059412564085	0.23625438139382007	0.34464331494620004	0.2942658083413451	0.2942522207743652	0.16535644163464513	0.22326172130792477	0.20744714850564455	0.1349998992505066	0.2779035717492849	0.17739802578823102	0.1788827486397254	0.3228924180890362	0.230808966016953
