	w15pp	f25pp	w32pp	f22ppA	f26pp	w20pp	w24pp	f20ppB	f7pp	f19pp	w3pp	f24pp	w8pp	w17pp	w9pp	f15pp	w21pp	w23pp
w15pp	0.0	0.5527673040351362	0.6238631232777678	0.3962520086868131	0.5103774029509198	0.4975332747922172	0.5101290502701437	0.5395702284667879	0.5189516650517444	0.3995543370583262	0.549135487559167	0.38947601602016013	0.5300934824654152	0.5740695877576468	0.5356830905317198	0.4077821695376624	0.430273011264849	0.4169543183275627
f25pp	0.5527673040351362	0.0	0.453096540006686	0.39886316908764563	0.5413868911703181	0.5285427630116155	0.541138538489542	0.5705797166861862	0.5499611532711427	0.4305638252777245	0.5801449757785653	0.42048550423955844	0.5611029706848135	0.6050790759770451	0.5666925787511181	0.4680248671921061	0.49051570891929275	0.5288294518456993
w32pp	0.6238631232777678	0.453096540006686	0.0	0.46995898833027727	0.6124827104129498	0.5996385822542472	0.6122343577321736	0.641675535928818	0.6210569725137745	0.5016596445203562	0.6512407950211969	0.4915813234821901	0.6321987899274453	0.6761748952196769	0.6377883979937498	0.5391206864347379	0.5616115281619245	0.5999252710883309
f22ppA	0.3962520086868131	0.39886316908764563	0.46995898833027727	0.0	0.384871595821995	0.3720274676632924	0.38462324314121876	0.41406442133786314	0.3934458579228196	0.2740485299294014	0.4236296804302421	0.2639702088912353	0.4045876753364904	0.44856378062872204	0.4101772834027949	0.31150957184378303	0.33400041357096966	0.3723141564973762
f26pp	0.5103774029509198	0.5413868911703181	0.6124827104129498	0.384871595821995	0.0	0.4247595170902062	0.45572889480846324	0.4851700730051076	0.4645515095900641	0.34515418159664585	0.49473533209748655	0.35676500638878506	0.4973824728340402	0.5413585781262718	0.5029720809003447	0.42563496610788976	0.4481258078350764	0.4864395507614829
w20pp	0.4975332747922172	0.5285427630116155	0.5996385822542472	0.3720274676632924	0.4247595170902062	0.0	0.4428847666497607	0.472325944846405	0.45170738143136147	0.33231005343794323	0.481891203938784	0.34392087823008244	0.48453834467533763	0.5285144499675692	0.4901279527416421	0.41279083794918714	0.43528167967637377	0.4735954226027803
w24pp	0.5101290502701437	0.541138538489542	0.6122343577321736	0.38462324314121876	0.45572889480846324	0.4428847666497607	0.0	0.46739179361556366	0.4467732302005201	0.3273759022071019	0.47695705270794264	0.3565166537080089	0.49713412015326397	0.5411102254454956	0.5027237282195686	0.4253866134271136	0.4478774551543002	0.4861911980807067
f20ppB	0.5395702284667879	0.5705797166861862	0.641675535928818	0.41406442133786314	0.4851700730051076	0.472325944846405	0.46739179361556366	0.0	0.3802005203652665	0.32469286848153456	0.4742740189823753	0.3859578319046532	0.5265752983499083	0.57055140364214	0.5321649064162128	0.45482779162375786	0.4773186333509445	0.515632376277351
f7pp	0.5189516650517444	0.5499611532711427	0.6210569725137745	0.3934458579228196	0.4645515095900641	0.45170738143136147	0.4467732302005201	0.3802005203652665	0.0	0.304074305066491	0.4536554555673318	0.3653392684896096	0.5059567349348648	0.5499328402270964	0.5115463430011693	0.4342092282087143	0.45670006993590095	0.4950138128623075
f19pp	0.3995543370583262	0.4305638252777245	0.5016596445203562	0.2740485299294014	0.34515418159664585	0.33231005343794323	0.3273759022071019	0.32469286848153456	0.304074305066491	0.0	0.3111187067574928	0.24594194049619145	0.3865594069414466	0.4305355122336782	0.3921490150077511	0.31481190021529615	0.3373027419424828	0.3756164848688893
w3pp	0.549135487559167	0.5801449757785653	0.6512407950211969	0.4236296804302421	0.49473533209748655	0.481891203938784	0.47695705270794264	0.4742740189823753	0.4536554555673318	0.3111187067574928	0.0	0.3955230909970322	0.5361405574422873	0.5801166627345189	0.5417301655085919	0.4643930507161369	0.48688389244332353	0.5251976353697301
f24pp	0.38947601602016013	0.42048550423955844	0.4915813234821901	0.2639702088912353	0.35676500638878506	0.34392087823008244	0.3565166537080089	0.3859578319046532	0.3653392684896096	0.24594194049619145	0.3955230909970322	0.0	0.33449943292216794	0.37847553821439955	0.3400890409884725	0.30473357917713007	0.3272244209043167	0.36553816383072324
w8pp	0.5300934824654152	0.5611029706848135	0.6321987899274453	0.4045876753364904	0.4973824728340402	0.48453834467533763	0.49713412015326397	0.5265752983499083	0.5059567349348648	0.3865594069414466	0.5361405574422873	0.33449943292216794	0.0	0.4780128771419091	0.439626379915982	0.44535104562238514	0.4678418873495718	0.5061556302759783
w17pp	0.5740695877576468	0.6050790759770451	0.6761748952196769	0.44856378062872204	0.5413585781262718	0.5285144499675692	0.5411102254454956	0.57055140364214	0.5499328402270964	0.4305355122336782	0.5801166627345189	0.37847553821439955	0.4780128771419091	0.0	0.3972180474249589	0.48932715091461676	0.5118179926418034	0.5501317355682099
w9pp	0.5356830905317198	0.5666925787511181	0.6377883979937498	0.4101772834027949	0.5029720809003447	0.4901279527416421	0.5027237282195686	0.5321649064162128	0.5115463430011693	0.3921490150077511	0.5417301655085919	0.3400890409884725	0.439626379915982	0.3972180474249589	0.0	0.45094065368868974	0.47343149541587637	0.5117452383422829
f15pp	0.4077821695376624	0.4680248671921061	0.5391206864347379	0.31150957184378303	0.42563496610788976	0.41279083794918714	0.4253866134271136	0.45482779162375786	0.4342092282087143	0.31481190021529615	0.4643930507161369	0.30473357917713007	0.44535104562238514	0.48932715091461676	0.45094065368868974	0.0	0.27799629095093503	0.3838443173482255
w21pp	0.430273011264849	0.49051570891929275	0.5616115281619245	0.33400041357096966	0.4481258078350764	0.43528167967637377	0.4478774551543002	0.4773186333509445	0.45670006993590095	0.3373027419424828	0.48688389244332353	0.3272244209043167	0.4678418873495718	0.5118179926418034	0.47343149541587637	0.27799629095093503	0.0	0.4063351590754121
w23pp	0.4169543183275627	0.5288294518456993	0.5999252710883309	0.3723141564973762	0.4864395507614829	0.4735954226027803	0.4861911980807067	0.515632376277351	0.4950138128623075	0.3756164848688893	0.5251976353697301	0.36553816383072324	0.5061556302759783	0.5501317355682099	0.5117452383422829	0.3838443173482255	0.4063351590754121	0.0
