	S15Hp	S1Hp	s28pp	s17pp	w9pp	S9H1	s29pp	s30pp	w30pp	S18H1	s11pp	s25pp	f16ppA	S13Hp	s27pp
S15Hp	0.0	0.5700700890521382	0.5340882404723662	0.6062216866239056	0.6062216866239056	0.6602741505980505	0.5995124950542272	0.3785371462228426	0.35879562422860073	0.6705010225017362	0.4566895555034919	0.403167817725943	0.44378504786026485	0.24285219616703702	0.24144673178157944
S1Hp	0.5700700890521382	0.0	1.0453663070009669	1.1174997531525062	1.1174997531525062	1.171552217126651	1.1107905615828277	0.8898152127514432	0.8700736907572013	1.1817790890303366	0.9679676220320924	0.9144458842545435	0.9550631143888654	0.7541302626956375	0.75272479831018
s28pp	0.5340882404723662	1.0453663070009669	0.0	0.3190226501293071	0.3190226501293071	0.37307511410345195	0.31231345855962866	0.32583392318430254	0.30609240119006065	0.7038764715601802	0.49006500456193586	0.43654326678438704	0.4771604969187088	0.35465231979903816	0.36201771420988815
s17pp	0.6062216866239056	1.1174997531525062	0.3190226501293071	0.0	2.00000100005818e-06	0.21299865623720451	0.29334973210119986	0.39796736933584187	0.3782258473416	0.7760099177117195	0.5621984507134752	0.5086767129359263	0.5492939430702481	0.4267857659505775	0.43415116036142753
w9pp	0.6062216866239056	1.1174997531525062	0.3190226501293071	2.00000100005818e-06	0.0	0.21299865623720451	0.29334973210119986	0.39796736933584187	0.3782258473416	0.7760099177117195	0.5621984507134752	0.5086767129359263	0.5492939430702481	0.4267857659505775	0.43415116036142753
S9H1	0.6602741505980505	1.171552217126651	0.37307511410345195	0.21299865623720451	0.21299865623720451	0.0	0.3474021960753447	0.45201983330998685	0.4322783113157449	0.8300623816858643	0.61625091468762	0.5627291769100713	0.603346407044393	0.4808382299247224	0.4882036243355724
s29pp	0.5995124950542272	1.1107905615828277	0.31231345855962866	0.29334973210119986	0.29334973210119986	0.3474021960753447	0.0	0.39125817776616345	0.37151665577192156	0.769300726142041	0.5554892591437968	0.5019675213662479	0.5425847515005697	0.42007657438089907	0.4274419687917491
s30pp	0.3785371462228426	0.8898152127514432	0.32583392318430254	0.39796736933584187	0.39796736933584187	0.45201983330998685	0.39125817776616345	0.0	0.021965969299170652	0.5483253773106564	0.3345139103124122	0.28099217253486336	0.32160940266918514	0.1991012255495145	0.20646661996036456
w30pp	0.35879562422860073	0.8700736907572013	0.30609240119006065	0.3782258473416	0.3782258473416	0.4322783113157449	0.37151665577192156	0.021965969299170652	0.0	0.5285838553164146	0.3147723883181703	0.26125065054062147	0.30186788067494325	0.1793597035552726	0.18672509796612263
S18H1	0.6705010225017362	1.1817790890303366	0.7038764715601802	0.7760099177117195	0.7760099177117195	0.8300623816858643	0.769300726142041	0.5483253773106564	0.5285838553164146	0.0	0.3107142263393021	0.4331991368538948	0.4738163669882166	0.491065101828408	0.49843049623925806
s11pp	0.4566895555034919	0.9679676220320924	0.49006500456193586	0.5621984507134752	0.5621984507134752	0.61625091468762	0.5554892591437968	0.3345139103124122	0.3147723883181703	0.3107142263393021	0.0	0.2193876698556505	0.2600048999899723	0.27725363483016374	0.2846190292410138
s25pp	0.403167817725943	0.9144458842545435	0.43654326678438704	0.5086767129359263	0.5086767129359263	0.5627291769100713	0.5019675213662479	0.28099217253486336	0.26125065054062147	0.4331991368538948	0.2193876698556505	0.0	0.04365254913654819	0.2237318970526149	0.23109729146346494
f16ppA	0.44378504786026485	0.9550631143888654	0.4771604969187088	0.5492939430702481	0.5492939430702481	0.603346407044393	0.5425847515005697	0.32160940266918514	0.30186788067494325	0.4738163669882166	0.2600048999899723	0.04365254913654819	0.0	0.2643491271869367	0.27171452159778675
S13Hp	0.24285219616703702	0.7541302626956375	0.35465231979903816	0.4267857659505775	0.4267857659505775	0.4808382299247224	0.42007657438089907	0.1991012255495145	0.1793597035552726	0.491065101828408	0.27725363483016374	0.2237318970526149	0.2643491271869367	0.0	0.07078166990455892
s27pp	0.24144673178157944	0.75272479831018	0.36201771420988815	0.43415116036142753	0.43415116036142753	0.4882036243355724	0.4274419687917491	0.20646661996036456	0.18672509796612263	0.49843049623925806	0.2846190292410138	0.23109729146346494	0.27171452159778675	0.07078166990455892	0.0
