	S15Hp	f32pp	w21pp	f16ppB	f20ppB	s25pp	S18H1	S1Hp	f8pp	f16ppA	s22pp	f31pp	w10pp	f9pp	w15pp	f6ppA	w16pp	s1pp	w6pp	w9pp	w12pp	f14ppB
S15Hp	0.0	0.24628764194226774	0.3529740795575106	0.3429097901238277	0.40070335185612727	0.522119213188833	0.7227738982079532	0.3480747548819113	0.4220268861841643	0.39651876985078627	0.4787551465004455	0.2520194751551681	0.342241562291588	0.21102132149780695	0.24024129182125664	0.3508331228179662	0.3414597552907066	0.3645735475885594	0.37832286563362283	0.3398479211626184	0.20769307346479954	0.273104564242931
f32pp	0.24628764194226774	0.0	0.4675295023544182	0.45746521292073533	0.5152587746530348	0.6366746359857407	0.8373293210048609	0.4626301776788189	0.536582308981072	0.5110741926476939	0.5933105692973532	0.36657489795207576	0.4567969850884956	0.3255767442947146	0.3547967146181643	0.46538854561487386	0.45601517808761427	0.4791289703854671	0.49287828843053044	0.4544033439595261	0.32224849626170715	0.3876599870398386
w21pp	0.3529740795575106	0.4675295023544182	0.0	0.2864816689592645	0.451016631376272	0.5724324927089779	0.7730871777280981	0.39838803440205606	0.4723401657043091	0.44683204937093113	0.5290684260205902	0.3023327546753129	0.3925548418117327	0.29151177940144174	0.32073174972489144	0.431323580721601	0.42195021319434145	0.44506400549219427	0.45881332353725757	0.4535537674368502	0.37290705052853285	0.4383185413066643
f16ppB	0.3429097901238277	0.45746521292073533	0.2864816689592645	0.0	0.4409523419425892	0.562368203275295	0.7630228882944152	0.38832374496837324	0.4622758762706263	0.43676775993724826	0.5190041365869075	0.2922684652416301	0.3824905523780499	0.2814474899677589	0.3106674602912086	0.42125929128791817	0.4118859237606586	0.4349997160585114	0.4487490341035747	0.4434894780031674	0.36284276109485	0.42825425187298144
f20ppB	0.40070335185612727	0.5152587746530348	0.451016631376272	0.4409523419425892	0.0	0.4955615358185847	0.696216220837705	0.3215170775116629	0.3954692088139159	0.43856282554825005	0.5207992021979093	0.2940635308526318	0.3965664165869723	0.3392410517000584	0.3684610220235081	0.47905285302021766	0.4696794854929581	0.49279327779081095	0.5065425958358742	0.5012830397354668	0.4206363228271495	0.486047813605281
s25pp	0.522119213188833	0.6366746359857407	0.5724324927089779	0.562368203275295	0.4955615358185847	0.0	0.5976480620196959	0.31859080350636454	0.4900386240703068	0.5599786868809559	0.6422150635306151	0.4154793921853377	0.5179822779196781	0.46065691303276424	0.48987688335621393	0.6004687143529235	0.5910953468256639	0.6142091391235167	0.62795845716858	0.6226989010681727	0.5420521841598553	0.6074636749379868
S18H1	0.7227738982079532	0.8373293210048609	0.7730871777280981	0.7630228882944152	0.696216220837705	0.5976480620196959	0.0	0.5192454885254848	0.690693309089427	0.7606333719000761	0.8428697485497353	0.6161340772044579	0.7186369629387983	0.6613115980518844	0.6905315683753341	0.8011233993720437	0.7917500318447841	0.8148638241426369	0.8286131421877002	0.8233535860872929	0.7427068691789755	0.808118359957107
S1Hp	0.3480747548819113	0.4626301776788189	0.39838803440205606	0.38832374496837324	0.3215170775116629	0.31859080350636454	0.5192454885254848	0.0	0.315994165763385	0.3859342285740341	0.4681706052236933	0.24143493387841589	0.3439378196127563	0.2866124547258425	0.3158324250492922	0.42642425604600176	0.41705088851874217	0.440164680816595	0.4539139988616583	0.448654442761251	0.36800772585293356	0.43341921663106503
f8pp	0.4220268861841643	0.536582308981072	0.4723401657043091	0.4622758762706263	0.3954692088139159	0.4900386240703068	0.690693309089427	0.315994165763385	0.0	0.45988635987628707	0.5421227365259462	0.31538706518066884	0.4178899509150093	0.3605645860280955	0.3897845563515452	0.5003763873482547	0.49100301982099515	0.514116812118848	0.5278661301639113	0.522606574063504	0.4419598571551866	0.5073713479333181
f16ppA	0.39651876985078627	0.5110741926476939	0.44683204937093113	0.43676775993724826	0.43856282554825005	0.5599786868809559	0.7606333719000761	0.3859342285740341	0.45988635987628707	0.0	0.4081485160763504	0.2592414326245409	0.39238183458163134	0.3350564696947175	0.36427644001816717	0.4748682710148767	0.46549490348761713	0.48860869578546995	0.5023580138305332	0.49709845773012595	0.4164517408218086	0.48186323159994005
s22pp	0.4787551465004455	0.5933105692973532	0.5290684260205902	0.5190041365869075	0.5207992021979093	0.6422150635306151	0.8428697485497353	0.4681706052236933	0.5421227365259462	0.4081485160763504	0.0	0.34147780927420013	0.47461821123129055	0.4172928463443767	0.4465128166678264	0.5571046476645359	0.5477312801372763	0.5708450724351292	0.5845943904801925	0.5793348343797852	0.4986881174714678	0.5640996082495993
f31pp	0.2520194751551681	0.36657489795207576	0.3023327546753129	0.2922684652416301	0.2940635308526318	0.4154793921853377	0.6161340772044579	0.24143493387841589	0.31538706518066884	0.2592414326245409	0.34147780927420013	0.0	0.2478825398860131	0.1905571749990993	0.219777145322549	0.33036897631925854	0.32099560879199895	0.3441094010898518	0.35785871913491507	0.3525991630345078	0.2719524461261904	0.33736393690432187
w10pp	0.342241562291588	0.4567969850884956	0.3925548418117327	0.3824905523780499	0.3965664165869723	0.5179822779196781	0.7186369629387983	0.3439378196127563	0.4178899509150093	0.39238183458163134	0.47461821123129055	0.2478825398860131	0.0	0.2807792621355192	0.3099992324589689	0.4205910634556784	0.41121769592841884	0.43433148822627166	0.44808080627133495	0.44282125017092766	0.36217453326261023	0.4275860240407417
f9pp	0.21102132149780695	0.3255767442947146	0.29151177940144174	0.2814474899677589	0.3392410517000584	0.46065691303276424	0.6613115980518844	0.2866124547258425	0.3605645860280955	0.3350564696947175	0.4172928463443767	0.1905571749990993	0.2807792621355192	0.0	0.07662078043976073	0.23906224792142172	0.22968888039416216	0.25280267269201495	0.26655199073707825	0.31160100937714663	0.23095429246882926	0.2963657832469607
w15pp	0.24024129182125664	0.3547967146181643	0.32073174972489144	0.3106674602912086	0.3684610220235081	0.48987688335621393	0.6905315683753341	0.3158324250492922	0.3897845563515452	0.36427644001816717	0.4465128166678264	0.219777145322549	0.3099992324589689	0.07662078043976073	0.0	0.2682822182448714	0.2589088507176118	0.28202264301546465	0.29577196106052794	0.3408209797005963	0.26017426279227895	0.3255857535704104
f6ppA	0.3508331228179662	0.46538854561487386	0.431323580721601	0.42125929128791817	0.47905285302021766	0.6004687143529235	0.8011233993720437	0.42642425604600176	0.5003763873482547	0.4748682710148767	0.5571046476645359	0.33036897631925854	0.4205910634556784	0.23906224792142172	0.2682822182448714	0.0	0.33259290016136656	0.3557066924592194	0.3694560105042827	0.4514128106973059	0.3707660937889885	0.43617758456711997
w16pp	0.3414597552907066	0.45601517808761427	0.42195021319434145	0.4118859237606586	0.4696794854929581	0.5910953468256639	0.7917500318447841	0.41705088851874217	0.49100301982099515	0.46549490348761713	0.5477312801372763	0.32099560879199895	0.41121769592841884	0.22968888039416216	0.2589088507176118	0.33259290016136656	0.0	0.3198925799492499	0.3336418979943132	0.4420394431700463	0.3613927262617289	0.4268042170398604
s1pp	0.3645735475885594	0.4791289703854671	0.44506400549219427	0.4349997160585114	0.49279327779081095	0.6142091391235167	0.8148638241426369	0.440164680816595	0.514116812118848	0.48860869578546995	0.5708450724351292	0.3441094010898518	0.43433148822627166	0.25280267269201495	0.28202264301546465	0.3557066924592194	0.3198925799492499	0.0	0.30356898245792796	0.4651532354678991	0.38450651855958173	0.4499180093377132
w6pp	0.37832286563362283	0.49287828843053044	0.45881332353725757	0.4487490341035747	0.5065425958358742	0.62795845716858	0.8286131421877002	0.4539139988616583	0.5278661301639113	0.5023580138305332	0.5845943904801925	0.35785871913491507	0.44808080627133495	0.26655199073707825	0.29577196106052794	0.3694560105042827	0.3336418979943132	0.30356898245792796	0.0	0.47890255351296246	0.3982558366046451	0.46366732738277655
w9pp	0.3398479211626184	0.4544033439595261	0.4535537674368502	0.4434894780031674	0.5012830397354668	0.6226989010681727	0.8233535860872929	0.448654442761251	0.522606574063504	0.49709845773012595	0.5793348343797852	0.3525991630345078	0.44282125017092766	0.31160100937714663	0.3408209797005963	0.4514128106973059	0.4420394431700463	0.4651532354678991	0.47890255351296246	0.0	0.35978089213364073	0.4251923829117722
w12pp	0.20769307346479954	0.32224849626170715	0.37290705052853285	0.36284276109485	0.4206363228271495	0.5420521841598553	0.7427068691789755	0.36800772585293356	0.4419598571551866	0.4164517408218086	0.4986881174714678	0.2719524461261904	0.36217453326261023	0.23095429246882926	0.26017426279227895	0.3707660937889885	0.3613927262617289	0.38450651855958173	0.3982558366046451	0.35978089213364073	0.0	0.22704346497416072
f14ppB	0.273104564242931	0.3876599870398386	0.4383185413066643	0.42825425187298144	0.486047813605281	0.6074636749379868	0.808118359957107	0.43341921663106503	0.5073713479333181	0.48186323159994005	0.5640996082495993	0.33736393690432187	0.4275860240407417	0.2963657832469607	0.3255857535704104	0.43617758456711997	0.4268042170398604	0.4499180093377132	0.46366732738277655	0.4251923829117722	0.22704346497416072	0.0
