	w2pp	s2pp	w4pp	s27pp	f8pp	S12Hp	s12pp	s18pp	s24pp	s19pp	s14pp	w14pp	s31pp	s29pp	s22pp	S26Hp	s26pp	s15pp	S15Hp	s20pp	s8pp
w2pp	0.0	0.1329234362120502	0.3388453744069272	0.35473419675910245	0.33081817569361016	0.5964887539086434	0.584328430283915	0.5146304598887903	0.4524681048037357	0.558573607421592	0.531048125021089	0.5194996623822811	0.5205023485993301	0.5035371420485	0.6125149267255237	0.5563443883329232	0.5886280381168616	0.6593569877614638	0.5818786459963934	0.4746059148992437	0.334446674343768
s2pp	0.1329234362120502	0.0	0.3362390585032917	0.352127880855467	0.3282118597899747	0.5938824380050081	0.5817221143802795	0.5120241439851548	0.44986178890010026	0.5559672915179565	0.5284418091174535	0.5168933464786456	0.5178960326956945	0.5009308261448644	0.6099086108218883	0.5537380724292877	0.586021722213226	0.6567506718578282	0.579272330092758	0.4719995989956082	0.33184035844013254
w4pp	0.3388453744069272	0.3362390585032917	0.0	0.31671949061587334	0.292803469550381	0.5584740477654144	0.5463137241406859	0.4766157537455612	0.4144533986605066	0.5205589012783629	0.4930334188778599	0.48148495623905196	0.48248764245610093	0.4655224359052708	0.5745002205822947	0.5183296821896941	0.5506133319736324	0.6213422816182346	0.5438639398531644	0.4365912087560146	0.3402436972796197
s27pp	0.35473419675910245	0.352127880855467	0.31671949061587334	0.0	0.24997228280990935	0.5156428610249427	0.5034825374002143	0.4337845670050896	0.371622211920035	0.4777277145378913	0.4502022321373883	0.43865376949858037	0.4396564557156293	0.42269124916479917	0.531669033841823	0.4754984954492225	0.5077821452331608	0.578511094877763	0.5010327531126927	0.39376002201554294	0.3561325196317949
f8pp	0.33081817569361016	0.3282118597899747	0.292803469550381	0.24997228280990935	0.0	0.44155540412020944	0.429395080495481	0.35969711010035627	0.2975347550153017	0.403640257633158	0.37611477523265496	0.36456631259384703	0.365568998810896	0.3486037922600659	0.4575815769370897	0.4014110385444892	0.4336946883284275	0.5044236379730297	0.4269452962079594	0.31967256511080966	0.33221649856630253
S12Hp	0.5964887539086434	0.5938824380050081	0.5584740477654144	0.5156428610249427	0.44155540412020944	0.0	0.29115817850352305	0.3046477151392764	0.48901345691953635	0.635328425561098	0.6078029431605949	0.5962544805217871	0.597257166738836	0.5802919601880059	0.6892697448650297	0.6330992064724292	0.6653828562563675	0.7361118059009697	0.6586334641358994	0.5513607330387497	0.5978870767813359
s12pp	0.584328430283915	0.5817221143802795	0.5463137241406859	0.5034825374002143	0.429395080495481	0.29115817850352305	0.0	0.29248739151454795	0.4768531332948079	0.6231681019363695	0.5956426195358665	0.5840941568970586	0.5850968431141075	0.5681316365632775	0.6771094212403013	0.6209388828477007	0.653222532631639	0.7239514822762412	0.646473140511171	0.5392004094140213	0.5857267531566075
s18pp	0.5146304598887903	0.5120241439851548	0.4766157537455612	0.4337845670050896	0.35969711010035627	0.3046477151392764	0.29248739151454795	0.0	0.4071551628996832	0.5534701315412448	0.5259446491407418	0.5143961865019339	0.5153988727189829	0.49843366616815277	0.6074114508451764	0.551240912452576	0.5835245622365144	0.6542535118811166	0.5767751701160462	0.4695024390188965	0.5160287827614827
s24pp	0.4524681048037357	0.44986178890010026	0.4144533986605066	0.371622211920035	0.2975347550153017	0.48901345691953635	0.4768531332948079	0.4071551628996832	0.0	0.4913077764561902	0.4637822940556872	0.4522338314168793	0.45323651763392825	0.43627131108309813	0.5452490957601219	0.4890785573675214	0.5213622071514598	0.592091156796062	0.5146128150309917	0.4073400839338419	0.45386642767642815
s19pp	0.558573607421592	0.5559672915179565	0.5205589012783629	0.4777277145378913	0.403640257633158	0.635328425561098	0.6231681019363695	0.5534701315412448	0.4913077764561902	0.0	0.3850888970798587	0.3735404344410508	0.4492879518898543	0.43232274533902426	0.6043771010227048	0.5482065626301043	0.5804902124140425	0.6512191620586447	0.5737408202935745	0.4664680891964248	0.5599719302942845
