	w13pp	S17H1	f2pp	f8pp	S20H1	S22Hp	f6ppA	S18H1	31267	S1Hp	f31pp	w16pp	S13Hp	s32pp	w3pp	w23pp	S15Hp
w13pp	0.0	0.26845997812598027	0.1834146701571501	0.15273587970345714	0.4135544580707833	0.4459622213975326	0.2677099341169994	0.4032923312993083	0.5753705868627835	0.6647556765608236	0.2564942366620802	0.2590937020463394	0.22008934114063777	0.37097193932623773	0.18760475178967395	0.22585010333869776	0.2911319811703019
S17H1	0.26845997812598027	0.0	0.2939806624002072	0.2633018719465143	0.5241204503138405	0.5565282136405898	0.3782759263600565	0.5138583235423655	0.6859365791058407	0.7753216688038808	0.36706022890513734	0.36965969428939655	0.3306553333836949	0.4815379315692948	0.2981707440327311	0.3364160955817549	0.401697973413359
f2pp	0.1834146701571501	0.2939806624002072	0.0	0.14619742562525362	0.40701600399257976	0.4394237673193291	0.26117148003879587	0.3967538772211048	0.56883213278458	0.65821722248262	0.24995578258387668	0.2525552479681359	0.21355088706243425	0.3644334852480342	0.18106629771147043	0.21931164926049423	0.2845935270920984
f8pp	0.15273587970345714	0.2633018719465143	0.14619742562525362	0.0	0.2974511150080148	0.3298588783347641	0.1516065910542309	0.2871889882365398	0.45926724380001505	0.5486523334980552	0.14039089359931176	0.14299035898357096	0.10398599807786932	0.25486859626346925	0.07150140872690547	0.13953897455869782	0.22947219554469303
S20H1	0.4135544580707833	0.5241204503138405	0.40701600399257976	0.2974511150080148	0.0	0.43711415124658926	0.3227850525661017	0.4583674497484106	0.6517927925408457	0.7411778822388859	0.3329164423401424	0.38018155810280174	0.34117719719710016	0.49205979538270006	0.3086926078461363	0.40035755292602393	0.4902907739120192
S22Hp	0.4459622213975326	0.5565282136405898	0.4394237673193291	0.3298588783347641	0.43711415124658926	0.0	0.355192815892851	0.4907752130751599	0.684200555867595	0.7735856455656351	0.3653242056668917	0.41258932142955107	0.3735849605238495	0.5244675587094494	0.3411003711728856	0.43276531625277326	0.5226985372387685
f6ppA	0.2677099341169994	0.3782759263600565	0.26117148003879587	0.1516065910542309	0.3227850525661017	0.355192815892851	0.0	0.28559164426497025	0.5059482685870618	0.595333358285102	0.1870719183863585	0.2343370341490179	0.19533267324331627	0.34621527142891617	0.16284808389235242	0.25451302897224004	0.34444624995823525
S18H1	0.4032923312993083	0.5138583235423655	0.3967538772211048	0.2871889882365398	0.4583674497484106	0.4907752130751599	0.28559164426497025	0.0	0.6415306657693707	0.7309157554674108	0.3226543155686674	0.36991943133132676	0.3309150704256252	0.4817976686112251	0.2984304810746613	0.39009542615454895	0.4800286471405442
31267	0.5753705868627835	0.6859365791058407	0.56883213278458	0.45926724380001505	0.6517927925408457	0.684200555867595	0.5059482685870618	0.6415306657693707	0.0	0.49378514825805025	0.46851422658642905	0.541997686894802	0.5029933259891004	0.6538759241747003	0.4705087366381365	0.5621736817180242	0.6521069027040194
S1Hp	0.6647556765608236	0.7753216688038808	0.65821722248262	0.5486523334980552	0.7411778822388859	0.7735856455656351	0.595333358285102	0.7309157554674108	0.49378514825805025	0.0	0.5578993162844692	0.6313827765928421	0.5923784156871406	0.7432610138727405	0.5598938263361767	0.6515587714160642	0.7414919924020595
f31pp	0.2564942366620802	0.36706022890513734	0.24995578258387668	0.14039089359931176	0.3329164423401424	0.3653242056668917	0.1870719183863585	0.3226543155686674	0.46851422658642905	0.5578993162844692	0.0	0.22312133669409873	0.18411697578839709	0.33499957397399704	0.15163238643743324	0.2432973315173209	0.3332305525033161
w16pp	0.2590937020463394	0.36965969428939655	0.2525552479681359	0.14299035898357096	0.38018155810280174	0.41258932142955107	0.2343370341490179	0.36991943133132676	0.541997686894802	0.6313827765928421	0.22312133669409873	0.0	0.14946931852279433	0.3003519167083943	0.1169847291718305	0.2458967969015801	0.33583001788757527
S13Hp	0.22008934114063777	0.3306553333836949	0.21355088706243425	0.10398599807786932	0.34117719719710016	0.3735849605238495	0.19533267324331627	0.3309150704256252	0.5029933259891004	0.5923784156871406	0.18411697578839709	0.14946931852279433	0.0	0.19188363967981814	0.058820210069395217	0.20689243599587845	0.2968256569818737
s32pp	0.37097193932623773	0.4815379315692948	0.3644334852480342	0.25486859626346925	0.49205979538270006	0.5244675587094494	0.34621527142891617	0.4817976686112251	0.6538759241747003	0.7432610138727405	0.33499957397399704	0.3003519167083943	0.19188363967981814	0.0	0.20970280825499515	0.3577750341814784	0.4477082551674736
w3pp	0.18760475178967395	0.2981707440327311	0.18106629771147043	0.07150140872690547	0.3086926078461363	0.3411003711728856	0.16284808389235242	0.2984304810746613	0.4705087366381365	0.5598938263361767	0.15163238643743324	0.1169847291718305	0.058820210069395217	0.20970280825499515	0.0	0.1744078466449146	0.2643410676309098
w23pp	0.22585010333869776	0.3364160955817549	0.21931164926049423	0.13953897455869782	0.40035755292602393	0.43276531625277326	0.25451302897224004	0.39009542615454895	0.5621736817180242	0.6515587714160642	0.2432973315173209	0.2458967969015801	0.20689243599587845	0.3577750341814784	0.1744078466449146	0.0	0.3025864191799336
S15Hp	0.2911319811703019	0.401697973413359	0.2845935270920984	0.22947219554469303	0.4902907739120192	0.5226985372387685	0.34444624995823525	0.4800286471405442	0.6521069027040194	0.7414919924020595	0.3332305525033161	0.33583001788757527	0.2968256569818737	0.4477082551674736	0.2643410676309098	0.3025864191799336	0.0
