	f14ppB	f10pp	f1pp	F14H1A	F29H1	S12Hp	S6Hp	F6H1	w17pp	f11pp	f12ppB	f24pp	w31pp	f17ppA	f23ppB	F23HpA	S3Hp	S9H1	w27pp	530295	S18H1	S22Hp	S15Hp	f29pp	f9pp	f25pp	f28pp	f32pp	w15pp	S1Hp	S7Hp	f23ppA	f6ppB	S20H1	S13Hp	w1pp	w23pp	f30pp	f4pp	f26pp	f21pp	f22ppB	f14ppA	f16ppB	f6ppA	f8pp	f13pp	f16ppA	w12pp	w24pp	S26Hp	w11pp	w9pp	w21pp	s26pp	s11pp	s9pp	s29pp	s12pp	s18pp	w6pp	s19pp	s20pp	s8pp	s13pp	s17pp	s25pp	w30pp	s30pp	s23pp	s24pp	s32pp	w32pp	s28pp	s14pp	s7pp	s1pp	s22pp	s31pp	s27pp	s3pp	s4pp	w4pp	s15pp	s2pp	w16pp	s16pp	w28pp	w13pp	f18pp	f12ppA	w3pp	f31pp	f2pp	w10pp	f3pp	f15pp	f20ppB	w25pp
f14ppB	0.0	0.08110985156856677	0.07766332406015915	0.09775379647725833	0.17879187522055223	0.15671891701064183	0.2063193383922497	0.15219158998383148	0.07595982850671984	0.07066600552034771	0.08387362964247656	0.04351104295721937	0.04609684924744849	0.0350052333831483	0.1247750724794958	0.22459083284872633	0.2042985853428717	0.2027407253783216	0.08388001166973351	0.20072819634422473	0.17460118887897808	0.140677365947724	0.1699801697499298	0.06022711935288776	0.0409898237091927	0.07637087678160577	0.052229760618626546	0.05156424251067906	0.07264785154159954	0.2336492477244569	0.2052111483342604	0.08655175474046047	0.11768802359840864	0.15776156232354321	0.13366085264583577	0.10660926948967857	0.11291445842561283	0.09584947581442975	0.09744289890429549	0.14144572122997623	0.04738193498944636	0.11065938467048049	0.06308446943669513	0.05289391914524736	0.03335512845208223	0.03481780387035624	0.035614365168476214	0.04688517702488629	0.05139795934265189	0.11104401594582307	0.31393904401977507	0.15821552695955027	0.20553647452732166	0.2053172805937844	0.29217272401319205	0.3454355144274313	0.29616851919700793	0.34802272702072506	0.3645929727792625	0.3242847057508245	0.32443429271998425	0.33557851179804943	0.4420013585354721	0.47876020942431624	0.4165009414730387	0.40706931995616696	0.3059192226931043	0.4457875903592204	0.4465648574693612	0.4216343962726452	0.3806615261120321	0.45264946125928746	0.4608501522813977	0.3434351685263638	0.34953717143444574	0.4291649238947202	0.3760799464715842	0.40551471653869814	0.4263107760918228	0.43836671587018733	0.44927543357764493	0.39697974473703307	0.3997352097642954	0.45001412915438604	0.37191697211892366	0.3073530984679252	0.32327538230205716	0.08789333284315394	0.05279279160837564	0.02777731076472451	0.04116355946801982	0.019775541032836717	0.019932686246330183	0.01891671564916267	0.03344323865292273	0.0713240200946226	0.042647731294802066	0.03356208497936801	0.03170079406071642
f10pp	0.08110985156856677	0.0	0.07752807239580921	0.11119339924771918	0.19223147799101312	0.17015851978110272	0.21975894116271058	0.16563119275429233	0.09898926875292116	0.09369544576654903	0.11470415844193713	0.07434157175667994	0.07692737804690905	0.074766217011782	0.16453605610812952	0.26435181647736	0.2440595689715054	0.24250170900695533	0.12364099529836722	0.24048917997285846	0.2143621725076118	0.18043834957635774	0.2097411533785635	0.09998810298152147	0.0807508073378264	0.11613186041023947	0.09199074424726025	0.09132522613931277	0.11240883517023323	0.2734102313530906	0.2449721319628941	0.12631273836909418	0.15744900722704236	0.19752254595217694	0.1734218362744695	0.14637025311831228	0.15267544205424655	0.13561045944306344	0.1372038825329292	0.18120670485860993	0.08714291861808006	0.1504203682991142	0.10284545306532883	0.09265490277388107	0.07311611208071593	0.07457878749898994	0.07537534879710991	0.08664616065351999	0.0911589429712856	0.15080499957445678	0.35370002764840874	0.197976510588184	0.24529745815595538	0.24507826422241813	0.3319337076418257	0.385196498056065	0.3359295028256416	0.38778371064935874	0.4043539564078962	0.3640456893794582	0.3641952763486179	0.3753394954266831	0.4817623421641058	0.51852119305295	0.45626192510167235	0.44683030358480064	0.34568020632173796	0.48554857398785406	0.48632584109799487	0.4613953799012789	0.42042250974066575	0.49241044488792113	0.5006111359100314	0.38319615215499747	0.3892981550630794	0.4689259075233539	0.4158409301002179	0.4452757001673318	0.46607175972045645	0.478127699498821	0.4890364172062786	0.43674072836566674	0.43949619339292906	0.4897751127830197	0.41167795574755733	0.34711408209655886	0.36303636593069083	0.12765431647178765	0.09255377523700933	0.0675382943933582	0.08617536956797078	0.06478735113278769	0.07255639089162853	0.07154042029446102	0.08606694329822108	0.12394772473992094	0.09527143594010042	0.08618578962466636	0.09547751803693366
f1pp	0.07766332406015915	0.07752807239580921	0.0	0.10774687173931158	0.18878495048260552	0.16671199227269512	0.21631241365430298	0.16218466524588473	0.09554274124451353	0.09024891825814142	0.11125763093352953	0.07089504424827232	0.07348085053850144	0.07131968950337439	0.1610895285997219	0.26090528896895243	0.24061304146309778	0.2390551814985477	0.1201944677899596	0.23704265246445083	0.21091564499920418	0.1769918220679501	0.20629462587015587	0.09654157547311384	0.07730427982941879	0.11268533290183186	0.08854421673885264	0.08787869863090514	0.10896230766182563	0.269963703844683	0.24152560445448648	0.12286621086068655	0.15400247971863473	0.19407601844376932	0.16997530876606187	0.14292372560990466	0.14922891454583892	0.13216393193465584	0.13375735502452157	0.17776017735020233	0.08369639110967245	0.14697384079070658	0.09939892555692122	0.08920837526547346	0.06966958457230832	0.07113225999058233	0.07192882128870232	0.08319963314511238	0.08771241546287797	0.14735847206604916	0.3502535001400012	0.19452998307977637	0.24185093064754776	0.2416317367140105	0.32848718013341816	0.3817499705476574	0.33248297531723403	0.38433718314095117	0.4009074288994886	0.3605991618710506	0.36074874884021035	0.37189296791827553	0.4783158146556982	0.5150746655445423	0.4528153975932648	0.44338377607639307	0.3422336788133304	0.4821020464794465	0.4828793135895873	0.4579488523928713	0.4169759822322582	0.48896391737951356	0.4971646084016238	0.3797496246465899	0.38585162755467184	0.4654793800149463	0.4123944025918103	0.44182917265892424	0.4626252322120489	0.47468117199041343	0.48558988969787104	0.43329420085725917	0.4360496658845215	0.48632858527461215	0.40823142823914976	0.3436675545881513	0.35958983842228326	0.12420778896338003	0.08910724772860174	0.06409176688495061	0.08272884205956318	0.06134082362438008	0.06910986338322091	0.06809389278605339	0.08262041578981345	0.12050119723151331	0.09182490843169279	0.08273926211625873	0.09203099052852604
F14H1A	0.09775379647725833	0.11119339924771918	0.10774687173931158	0.0	0.19292525948111106	0.17085230127120063	0.22045272265280852	0.16632497424439024	0.11563321366161271	0.1103393906752406	0.1313481033506287	0.0909855166653715	0.09357132295560061	0.09141016192047358	0.18118000101682108	0.2809957613860516	0.26070351388019697	0.2591456539156469	0.14028494020705878	0.25713312488155005	0.23100611741630336	0.1970822944850493	0.22638509828725506	0.11663204789021303	0.09739475224651797	0.13277580531893104	0.10863468915595181	0.10796917104800433	0.1290527800789248	0.2900541762617822	0.26161607687158567	0.14295668327778574	0.17409295213573392	0.2141664908608685	0.19006578118316106	0.16301419802700384	0.1693193869629381	0.15225440435175502	0.15384782744162076	0.1978506497673015	0.10378686352677163	0.16706431320780576	0.11948939797402039	0.10929884768257264	0.0897600569894075	0.09122273240768151	0.09201929370580149	0.10329010556221155	0.10780288787997716	0.16744894448314834	0.37034397255710033	0.21462045549687556	0.26194140306464697	0.26172220913110966	0.3485776525505173	0.4018404429647566	0.3525734477343332	0.4044276555580503	0.42099790131658776	0.3806896342881498	0.3808392212573095	0.3919834403353747	0.4984062870727974	0.5351651379616416	0.47290587001036394	0.4634742484934922	0.36232415123042955	0.5021925188965457	0.5029697860066864	0.47803932480997047	0.43706645464935734	0.5090543897966127	0.517255080818723	0.39984009706368906	0.405942099971771	0.4855698524320455	0.4324848750089095	0.4619196450760234	0.48271570462914803	0.4947716444075126	0.5056803621149701	0.45338467327435833	0.45614013830162065	0.5064190576917114	0.4283219006562489	0.36375802700525045	0.3796803108393824	0.14429826138047921	0.10919772014570091	0.08418223930204978	0.10281931447666237	0.08143129604147926	0.0892003358003201	0.08818436520315258	0.10271088820691264	0.1405916696486125	0.11191538084879198	0.10282973453335792	0.11212146294562522
F29H1	0.17879187522055223	0.19223147799101312	0.18878495048260552	0.19292525948111106	0.0	0.2390863871932288	0.2886868085748367	0.23455906016641842	0.19667129240490663	0.1913774694185345	0.2123861820939226	0.1720235954086654	0.17460940169889452	0.1724482406637675	0.262218079760115	0.3620338401293455	0.3417415926234909	0.3401837326589408	0.2213230189503527	0.33817120362484393	0.3120441961595973	0.2781203732283432	0.307423177030549	0.19767012663350694	0.17843283098981189	0.21381388406222496	0.18967276789924573	0.18900724979129824	0.21009085882221873	0.3710922550050761	0.34265415561487955	0.22399476202107965	0.25513103087902783	0.2952045696041624	0.27110385992645497	0.24405227677029775	0.250357465706232	0.2332924830950489	0.23488590618491467	0.27888872851059543	0.18482494227006555	0.24810239195109968	0.2005274767173143	0.19033692642586655	0.17079813573270142	0.1722608111509754	0.17305737244909541	0.18432818430550546	0.18884096662327107	0.24848702322644226	0.4513820513003942	0.29565853424016947	0.34297948180794086	0.3427602878744036	0.42961573129381125	0.48287852170805046	0.43361152647762713	0.4854657343013442	0.5020359800598817	0.46172771303144367	0.46187730000060345	0.47302151907866863	0.5794443658160913	0.6162032167049354	0.5539439487536578	0.5445123272367861	0.44336222997372343	0.5832305976398395	0.5840078647499803	0.5590774035532644	0.5181045333926513	0.5900924685399066	0.5982931595620169	0.480878175806983	0.48698017871506494	0.5666079311753394	0.5135229537522034	0.5429577238193173	0.563753783372442	0.5758097231508065	0.5867184408582641	0.5344227520176522	0.5371782170449145	0.5874571364350052	0.5093599793995428	0.44479610574854433	0.4607183895826763	0.22533634012377313	0.19023579888899483	0.1652203180453437	0.18385739321995626	0.16246937478477316	0.170238414543614	0.16922244394644648	0.18374896695020657	0.2216297483919064	0.19295345959208587	0.18386781327665183	0.19315954168891913
S12Hp	0.15671891701064183	0.17015851978110272	0.16671199227269512	0.17085230127120063	0.2390863871932288	0.0	0.2466343984105061	0.19250665000208783	0.17459833419499624	0.1693045112086241	0.1903132238840122	0.149950637198755	0.15253644348898412	0.1503752824538571	0.2401451215502046	0.3399608819194351	0.3196686344135805	0.3181107744490304	0.1992500607404423	0.31609824541493353	0.2899712379496869	0.2560474150184328	0.2853502188206386	0.17559716842359654	0.1563598727799015	0.19174092585231456	0.16759980968933533	0.16693429158138784	0.18801790061230833	0.3490192967951657	0.32058119740496915	0.20192180381116925	0.23305807266911743	0.273131611394252	0.24903090171654457	0.22197931856038736	0.22828450749632162	0.2112195248851385	0.21281294797500427	0.25681577030068503	0.16275198406015515	0.22602943374118928	0.1784545185074039	0.16826396821595616	0.14872517752279102	0.15018785294106501	0.15098441423918502	0.16225522609559506	0.16676800841336067	0.22641406501653186	0.4293090930904838	0.27358557603025907	0.32090652359803046	0.3206873296644932	0.40754277308390086	0.46080556349814006	0.41153856826771673	0.4633927760914338	0.4799630218499713	0.43965475482153327	0.43980434179069305	0.45094856086875823	0.5573714076061809	0.594130258495025	0.5318709905437474	0.5224393690268757	0.42128927176381303	0.5611576394299291	0.56193490654007	0.537004445343354	0.4960315751827409	0.5680195103299962	0.5762202013521065	0.4588052175970726	0.46490722050515454	0.544534972965429	0.49144999554229296	0.5208847656094069	0.5416808251625316	0.5537367649408961	0.5646454826483537	0.5123497938077418	0.5151052588350041	0.5653841782250948	0.4872870211896324	0.42272314753863394	0.4386454313727659	0.20326338191386273	0.16816284067908444	0.1431473598354333	0.16178443501004586	0.14039641657486276	0.1481654563337036	0.14714948573653608	0.16167600874029617	0.199556790181996	0.17088050138217548	0.16179485506674143	0.17108658347900874
S6Hp	0.2063193383922497	0.21975894116271058	0.21631241365430298	0.22045272265280852	0.2886868085748367	0.2466343984105061	0.0	0.13666116507789566	0.2241987555766041	0.21890493259023197	0.23991364526562006	0.19955105858036287	0.202136864870592	0.19997570383546495	0.2897455429318124	0.389561303301043	0.3692690557951883	0.36771119583063827	0.24885048212205016	0.3656986667965414	0.33957165933129474	0.3056478364000407	0.3349506402022464	0.2251975898052044	0.20596029416150935	0.24134134723392242	0.2172002310709432	0.2165347129629957	0.2376183219939162	0.39861971817677355	0.37018161878657707	0.2515222251927771	0.2826584940507253	0.3227320327758599	0.29863132309815243	0.27157973994199525	0.2778849288779295	0.26081994626674637	0.26241336935661214	0.3064161916822929	0.212352405441763	0.27562985512279714	0.22805493988901177	0.21786438959756402	0.19832559890439888	0.19978827432267288	0.20058483562079288	0.21185564747720292	0.21636842979496854	0.27601448639813975	0.47890951447209174	0.32318599741186693	0.3705069449796383	0.37028775104610107	0.45714319446550866	0.510405984879748	0.46113898964932454	0.5129931974730417	0.5295634432315791	0.4892551762031412	0.48940476317230086	0.500548982250366	0.6069718289877888	0.6437306798766329	0.5814714119253553	0.5720397904084836	0.47088969314542095	0.610758060811537	0.6115353279216779	0.5866048667249618	0.5456319965643487	0.6176199317116041	0.6258206227337143	0.5084056389786804	0.5145076418867623	0.5941353943470369	0.5410504169239009	0.5704851869910148	0.5912812465441394	0.603337186322504	0.6142459040299616	0.5619502151893497	0.564705680216612	0.6149845996067027	0.5368874425712403	0.47232356892024185	0.4882458527543738	0.2528638032954706	0.2177632620606923	0.19274778121704117	0.21138485639165372	0.18999683795647063	0.19776587771531146	0.19674990711814394	0.21127643012190403	0.24915721156360388	0.22048092276378334	0.2113952764483493	0.2206870048606166
F6H1	0.15219158998383148	0.16563119275429233	0.16218466524588473	0.16632497424439024	0.23455906016641842	0.19250665000208783	0.13666116507789566	0.0	0.17007100716818585	0.16477718418181375	0.18578589685720184	0.14542331017194465	0.14800911646217377	0.14584795542704673	0.23561779452339424	0.3354335548926247	0.31514130738677015	0.31358344742222005	0.19472273371363194	0.3115709183881232	0.2854439109228765	0.25152008799162245	0.28082289179382824	0.1710698413967862	0.15183254575309113	0.1872135988255042	0.16307248266252497	0.16240696455457748	0.18349057358549797	0.34449196976835533	0.3160538703781588	0.1973944767843589	0.22853074564230708	0.26860428436744166	0.24450357468973422	0.217451991533577	0.22375718046951126	0.20669219785832815	0.20828562094819392	0.2522884432738747	0.1582246570333448	0.22150210671437892	0.17392719148059355	0.1637366411891458	0.14419785049598066	0.14566052591425466	0.14645708721237466	0.1577278990687847	0.16224068138655032	0.2218867379897215	0.42478176606367346	0.2690582490034487	0.3163791965712201	0.31616000263768285	0.4030154460570905	0.4562782364713297	0.4070112412409064	0.45886544906462345	0.47543569482316095	0.4351274277947229	0.4352770147638827	0.4464212338419479	0.5528440805793705	0.5896029314682146	0.5273436635169371	0.5179120420000654	0.4167619447370027	0.5566303124031188	0.5574075795132596	0.5324771183165437	0.4915042481559305	0.5634921833031858	0.5716928743252961	0.45427789057026224	0.4603798934783442	0.5400076459386186	0.4869226685154826	0.5163574385825965	0.5371534981357212	0.5492094379140857	0.5601181556215433	0.5078224667809315	0.5105779318081938	0.5608568511982844	0.48275969416282205	0.4181958205118236	0.43411810434595555	0.19873605488705237	0.16363551365227408	0.13862003280862295	0.1572571079832355	0.1358690895480524	0.14363812930689324	0.14262215870972572	0.1571486817134858	0.19502946315518566	0.16635317435536512	0.15726752803993108	0.16655925645219838
w17pp	0.07595982850671984	0.09898926875292116	0.09554274124451353	0.11563321366161271	0.19667129240490663	0.17459833419499624	0.2241987555766041	0.17007100716818585	0.0	0.077044384235958	0.10955413538009019	0.06919154869483299	0.0717773549850621	0.06961619394993507	0.15938603304628257	0.2592017934155131	0.23890954590965846	0.2373516859451084	0.11849097223652028	0.2353391569110115	0.20921214944576486	0.1752883265145108	0.20459113031671655	0.09483807991967452	0.07560078427597947	0.11098183734839254	0.0868407211854133	0.08617520307746582	0.1072588121083863	0.26826020829124364	0.23982210890104716	0.12116271530724723	0.1522989841651954	0.19237252289033	0.16827181321262255	0.14122023005646533	0.1475254189923996	0.13046043638121652	0.13205385947108225	0.17605668179676298	0.08199289555623313	0.14527034523726726	0.09769543000348188	0.08750487971203413	0.067966089018869	0.069428764437143	0.07022532573526298	0.08149613759167304	0.08600891990943865	0.14565497651260984	0.3485500045865618	0.19282648752633705	0.24014743509410844	0.23992824116057118	0.3267836845799788	0.38004647499421806	0.3307794797637947	0.3826336875875118	0.39920393334604926	0.3588956663176113	0.359045253286771	0.3701894723648362	0.4766123191022589	0.513371169991103	0.45111190203982543	0.4416802805229537	0.34053018325989104	0.48039855092600714	0.48117581803614795	0.45624535683943196	0.41527248667881883	0.4872604218260742	0.49546111284818445	0.37804612909315055	0.3841481320012325	0.46377588446150697	0.41069090703837097	0.4401256771054849	0.4609217366586095	0.4729776764369741	0.4838863941444317	0.4315907053038198	0.43434617033108214	0.4846250897211728	0.4065279326857104	0.34196405903471194	0.3578863428688439	0.1225042934099407	0.0874037521751624	0.06238827133151127	0.08102534650612386	0.05963732807094076	0.06740636782978159	0.06639039723261408	0.08091692023637415	0.118797701678074	0.09012141287825347	0.08103576656281941	0.09032749497508673
f11pp	0.07066600552034771	0.09369544576654903	0.09024891825814142	0.1103393906752406	0.1913774694185345	0.1693045112086241	0.21890493259023197	0.16477718418181375	0.077044384235958	0.0	0.10426031239371808	0.06389772570846088	0.06648353199868999	0.06432237096356294	0.15409221005991044	0.253907970429141	0.23361572292328633	0.23205786295873626	0.11319714925014815	0.23004533392463938	0.20391832645939273	0.16999450352813866	0.19929730733034443	0.0895442569333024	0.07030696128960734	0.10568801436202041	0.08154689819904119	0.08088138009109369	0.10196498912201418	0.26296638530487154	0.23452828591467503	0.1158688923208751	0.14700516117882328	0.18707869990395787	0.16297799022625042	0.1359264070700932	0.14223159600602747	0.1251666133948444	0.12676003648471013	0.17076285881039088	0.076699072569861	0.13997652225089513	0.09240160701710977	0.08221105672566201	0.06267226603249687	0.06413494145077088	0.06493150274889087	0.07620231460530093	0.08071509692306653	0.1403611535262377	0.3432561816001897	0.18753266453996492	0.2348536121077363	0.23463441817419906	0.3214898615936067	0.37475265200784597	0.3254856567774226	0.3773398646011397	0.39391011035967716	0.3536018433312392	0.3537514303003989	0.3648956493784641	0.4713184961158868	0.5080773470047308	0.44581807905345333	0.4363864575365816	0.33523636027351894	0.47510472793963504	0.47588199504977585	0.45095153385305986	0.40997866369244673	0.4819665988397021	0.49016728986181235	0.37275230610677845	0.3788543090148604	0.45848206147513487	0.40539708405199887	0.4348318541191128	0.45562791367223743	0.467683853450602	0.4785925711580596	0.4262968823174477	0.42905234734471004	0.4793312667348007	0.4012341096993383	0.33667023604833984	0.3525925198824718	0.11721047042356858	0.08210992918879029	0.05709444834513915	0.07573152351975174	0.05434350508456863	0.062112544843409466	0.06109657424624195	0.07562309725000202	0.11350387869170188	0.08482758989188134	0.07574194357644728	0.08503367198871459
