	S26Hp	S16H2	S14Hp	F8H1	S11Hp	F14H1B	s24H1	S31Hp	S9H1	F32H1	S10H1	S7Hp	S6Hp	S4Hp	S20H1	S2Hp	F29H1	F7H1	S22Hp	F6H1	S15Hp	S25Hp	S21H1
S26Hp	0.0	0.4034990838049489	0.46330623070431187	0.44159625644961586	0.41445297946384396	0.4759409846557483	0.47798660086609424	0.46884135770719493	0.471714055932697	0.4618246167866098	0.4783634351787561	0.3978441761046927	0.41049126077875175	0.411765725340007	0.4616610374019564	0.4592877851962437	0.45598504890605485	0.3980696290167148	0.41958787237962886	0.4426615008124818	0.41789535992500104	0.38074259301976227	0.3168137754736221
S16H2	0.4034990838049489	0.0	0.45067186924581604	0.4289618949911199	0.40181861800534807	0.46330662319725247	0.4653522394075984	0.4562069962486991	0.45907969447420116	0.44919025532811396	0.4657290737202602	0.38520981464619675	0.3978568993202558	0.39913136388151105	0.4490266759434606	0.44665342373774786	0.443350687447559	0.3854352675582189	0.40695351092113297	0.43002713935398595	0.4052609984665051	0.3681082315612664	0.3565226623815927
S14Hp	0.46330623070431187	0.45067186924581604	0.0	0.12755388830636571	0.2091016617044297	0.27058966689633407	0.27263528310668	0.28140595659741696	0.28427865482291903	0.27438921567683183	0.29092803406897816	0.2295853881149399	0.24223247278899895	0.2587266414225681	0.3086219534845176	0.3062487012788049	0.30294596498861603	0.24503054509927594	0.26654878846219	0.31507543377787195	0.2903092928903911	0.40376932067267357	0.41632980928095564
F8H1	0.44159625644961586	0.4289618949911199	0.12755388830636571	0.0	0.18739168744973364	0.248879692641638	0.25092530885198394	0.25969598234272095	0.26256868056822297	0.25267924142213577	0.26921805981428204	0.20787541386024383	0.2205224985343029	0.23701666716787206	0.2869119792298216	0.2845387270241089	0.28123599073391997	0.22332057084457987	0.24483881420749393	0.29336545952317583	0.26859931863569503	0.3820593464179775	0.3946198350262595
S11Hp	0.41445297946384396	0.40181861800534807	0.2091016617044297	0.18739168744973364	0.0	0.17616139204316011	0.17820700825350605	0.23255270535694905	0.2354254035824511	0.2255359644363639	0.2420747828285102	0.18073213687447198	0.19337922154853104	0.20987339018210022	0.2597687022440497	0.25739545003833697	0.2540927137481481	0.196177293858808	0.21769553722172208	0.266222182537404	0.24145604164992318	0.35491606943220566	0.36747655804048773
F14H1B	0.4759409846557483	0.46330662319725247	0.27058966689633407	0.248879692641638	0.17616139204316011	0.0	0.1873794229180277	0.2940407105488534	0.29691340877435546	0.28702396962826826	0.3035627880204146	0.24222014206637632	0.2548672267404354	0.27136139537400455	0.321256707435954	0.3188834552302413	0.31558071894005246	0.25766529905071234	0.2791835424136264	0.3277101877293084	0.3029440468418275	0.41640407462411	0.42896456323239207
s24H1	0.47798660086609424	0.4653522394075984	0.27263528310668	0.25092530885198394	0.17820700825350605	0.1873794229180277	0.0	0.2960863267591993	0.2989590249847014	0.2890695858386142	0.3056084042307605	0.24426575827672226	0.2569128429507813	0.2734070115843505	0.32330232364629996	0.32092907144058724	0.3176263351503984	0.2597109152610583	0.28122915862397235	0.3297558039396543	0.30498966305217345	0.41844969083445593	0.431010179442738
S31Hp	0.46884135770719493	0.4562069962486991	0.28140595659741696	0.25969598234272095	0.23255270535694905	0.2940407105488534	0.2960863267591993	0.0	0.2602850206082393	0.25039558146215213	0.2669343998542984	0.235120515117823	0.24776759979188206	0.26426176842545124	0.3141570804874007	0.311783828281688	0.3084810919914991	0.250565672102159	0.2720839154650731	0.320610560780755	0.29584441989327415	0.4093044476755566	0.4218649362838387
S9H1	0.471714055932697	0.45907969447420116	0.28427865482291903	0.26256868056822297	0.2354254035824511	0.29691340877435546	0.2989590249847014	0.2602850206082393	0.0	0.1960964975733908	0.2509313960915647	0.23799321334332502	0.2506402980173841	0.26713446665095325	0.3170297787129027	0.31465652650719	0.31135379021700116	0.25343837032766103	0.2749566136905751	0.3234832590062571	0.2987171181187762	0.4121771459010587	0.42473763450934077
F32H1	0.4618246167866098	0.44919025532811396	0.27438921567683183	0.25267924142213577	0.2255359644363639	0.28702396962826826	0.2890695858386142	0.25039558146215213	0.1960964975733908	0.0	0.24104195694547745	0.22810377419723782	0.24075085887129688	0.25724502750486605	0.3071403395668155	0.3047670873611028	0.30146435107091396	0.24354893118157386	0.2650671745444879	0.3135938198601699	0.288827678972689	0.4022877067549715	0.41484819536325357
S10H1	0.4783634351787561	0.4657290737202602	0.29092803406897816	0.26921805981428204	0.2420747828285102	0.3035627880204146	0.3056084042307605	0.2669343998542984	0.2509313960915647	0.24104195694547745	0.0	0.24464259258938414	0.2572896772634432	0.2737838458970123	0.32367915795896185	0.32130590575324913	0.3180031694630603	0.26008774957372016	0.28160599293663424	0.33013263825231615	0.30536649736483534	0.41882652514711777	0.4313870137553998
S7Hp	0.3978441761046927	0.38520981464619675	0.2295853881149399	0.20787541386024383	0.18073213687447198	0.24222014206637632	0.24426575827672226	0.235120515117823	0.23799321334332502	0.22810377419723782	0.24464259258938414	0.0	0.15985372304595952	0.1932645868229489	0.24315989888489842	0.2407866466791857	0.2374839103889968	0.17956849049965673	0.20108673386257078	0.24961337917825271	0.22484723829077186	0.33830726607305434	0.3508677546813364
S6Hp	0.41049126077875175	0.3978568993202558	0.24223247278899895	0.2205224985343029	0.19337922154853104	0.2548672267404354	0.2569128429507813	0.24776759979188206	0.2506402980173841	0.24075085887129688	0.2572896772634432	0.15985372304595952	0.0	0.20591167149700795	0.2558069835589575	0.25343373135324476	0.25013099506305586	0.1922155751737158	0.21373381853662984	0.2622604638523118	0.23749432296483092	0.3509543507471134	0.36351483935539547
S4Hp	0.411765725340007	0.39913136388151105	0.2587266414225681	0.23701666716787206	0.20987339018210022	0.27136139537400455	0.2734070115843505	0.26426176842545124	0.26713446665095325	0.25724502750486605	0.2737838458970123	0.1932645868229489	0.20591167149700795	0.0	0.21802299936799913	0.2156497471622864	0.2409588082334883	0.1830433883441482	0.20456163170706226	0.26353492841356696	0.23876878752608616	0.35222881530836864	0.3647893039166507
S20H1	0.4616610374019564	0.4490266759434606	0.3086219534845176	0.2869119792298216	0.2597687022440497	0.321256707435954	0.32330232364629996	0.3141570804874007	0.3170297787129027	0.3071403395668155	0.32367915795896185	0.24315989888489842	0.2558069835589575	0.21802299936799913	0.0	0.16497049282936657	0.2908541202954378	0.2329387004060977	0.2544569437690118	0.3134302404755165	0.2886640995880356	0.4021241273703181	0.4146846159786002
S2Hp	0.4592877851962437	0.44665342373774786	0.3062487012788049	0.2845387270241089	0.25739545003833697	0.3188834552302413	0.32092907144058724	0.311783828281688	0.31465652650719	0.3047670873611028	0.32130590575324913	0.2407866466791857	0.25343373135324476	0.2156497471622864	0.16497049282936657	0.0	0.28848086808972506	0.230565448200385	0.2520836915632991	0.31105698826980377	0.2862908473823229	0.3997508751646054	0.41231136377288746
F29H1	0.45598504890605485	0.443350687447559	0.30294596498861603	0.28123599073391997	0.2540927137481481	0.31558071894005246	0.3176263351503984	0.3084810919914991	0.31135379021700116	0.30146435107091396	0.3180031694630603	0.2374839103889968	0.25013099506305586	0.2409588082334883	0.2908541202954378	0.28848086808972506	0.0	0.19330727449383814	0.2328448017774795	0.3077542519796149	0.28298811109213406	0.39644813887441654	0.4090086274826986
F7H1	0.3980696290167148	0.3854352675582189	0.24503054509927594	0.22332057084457987	0.196177293858808	0.25766529905071234	0.2597109152610583	0.250565672102159	0.25343837032766103	0.24354893118157386	0.26008774957372016	0.17956849049965673	0.1922155751737158	0.1830433883441482	0.2329387004060977	0.230565448200385	0.19330727449383814	0.0	0.1749293818881394	0.2498388320902748	0.22507269120279397	0.3385327189850764	0.3510932075933585
S22Hp	0.41958787237962886	0.40695351092113297	0.26654878846219	0.24483881420749393	0.21769553722172208	0.2791835424136264	0.28122915862397235	0.2720839154650731	0.2749566136905751	0.2650671745444879	0.28160599293663424	0.20108673386257078	0.21373381853662984	0.20456163170706226	0.2544569437690118	0.2520836915632991	0.2328448017774795	0.1749293818881394	0.0	0.2713570754531889	0.24659093456570802	0.3600509623479905	0.37261145095627257
F6H1	0.4426615008124818	0.43002713935398595	0.31507543377787195	0.29336545952317583	0.266222182537404	0.3277101877293084	0.3297558039396543	0.320610560780755	0.3234832590062571	0.3135938198601699	0.33013263825231615	0.24961337917825271	0.2622604638523118	0.26353492841356696	0.3134302404755165	0.31105698826980377	0.3077542519796149	0.2498388320902748	0.2713570754531889	0.0	0.14670477822204356	0.3831245907808435	0.39568507938912556
S15Hp	0.41789535992500104	0.4052609984665051	0.2903092928903911	0.26859931863569503	0.24145604164992318	0.3029440468418275	0.30498966305217345	0.29584441989327415	0.2987171181187762	0.288827678972689	0.30536649736483534	0.22484723829077186	0.23749432296483092	0.23876878752608616	0.2886640995880356	0.2862908473823229	0.28298811109213406	0.22507269120279397	0.24659093456570802	0.14670477822204356	0.0	0.3583584498933627	0.37091893850164476
S25Hp	0.38074259301976227	0.3681082315612664	0.40376932067267357	0.3820593464179775	0.35491606943220566	0.41640407462411	0.41844969083445593	0.4093044476755566	0.4121771459010587	0.4022877067549715	0.41882652514711777	0.33830726607305434	0.3509543507471134	0.35222881530836864	0.4021241273703181	0.3997508751646054	0.39644813887441654	0.3385327189850764	0.3600509623479905	0.3831245907808435	0.3583584498933627	0.0	0.333766171596406
S21H1	0.3168137754736221	0.3565226623815927	0.41632980928095564	0.3946198350262595	0.36747655804048773	0.42896456323239207	0.431010179442738	0.4218649362838387	0.42473763450934077	0.41484819536325357	0.4313870137553998	0.3508677546813364	0.36351483935539547	0.3647893039166507	0.4146846159786002	0.41231136377288746	0.4090086274826986	0.3510932075933585	0.37261145095627257	0.39568507938912556	0.37091893850164476	0.333766171596406	0.0
