	S23Hp	S28Hp	S7Hp	F29H1	s22pp	s32pp	S6Hp	F8H1	F23HpA	F32H1	S17H1	F1H1	S31Hp	S25Hp
S23Hp	0.0	0.04660770403959252	0.6019989245152807	1.3768684361152073	0.9857633646446616	0.9969982340420799	0.7725014940522495	0.6258139342041743	0.2751655822781708	0.06839133971186151	0.05254756837702182	0.046968233016509715	0.041087946984656426	0.06553627289260501
S28Hp	0.04660770403959252	0.0	0.5918873869332708	1.3667568985331977	0.9756518270626517	0.98688669646007	0.7623899564702397	0.6157023966221644	0.26505404469616095	0.08628310269674896	0.07043933136190927	0.06485999600139716	0.058979709969543874	0.08570396571315668
S7Hp	0.6019989245152807	0.5918873869332708	0.0	1.311451130922967	0.9203460594524213	0.9315809288498396	0.7070841888600092	0.8169294247756473	0.4662810728496439	0.6416743231724371	0.6258305518375974	0.6202512164770854	0.614370930445232	0.6410951861888449
F29H1	1.3768684361152073	1.3667568985331977	1.311451130922967	0.0	1.5321741268480866	1.5434089962455046	1.3189122562556745	1.5917989363755742	1.2411505844495707	1.4165438347723638	1.4007000634375242	1.395120728077012	1.3892404420451587	1.4159646977887714
s22pp	0.9857633646446616	0.9756518270626517	0.9203460594524213	1.5321741268480866	0.0	0.022361529343595244	0.39613557656590315	1.2006938649050283	0.8500455129790248	1.025438763301818	1.0095949919669784	1.0040156566064662	0.998135370574613	1.024859626318226
s32pp	0.9969982340420799	0.98688669646007	0.9315809288498396	1.5434089962455046	0.022361529343595244	0.0	0.4073704459633214	1.2119287343024465	0.861280382376443	1.0366736326992363	1.0208298613643967	1.0152505260038844	1.0093702399720312	1.0360944957156442
S6Hp	0.7725014940522495	0.7623899564702397	0.7070841888600092	1.3189122562556745	0.39613557656590315	0.4073704459633214	0.0	0.9874319943126162	0.6367836423866127	0.812176892709406	0.7963331213745662	0.7907537860140542	0.7848734999822009	0.8115977557258137
F8H1	0.6258139342041743	0.6157023966221644	0.8169294247756473	1.5917989363755742	1.2006938649050283	1.2119287343024465	0.9874319943126162	0.0	0.3506503519270035	0.6654893328613307	0.649645561526491	0.644066226165979	0.6381859401341257	0.6649101958777385
F23HpA	0.2751655822781708	0.26505404469616095	0.4662810728496439	1.2411505844495707	0.8500455129790248	0.861280382376443	0.6367836423866127	0.3506503519270035	0.0	0.3148409809353272	0.29899720960048753	0.2934178742399754	0.28753758820812214	0.31426184395173495
F32H1	0.06839133971186151	0.08628310269674896	0.6416743231724371	1.4165438347723638	1.025438763301818	1.0366736326992363	0.812176892709406	0.6654893328613307	0.3148409809353272	0.0	0.0593067399761598	0.0537274046156477	0.04784711858379441	0.10748760138542568
S17H1	0.05254756837702182	0.07043933136190927	0.6258305518375974	1.4007000634375242	1.0095949919669784	1.0208298613643967	0.7963331213745662	0.649645561526491	0.29899720960048753	0.0593067399761598	0.0	0.03485708241714067	0.028976796385287377	0.09164383005058599
F1H1	0.046968233016509715	0.06485999600139716	0.6202512164770854	1.395120728077012	1.0040156566064662	1.0152505260038844	0.7907537860140542	0.644066226165979	0.2934178742399754	0.0537274046156477	0.03485708241714067	0.0	0.023395461023775217	0.08606449469007388
S31Hp	0.041087946984656426	0.058979709969543874	0.614370930445232	1.3892404420451587	0.998135370574613	1.0093702399720312	0.7848734999822009	0.6381859401341257	0.28753758820812214	0.04784711858379441	0.028976796385287377	0.023395461023775217	0.0	0.0801842086582206
S25Hp	0.06553627289260501	0.08570396571315668	0.6410951861888449	1.4159646977887714	1.024859626318226	1.0360944957156442	0.8115977557258137	0.6649101958777385	0.31426184395173495	0.10748760138542568	0.09164383005058599	0.08606449469007388	0.0801842086582206	0.0
