	S15Hp	S14Hp	S23Hp	S1Hp	S2Hp	F7H1	S18H1	S22Hp	F32H1	S3Hp	F14H1B	S26Hp
S15Hp	0.0	0.4297018543084798	0.44744670834558264	0.49175802336870034	0.4540546965093083	0.4137871384501702	0.3728818046717059	0.4153495261035408	0.48832600874919374	0.36977947222845076	0.45863274180943425	0.5282290767073619
S14Hp	0.4297018543084798	0.0	0.276870003378066	0.3466020684697563	0.3282165257581705	0.2879489676990324	0.30327098244450357	0.34573870387633854	0.41871518652199136	0.30016865000124837	0.39989231422582805	0.5325712791388942
S23Hp	0.44744670834558264	0.276870003378066	0.0	0.3643469225068591	0.3459613797952734	0.30569382173613524	0.3210158364816064	0.36348355791344134	0.43646004055909426	0.3179135040383513	0.41763716826293085	0.550316133175997
S1Hp	0.49175802336870034	0.3466020684697563	0.3643469225068591	0.0	0.3902726948183911	0.35000513675925293	0.3653271515047241	0.407794872936559	0.48077135558221196	0.36222481906146897	0.46194848328604854	0.5946274481991147
S2Hp	0.4540546965093083	0.3282165257581705	0.3459613797952734	0.3902726948183911	0.0	0.21626787215832757	0.32762382464533213	0.37009154607716704	0.4430680287228199	0.32452149220207693	0.42424515642665656	0.5569241213397227
F7H1	0.4137871384501702	0.2879489676990324	0.30569382173613524	0.35000513675925293	0.21626787215832757	0.0	0.28735626658619395	0.3298239880180289	0.40280047066368174	0.28425393414293876	0.38397759836751844	0.5166565632805846
S18H1	0.3728818046717059	0.30327098244450357	0.3210158364816064	0.3653271515047241	0.32762382464533213	0.28735626658619395	0.0	0.21126475461966598	0.3138879880284211	0.1953414515076781	0.34307226458905415	0.47575122950212034
S22Hp	0.4153495261035408	0.34573870387633854	0.36348355791344134	0.407794872936559	0.37009154607716704	0.3298239880180289	0.21126475461966598	0.0	0.356355709460256	0.23780917293951304	0.38553998602088907	0.5182189509339552
F32H1	0.48832600874919374	0.41871518652199136	0.43646004055909426	0.48077135558221196	0.4430680287228199	0.40280047066368174	0.3138879880284211	0.356355709460256	0.0	0.2143456389322111	0.45851646866654194	0.5911954335796081
S3Hp	0.36977947222845076	0.30016865000124837	0.3179135040383513	0.36222481906146897	0.32452149220207693	0.28425393414293876	0.1953414515076781	0.23780917293951304	0.2143456389322111	0.0	0.33996993214579896	0.47264889705886515
F14H1B	0.45863274180943425	0.39989231422582805	0.41763716826293085	0.46194848328604854	0.42424515642665656	0.38397759836751844	0.34307226458905415	0.38553998602088907	0.45851646866654194	0.33996993214579896	0.0	0.5615021666398488
S26Hp	0.5282290767073619	0.5325712791388942	0.550316133175997	0.5946274481991147	0.5569241213397227	0.5166565632805846	0.47575122950212034	0.5182189509339552	0.5911954335796081	0.47264889705886515	0.5615021666398488	0.0
