	s30pp	F14H1A	S17H1	S9H1	S11Hp	f14ppB	w3pp	w11pp	f26pp	w26pp	S2Hp	s7pp	f4pp	S3Hp	w4pp	w19pp	f22ppB	f13pp	S13Hp	f6ppA	w20pp	w13pp	f6ppB	f32pp	f20ppA	w8pp	F8H1	f18pp	f12ppB	f2pp	s2pp	w31pp	f10pp	f8pp	w14pp	f1pp	w1pp	S22Hp	F7H1	w28pp	S28Hp	s28pp	w25pp	s25pp	f25pp	f16ppB	f16ppA	F23HpA	s22pp	w23pp	f23ppB	f7pp	w27pp	s27pp	S7Hp	S1Hp	s12pp	w12pp	F3H1	S8Hp	F16H1	S15Hp	S18H1	f9pp	w9pp	f24pp	f23ppA	f14ppA	f17ppA	w17pp	f30pp	w10pp	f21pp	w15pp	f15pp	f11pp	F6H1	s17pp	s29pp	w29pp	S20H1	w24pp	f17ppB	f12ppA
s30pp	0.0	0.16889897050891586	0.17498461098858709	0.31251725563118143	0.3322815561836266	0.11306477504471305	0.11192369149959208	0.0715476285624836	0.16574447526958053	0.10588410433509185	0.20606673331372205	0.2235819420719765	0.08518966968544293	0.1936007000389633	0.1520690192054462	0.1429468119976411	0.1431506651134657	0.2054412792287173	0.210026304934618	0.17974506545802	0.15004604759866222	0.19435407304901775	0.13654670585859743	0.13661708389934457	0.12330751230888405	0.1293187264956051	0.2257584936784343	0.1615586001257602	0.15687658588896986	0.17943188168881977	0.14591083364816215	0.15159070407909747	0.11160892146414525	0.10573719690876732	0.16590693150648106	0.14214637160116161	0.1331078213229826	0.23461190776763013	0.21836950445568137	0.15883806897912522	0.23173723573911942	0.2078088579532077	0.1754677444412855	0.17975576279410416	0.14699073736836665	0.1702994416830363	0.14335948731399406	0.17945740425751275	0.12588739914412433	0.15841425370991172	0.12379834097631685	0.10760679180113636	0.16943710870518375	0.15739467009693553	0.2273790763377918	0.21491733161640753	0.18552586127664905	0.152939820450506	0.2309330966544645	0.20938238433852174	0.2169745844956284	0.20836184206483538	0.20625418293113829	0.12837653170802926	0.0956091416236064	0.11161147244170072	0.09907984194411606	0.12696721334210925	0.17098953998296218	0.11975966053628878	0.12064784630695619	0.13179099822131027	0.12553957682558692	0.19973466958082814	0.15650986279234563	0.12985900153557173	0.20475196897043674	0.14768148862246722	0.15639730068770696	0.13266224181407704	0.21056604470516072	0.1160824347767879	0.10189238870178655	0.0915479097991283
F14H1A	0.16889897050891586	0.0	0.24530002456978672	0.3828326692123811	0.4025969697648263	0.18338018862591268	0.18223910508079172	0.14186304214368323	0.23605988885078016	0.1761995179162915	0.2763821468949217	0.29389735565317615	0.15550508326664256	0.26391611362016293	0.22238443278664582	0.21326222557884073	0.21346607869466533	0.27575669280991694	0.28034171851581763	0.25006047903921963	0.22036146117986186	0.2646694866302174	0.20686211943979707	0.2069324974805442	0.19362292589008367	0.19963414007680474	0.29607390725963395	0.23187401370695984	0.2271919994701695	0.2497472952700194	0.2162262472293618	0.2219061176602971	0.1819243350453449	0.17605261048996695	0.2362223450876807	0.21246178518236125	0.20342323490418224	0.30492732134882977	0.288684918036881	0.22915348256032486	0.30205264932031906	0.27812427153440733	0.24578315802248513	0.2500711763753038	0.2173061509495663	0.24061485526423593	0.2136749008951937	0.24977281783871239	0.19620281272532397	0.22872966729111135	0.1941137545575165	0.177922205382336	0.23975252228638338	0.22771008367813517	0.29769448991899145	0.28523274519760716	0.2558412748578487	0.22325523403170563	0.3012485102356641	0.2796977979197214	0.28728999807682803	0.278677255646035	0.2765695965123379	0.1986919452892289	0.16592455520480603	0.18192688602290036	0.1693952555253157	0.1972826269233089	0.24130495356416182	0.19007507411748842	0.19096325988815582	0.2021064118025099	0.19585499040678656	0.2700500831620278	0.22682527637354527	0.20017441511677136	0.2750673825516364	0.21799690220366685	0.2267127142689066	0.20297765539527668	0.28088145828636035	0.18639784835798756	0.17220780228298618	0.16186332338032794
S17H1	0.17498461098858709	0.24530002456978672	0.0	0.37490780405243895	0.3946721046048841	0.18685149465112016	0.1857104111059992	0.14533434816889068	0.23953119487598762	0.17967082394149894	0.27985345292012914	0.2973686616783836	0.15897638929185	0.2673874196453704	0.22585573881185328	0.21673353160404818	0.21693738471987278	0.2792279988351244	0.2838130245410251	0.2535317850644271	0.2238327672050693	0.26814079265542484	0.21033342546500453	0.21040380350575166	0.19709423191529113	0.2031054461020122	0.2995452132848414	0.2353453197321673	0.23066330549537695	0.2532186012952269	0.21969755325456924	0.22537742368550456	0.18539564107055234	0.1795239165151744	0.23969365111288815	0.2159330912075687	0.2068945409293897	0.3083986273740372	0.29215622406208847	0.23262478858553232	0.3055239553455265	0.2815955775596148	0.24925446404769258	0.25354248240051125	0.22077745697477374	0.24408616128944338	0.21714620692040115	0.2532441238639198	0.19967411875053143	0.2322009733163188	0.19758506058272396	0.18139351140754345	0.24322382831159084	0.23118138970334262	0.3011657959441989	0.2887040512228146	0.25931258088305614	0.2267265400569131	0.3047198162608716	0.28316910394492883	0.2907613041020355	0.28214856167124247	0.2800409025375454	0.20216325131443635	0.1693958612300135	0.1853981920481078	0.17286656155052316	0.20075393294851634	0.24477625958936927	0.19354638014269587	0.19443456591336328	0.20557771782771736	0.199326296431994	0.27352138918723523	0.23029658239875272	0.20364572114197882	0.27853868857684383	0.2214682082288743	0.23018402029411406	0.20644896142048413	0.2843527643115678	0.18986915438319502	0.17567910830819364	0.1653346294055354
S9H1	0.31251725563118143	0.3828326692123811	0.37490780405243895	0.0	0.33395581216554593	0.3243841392937145	0.3232430557485935	0.28286699281148503	0.37706383951858197	0.3172034685840933	0.4173860975627235	0.43490130632097795	0.2965090339344444	0.40492006428796473	0.3633883834544476	0.35426617624664253	0.35447002936246713	0.41676064347771874	0.42134566918361943	0.39106442970702143	0.3613654118476637	0.4056734372980192	0.34786607010759885	0.347936448148346	0.3346268765578855	0.34063809074460655	0.43707785792743575	0.3728779643747616	0.3681959501379713	0.3907512459378212	0.3572301978971636	0.3629100683280989	0.3229282857131467	0.31705656115776876	0.3772262957554825	0.35346573585016305	0.34442718557198404	0.4459312720166316	0.4296888687046828	0.37015743322812666	0.44305659998812086	0.41912822220220913	0.38678710869028693	0.3910751270431056	0.3583101016173681	0.38161880593203773	0.3546788515629955	0.3907767685065142	0.3372067633931258	0.36973361795891313	0.3351177052253183	0.3189261560501378	0.3807564729541852	0.36871403434593697	0.43869844058679325	0.42623669586540897	0.3968452255256505	0.36425918469950747	0.4422524609034659	0.4207017485875232	0.42829394874462984	0.4196812063138368	0.4175735471801397	0.3396958959570307	0.30692850587260784	0.32293083669070216	0.3103992061931175	0.3382865775911107	0.3823089042319636	0.3310790247852902	0.3319672105559576	0.3431103624703117	0.33685894107458836	0.4110540338298296	0.3678292270413471	0.34117836578457317	0.4160713332194382	0.35900085287146866	0.3677166649367084	0.3439816060630785	0.42188540895416216	0.3274017990257893	0.31321175295078796	0.30286727404812974
S11Hp	0.3322815561836266	0.4025969697648263	0.3946721046048841	0.33395581216554593	0.0	0.34414843984615967	0.3430073563010387	0.3026312933639302	0.3968281400710271	0.3369677691365385	0.43715039811516865	0.4546656068734231	0.31627333448688955	0.4246843648404099	0.3831526840068928	0.3740304767990877	0.3742343299149123	0.4365249440301639	0.4411099697360646	0.4108287302594666	0.38112971240010884	0.42543773785046435	0.367630370660044	0.36770074870079117	0.35439117711033064	0.3604023912970517	0.4568421584798809	0.3926422649272068	0.38796025069041645	0.41051554649026634	0.37699449844960875	0.38267436888054407	0.34269258626559185	0.3368208617102139	0.39699059630792766	0.3732300364026082	0.3641914861244292	0.46569557256907673	0.44945316925712797	0.3899217337805718	0.462820900540566	0.4388925227546543	0.4065514092427321	0.41083942759555075	0.37807440216981325	0.4013831064844829	0.37444315211544066	0.4105410690589594	0.35697106394557093	0.3894979185113583	0.35488200577776347	0.33869045660258296	0.40052077350663035	0.3884783348983821	0.4584627411392384	0.4460009964178541	0.41660952607809565	0.3840234852519526	0.4620167614559111	0.44046604913996834	0.448058249297075	0.439445506866282	0.4373378477325849	0.35946019650947586	0.326692806425053	0.3426951372431473	0.33016350674556266	0.35805087814355585	0.4020732047844088	0.3508433253377354	0.3517315111084028	0.36287466302275684	0.3566232416270335	0.43081833438227474	0.38759352759379223	0.3609426663370183	0.43583563377188334	0.3787651534239138	0.38748096548915356	0.36374590661552364	0.4416497095066073	0.34716609957823447	0.3329760535032331	0.3226315746005749
f14ppB	0.11306477504471305	0.18338018862591268	0.18685149465112016	0.3243841392937145	0.34414843984615967	0.0	0.10256368507662667	0.07731294247437194	0.17150978918146886	0.11164941824698019	0.2118320472256104	0.22934725598386485	0.09095498359733127	0.19936601395085163	0.15783433311733452	0.14871212590952942	0.14891597902535403	0.21120659314060564	0.21579161884650633	0.18551037936990833	0.15581136151055056	0.2001193869609061	0.14231201977048577	0.1423823978112329	0.12907282622077237	0.13508404040749344	0.23152380759032265	0.16732391403764854	0.1626418998008582	0.1851971956007081	0.1516761475600505	0.1573560179909858	0.11737423537603359	0.11150251082065565	0.1716722454183694	0.14791168551304995	0.13887313523487094	0.24037722167951847	0.2241348183675697	0.16460338289101356	0.23750254965100775	0.21357417186509603	0.18123305835317383	0.1855210767059925	0.152756051280255	0.17606475559492463	0.1491248012258824	0.18522271816940108	0.13165271305601267	0.16417956762180005	0.1295636548882052	0.1133721057130247	0.17520242261707208	0.16315998400882387	0.23314439024968014	0.22068264552829586	0.1912911751885374	0.15870513436239433	0.23669841056635282	0.21514769825041008	0.22273989840751673	0.21412715597672372	0.21201949684302662	0.1341418456199176	0.10137445553549473	0.11737678635358906	0.1048451558560044	0.1327325272539976	0.17675485389485052	0.12552497444817712	0.12641316021884452	0.1375563121331986	0.13130489073747525	0.20549998349271648	0.16227517670423397	0.13562431544746006	0.21051728288232507	0.15344680253435555	0.1621626145995953	0.13842755572596538	0.21633135861704905	0.12184774868867623	0.10765770261367488	0.09731322371101664
w3pp	0.11192369149959208	0.18223910508079172	0.1857104111059992	0.3232430557485935	0.3430073563010387	0.10256368507662667	0.0	0.07617185892925098	0.17036870563634787	0.11050833470185922	0.21069096368048942	0.2282061724387439	0.08981390005221031	0.19822493040573066	0.15669324957221356	0.14757104236440846	0.14777489548023304	0.21006550959548467	0.21465053530138536	0.18436929582478737	0.1546702779654296	0.19897830341578512	0.1411709362253648	0.14124131426611197	0.12793174267565144	0.1339429568623725	0.2303827240452017	0.16618283049252758	0.16150081625573726	0.18405611205558714	0.1505350640149295	0.15621493444586482	0.11623315183091262	0.11036142727553469	0.1705311618732484	0.14677060196792902	0.13773205168975	0.2392361381343975	0.22299373482244875	0.16346229934589257	0.2363614661058868	0.21243308831997507	0.18009197480805286	0.18437999316087156	0.15161496773513405	0.17492367204980366	0.1479837176807614	0.18408163462428012	0.13051162951089168	0.1630384840766791	0.1284225713430842	0.11223102216790373	0.17406133907195115	0.16201890046370293	0.23200330670455918	0.2195415619831749	0.19015009164341642	0.15756405081727337	0.23555732702123186	0.21400661470528912	0.22159881486239577	0.21298607243160275	0.21087841329790566	0.13300076207479664	0.10023337199037377	0.1162357028084681	0.10370407231088344	0.13159144370887665	0.17561377034972953	0.12438389090305615	0.12527207667372356	0.13641522858807764	0.13016380719235432	0.2043588999475955	0.16113409315911298	0.13448323190233913	0.2093761993372041	0.15230571898923462	0.1610215310544743	0.13728647218084444	0.2151902750719281	0.12070666514355527	0.10651661906855392	0.09617214016589568
w11pp	0.0715476285624836	0.14186304214368323	0.14533434816889068	0.28286699281148503	0.3026312933639302	0.07731294247437194	0.07617185892925098	0.0	0.11842511436305067	0.05856474342856201	0.15874737240719222	0.17626258116544669	0.03787030877891309	0.14628133913243346	0.10474965829891635	0.09562745109111125	0.09583130420693584	0.15812191832218747	0.16270694402808816	0.13242570455149014	0.10272668669213238	0.14703471214248792	0.08922734495206759	0.08929772299281474	0.07598815140235421	0.08199936558907528	0.17843913277190449	0.11423923921923036	0.10955722498244003	0.1321125207822899	0.0985914727416323	0.10427134317256762	0.06428956055761541	0.05841783600223747	0.1185875705999512	0.09482701069463179	0.08578846041645277	0.1872925468611003	0.17105014354915155	0.11151870807259537	0.1844178748325896	0.16048949704667786	0.12814838353475563	0.13243640188757433	0.09967137646183682	0.12298008077650645	0.0960401264074642	0.1321380433509829	0.07856803823759448	0.11109489280338188	0.07647898006978701	0.06028743089460651	0.12211774779865392	0.1100753091904057	0.18005971543126198	0.1675979707098777	0.13820650037011922	0.10562045954397616	0.18361373574793466	0.16206302343199191	0.16965522358909857	0.16104248115830555	0.15893482202460846	0.08105717080149942	0.04828978071707655	0.06429211153517086	0.05176048103758622	0.07964785243557942	0.12367017907643232	0.07244029962975894	0.07332848540042634	0.08447163731478043	0.07822021591905709	0.1524153086742983	0.10919050188581578	0.0825396406290419	0.1574326080639069	0.10036212771593739	0.10907793978117711	0.08534288090754721	0.1632466837986309	0.06876507387125812	0.05457502779625676	0.04423054889359852
f26pp	0.16574447526958053	0.23605988885078016	0.23953119487598762	0.37706383951858197	0.3968281400710271	0.17150978918146886	0.17036870563634787	0.11842511436305067	0.0	0.07382496893111398	0.21745790265842527	0.23497311141667973	0.1059301504109649	0.21434118076448525	0.17280949993096817	0.16368729272316307	0.16389114583898765	0.22618175995423928	0.23076678566013997	0.20048554618354197	0.17078652832418417	0.21509455377453973	0.1572871865841194	0.15735756462486655	0.14404799303440602	0.1500592072211271	0.2464989744039563	0.18229908085128216	0.17761706661449184	0.20017236241434172	0.1666513143736841	0.17233118480461943	0.13234940218966723	0.12647767763428927	0.186647412232003	0.1628868523266836	0.15384830204850458	0.2553523884931521	0.23910998518120335	0.17957854970464718	0.2524777164646414	0.22854933867872967	0.19620822516680747	0.20049624351962614	0.16773121809388863	0.19103992240855827	0.16409996803951601	0.2001978849830347	0.1466278798696463	0.17915473443543367	0.14453882170183882	0.1283472725266583	0.19017758943070573	0.1781351508224575	0.2481195570633138	0.2356578123419295	0.20626634200217103	0.17368030117602795	0.25167357737998647	0.23012286506404372	0.23771506522115038	0.22910232279035736	0.22699466365666027	0.14911701243355122	0.11634962234912835	0.14093205868977413	0.1284004281921895	0.15628779959018269	0.20031012623103558	0.1490802467843622	0.14996843255502962	0.16111158446938367	0.15486016307366035	0.22905525582890157	0.18583044904041904	0.15917958778364516	0.23407255521851017	0.17700207487054065	0.18571788693578037	0.16198282806215047	0.23988663095323415	0.162961920578355	0.14877187450335366	0.13842739560069542
w26pp	0.10588410433509185	0.1761995179162915	0.17967082394149894	0.3172034685840933	0.3369677691365385	0.11164941824698019	0.11050833470185922	0.05856474342856201	0.07382496893111398	0.0	0.1575975317239366	0.17511274048219105	0.046069779476476225	0.15448080982999657	0.11294912899647949	0.10382692178867439	0.10403077490449897	0.1663213890197506	0.1709064147256513	0.1406251752490533	0.11092615738969552	0.15523418284005105	0.09742681564963074	0.09749719369037788	0.08418762209991734	0.09019883628663841	0.18663860346946762	0.12243870991679351	0.11775669568000316	0.14031199147985307	0.10679094343919543	0.11247081387013075	0.07248903125517855	0.0666173066998006	0.12678704129751434	0.10302648139219492	0.0939879311140159	0.19549201755866344	0.17924961424671468	0.1197181787701585	0.19261734553015275	0.16868896774424103	0.1363478542323188	0.14063587258513746	0.10787084715939996	0.1311795514740696	0.10423959710502734	0.14033751404854605	0.08676750893515761	0.11929436350094502	0.08467845076735014	0.06848690159216964	0.13031721849621705	0.11827477988796883	0.18825918612882514	0.17579744140744086	0.14640597106768238	0.1138199302415393	0.1918132064454978	0.17026249412955505	0.1778546942866617	0.1692419518558687	0.1671342927221716	0.08925664149906255	0.05648925141463968	0.08107168775528548	0.06854005725770082	0.09642742865569404	0.1404497552965469	0.08921987584987354	0.09010806162054094	0.10125121353489502	0.0949997921391717	0.1691948848944129	0.12597007810593036	0.09931921684915648	0.1742121842840215	0.11714170393605199	0.1258575160012917	0.10212245712766181	0.1800262600187455	0.10310154964386636	0.08891150356886501	0.07856702466620677
