	F7H1	S1Hp	f4pp	s2pp	w9pp	F14H1A	S18H1	S3Hp	w10pp	S27H1	S9H1
F7H1	0.0	0.5434804043599284	0.5809369702402349	0.6424204150311281	0.53071892454126	0.5893121973775206	0.7129230046229922	0.4984971711034967	0.49396014867552257	0.46994071624909906	0.48431425686439755
S1Hp	0.5434804043599284	0.0	0.503492502050896	0.5649759468417892	0.45327445635192104	0.5118677291881817	0.6354785364336533	0.4817478174171882	0.47721079498921415	0.5311160096565477	0.5454895502718462
f4pp	0.5809369702402349	0.503492502050896	0.0	0.2631091425564279	0.3791952566471908	0.4923091324536162	0.6159199396990878	0.5192043832974947	0.5146673608695207	0.5685725755368543	0.5829461161521527
s2pp	0.6424204150311281	0.5649759468417892	0.2631091425564279	0.0	0.4406787014380841	0.5537925772445095	0.677403384489981	0.580687828088388	0.5761508056604139	0.6300560203277475	0.644429560943046
w9pp	0.53071892454126	0.45327445635192104	0.3791952566471908	0.4406787014380841	0.0	0.44209108675464126	0.5657018940001128	0.46898633759851976	0.46444931517054566	0.5183545298378793	0.5327280704531778
F14H1A	0.5893121973775206	0.5118677291881817	0.4923091324536162	0.5537925772445095	0.44209108675464126	0.0	0.5717951254875139	0.5275796104347805	0.5230425880068064	0.57694780267414	0.5913213432894385
S18H1	0.7129230046229922	0.6354785364336533	0.6159199396990878	0.677403384489981	0.5657018940001128	0.5717951254875139	0.0	0.6511904176802521	0.6466533952522779	0.7005586099196116	0.7149321505349101
S3Hp	0.4984971711034967	0.4817478174171882	0.5192043832974947	0.580687828088388	0.46898633759851976	0.5275796104347805	0.6511904176802521	0.0	0.38950642576993	0.486132776400116	0.5005063170154145
w10pp	0.49396014867552257	0.47721079498921415	0.5146673608695207	0.5761508056604139	0.46444931517054566	0.5230425880068064	0.6466533952522779	0.38950642576993	0.0	0.48159575397214194	0.49596929458744043
S27H1	0.46994071624909906	0.5311160096565477	0.5685725755368543	0.6300560203277475	0.5183545298378793	0.57694780267414	0.7005586099196116	0.486132776400116	0.48159575397214194	0.0	0.32972902875986193
S9H1	0.48431425686439755	0.5454895502718462	0.5829461161521527	0.644429560943046	0.5327280704531778	0.5913213432894385	0.7149321505349101	0.5005063170154145	0.49596929458744043	0.32972902875986193	0.0
