	S6Hp	S25Hp	S16H2	S21H1	F6H1	S26Hp	S7Hp	S19H1	S15Hp	S20H1	F23HpA	S22Hp
S6Hp	0.0	0.22420675530752454	0.24469516938299762	0.22648720835825317	0.2662007600438233	0.2974142263974274	0.31307815147251417	1.5882359997425015	0.27390998069577394	0.2493192806240689	0.2538488224115832	0.25796824993353457
S25Hp	0.22420675530752454	0.0	0.2552755486074142	0.23706758758266977	0.2767811392682399	0.30799460562184394	0.32365853069693074	1.598816378966918	0.2844903599201905	0.2598996598484855	0.26442920163599976	0.26854862915795114
S16H2	0.24469516938299762	0.2552755486074142	0.0	0.20557639564192332	0.26517246150648643	0.29638592786009055	0.3120498529351773	1.5872077012051646	0.2728816821584371	0.24829098208673206	0.25282052387424636	0.25693995139619774
S21H1	0.22648720835825317	0.23706758758266977	0.20557639564192332	0.0	0.24696450048174196	0.27817796683534607	0.2938418919104328	1.56899974018042	0.25467372113369263	0.2300830210619876	0.23461256284950185	0.23873199037145326
F6H1	0.2662007600438233	0.2767811392682399	0.26517246150648643	0.24696450048174196	0.0	0.2849658632981269	0.30062978837321364	1.5757876366432009	0.26146161759647346	0.25156806636262913	0.25609760815014343	0.2602170356720948
S26Hp	0.2974142263974274	0.30799460562184394	0.29638592786009055	0.27817796683534607	0.2849658632981269	0.0	0.26068977192903964	1.535847620199027	0.2588379118299246	0.2827815327162332	0.2873110745037475	0.29143050202569887
S7Hp	0.31307815147251417	0.32365853069693074	0.3120498529351773	0.2938418919104328	0.30062978837321364	0.26068977192903964	0.0	1.4006907710809917	0.2745018369050114	0.29844545779132	0.3029749995788343	0.30709442710078566
S19H1	1.5882359997425015	1.598816378966918	1.5872077012051646	1.56899974018042	1.5757876366432009	1.535847620199027	1.4006907710809917	0.0	1.5496596851749986	1.5736033060613073	1.5781328478488217	1.582252275370773
S15Hp	0.27390998069577394	0.2844903599201905	0.2728816821584371	0.25467372113369263	0.26146161759647346	0.2588379118299246	0.2745018369050114	1.5496596851749986	0.0	0.25927728701457975	0.26380682880209405	0.26792625632404543
S20H1	0.2493192806240689	0.2598996598484855	0.24829098208673206	0.2300830210619876	0.25156806636262913	0.2827815327162332	0.29844545779132	1.5736033060613073	0.25927728701457975	0.0	0.21098037050286375	0.21509979802481516
F23HpA	0.2538488224115832	0.26442920163599976	0.25282052387424636	0.23461256284950185	0.25609760815014343	0.2873110745037475	0.3029749995788343	1.5781328478488217	0.26380682880209405	0.21098037050286375	0.0	0.0761590660541723
S22Hp	0.25796824993353457	0.26854862915795114	0.25693995139619774	0.23873199037145326	0.2602170356720948	0.29143050202569887	0.30709442710078566	1.582252275370773	0.26792625632404543	0.21509979802481516	0.0761590660541723	0.0
