	S1Hp	F14H1B	F6H1	F32H1	S20H1	S9H1	S19H1	F14H1A	S17H1	F23HpA	S15Hp	S25Hp	S18H1
S1Hp	0.0	0.7410822792033293	0.6886268818994011	0.6880188730241817	0.6861201578151657	0.7167938534019463	0.6934898822901103	0.6790044058991156	0.7168882623107864	0.7167660124383125	0.5612370351911575	0.5937675691771997	0.5773410618683381
F14H1B	0.7410822792033293	0.0	0.4182522960546925	0.571277489008402	0.6284256968090017	0.6590993923957824	0.6357954212839463	0.6213099448929515	0.6591938013046224	0.6590715514321486	0.586788006996236	0.6193185409822783	0.716224662017557
F6H1	0.6886268818994011	0.4182522960546925	0.0	0.5188220917044739	0.5759702995050736	0.6066439950918543	0.5833400239800182	0.5688545475890234	0.6067384040006942	0.6066161541282205	0.5343326096923079	0.5668631436783502	0.6637692647136288
F32H1	0.6880188730241817	0.571277489008402	0.5188220917044739	0.0	0.5753622906298541	0.6060359862166348	0.5827320151047988	0.568246538713804	0.6061303951254748	0.6060081452530011	0.5337246008170885	0.5662551348031308	0.6631612558384095
S20H1	0.6861201578151657	0.6284256968090017	0.5759702995050736	0.5753622906298541	0.0	0.1934020275668472	0.5037819655816165	0.48929648919062174	0.5271803456022925	0.5270580957298187	0.5318258856080724	0.5643564195941146	0.6612625406293933
S9H1	0.7167938534019463	0.6590993923957824	0.6066439950918543	0.6060359862166348	0.1934020275668472	0.0	0.534455661168397	0.5199701847774023	0.5578540411890731	0.5577317913165993	0.5624995811948531	0.5950301151808954	0.6919362362161741
S19H1	0.6934898822901103	0.6357954212839463	0.5833400239800182	0.5827320151047988	0.5037819655816165	0.534455661168397	0.0	0.13835360400592275	0.4267356961105636	0.4266134462380898	0.5391956100830171	0.5717261440690593	0.6686322651043379
F14H1A	0.6790044058991156	0.6213099448929515	0.5688545475890234	0.568246538713804	0.48929648919062174	0.5199701847774023	0.13835360400592275	0.0	0.4122502197195689	0.41212796984709504	0.5247101336920224	0.5572406676780646	0.6541467887133432
S17H1	0.7168882623107864	0.6591938013046224	0.6067384040006942	0.6061303951254748	0.5271803456022925	0.5578540411890731	0.4267356961105636	0.4122502197195689	0.0	0.25414149385858087	0.5625939901036932	0.5951245240897354	0.692030645125014
F23HpA	0.7167660124383125	0.6590715514321486	0.6066161541282205	0.6060081452530011	0.5270580957298187	0.5577317913165993	0.4266134462380898	0.41212796984709504	0.25414149385858087	0.0	0.5624717402312193	0.5950022742172616	0.6919083952525402
S15Hp	0.5612370351911575	0.586788006996236	0.5343326096923079	0.5337246008170885	0.5318258856080724	0.5624995811948531	0.5391956100830171	0.5247101336920224	0.5625939901036932	0.5624717402312193	0.0	0.12409563750674577	0.5363794180053851
S25Hp	0.5937675691771997	0.6193185409822783	0.5668631436783502	0.5662551348031308	0.5643564195941146	0.5950301151808954	0.5717261440690593	0.5572406676780646	0.5951245240897354	0.5950022742172616	0.12409563750674577	0.0	0.5689099519914275
S18H1	0.5773410618683381	0.716224662017557	0.6637692647136288	0.6631612558384095	0.6612625406293933	0.6919362362161741	0.6686322651043379	0.6541467887133432	0.692030645125014	0.6919083952525402	0.5363794180053851	0.5689099519914275	0.0
