	F6H1	S25Hp	S17H1	S22Hp	S21H1	S4Hp	S20H1	S13Hp	S26Hp	S12Hp
F6H1	0.0	0.4119163814747858	0.3974442488805884	0.3705604854402983	0.5327249601605402	0.5497148116092075	0.49659587161938995	0.5265482298051715	0.5751483840215347	0.5414669120116126
S25Hp	0.4119163814747858	0.0	0.36447965570583973	0.37600273838500664	0.5508218969619895	0.5678117484106568	0.5146928084208393	0.5446451666066208	0.593245320822984	0.5595638488130619
S17H1	0.3974442488805884	0.36447965570583973	0.0	0.3615306057908092	0.536349764367792	0.5533396158164594	0.5002206758266419	0.5301730340124233	0.5787731882287865	0.5450917162188644
S22Hp	0.3705604854402983	0.37600273838500664	0.3615306057908092	0.0	0.509466000927502	0.5264558523761694	0.47333691238635184	0.5032892705721334	0.5518894247884966	0.5182079527785745
S21H1	0.5327249601605402	0.5508218969619895	0.536349764367792	0.509466000927502	0.0	0.41850091942151707	0.41191207908522576	0.4663845088874026	0.5149846631037658	0.4813031910938437
S4Hp	0.5497148116092075	0.5678117484106568	0.5533396158164594	0.5264558523761694	0.41850091942151707	0.0	0.4289019305338932	0.48337436033607006	0.5319745145524333	0.49829304254251117
S20H1	0.49659587161938995	0.5146928084208393	0.5002206758266419	0.47333691238635184	0.41191207908522576	0.4289019305338932	0.0	0.43025542034625247	0.4788555745626157	0.4451741025526935
S13Hp	0.5265482298051715	0.5446451666066208	0.5301730340124233	0.5032892705721334	0.4663845088874026	0.48337436033607006	0.43025542034625247	0.0	0.43177766903088843	0.4633686819009897
S26Hp	0.5751483840215347	0.593245320822984	0.5787731882287865	0.5518894247884966	0.5149846631037658	0.5319745145524333	0.4788555745626157	0.43177766903088843	0.0	0.5119688361173529
S12Hp	0.5414669120116126	0.5595638488130619	0.5450917162188644	0.5182079527785745	0.4813031910938437	0.49829304254251117	0.4451741025526935	0.4633686819009897	0.5119688361173529	0.0
