	S18H1	S21H1	S26Hp	F14H1B	S1Hp	F7H1	S15Hp	S3Hp	S13Hp	F14H1A	f16ppB
S18H1	0.0	0.7935891194452596	0.8526151917353479	0.8170754075915287	0.8484170334393182	0.9288981209811757	0.9015183030373788	0.8281390674478919	0.7227411419213609	0.9022119306586912	0.7143796947508982
S21H1	0.7935891194452596	0.0	0.3701454923879215	0.3346057082441024	0.36594733409189184	0.4464284216337494	0.41904860368995256	0.34566936810046556	0.41410426650564813	0.8429808152219191	0.6551485793141262
S26Hp	0.8526151917353479	0.3701454923879215	0.0	0.26745058355583545	0.4133019070787305	0.49378299462058806	0.46640317667679115	0.3930239410873042	0.4731303387957365	0.9020068875120074	0.7141746516042144
F14H1B	0.8170754075915287	0.3346057082441024	0.26745058355583545	0.0	0.37776212293491135	0.4582432104767689	0.430863392532972	0.35748415694348507	0.4375905546519173	0.8664671033681882	0.6786348674603953
S1Hp	0.8484170334393182	0.36594733409189184	0.4133019070787305	0.37776212293491135	0.0	0.4194756615702311	0.39209584362643424	0.31871660803694724	0.46893218049970686	0.8978087292159778	0.7099764933081848
F7H1	0.9288981209811757	0.4464284216337494	0.49378299462058806	0.4582432104767689	0.4194756615702311	0.0	0.4207455664388282	0.3473663308493413	0.5494132680415644	0.9782898167578353	0.7904575808500424
S15Hp	0.9015183030373788	0.41904860368995256	0.46640317667679115	0.430863392532972	0.39209584362643424	0.4207455664388282	0.0	0.11338253859569952	0.5220334500977675	0.9509099988140384	0.7630777629062454
S3Hp	0.8281390674478919	0.34566936810046556	0.3930239410873042	0.35748415694348507	0.31871660803694724	0.3473663308493413	0.11338253859569952	0.0	0.4486542145082806	0.8775307632245515	0.6896985273167585
S13Hp	0.7227411419213609	0.41410426650564813	0.4731303387957365	0.4375905546519173	0.46893218049970686	0.5494132680415644	0.5220334500977675	0.4486542145082806	0.0	0.7721328376980204	0.5843006017902275
F14H1A	0.9022119306586912	0.8429808152219191	0.9020068875120074	0.8664671033681882	0.8978087292159778	0.9782898167578353	0.9509099988140384	0.8775307632245515	0.7721328376980204	0.0	0.5261203495506487
f16ppB	0.7143796947508982	0.6551485793141262	0.7141746516042144	0.6786348674603953	0.7099764933081848	0.7904575808500424	0.7630777629062454	0.6896985273167585	0.5843006017902275	0.5261203495506487	0.0
