	f12ppB	f4pp	f6ppB	f29pp	f9pp	f2pp	S6Hp	w6pp	S1Hp	S15Hp	f18pp	f1pp	f23ppA	f8pp	f12ppA	f15pp	f21pp	w3pp	w16pp	F14H1B	f16ppB	f16ppA	f32pp	w9pp	f22ppA	f31pp	S18H1	S13Hp	f30pp	f20ppB	f22ppB	f17ppA	f13pp	f6ppA	F7H1
f12ppB	0.0	0.2622804121330723	0.3352158524421181	0.3317459516098822	0.24432005323994843	0.35843554544085265	0.3902749102825085	0.32860477335012317	0.3860768210102643	0.41740709926676156	0.2490307805743286	0.2169509289497133	0.29634239218892433	0.2209360155937139	0.2222858505115931	0.2933370810938046	0.2524809355349019	0.2565434943438154	0.3717846934477147	0.430718803364139	0.32975039813203383	0.2890001429681237	0.30238346204514743	0.3301296599920154	0.31770217381288834	0.2576100879562243	0.3412592066830058	0.3121136635969954	0.3713266734553121	0.4067981324412813	0.3817500931138643	0.2756193633905827	0.2771221776882511	0.27714995548394744	0.3256671678938834
f4pp	0.2622804121330723	0.0	0.26085795656692207	0.25738805573468615	0.1699621573647524	0.2840776495656566	0.3159170144073124	0.25424687747492714	0.34731582757476515	0.40901069732373574	0.24063437863130283	0.2382599567333476	0.31765141997255864	0.2422450433773482	0.24473460903435057	0.31578583961656204	0.27492969405765944	0.2789922528665729	0.3942334519704722	0.45316756188689644	0.3521991566547913	0.3114489014908812	0.32483222056790495	0.35257841851477284	0.3401509323356458	0.2800588464789818	0.36370796520576326	0.33456242211975284	0.3937754319780696	0.4292468909640388	0.4041988516366218	0.2980681219133401	0.2995709362110085	0.2995987140067049	0.3481159264166408
f6ppB	0.3352158524421181	0.26085795656692207	0.0	0.24118910123435805	0.15376320286442433	0.30739377345328767	0.3392331382949435	0.27756300136255824	0.42025126788381095	0.4819461376327816	0.31356981894034863	0.3111953970423934	0.39058686028160444	0.315180483686394	0.3176700493433964	0.38872127992560784	0.3478651343667052	0.35192769317561867	0.46716889227951797	0.5261030021959423	0.4251345969638371	0.384384341799927	0.3977676608769507	0.42551385882381865	0.4130863726446916	0.3529942867880276	0.43664340551480907	0.40749786242879865	0.4667108722871154	0.5021823312730846	0.4771342919456676	0.37100356222238595	0.37250637652005436	0.37253415431575065	0.4210513667256866
f29pp	0.3317459516098822	0.25738805573468615	0.24118910123435805	0.0	0.09725353819184507	0.30392387262105175	0.33576323746270753	0.2740931005303223	0.416781367051575	0.47847623680054563	0.31009991810811266	0.30772549621015743	0.3871169594493685	0.3117105828541581	0.31420014851116046	0.3852513790933719	0.34439523353446927	0.34845779234338276	0.46369899144728205	0.5226331013637063	0.4216646961316012	0.38091444096769106	0.3942977600447148	0.4220439579915827	0.40961647181245564	0.34952438595579166	0.4331735046825731	0.40402796159656273	0.4632409714548794	0.4987124304408487	0.4736643911134316	0.36753366139015	0.3690364756878184	0.3690642534835148	0.4175814658934507
f9pp	0.24432005323994843	0.1699621573647524	0.15376320286442433	0.09725353819184507	0.0	0.216497974251118	0.2483373390927738	0.18666720216038854	0.3293554686816413	0.3910503384306119	0.22267401973817894	0.22029959784022374	0.2996910610794348	0.22428468448422434	0.2267742501412267	0.2978254807234382	0.2569693351645356	0.26103189397344906	0.37627309307734835	0.4352072029937726	0.3342387977616674	0.29348854259775736	0.3068718616747811	0.334618059621649	0.32219057344252194	0.26209848758585796	0.3457476063126394	0.316602063226629	0.3758150730849457	0.4112865320709149	0.3862384927434979	0.2801077630202162	0.28161057731788464	0.28163835511358104	0.33015556752351694
f2pp	0.35843554544085265	0.2840776495656566	0.30739377345328767	0.30392387262105175	0.216497974251118	0.0	0.2838249646096027	0.2970041822255943	0.44347096088254545	0.5051658306315161	0.33678951193908313	0.3344150900411279	0.413806553280339	0.33840017668512856	0.34088974234213093	0.4119409729243424	0.3710848273654398	0.3751473861743533	0.4903885852782526	0.5493226951946768	0.44835428996257165	0.4076040347986616	0.4209873538756853	0.4487335518225532	0.43630606564342617	0.3762139797867622	0.4598630985135436	0.4307175554275332	0.48993056528584994	0.5254020242718191	0.5003539849444021	0.39422325522112045	0.39572606951878886	0.39575384731448526	0.44427105972442116
S6Hp	0.3902749102825085	0.3159170144073124	0.3392331382949435	0.33576323746270753	0.2483373390927738	0.2838249646096027	0.0	0.3288435470672501	0.4753103257242013	0.5370051954731718	0.3686288767807389	0.36625445488278374	0.4456459181219948	0.37023954152678434	0.37272910718378677	0.44378033776599823	0.40292419220709563	0.4069867510160091	0.5222279501199084	0.5811620600363326	0.4801936548042275	0.4394433996403174	0.45282671871734115	0.48057291666420904	0.468145430485082	0.408053344628418	0.49170246335519946	0.46255692026918904	0.5217699301275058	0.557241389113475	0.532193349786058	0.4260626200627763	0.4275654343604447	0.4275932121561411	0.476110424566077
w6pp	0.32860477335012317	0.25424687747492714	0.27756300136255824	0.2740931005303223	0.18666720216038854	0.2970041822255943	0.3288435470672501	0.0	0.413640188791816	0.4753350585407866	0.3069587398483537	0.3045843179503985	0.3839757811896095	0.3085694045943991	0.31105897025140145	0.3821102008336129	0.3412540552747103	0.3453166140836238	0.4605578131875231	0.5194919231039473	0.41852351787184217	0.3777732627079321	0.3911565817849558	0.4189027797318237	0.4064752935526967	0.3463832076960327	0.43003232642281414	0.4008867833368037	0.46009979319512045	0.49557125218108966	0.47052321285367266	0.36439248313039097	0.3658952974280594	0.3659230752237558	0.4144402876336917
S1Hp	0.3860768210102643	0.34731582757476515	0.42025126788381095	0.416781367051575	0.3293554686816413	0.44347096088254545	0.4753103257242013	0.413640188791816	0.0	0.5328071062009277	0.3644307875084948	0.3620563656105396	0.44144782884975065	0.3660414522545402	0.36853101791154264	0.4395822484937541	0.39872610293485145	0.40278866174376493	0.5180298608476642	0.5769639707640886	0.47599556553198336	0.43524531036807323	0.44862862944509696	0.4763748273919649	0.46394734121283787	0.40385525535617384	0.4875043740829553	0.4583588309969449	0.5175718408552616	0.5530432998412309	0.5279952605138138	0.4218645307905322	0.4233673450882006	0.4233951228838969	0.47191233529383286
S15Hp	0.41740709926676156	0.40901069732373574	0.4819461376327816	0.47847623680054563	0.3910503384306119	0.5051658306315161	0.5370051954731718	0.4753350585407866	0.5328071062009277	0.0	0.3122353424214446	0.39338664386703687	0.4727781071062479	0.39737173051103747	0.3998612961680399	0.47091252675025136	0.4300563811913487	0.4341189400002622	0.5493601391041615	0.6082942490205858	0.5073258437884807	0.4665755886245705	0.4799589077015942	0.5077051056484622	0.49527761946933513	0.4351855336126711	0.5188346523394526	0.48968910925344217	0.5489021191117589	0.5843735780977282	0.5593255387703111	0.45319480904702947	0.4546976233446979	0.45472540114039417	0.5032426135503301
