	31700	S16H2	F14H1A	f19pp	w16pp	S15Hp	f16ppA	f16ppB	S1Hp	f22ppA	f14ppB	w3pp	s14pp	F7H1	s1pp	s13pp	S22Hp	s24pp	w30pp	w9pp	f7pp	s22pp	S20H1	s3pp	S13Hp	31750	S9H1	S18H1	S21H1	S26Hp
31700	0.0	0.1629428920116372	0.1752934156825372	0.31155216569658634	0.3217936819176588	0.3843875957034423	0.3532053456785097	0.33985757115233917	0.39648019820682445	0.3748981504196418	0.28080822879127393	0.3660847970652412	0.41592174600775045	0.44091788145637834	0.32713823930565755	0.39375882834991804	0.4242689798146534	0.3892278692664809	0.3438621374669921	0.3562435026393215	0.38225740078085446	0.35129718623908446	0.4232402059932304	0.31828281674742037	0.2705618436198295	0.25386221341844684	0.2599305445341097	0.262072153355401	0.24384645162148477	0.05371343969129723
S16H2	0.1629428920116372	0.0	0.1341218857278689	0.3153527364429978	0.32559425266407027	0.38818816644985377	0.3570059164249212	0.34365814189875066	0.40028076895323594	0.3786987211660533	0.2846087995376854	0.3698853678116527	0.41972231675416194	0.4447184522027898	0.33093881005206904	0.39755939909632954	0.4280695505610649	0.3930284400128924	0.3476627082134036	0.36004407338573297	0.38605797152726595	0.35509775698549595	0.4270407767396419	0.32208338749383186	0.2743624143662409	0.2576627841648583	0.2637311152805212	0.26587272410181245	0.24764702236789626	0.15591228792131792
F14H1A	0.1752934156825372	0.1341218857278689	0.0	0.32770326011389783	0.3379447763349702	0.40053869012075377	0.3693564400958212	0.35600866556965066	0.41263129262413595	0.3910492448369533	0.2969593232085854	0.3822358914825527	0.43207284042506194	0.45706897587368983	0.34328933372296905	0.40990992276722954	0.4404200742319649	0.4053789636837924	0.3600132318843036	0.37239459705663297	0.39840849519816596	0.36744828065639595	0.4393913004105419	0.33443391116473187	0.28671293803714093	0.2700133078357583	0.2760816389514211	0.27822324777271246	0.2599975460387962	0.16826281159221793
f19pp	0.31155216569658634	0.3153527364429978	0.32770326011389783	0.0	0.14721635799199306	0.20981027177777667	0.19291485621586918	0.17956708168969865	0.23618970874418388	0.21460766095700123	0.12051773932863338	0.20579430760260065	0.25563125654510993	0.2806273919937379	0.16684774984301703	0.23346833888727753	0.2639784903520128	0.22893737980384038	0.1835716480043516	0.1959530131766809	0.2219669113182139	0.19100669677644388	0.26294971653058985	0.1579923272847798	0.19534061340606704	0.31459473345784544	0.3206630645735083	0.32280467339479957	0.3219628717725656	0.3045215616062671
w16pp	0.3217936819176588	0.32559425266407027	0.3379447763349702	0.14721635799199306	0.0	0.19987117945428956	0.2031563724369416	0.18980859791077107	0.24643122496525632	0.22484917717807365	0.1307592555497058	0.2160358238236731	0.2658727727661824	0.29086890821481026	0.17708926606408945	0.24370985510834997	0.27422000657308526	0.2391788960249128	0.19381316422542402	0.20619452939775335	0.23220842753928633	0.20124821299751633	0.2731912327516623	0.16823384350585224	0.20558212962713948	0.3248362496789179	0.33090458079458074	0.33304618961587207	0.33220438799363805	0.31476307782733953
S15Hp	0.3843875957034423	0.38818816644985377	0.40053869012075377	0.20981027177777667	0.19987117945428956	0.0	0.2657502862227252	0.25240251169655464	0.3090251387510399	0.28744309096385723	0.1933531693354894	0.27862973760945664	0.328466686551966	0.35346282200059387	0.23968317984987303	0.3063037688941336	0.3368139203588688	0.3017728098106964	0.2564070780112076	0.2687884431835369	0.2948023413250699	0.2638421267832999	0.33578514653744584	0.23082775729163582	0.26817604341292306	0.38743016346470144	0.3934984945803643	0.39564010340165556	0.3947983017794216	0.377356991613123
f16ppA	0.3532053456785097	0.3570059164249212	0.3693564400958212	0.19291485621586918	0.2031563724369416	0.2657502862227252	0.0	0.1211306461401164	0.20903409242272186	0.18745204463553922	0.1142524453315318	0.19952901360549907	0.24936596254800836	0.27436209799663624	0.1789071786957479	0.24552776774000842	0.27603791920474374	0.24099680865657125	0.19563107685708248	0.2080124420294118	0.23402634017094479	0.20306612562917475	0.2750091453833208	0.19342881375120763	0.23699379338799043	0.3562479134397688	0.36231624455543165	0.364457853376723	0.36361605175448897	0.34617474158819045
f16ppB	0.33985757115233917	0.34365814189875066	0.35600866556965066	0.17956708168969865	0.18980859791077107	0.25240251169655464	0.1211306461401164	0.0	0.19568631789655133	0.1741042701093687	0.10090467080536127	0.18618123907932854	0.23601818802183783	0.2610143234704657	0.16555940416957737	0.2321799932138379	0.2626901446785732	0.22764903413040072	0.18228330233091194	0.19466466750324127	0.22067856564477425	0.18971835110300422	0.26166137085715024	0.1800810392250371	0.2236460188618199	0.3429001389135983	0.3489684700292611	0.35111007885055245	0.35026827722831844	0.3328269670620199
S1Hp	0.39648019820682445	0.40028076895323594	0.41263129262413595	0.23618970874418388	0.24643122496525632	0.3090251387510399	0.20903409242272186	0.19568631789655133	0.0	0.19859419717407034	0.1575272978598465	0.24280386613381377	0.29264081507632306	0.317636950524951	0.22218203122406263	0.28880262026832315	0.31931277173305844	0.284271661184886	0.2389059293853972	0.2512872945577265	0.2773011926992595	0.2463409781574895	0.3182839979116355	0.23670366627952233	0.2802686459163052	0.39952276596808356	0.4055910970837464	0.40773270590503774	0.4068909042828037	0.3894495941165052
f22ppA	0.3748981504196418	0.3786987211660533	0.3910492448369533	0.21460766095700123	0.22484917717807365	0.28744309096385723	0.18745204463553922	0.1741042701093687	0.19859419717407034	0.0	0.13594525007266384	0.2212218183466311	0.27105876728914036	0.2960549027377683	0.20059998343687996	0.26722057248114045	0.29773072394587574	0.2626896133977033	0.21732388159821453	0.22970524677054383	0.2557191449120768	0.2247589303703068	0.2967019501244528	0.21512161849233968	0.2586865981291225	0.3779407181809009	0.38400904929656376	0.38615065811785504	0.3853088564956211	0.36786754632932256
