	f2pp	f4pp	f1pp	S6Hp	F6H1	S13Hp	S18H1	S1Hp	S28Hp	S23Hp	s24H1	f8pp	f18pp	f25pp	f14ppB
f2pp	0.0	0.10128028501552579	0.12442244963289811	0.39366303071444964	0.7027983513154351	0.6327259560496545	0.6135697347961602	0.6132493563566372	0.6582727015138276	0.4831561570631725	0.20956389001329312	0.14982984709355046	0.14368419854229145	0.16758465715283702	0.11451160356736087
f4pp	0.10128028501552579	0.0	0.05713267028786975	0.345546213643227	0.6546815342442125	0.5846091389784319	0.5654529177249376	0.5651325392854146	0.6101558844426049	0.4350393399919499	0.1614470729420705	0.10171303002232782	0.0955673814710688	0.11946784008161437	0.06639478649613823
f1pp	0.12442244963289811	0.05713267028786975	0.0	0.3686883782605993	0.6778236988615848	0.6077513035958042	0.5885950823423098	0.5882747039027869	0.6332980490599772	0.45818150460932217	0.18458923755944284	0.12485519463970017	0.11870954608844116	0.14261000469898671	0.08953695111351057
S6Hp	0.39366303071444964	0.345546213643227	0.3686883782605993	0.0	0.6781394254979468	0.6080670302321662	0.5889108089786718	0.5885904305391488	0.6336137756963391	0.4584972312456842	0.3966555880880278	0.3777226281676584	0.3715769796163994	0.395477438226945	0.34240438464146883
F6H1	0.7027983513154351	0.6546815342442125	0.6778236988615848	0.6781394254979468	0.0	0.5963546903961359	0.713903865178654	0.7135834867391311	0.7586068318963213	0.6560486592349307	0.7057909086890133	0.6868579487686438	0.6807123002173848	0.7046127588279304	0.6515397052424542
S13Hp	0.6327259560496545	0.5846091389784319	0.6077513035958042	0.6080670302321662	0.5963546903961359	0.0	0.6438314699128733	0.6435110914733504	0.6885344366305408	0.5859762639691501	0.6357185134232327	0.6167855535028632	0.6106399049516043	0.6345403635621498	0.5814673099766736
S18H1	0.6135697347961602	0.5654529177249376	0.5885950823423098	0.5889108089786718	0.713903865178654	0.6438314699128733	0.0	0.5493490701334394	0.5943724152906298	0.5668200427156558	0.6165622921697383	0.5976293322493689	0.5914836836981099	0.6153841423086555	0.5623110887231793
S1Hp	0.6132493563566372	0.5651325392854146	0.5882747039027869	0.5885904305391488	0.7135834867391311	0.6435110914733504	0.5493490701334394	0.0	0.5477514905587828	0.5664996642761329	0.6162419137302154	0.5973089538098459	0.591163305258587	0.6150637638691325	0.5619907102836563
S28Hp	0.6582727015138276	0.6101558844426049	0.6332980490599772	0.6336137756963391	0.7586068318963213	0.6885344366305408	0.5943724152906298	0.5477514905587828	0.0	0.611523009433323	0.6612652588874057	0.6423322989670363	0.6361866504157773	0.6600871090263228	0.6070140554408466
S23Hp	0.4831561570631725	0.4350393399919499	0.45818150460932217	0.4584972312456842	0.6560486592349307	0.5859762639691501	0.5668200427156558	0.5664996642761329	0.611523009433323	0.0	0.4861487144367507	0.46721575451638125	0.46107010596512227	0.48497056457566784	0.4318975109901917
s24H1	0.20956389001329312	0.1614470729420705	0.18458923755944284	0.3966555880880278	0.7057909086890133	0.6357185134232327	0.6165622921697383	0.6162419137302154	0.6612652588874057	0.4861487144367507	0.0	0.19362348746650193	0.1874778389152429	0.21137829752578846	0.1583052439403123
f8pp	0.14982984709355046	0.10171303002232782	0.12485519463970017	0.3777226281676584	0.6868579487686438	0.6167855535028632	0.5976293322493689	0.5973089538098459	0.6423322989670363	0.46721575451638125	0.19362348746650193	0.0	0.0736666796172992	0.09756713822784477	0.08739630481040989
f18pp	0.14368419854229145	0.0955673814710688	0.11870954608844116	0.3715769796163994	0.6807123002173848	0.6106399049516043	0.5914836836981099	0.591163305258587	0.6361866504157773	0.46107010596512227	0.1874778389152429	0.0736666796172992	0.0	0.07489820859096347	0.08125065625915087
f25pp	0.16758465715283702	0.11946784008161437	0.14261000469898671	0.395477438226945	0.7046127588279304	0.6345403635621498	0.6153841423086555	0.6150637638691325	0.6600871090263228	0.48497056457566784	0.21137829752578846	0.09756713822784477	0.07489820859096347	0.0	0.10515111486969644
f14ppB	0.11451160356736087	0.06639478649613823	0.08953695111351057	0.34240438464146883	0.6515397052424542	0.5814673099766736	0.5623110887231793	0.5619907102836563	0.6070140554408466	0.4318975109901917	0.1583052439403123	0.08739630481040989	0.08125065625915087	0.10515111486969644	0.0
