	F14H1B	s25pp	s22pp	S17H1	w3pp	f2pp	S20H1	S7Hp	S9H1	f14ppB	f8pp
F14H1B	0.0	0.28093322102648666	0.43925059037519965	0.5116444726996693	0.3494015264177946	0.3800754182438823	0.4430793512718366	0.5890266987275933	1.791555252275362	0.32418836586285066	0.31531475051596297
s25pp	0.28093322102648666	0.0	0.3570198727858738	0.4294137551103435	0.2671708088284688	0.2978447006545565	0.36084863368251074	0.5067959811382675	1.7093245346860362	0.24195764827352484	0.23308403292663715
s22pp	0.43925059037519965	0.3570198727858738	0.0	0.3616059387954444	0.25362593266766204	0.3147576502901241	0.3777615833180784	0.5237089307738351	1.726237484321604	0.25887059790909245	0.2825763774462767
S17H1	0.5116444726996693	0.4294137551103435	0.3616059387954444	0.0	0.3260198149921317	0.38715153261459373	0.45015546564254805	0.5961028130983047	1.7986313666460736	0.3312644802335621	0.3549702597707464
w3pp	0.3494015264177946	0.2671708088284688	0.25362593266766204	0.3260198149921317	0.0	0.224908586332719	0.2879125193606733	0.43385986681642996	1.6363884203641987	0.16902153395168737	0.19272731348887168
f2pp	0.3800754182438823	0.2978447006545565	0.3147576502901241	0.38715153261459373	0.224908586332719	0.0	0.2305770683317059	0.37652441578746254	1.5790529693352313	0.13988363082901484	0.22340120531495938
S20H1	0.4430793512718366	0.36084863368251074	0.3777615833180784	0.45015546564254805	0.2879125193606733	0.2305770683317059	0.0	0.3980414705381461	1.6382954345254237	0.20288756385696913	0.2864051383429137
S7Hp	0.5890266987275933	0.5067959811382675	0.5237089307738351	0.5961028130983047	0.43385986681642996	0.37652441578746254	0.3980414705381461	0.0	1.7842427819811804	0.34883491131272576	0.4323524857986704
S9H1	1.791555252275362	1.7093245346860362	1.726237484321604	1.7986313666460736	1.6363884203641987	1.5790529693352313	1.6382954345254237	1.7842427819811804	0.0	1.5513634648604946	1.634881039346439
f14ppB	0.32418836586285066	0.24195764827352484	0.25887059790909245	0.3312644802335621	0.16902153395168737	0.13988363082901484	0.20288756385696913	0.34883491131272576	1.5513634648604946	0.0	0.16751415293392777
f8pp	0.31531475051596297	0.23308403292663715	0.2825763774462767	0.3549702597707464	0.19272731348887168	0.22340120531495938	0.2864051383429137	0.4323524857986704	1.634881039346439	0.16751415293392777	0.0
