	f2pp	S1Hp	S3Hp	S20H1	f4pp	f21pp	f14ppB	f17ppA	F14H1B	S17H1	s24pp	f12ppB	f18pp	w3pp	S18H1	S19H1	f24pp	f1pp	f14ppA	f12ppA	S9H1	s2pp
f2pp	0.0	0.6028688949838258	0.20905091997712477	0.24222772149115918	0.14755164950657543	0.17648795476198378	0.08889922531556918	0.15782349887242397	0.25485499749106827	0.2772238077194302	0.15598429532659852	0.17137854137894398	0.15900171467904867	0.1572647845285389	0.23644425000562638	0.24489862335611537	0.13890488303165185	0.1616006771228086	0.1269011498253829	0.10562115756226712	0.5755772919078097	0.11469725368042269
S1Hp	0.6028688949838258	0.0	0.7133012053613872	0.7464780068754215	0.6518019348908378	0.6807382401462462	0.5931495106998316	0.6620737842566864	0.7591052828753306	0.7814740931036925	0.6602345807108609	0.6756288267632063	0.6632520000633111	0.6615150699128013	0.7406945353898888	0.7491489087403778	0.6431551684159142	0.665850962507071	0.6311514352096452	0.6098714429465295	1.0798275772920722	0.631293148147253
S3Hp	0.20905091997712477	0.7133012053613872	0.0	0.2077605192302776	0.15526675335652698	0.19007001909781918	0.1492232898958723	0.21814756345272712	0.3330742932018854	0.3554431034302473	0.23420359103741567	0.24959783708976113	0.23722101038986582	0.23548408023935605	0.3146635457164435	0.32311791906693255	0.21712417874246898	0.23981997283362572	0.2051204455362	0.20385253862285024	0.6738086729683929	0.23747517314055203
S20H1	0.24222772149115918	0.7464780068754215	0.2077605192302776	0.0	0.18844355487056139	0.2232468206118536	0.1824000914099067	0.2513243649667615	0.36625109471591977	0.3886199049442818	0.2673803925514501	0.28277463860379554	0.2703978119039002	0.2686608817533904	0.34784034723047796	0.3562947205809669	0.2503009802565034	0.2729967743476601	0.23829724705023442	0.23702934013688465	0.7069854744824273	0.27065197465458646
f4pp	0.14755164950657543	0.6518019348908378	0.15526675335652698	0.18844355487056139	0.0	0.12857074862726986	0.08772401942532294	0.15664829298217775	0.27157502273133605	0.293943832959698	0.1727043205668663	0.18809856661921176	0.17572173991931644	0.1739848097688067	0.2531642752458942	0.2616186485963832	0.15562490827191963	0.17832070236307637	0.14362117506565067	0.1423532681523009	0.6123094024978435	0.17597590267000268
f21pp	0.17648795476198378	0.6807382401462462	0.19007001909781918	0.2232468206118536	0.12857074862726986	0.0	0.11666032468073131	0.18558459823758613	0.3005113279867444	0.32288013821510636	0.20164062582227468	0.21703487187462014	0.20465804517472483	0.20292111502421506	0.28210058050130254	0.29055495385179153	0.18456121352732802	0.20725700761848476	0.17255748032105903	0.17128957340770928	0.6412457077532518	0.20491220792541104
f14ppB	0.08889922531556918	0.5931495106998316	0.1492232898958723	0.1824000914099067	0.08772401942532294	0.11666032468073131	0.0	0.07851274091339015	0.21292259854032977	0.23529140876869173	0.11405189637586005	0.1294461424282055	0.1170693157283102	0.11533238557780043	0.1945118510548879	0.2029662244053769	0.09697248408091337	0.11966827817207011	0.0849687508746444	0.08370084396129464	0.5536569783068372	0.11732347847899642
f17ppA	0.15782349887242397	0.6620737842566864	0.21814756345272712	0.2513243649667615	0.15664829298217775	0.18558459823758613	0.07851274091339015	0.0	0.2818468720971846	0.3042156823255465	0.18297616993271487	0.19837041598506033	0.18599358928516502	0.18425665913465525	0.2634361246117427	0.27189049796223175	0.16589675763776818	0.18859255172892492	0.15389302443149921	0.15262511751814944	0.6225812518636921	0.18624775203585123
F14H1B	0.25485499749106827	0.7591052828753306	0.3330742932018854	0.36625109471591977	0.27157502273133605	0.3005113279867444	0.21292259854032977	0.2818468720971846	0.0	0.29094571556945403	0.19675465093427005	0.21214889698661554	0.2240133837446906	0.22227645359418083	0.33579647497095205	0.34425084832144104	0.23825710799697752	0.26095290208813426	0.22625337479070856	0.24965661613679374	0.7196127504823363	0.2832792506544955
S17H1	0.2772238077194302	0.7814740931036925	0.3554431034302473	0.3886199049442818	0.293943832959698	0.32288013821510636	0.23529140876869173	0.3042156823255465	0.29094571556945403	0.0	0.219123461162632	0.2345177072149775	0.24638219397305255	0.24464526382254279	0.358165285199314	0.366619658549803	0.2606259182253395	0.2833217123164962	0.24862218501907052	0.2720254263651557	0.7419815607106983	0.30564806088285745
s24pp	0.15598429532659852	0.6602345807108609	0.23420359103741567	0.2673803925514501	0.1727043205668663	0.20164062582227468	0.11405189637586005	0.18297616993271487	0.19675465093427005	0.219123461162632	0.0	0.11327619482114576	0.1251426815802209	0.12340575142971114	0.23692577280648236	0.24538014615697135	0.1393864058325078	0.16208219992366457	0.12738267262623884	0.150785913972324	0.6207420483178666	0.18440854849002578
f12ppB	0.17137854137894398	0.6756288267632063	0.24959783708976113	0.28277463860379554	0.18809856661921176	0.21703487187462014	0.1294461424282055	0.19837041598506033	0.21214889698661554	0.2345177072149775	0.11327619482114576	0.0	0.14053692763256637	0.1387999974820566	0.2523200188588278	0.2607743922093168	0.15478065188485327	0.17747644597601003	0.1427769186785843	0.16618016002466945	0.636136294370212	0.19980279454237124
f18pp	0.15900171467904867	0.6632520000633111	0.23722101038986582	0.2703978119039002	0.17572173991931644	0.20465804517472483	0.1170693157283102	0.18599358928516502	0.2240133837446906	0.24638219397305255	0.1251426815802209	0.14053692763256637	0.0	0.09258693412369054	0.2399431921589325	0.2483975655094215	0.14240382518495795	0.16509961927611472	0.130400091978689	0.15380333332477414	0.6237594676703168	0.18742596784247592
w3pp	0.1572647845285389	0.6615150699128013	0.23548408023935605	0.2686608817533904	0.1739848097688067	0.20292111502421506	0.11533238557780043	0.18425665913465525	0.22227645359418083	0.24464526382254279	0.12340575142971114	0.1387999974820566	0.09258693412369054	0.0	0.2382062620084227	0.2466606353589117	0.14066689503444818	0.16336268912560492	0.12866316182817922	0.1520664031742644	0.622022537519807	0.18568903769196615
S18H1	0.23644425000562638	0.7406945353898888	0.3146635457164435	0.34784034723047796	0.2531642752458942	0.28210058050130254	0.1945118510548879	0.2634361246117427	0.33579647497095205	0.358165285199314	0.23692577280648236	0.2523200188588278	0.2399431921589325	0.2382062620084227	0.0	0.25391614632415954	0.1983183465696996	0.22101414066085634	0.18631461336343064	0.23124586865135188	0.7012020029968945	0.26486850316905364
S19H1	0.24489862335611537	0.7491489087403778	0.32311791906693255	0.3562947205809669	0.2616186485963832	0.29055495385179153	0.2029662244053769	0.27189049796223175	0.34425084832144104	0.366619658549803	0.24538014615697135	0.2607743922093168	0.2483975655094215	0.2466606353589117	0.25391614632415954	0.0	0.20677271992018859	0.22946851401134533	0.19476898671391962	0.23970024200184087	0.7096563763473834	0.2733228765195426
f24pp	0.13890488303165185	0.6431551684159142	0.21712417874246898	0.2503009802565034	0.15562490827191963	0.18456121352732802	0.09697248408091337	0.16589675763776818	0.23825710799697752	0.2606259182253395	0.1393864058325078	0.15478065188485327	0.14240382518495795	0.14066689503444818	0.1983183465696996	0.20677271992018859	0.0	0.09964890844244143	0.06494938114501571	0.13370650167737733	0.6036626360229199	0.1673291361950791
f1pp	0.1616006771228086	0.665850962507071	0.23981997283362572	0.2729967743476601	0.17832070236307637	0.20725700761848476	0.11966827817207011	0.18859255172892492	0.26095290208813426	0.2833217123164962	0.16208219992366457	0.17747644597601003	0.16509961927611472	0.16336268912560492	0.22101414066085634	0.22946851401134533	0.09964890844244143	0.0	0.060428442922620555	0.15640229576853407	0.6263584301140767	0.19002493028623585
