	w9pp	f26pp	f2pp	f12ppA	f1pp	w12pp	f7pp	f21pp	w8pp	f29pp	f16ppA	f19pp	f8pp	s23pp	f6ppA	f30pp	f4pp	w3pp	S15Hp	f9pp	w10pp	w21pp	f16ppB	f24pp	f22ppA	f17ppA	w6pp	f25pp	f14ppB	f14ppA
w9pp	0.0	0.15717731603505555	0.21183013829645087	0.2580829227194603	0.2705885490390245	0.268733556083832	0.2226489126796182	0.22319708487969456	0.32662232885561926	0.23946604017461168	0.19093675850336964	0.19883633319615962	0.22806041901810067	0.4167675078522788	0.22412547956346304	0.19248857227020508	0.1984019824206943	0.1908486106749994	0.3906880348418763	0.21134214020903824	0.2994773890224284	0.2103442835935674	0.19835515721164954	0.2051734028954011	0.1776173497739958	0.21918102819405913	0.20959695252687136	0.2023016997060261	0.08029404129103837	0.2593249484635253
f26pp	0.15717731603505555	0.0	0.2888195273382608	0.33507231176127017	0.3475779380808344	0.34572294512564183	0.2996383017214281	0.30018647392150444	0.40361171789742917	0.31645542921642156	0.2679261475451795	0.27582572223796953	0.30504980805991055	0.4937568968940887	0.3011148686052729	0.26947796131201496	0.27539137146250414	0.26783799971680927	0.4676774238836862	0.28833152925084815	0.37646677806423823	0.2873336726353773	0.2753445462534594	0.28216279193721094	0.25460673881580564	0.296170417235869	0.28658634156868124	0.279291088747836	0.15728343033284825	0.3363143375053352
f2pp	0.21183013829645087	0.2888195273382608	0.0	0.2118574877376802	0.24534921943258825	0.24349422647739566	0.19740958307318193	0.23995049348846315	0.3433757374643879	0.2562194487833803	0.22674865085968754	0.2429484984003445	0.28387798160997424	0.47258507044415243	0.2799430421553366	0.2694928582504871	0.27540626840097626	0.26785289665528134	0.4676923208221583	0.2883464261893202	0.3764816750027103	0.28734856957384936	0.2753594431919315	0.28217768887568306	0.25462163575427776	0.29618531417434113	0.28660123850715336	0.27930598568630804	0.18112674804926998	0.37698600461452947
f12ppA	0.2580829227194603	0.33507231176127017	0.2118574877376802	0.0	0.29160200385559765	0.28974701090040506	0.24366236749619133	0.28620327791147254	0.38962852188739727	0.3024722332063897	0.27300143528269694	0.2892012828233539	0.3301307660329837	0.5188378548671618	0.32619582657834606	0.3157456426734965	0.32165905282398566	0.3141056810782908	0.5139451052451678	0.33459921061232967	0.42273445942571974	0.3336013539968588	0.3216122276149409	0.32843047329869246	0.30087442017728716	0.3424380985973505	0.33285402293016275	0.3255587701093175	0.22737953247227943	0.4232387890375389
f1pp	0.2705885490390245	0.3475779380808344	0.24534921943258825	0.29160200385559765	0.0	0.2905700455243497	0.24448540212013592	0.2987089042310368	0.4021341482069616	0.3149778595259539	0.2855070616022612	0.3017069091429182	0.34263639235254795	0.5313434811867261	0.3387014528979103	0.32825126899306073	0.33416467914354997	0.32661130739785504	0.526450731564732	0.34710483693189387	0.43524008574528394	0.34610698031642306	0.3341178539345052	0.34093609961825677	0.3133800464968514	0.3549437249169148	0.345359649249727	0.33806439642888175	0.2398851587918437	0.4357444153571032
w12pp	0.268733556083832	0.34572294512564183	0.24349422647739566	0.28974701090040506	0.2905700455243497	0.0	0.2011226780732554	0.2968539112758442	0.40027915525176894	0.3131228665707614	0.2836520686470686	0.29985191618772555	0.34078139939735536	0.5294884882315335	0.3368464599427177	0.32639627603786814	0.3323096861883573	0.32475631444266245	0.5245957386095395	0.34524984397670133	0.4333850927900914	0.34425198736123047	0.33226286097931257	0.3390811066630641	0.3115250535416588	0.3530887319617222	0.3435046562945344	0.33620940347368916	0.2380301658366511	0.4338894224019106
f7pp	0.2226489126796182	0.2996383017214281	0.19740958307318193	0.24366236749619133	0.24448540212013592	0.2011226780732554	0.0	0.25076926787163045	0.35419451184755524	0.26703822316654763	0.23756742524285485	0.25376727278351185	0.2946967559931416	0.4834038448273198	0.29076181653850397	0.2803116326336544	0.2862250427841436	0.2786716710384487	0.47851109520532564	0.2991652005724875	0.3873004493858776	0.2981673439570167	0.28617821757509887	0.2929964632588504	0.26544041013744507	0.30700408855750844	0.29742001289032066	0.2901247600694754	0.19194552243243734	0.38780477899769683
f21pp	0.22319708487969456	0.30018647392150444	0.23995049348846315	0.28620327791147254	0.2987089042310368	0.2968539112758442	0.25076926787163045	0.0	0.3121881023710101	0.2250338136910025	0.2381155974429312	0.25431544498358816	0.29524492819321796	0.4839520170273961	0.2913099887385803	0.28085980483373074	0.2867732149842199	0.27921984323852506	0.479059267405402	0.29971337277256394	0.387848621585954	0.2987155161570931	0.28672638977517517	0.29354463545892673	0.26598858233752143	0.3075522607575848	0.297968185090397	0.29067293226955176	0.1924936946325137	0.3883529511977732
w8pp	0.32662232885561926	0.40361171789742917	0.3433757374643879	0.38962852188739727	0.4021341482069616	0.40027915525176894	0.35419451184755524	0.3121881023710101	0.0	0.3284590576669273	0.34154084141885593	0.35774068895951294	0.3986701721691427	0.5873772610033209	0.39473523271450506	0.38428504880965547	0.3901984589601447	0.3826450872144498	0.5824845113813267	0.4031386167484886	0.4912738655618787	0.4021407601330178	0.39015163375109996	0.3969698794348515	0.36941382631344616	0.4109775047335095	0.40139342906632175	0.3940981762454765	0.29591893860843843	0.4917781951736979
f29pp	0.23946604017461168	0.31645542921642156	0.2562194487833803	0.3024722332063897	0.3149778595259539	0.3131228665707614	0.26703822316654763	0.2250338136910025	0.3284590576669273	0.0	0.2543845527378483	0.2705844002785053	0.3115138834881351	0.5002209723223132	0.30757894403349745	0.29712876012864786	0.30304217027913705	0.2954887985334422	0.4953282227003191	0.31598232806748106	0.40411757688087113	0.3149844714520102	0.3029953450700923	0.30981359075384385	0.28225753763243855	0.3238212160525019	0.31423714038531414	0.3069418875644689	0.20876264992743082	0.4046219064926903
