	s1pp	w10pp	s18pp	s28pp	s14pp	s29pp	s25pp	s9pp	s22pp	w30pp	s30pp	s15pp	s17pp	s24pp	s12pp	s26pp	s31pp	s32pp	s4pp	530394	f17ppA	f16ppB	f20ppB	f31pp	f26pp	f6ppA	f13pp	S3Hp	S26Hp	f19pp	w18pp	f9pp	w14pp	w16pp	S22Hp	S18H1	S13Hp	F23HpA	S19H1	S28Hp	F7H1	530451	S1Hp	530167	S9H1	31750	S15Hp	f14ppA	f15pp	f14ppB	f4pp	f32pp	f23ppB	f12ppA	f6ppB	f30pp	f18pp	f12ppB	f23ppA	f21pp	f8pp	f7pp	f10pp	f16ppA	w31pp	f11pp	f22ppB	w23pp	f28pp	w19pp	w4pp	S16H2	530227	f24pp	w17pp	f29pp	f2pp	w21pp	s13pp	w9pp	w13pp	f22ppA	w11pp	f25pp	w3pp	f1pp	S25Hp	s6pp	w25pp	w27pp	s19pp	S2Hp	s2pp	s27pp	w28pp	w12pp	w26pp
s1pp	0.0	0.03311871494550879	0.04053970633060557	0.04075937609479488	0.046312596942743235	0.044748812762161104	0.0580970322552572	0.05375382059435433	0.05704989470817977	0.059067562160423505	0.05951763228226502	0.06339757714762932	0.06259041831206377	0.06090071760520783	0.03803751581035696	0.03686321653261397	0.24367040730474182	0.24351421341725005	0.3213917380305518	0.29094578348635963	0.17373473316212573	0.17082679226409714	0.22643989281540894	0.18087438859232569	0.19035500790643017	0.20448142297091815	0.2370373037539415	0.27052421044042346	0.30745518915496434	0.2155705823952237	0.26622003808618616	0.18454255736413233	0.2365879113824531	0.22371297823240632	0.32822761532586353	0.3831607331474311	0.3286654955732606	0.558945928988161	0.5755538977039891	0.5667871726892378	0.5860209063681887	0.5641312508128332	0.5546686427854003	0.5960282699641662	0.6047352601220076	0.6085663033572712	0.5642685657553809	0.18992739444545442	0.17441410104954153	0.1583147929223403	0.1605187853337856	0.17837912168019215	0.19514509290104748	0.18535327591940243	0.17349320782474043	0.2003930032723627	0.18446526905838484	0.18990122456252373	0.18958114794773778	0.17939282048218352	0.16338597296648288	0.187993762756324	0.19520813502230722	0.15353731096626788	0.2160615356772848	0.19073567435473276	0.16866333943176465	0.2571029903054013	0.2441574797936258	0.2265840195256011	0.24202317171788862	0.3032883525628393	0.3056154698807694	0.17178735938205786	0.17362156864518596	0.21446252041732095	0.18674963252318988	0.2277152612050169	0.21553861946946545	0.19010777060722006	0.18869322576490055	0.19820938965168983	0.2216323471657453	0.14267973143870155	0.15654896689368164	0.16017152062762285	0.2501715953501592	0.18761458441319673	0.16611733307811577	0.17770632420929733	0.1603128738597721	0.24192766119506576	0.2372986554207701	0.23507612326231286	0.13496931807808765	0.13796802560413768	0.10865451773675679
w10pp	0.03311871494550879	0.0	0.04778550853583812	0.04800517830002743	0.053558399147975784	0.05199461496739365	0.06534283446048975	0.06099962279958688	0.06429569691341232	0.06631336436565605	0.06676343448749757	0.07064337935286187	0.06983622051729632	0.06814651981044037	0.04528331801558952	0.06301789403410295	0.2698250848062308	0.269668890918739	0.3475464155320408	0.3171004609878486	0.1998894106636147	0.19698146976558611	0.2525945703168979	0.20702906609381466	0.21650968540791915	0.23063610047240712	0.2631919812554305	0.29667888794191244	0.3336098666564533	0.24172525989671267	0.29237471558767514	0.2106972348656213	0.2627425888839421	0.2498676557338953	0.3543822928273525	0.4093154106489201	0.35482017307474956	0.5851006064896499	0.601708575205478	0.5929418501907268	0.6121755838696776	0.5902859283143221	0.5808233202868892	0.6221829474656552	0.6308899376234965	0.6347209808587602	0.5904232432568698	0.2160820719469434	0.2005687785510305	0.18446947042382927	0.18667346283527458	0.20453379918168113	0.22129977040253646	0.2115079534208914	0.1996478853262294	0.22654768077385168	0.21061994655987382	0.2160559020640127	0.21573582544922676	0.2055474979836725	0.18954065046797186	0.214148440257813	0.2213628125237962	0.17969198846775686	0.2422162131787738	0.21689035185622174	0.19481801693325362	0.28325766780689027	0.27031215729511476	0.25273869702709006	0.2681778492193776	0.3294430300643283	0.33177014738225835	0.19794203688354683	0.19977624614667494	0.24061719791880992	0.21290431002467886	0.25386993870650587	0.24169329697095443	0.21626244810870904	0.21484790326638953	0.2243640671531788	0.2477870246672343	0.16883440894019053	0.18270364439517062	0.18632619812911183	0.2763262728516482	0.2137692619146857	0.19227201057960475	0.2038610017107863	0.18646755136126109	0.26808233869655473	0.2634533329222591	0.26123080076380184	0.16112399557957663	0.16412270310562665	0.13480919523824575
s18pp	0.04053970633060557	0.04778550853583812	0.0	0.016048992545461015	0.02160221339340937	0.02003842921282724	0.03338664870592333	0.029043437045020465	0.0323395111588459	0.03435717861108964	0.03480724873293115	0.038687193598295457	0.037880034762729914	0.03619033405587396	0.02988499543556545	0.07043888541919974	0.2772460761913276	0.2770898823038358	0.3549674069171376	0.3245214523729454	0.2073104020487115	0.20440246115068292	0.2600155617019947	0.21445005747891147	0.22393067679301595	0.23805709185750393	0.2706129726405273	0.3040998793270092	0.3410308580415501	0.24914625128180948	0.2997957069727719	0.21811822625071808	0.27016358026903886	0.25728864711899213	0.3618032842124493	0.41673640203401685	0.36224116445984633	0.5925215978747467	0.6091295665905749	0.6003628415758235	0.6195965752547745	0.5977069196994189	0.588244311671986	0.6296039388507519	0.6383109290085933	0.642141972243857	0.5978442346419666	0.22350306333204017	0.20798976993612728	0.19189046180892608	0.1940944542203714	0.2119547905667779	0.22872076178763326	0.2189289448059882	0.20706887671132618	0.23396867215894848	0.2180409379449706	0.22347689344910948	0.22315681683432353	0.21296848936876928	0.19696164185306864	0.2215694316429098	0.228783803908893	0.18711297985285363	0.24963720456387056	0.22431134324131852	0.20223900831835043	0.2906786591919871	0.2777331486802116	0.26015968841218684	0.27559884060447437	0.33686402144942507	0.3391911387673551	0.2053630282686436	0.20719723753177174	0.24803818930390673	0.22032530140977566	0.26129093009160265	0.24911428835605123	0.22368343949380584	0.22226889465148633	0.23178505853827558	0.25520801605233107	0.1762554003252873	0.1901246357802674	0.1937471895142086	0.28374726423674496	0.2211902532997825	0.19969300196470152	0.2112819930958831	0.1938885427463579	0.2755033300816515	0.27087432430735586	0.26865179214889867	0.16854498696467343	0.17154369449072346	0.14223018662334255
s28pp	0.04075937609479488	0.04800517830002743	0.016048992545461015	0.0	0.012521637556821705	0.015928806925106016	0.02927702641820211	0.024933814757299246	0.02822988887112468	0.030247556323368417	0.03069762644520993	0.034577571310574234	0.03377041247500869	0.03208071176815274	0.030104665199754757	0.07065855518338904	0.2774657459555169	0.2773095520680251	0.3551870766813269	0.3247411221371347	0.2075300718129008	0.20462213091487222	0.260235231466184	0.21466972724310077	0.22415034655720525	0.23827676162169323	0.2708326424047166	0.3043195490911985	0.3412505278057394	0.24936592104599878	0.3000153767369612	0.21833789601490738	0.27038325003322816	0.25750831688318143	0.3620229539766386	0.41695607179820615	0.36246083422403563	0.5927412676389361	0.6093492363547641	0.600582511340013	0.6198162450189637	0.5979265894636083	0.5884639814361754	0.6298236086149414	0.6385305987727827	0.6423616420080462	0.598063904406156	0.22372273309622948	0.20820943970031658	0.19211013157311538	0.1943141239845607	0.2121744603309672	0.22894043155182256	0.2191486145701775	0.20728854647551548	0.23418834192313778	0.2182606077091599	0.22369656321329878	0.22337648659851284	0.21318815913295858	0.19718131161725794	0.2217891014070991	0.2290034736730823	0.18733264961704293	0.24985687432805986	0.22453101300550782	0.20245867808253973	0.2908983289561764	0.2779528184444009	0.26037935817637614	0.27581851036866367	0.33708369121361437	0.33941080853154443	0.2055826980328329	0.20741690729596104	0.24825785906809603	0.22054497117396496	0.26151059985579195	0.24933395812024053	0.22390310925799514	0.22248856441567563	0.23200472830246488	0.25542768581652037	0.1764750700894766	0.1903443055444567	0.1939668592783979	0.28396693400093426	0.2214099230639718	0.19991267172889082	0.2115016628600724	0.1941082125105472	0.2757229998458408	0.27109399407154516	0.268871461913088	0.16876465672886273	0.17176336425491276	0.14244985638753185
s14pp	0.046312596942743235	0.053558399147975784	0.02160221339340937	0.012521637556821705	0.0	0.021482027773054375	0.03483024726615047	0.030487035605247605	0.03378310971907304	0.03580077717131677	0.03625084729315829	0.040130792158522596	0.03932363332295705	0.0376339326161011	0.03565788604770311	0.07621177603133739	0.2830189668034652	0.2828627729159735	0.3607402975292752	0.33029434298508303	0.21308329266084916	0.21017535176282057	0.2657884523141324	0.22022294809104911	0.2297035674051536	0.24382998246964158	0.2763858632526649	0.30987276993914686	0.34680374865368774	0.25491914189394715	0.3055685975849096	0.22389111686285573	0.2759364708811765	0.2630615377311297	0.36757617482458693	0.4225092926461545	0.368014055071984	0.5982944884868844	0.6149024572027125	0.6061357321879612	0.6253694658669121	0.6034798103115566	0.5940172022841237	0.6353768294628896	0.644083819620731	0.6479148628559946	0.6036171252541043	0.22927595394417782	0.21376266054826493	0.19766335242106373	0.19986734483250904	0.21772768117891556	0.2344936523997709	0.22470183541812586	0.21284176732346383	0.23974156277108613	0.22381382855710824	0.22924978406124713	0.22892970744646118	0.21874137998090692	0.20273453246520629	0.22734232225504744	0.23455669452103065	0.19288587046499128	0.2554100951760082	0.23008423385345617	0.20801189893048808	0.2964515498041247	0.2835060392923492	0.26593257902432454	0.281371731216612	0.3426369120615627	0.3449640293794928	0.21113591888078126	0.2129701281439094	0.25381107991604435	0.2260981920219133	0.26706382070374035	0.2548871789681889	0.2294563301059435	0.22804178526362398	0.23755794915041323	0.2609809066644687	0.18202829093742495	0.19589752639240504	0.19952008012634626	0.2895201548488826	0.22696314391192016	0.20546589257683917	0.21705488370802076	0.19966143335849554	0.28127622069378916	0.2766472149194935	0.27442468276103626	0.17431787757681108	0.1773165851028611	0.1480030772354802
s29pp	0.044748812762161104	0.05199461496739365	0.02003842921282724	0.015928806925106016	0.021482027773054375	0.0	0.030137213280688337	0.025794001619785473	0.029090075733610908	0.031107743185854644	0.03155781330769616	0.03543775817306046	0.03463059933749492	0.03294089863063897	0.03409410186712098	0.07464799185075527	0.2814551826228831	0.2812989887353914	0.3591765133486931	0.3287305588045009	0.21151950848026704	0.20861156758223845	0.2642246681335503	0.218659163910467	0.22813978322457149	0.24226619828905946	0.2748220790720828	0.30830898575856475	0.3452399644731056	0.25335535771336504	0.3040048134043275	0.22232733268227362	0.2743726867005944	0.2614977535505476	0.3660123906440048	0.4209455084655724	0.36645027089140186	0.5967307043063023	0.6133386730221304	0.6045719480073791	0.62380568168633	0.6019160261309745	0.5924534181035416	0.6338130452823075	0.6425200354401489	0.6463510786754125	0.6020533410735222	0.2277121697635957	0.2121988763676828	0.1960995682404816	0.19830356065192692	0.21616389699833344	0.2329298682191888	0.22313805123754374	0.2112779831428817	0.238177778590504	0.22225004437652612	0.227685999880665	0.22736592326587907	0.2171775958003248	0.20117074828462417	0.22577853807446532	0.23299291034044853	0.19132208628440917	0.2538463109954261	0.22852044967287405	0.20644811474990596	0.2948877656235426	0.28194225511176707	0.2643687948437424	0.2798079470360299	0.3410731278809806	0.34340024519891066	0.20957213470019914	0.21140634396332728	0.25224729573546223	0.2245344078413312	0.26550003652315823	0.2533233947876068	0.22789254592536137	0.22647800108304186	0.2359941649698311	0.2594171224838866	0.18046450675684284	0.19433374221182292	0.19795629594576414	0.2879563706683005	0.22539935973133804	0.20390210839625705	0.21549109952743864	0.19809764917791342	0.27971243651320704	0.2750834307389114	0.27286089858045415	0.17275409339622896	0.175752800922279	0.14643929305489808
s25pp	0.0580970322552572	0.06534283446048975	0.03338664870592333	0.02927702641820211	0.03483024726615047	0.030137213280688337	0.0	0.007798701754687635	0.02121850902608108	0.02323617647832482	0.023686246600166334	0.02756619146553064	0.026759032629965093	0.025069331923109145	0.047442321360217074	0.08799621134385135	0.2948034021159792	0.29464720822848744	0.3725247328417892	0.34207877829759703	0.22486772797336313	0.22195978707533454	0.27757288762664634	0.23200738340356308	0.24148800271766757	0.25561441778215555	0.2881702985651789	0.32165720525166086	0.35858818396620173	0.2667035772064611	0.31735303289742356	0.2356755521753697	0.2877209061936905	0.2748459730436437	0.3793606101371009	0.4342937279586685	0.379798490384498	0.6100789237993983	0.6266868925152265	0.6179201675004752	0.637153901179426	0.6152642456240706	0.6058016375966376	0.6471612647754036	0.655868254933245	0.6596992981685086	0.6154015605666182	0.2410603892566918	0.2255470958607789	0.2094477877335777	0.211651780145023	0.22951211649142952	0.24627808771228488	0.23648627073063982	0.2246262026359778	0.2515259980836001	0.2355982638696222	0.2410342193737611	0.24071414275897515	0.2305258152934209	0.21451896777772025	0.2391267575675614	0.24634112983354461	0.20467030577750525	0.26719453048852215	0.24186866916597013	0.21979633424300205	0.3082359851166387	0.2952904746048632	0.2777170143368385	0.293156166529126	0.3544213473740767	0.3567484646920067	0.22292035419329523	0.22475456345642336	0.26559551522855834	0.23788262733442728	0.2788482560162543	0.26667161428070285	0.24124076541845746	0.23982622057613795	0.2493423844629272	0.27276534197698266	0.19381272624993892	0.207681961704919	0.21130451543886022	0.30130459016139655	0.23874757922443413	0.21725032788935314	0.22883931902053473	0.2114458686710095	0.29306065600630316	0.28843165023200745	0.28620911807355026	0.18610231288932505	0.18910102041537508	0.15978751254799417
s9pp	0.05375382059435433	0.06099962279958688	0.029043437045020465	0.024933814757299246	0.030487035605247605	0.025794001619785473	0.007798701754687635	0.0	0.01687529736517822	0.018892964817421955	0.019343034939263468	0.023222979804627772	0.02241582096906223	0.02072612026220628	0.04309910969931421	0.08365299968294848	0.2904601904550763	0.29030399656758454	0.3681815211808863	0.33773556663669413	0.22052451631246026	0.21761657541443166	0.27322967596574343	0.2276641717426602	0.2371447910567647	0.25127120612125264	0.28382708690427605	0.31731399359075796	0.35424497230529883	0.2623603655455582	0.31300982123652066	0.23133234051446683	0.2833776945327876	0.2705027613827409	0.375017398476198	0.4299505162977656	0.3754552787235951	0.6057357121384954	0.6223436808543237	0.6135769558395723	0.6328106895185233	0.6109210339631677	0.6014584259357347	0.6428180531145007	0.6515250432723421	0.6553560865076058	0.6110583489057153	0.23671717759578892	0.22120388419987602	0.20510457607267482	0.20730856848412013	0.22516890483052665	0.241934876051382	0.23214305906973695	0.22028299097507492	0.24718278642269723	0.23125505220871934	0.23669100771285823	0.23637093109807228	0.22618260363251802	0.21017575611681738	0.23478354590665854	0.24199791817264174	0.20032709411660238	0.2628513188276193	0.23752545750506726	0.21545312258209917	0.30389277345573584	0.29094726294396034	0.2733738026759356	0.2888129548682231	0.3500781357131738	0.35240525303110387	0.21857714253239235	0.2204113517955205	0.2612523035676555	0.2335394156735244	0.2745050443553514	0.26232840261979995	0.23689755375755459	0.23548300891523508	0.24499917280202432	0.2684221303160798	0.18946951458903605	0.20333875004401614	0.20696130377795735	0.2969613785004937	0.23440436756353125	0.21290711622845027	0.22449610735963185	0.20710265701010663	0.28871744434540025	0.2840884385711046	0.2818659064126474	0.18175910122842218	0.1847578087544722	0.1554443008870913
s22pp	0.05704989470817977	0.06429569691341232	0.0323395111588459	0.02822988887112468	0.03378310971907304	0.029090075733610908	0.02121850902608108	0.01687529736517822	0.0	0.020113628228353372	0.020563698350194885	0.02444364321555919	0.023786357827464084	0.022096657120608133	0.046395183813139645	0.08694907379677393	0.29375626456890175	0.29360007068141003	0.37147759529471175	0.34103164075051956	0.22382059042628571	0.22091264952825712	0.2765257500795689	0.23096024585648567	0.24044086517059016	0.25456728023507813	0.2871231610181015	0.3206100677045834	0.35754104641912426	0.2656564396593837	0.31630589535034614	0.23462841462829226	0.28667376864661304	0.2737988354965663	0.37831347259002346	0.433246590411591	0.3787513528374205	0.6090317862523209	0.625639754968149	0.6168730299533978	0.6361067636323486	0.6142171080769931	0.6047545000495602	0.6461141272283262	0.6548211173861676	0.6586521606214312	0.6143544230195408	0.24001325170961435	0.22449995831370145	0.20840065018650028	0.2106046425979456	0.22846497894435208	0.24523095016520746	0.2354391331835624	0.22357906508890035	0.2504788605365227	0.23455112632254477	0.23998708182668366	0.2396670052118977	0.22947867774634345	0.2134718302306428	0.238079620020484	0.2452939922864672	0.2036231682304278	0.26614739294144474	0.2408215316188927	0.21874919669592463	0.3071888475695613	0.29424333705778577	0.27666987678976107	0.29210902898204855	0.35337420982699924	0.3557013271449293	0.22187321664621779	0.22370742590934595	0.26454837768148093	0.23683548978734986	0.2778011184691769	0.26562447673362544	0.24019362787138004	0.23877908302906053	0.24829524691584975	0.27171820442990524	0.19276558870286148	0.20663482415784157	0.21025737789178278	0.30025745261431913	0.2377004416773567	0.2162031903422757	0.2277921814734573	0.2103987311239321	0.2920135184592257	0.28738451268493004	0.28516198052647285	0.18505517534224764	0.18805388286829766	0.15874037500091676
w30pp	0.059067562160423505	0.06631336436565605	0.03435717861108964	0.030247556323368417	0.03580077717131677	0.031107743185854644	0.02323617647832482	0.018892964817421955	0.020113628228353372	0.0	0.00045207012284157036	0.012699407145650139	0.02580402527970782	0.024114324572851877	0.04841285126538338	0.08896674124901766	0.2957739320211455	0.2956177381336538	0.3734952627469555	0.3430493082027633	0.22583825787852943	0.22293031698050084	0.27854341753181266	0.23297791330872938	0.24245853262283387	0.2565849476873219	0.28914082847034517	0.32262773515682713	0.359558713871368	0.2676741071116274	0.3183235628025899	0.236646082080536	0.2886914360988568	0.27581650294881	0.3803311400422672	0.43526425786383477	0.38076902028966425	0.6110494537045646	0.6276574224203928	0.6188906974056415	0.6381244310845924	0.6162347755292369	0.606772167501804	0.6481317946805699	0.6568387848384113	0.6606698280736749	0.6163720904717845	0.2420309191618581	0.2265176257659452	0.210418317638744	0.2126223100501893	0.23048264639659582	0.24724861761745118	0.23745680063580613	0.2255967325411441	0.25249652798876643	0.2365687937747885	0.2420047492789274	0.24168467266414145	0.2314963451985872	0.21548949768288655	0.2400972874727277	0.24731165973871092	0.20564083568267155	0.2681650603936885	0.24283919907113644	0.22076686414816835	0.30920651502180496	0.29626100451002946	0.2786875442420048	0.2941266964342923	0.355391877279243	0.35771899459717305	0.22389088409846153	0.22572509336158966	0.2665660451337246	0.23885315723959358	0.2798187859214206	0.2676421441858692	0.24221129532362376	0.24079675048130425	0.2503129143680935	0.273735871882149	0.19478325615510522	0.2086524916100853	0.21227504534402653	0.3022751200665629	0.23971810912960043	0.21822085779451944	0.22980984892570103	0.2124163985761758	0.29403118591146943	0.2894021801371738	0.28717964797871653	0.18707284279449135	0.19007155032054138	0.16075804245316047
