	f6ppB	s19pp	s16pp	f16ppB	w21pp	s1pp	w12pp	s2pp	s30pp	f12ppA	f7pp	f17ppA	s26pp	s9pp	s32pp	s22pp	s13pp	w6pp	f9pp	w25pp	w9pp	s28pp	s14pp	s7pp	s25pp	f16ppA	f25pp	f20ppB	f8pp	f12ppB	f32pp	s3pp	s4pp	f21pp	f18pp	s31pp	s24pp	S15Hp	F14H1B	S18H1	530451	31160	S28Hp	S20H1	S13Hp	S26Hp	S19H1	S9H1	530167	31750	530055	31219	S1Hp	31267	31700	F7H1	S22Hp	530295	31328	w30pp	w4pp	s18pp	f30pp	f14ppB
f6ppB	0.0	0.12428176943958202	0.12289671608032873	0.1567498504941885	0.14708981297711887	0.10989407797751453	0.19379706852387493	0.18793326414945427	0.18302338948098373	0.18291997701689952	0.18317058751659712	0.17268640495125787	0.1671211380601988	0.21402881032335325	0.19150491592714358	0.18407861315182308	0.1770516207166024	0.15233329688819597	0.18645956503834157	0.24261099488626642	0.164048587601138	0.19588035098155113	0.1696566863939588	0.14864064317414052	0.12937013249727478	0.11873556142414542	0.17318606493229863	0.1521734485434398	0.17928293475247675	0.1565850223141721	0.14928884006338436	0.12991779544671317	0.14198327355195517	0.17717856234932947	0.1617662256400677	0.23883746482981705	0.22262278921765394	0.3313493925840276	0.49510395524681555	0.4525548151109637	0.49722739565689433	0.45973135713537483	0.481572240206915	0.4708345255870481	0.45830038994696953	0.4823318068226111	0.5096144666720345	0.45209311745122394	0.5012497097775119	0.511278325498239	0.5200274845392637	0.5031690231663445	0.44029861454686303	0.46671491817592814	0.45149250812619546	0.42307690908964984	0.4654729060316539	0.4803990193306026	0.47613435683550887	0.16787342500044047	0.15119787153561223	0.18365872063995065	0.16057810270798537	0.09432069777013495
s19pp	0.12428176943958202	0.0	0.08440685340248404	0.1250284138747655	0.11536837635769587	0.07817264135809153	0.16207563190445193	0.15621182753003127	0.15130195286156073	0.15119854039747652	0.15144915089717412	0.14096496833183486	0.1353997014407758	0.18230737370393024	0.15978347930772058	0.15235717653240008	0.1453301840971794	0.12061186026877296	0.15473812841891857	0.2108895582668434	0.132327150981715	0.16415891436212812	0.1379352497745358	0.11691920655471752	0.09764869587785177	0.08701412480472241	0.14146462831287562	0.1204520119240168	0.14756149813305375	0.12486358569474909	0.11756740344396135	0.09819635882729016	0.11026183693253218	0.14545712572990646	0.1300447890206447	0.20711602821039404	0.19090135259823093	0.2996279559646046	0.46338251862739255	0.4208333784915407	0.46550595903747133	0.4280099205159518	0.449850803587492	0.4391130889676251	0.42657895332754653	0.4506103702031881	0.47789303005261147	0.42037168083180093	0.4695282731580889	0.47955688887881603	0.4883060479198407	0.4714475865469215	0.40857717792744	0.43499348155650513	0.41977107150677245	0.39135547247022684	0.4337514694122309	0.4486775827111796	0.44441292021608586	0.13615198838101747	0.11947643491618923	0.15193728402052764	0.12885666608856236	0.06259926115071195
s16pp	0.12289671608032873	0.08440685340248404	0.0	0.12364336051551221	0.11398332299844258	0.07678758799883824	0.16069057854519864	0.15482677417077798	0.1499168995023074	0.14981348703822323	0.15006409753792083	0.13957991497258157	0.13401464808152252	0.18092232034467698	0.15839842594846726	0.1509721231731468	0.14394513073792614	0.11922680690951967	0.15335307505966528	0.2095045049075901	0.1309420976224617	0.16277386100287483	0.13655019641528254	0.11553415319546423	0.09626364251859848	0.08562907144546912	0.14007957495362233	0.11906695856476351	0.14617644477380046	0.1234785323354958	0.11618235008470806	0.09681130546803687	0.10887678357327889	0.14407207237065317	0.1286597356613914	0.20573097485114072	0.18951629923897767	0.2982429026053513	0.46199746526813923	0.41944832513228736	0.464120905678218	0.4266248671566985	0.4484657502282387	0.43772803560837176	0.4251938999682932	0.4492253168439348	0.47650797669335815	0.4189866274725476	0.4681432197988356	0.4781718355195627	0.4869209945605874	0.47006253318766816	0.4071921245681867	0.4336084281972518	0.41838601814751913	0.3899704191109735	0.4323664160529776	0.44729252935192626	0.44302786685683254	0.13476693502176418	0.11809138155693594	0.15055223066127438	0.12747161272930907	0.06121420779145865
f16ppB	0.1567498504941885	0.1250284138747655	0.12364336051551221	0.0	0.07019738388067631	0.05539869276551386	0.13930168331187426	0.1334378789374536	0.12852800426898303	0.12842459180489885	0.12867520230459645	0.11819101973925719	0.11262575284819812	0.15953342511135257	0.13700953071514288	0.1295832279398224	0.12255623550460173	0.0978379116761953	0.1319641798263409	0.18811560967426574	0.10955320238913732	0.14138496576955045	0.11516130118195814	0.09414525796213985	0.0748747472852741	0.07665363473121095	0.13110413823936418	0.11009152185050534	0.15210534791230473	0.12940743547400008	0.12211125322321235	0.10274020860654116	0.11480568671178318	0.15000097550915747	0.1345886387998957	0.21165987798964503	0.19544520237748197	0.3041718057438556	0.46792636840664353	0.42537722827079166	0.4700498088167223	0.4325537702952028	0.454394653366743	0.44365693874687606	0.4311228031067975	0.4551542199824391	0.48243687983186245	0.4249155306110519	0.4740721229373399	0.484100738658067	0.4928498976990917	0.47599143632617247	0.413121027706691	0.4395373313357561	0.42431492128602344	0.3958993222494778	0.4382953191914819	0.45322143249043056	0.44895676999533685	0.14069583816026848	0.12402028469544023	0.15648113379977865	0.13340051586781337	0.08029310729605985
w21pp	0.14708981297711887	0.11536837635769587	0.11398332299844258	0.07019738388067631	0.0	0.04573865524844422	0.1296416457948046	0.12377784142038395	0.1188679667519134	0.1187645542878292	0.1190151647875268	0.10853098222218754	0.10296571533112849	0.14987338759428293	0.12734949319807326	0.11992319042275276	0.1128961979875321	0.08817787415912566	0.12230414230927125	0.1784555721571961	0.09989316487206767	0.1317249282524808	0.1055012636648885	0.08448522044507022	0.06521470976820445	0.0669935972141413	0.12144410072229453	0.10043148433343571	0.14244531039523511	0.11974739795693046	0.11245121570614272	0.09308017108947153	0.10514564919471353	0.14034093799208783	0.12492860128282607	0.2019998404725754	0.18578516486041233	0.294511768226786	0.45826633088957386	0.415717190753722	0.46038977129965264	0.42289373277813314	0.44473461584967333	0.4339969012298064	0.42146276558972784	0.4454941824653694	0.4727768423147928	0.41525549309398224	0.46441208542027024	0.47444070114099735	0.48318986018202204	0.4663313988091028	0.40346099018962134	0.42987729381868645	0.41465488376895376	0.38623928473240815	0.4286352816744122	0.4435613949733609	0.43929673247826717	0.13103580064319884	0.1143602471783706	0.146821096282709	0.12374047835074373	0.0706330697789902
s1pp	0.10989407797751453	0.07817264135809153	0.07678758799883824	0.05539869276551386	0.04573865524844422	0.0	0.0854966149025551	0.07963281052813444	0.07472293585966389	0.07461952339557969	0.07487013389527729	0.06438595132993803	0.058820684438878966	0.10572835670203343	0.08320446230582373	0.07577815953050325	0.06875116709528259	0.04403284326687614	0.07815911141702174	0.13431054126494657	0.055748133979818155	0.08757989736023129	0.061356232772638984	0.0403401895528207	0.021069678875954942	0.02979786221453698	0.08424836572269019	0.06323574933383137	0.10524957539563078	0.08255166295732612	0.07525548070653838	0.05588443608986719	0.0679499141951092	0.10314520299248349	0.08773286628322173	0.16480410547297109	0.14858942986080798	0.25731603322718166	0.42107059588996953	0.37852145575411766	0.4231940363000483	0.3856979977785288	0.407538880850069	0.39680116623020206	0.3842670305901235	0.4082984474657651	0.43558110731518845	0.3780597580943779	0.4272163504206659	0.437244966141393	0.4459941251824177	0.42913566380949847	0.366265255190017	0.3926815588190821	0.37745914876934944	0.3490435497328038	0.3914395466748079	0.40636565997375657	0.40210099747866285	0.0938400656435945	0.07716451217876626	0.10962536128310468	0.08654474335113939	0.03343733477938587
w12pp	0.19379706852387493	0.16207563190445193	0.16069057854519864	0.13930168331187426	0.1296416457948046	0.0854966149025551	0.0	0.10174713264365061	0.12490719589597299	0.12480378343188878	0.12505439393158638	0.12192110965468923	0.1366498696289485	0.183557541892103	0.16103364749589327	0.1536073447205728	0.14658035228535216	0.12186202845694569	0.1559882966070913	0.21213972645501614	0.13357731916988771	0.16540908255030085	0.13918541796270853	0.11816937474289024	0.0988988640660245	0.11370085276089738	0.1681513562690506	0.14713873988019177	0.18915256594199117	0.16645465350368652	0.15915847125289878	0.1397874266362276	0.15185290474146962	0.1870481935388439	0.17163585682958213	0.24870709601933147	0.2324924204071684	0.3412190237735421	0.50497358643633	0.4624244463004781	0.5070970268464088	0.4696009883248892	0.4914418713964294	0.4807041567765625	0.4681700211364839	0.4922014380121255	0.5194840978615489	0.46196274864073833	0.5111193409670263	0.5211479566877535	0.5298971157287782	0.5130386543558589	0.4501682457363774	0.47658454936544253	0.46136213931570985	0.43294654027916424	0.4753425372211683	0.490268650520117	0.48600398802502326	0.1777430561899549	0.16106750272512665	0.1935283518294651	0.1704477338974998	0.11734032532574627
s2pp	0.18793326414945427	0.15621182753003127	0.15482677417077798	0.1334378789374536	0.12377784142038395	0.07963281052813444	0.10174713264365061	0.0	0.11904339152155233	0.11893997905746813	0.11919058955716572	0.11605730528026857	0.13078606525452785	0.1776937375176823	0.15516984312147264	0.14774354034615214	0.14071654791093147	0.11599822408252503	0.15012449223267063	0.20627592208059548	0.12771351479546705	0.15954527817588018	0.13332161358828787	0.11230557036846958	0.09303505969160383	0.10783704838647672	0.16228755189462993	0.1412749355057711	0.1832887615675705	0.16059084912926586	0.15329466687847812	0.13392362226180693	0.14598910036704893	0.18118438916442323	0.16577205245516147	0.2428432916449108	0.22662861603274773	0.3353552193991214	0.49910978206190926	0.4565606419260574	0.5012332224719881	0.4637371839504686	0.4855780670220088	0.47484035240214184	0.4623062167620633	0.4863376336377049	0.5136202934871282	0.4560989442663177	0.5052555365926057	0.5152841523133328	0.5240333113543575	0.5071748499814382	0.4443044413619568	0.4707207449910219	0.4554983349412892	0.42708273590474355	0.4694787328467477	0.48440484614569634	0.4801401836506026	0.17187925181553423	0.155203698350706	0.1876645474550444	0.16458392952307913	0.11147652095132561
s30pp	0.18302338948098373	0.15130195286156073	0.1499168995023074	0.12852800426898303	0.1188679667519134	0.07472293585966389	0.12490719589597299	0.11904339152155233	0.0	0.09123450448198143	0.10401861346130742	0.11114743061179802	0.1258761905860573	0.17278386284921177	0.15025996845300207	0.14283366567768158	0.13580667324246093	0.11108834941405449	0.14521461756420007	0.20136604741212494	0.12280364012699649	0.15463540350740962	0.12841173891981733	0.10739569569999904	0.08812518502313328	0.10292717371800617	0.15737767722615936	0.13636506083730054	0.17837888689909998	0.15568097446079532	0.14838479221000755	0.1290137475933364	0.1410792256985784	0.17627451449595266	0.16086217778669093	0.23793341697644027	0.22171874136427716	0.33044534473065085	0.4941999073934387	0.45165076725758685	0.4963233478035175	0.458827309281998	0.4806681923535382	0.46993047773367125	0.4573963420935927	0.4814277589692343	0.5087104188186576	0.4511890695978471	0.5003456619241351	0.5103742776448622	0.5191234366858869	0.5022649753129677	0.4393945666934862	0.4658108703225513	0.4505884602728186	0.422172861236273	0.4645688581782771	0.47949497147722575	0.47523030898213203	0.16696937714706367	0.15029382368223543	0.18275467278657387	0.15967405485460856	0.10656664628285506
f12ppA	0.18291997701689952	0.15119854039747652	0.14981348703822323	0.12842459180489885	0.1187645542878292	0.07461952339557969	0.12480378343188878	0.11893997905746813	0.09123450448198143	0.0	0.10391520099722323	0.11104401814771384	0.1257727781219731	0.17268045038512758	0.15015655598891786	0.1427302532135974	0.13570326077837674	0.11098493694997028	0.14511120510011588	0.20126263494804073	0.1227002276629123	0.15453199104332543	0.12830832645573312	0.10729228323591483	0.08802177255904908	0.10282376125392197	0.15727426476207518	0.13626164837321636	0.17827547443501576	0.1555775619967111	0.14828137974592337	0.12891033512925218	0.1409758132344942	0.17617110203186848	0.16075876532260672	0.23783000451235606	0.22161532890019298	0.3303419322665666	0.49409649492935453	0.45154735479350266	0.4962199353394333	0.4587238968179138	0.480564779889454	0.46982706526958706	0.4572929296295085	0.4813243465051501	0.5086070063545735	0.4510856571337629	0.5002422494600509	0.510270865180778	0.5190200242218027	0.5021615628488835	0.439291154229402	0.4657074578584671	0.45048504780873444	0.4220694487721888	0.4644654457141929	0.47939155901314157	0.47512689651804785	0.16686596468297948	0.15019041121815124	0.18265126032248968	0.15957064239052438	0.10646323381877086
