	f20ppB	f16ppA	f14ppA	w4pp	w25pp	f10pp	s2pp	w13pp	w15pp	s22pp	w10pp	w9pp	s27pp	s26pp	s28pp	s1pp	S12Hp	f31pp	F14H1B	S3Hp	31750	F7H1	S26Hp	530167	31160	F6H1	S19H1	S1Hp	S6Hp	F23HpA	S9H1	S22Hp	S18H1	S20H1	F14H1A	530055	F29H1	S15Hp	s24pp	f26pp	s7pp	s6pp	f30pp	530451	f4pp	f23ppA	f18pp	f21pp	f6ppB	s3pp	w3pp	w6pp	w30pp	f23ppB	f6ppA	f2pp	530295	f16ppB	f8pp	f3pp	w17pp	f17ppA	f1pp	f22ppA	s31pp	S31Hp	w21pp	s13pp	f7pp	f25pp	f12ppA	f14ppB
f20ppB	0.0	0.06372389226154651	0.1290734751916544	0.10029823878028861	0.16805702819860419	0.2049217216055004	0.16131305104253246	0.17124415957126624	0.19345242465128953	0.1544618031760578	0.17113077604699783	0.13992110629631527	0.22434293194872715	0.14928735614887378	0.14492851758714914	0.17443006562688143	0.23707662688377715	0.16912447229737312	0.436406290441079	0.418008466178384	0.39850010489321447	0.44736560963270044	0.43398200075598553	0.40211614706799914	0.39384065911733607	0.42962448613180104	0.43918481657310526	0.4092267241084728	0.5199615417295158	0.5483285396967374	0.4728651318761563	0.44053916589633935	0.37688358401014366	0.4620940656053064	0.4673668885980641	0.4372372597657966	0.2756704058662275	0.21396848504326102	0.28177463606071174	0.163643069643582	0.16088237076066828	0.17851022539105565	0.1932429497119269	0.2378580333250261	0.14384318131795149	0.16721154439588243	0.14348164562175234	0.15274869360456245	0.17027965226426675	0.20515151331866874	0.19632546874954188	0.21953507089014437	0.18856429507706635	0.1715991572439519	0.1451919490539168	0.14101368943395126	0.22932422843399666	0.14101917261070246	0.1546133951506113	0.19830977320263468	0.20698607530723404	0.18768032466992807	0.18538984635037442	0.2070916623112988	0.18956643330038803	0.22808354003516224	0.13617844287361658	0.12277340973192644	0.11014158861452264	0.10116863953032758	0.12135818287948844	0.07909388155910593
f16ppA	0.06372389226154651	0.0	0.08392698211092961	0.055151745699563805	0.12291053511787936	0.1597752285247756	0.11616655796180764	0.12609766649054144	0.14830593157056474	0.10931531009533299	0.12598428296627304	0.09477461321559047	0.17919643886800235	0.10414086306814899	0.09978202450642432	0.12928357254615663	0.19193013380305235	0.12397797921664833	0.39125979736035416	0.37286197309765917	0.35335361181248964	0.4022191165519756	0.3888355076752607	0.3569696539872743	0.34869416603661124	0.3844779930510762	0.39403832349238044	0.36408023102774795	0.4748150486487909	0.5031820466160126	0.4277186387954315	0.3953926728156145	0.33173709092941883	0.4169475725245816	0.42222039551733925	0.39209076668507176	0.23052391278550266	0.16882199196253622	0.23662814297998694	0.11849657656285717	0.11573587767994348	0.13336373231033086	0.1480964566312021	0.19271154024430132	0.09869668823722666	0.12206505131515763	0.09833515254102754	0.10760220052383765	0.12513315918354195	0.16000502023794394	0.15117897566881708	0.17438857780941958	0.14341780199634152	0.1264526641632271	0.100045455973192	0.09586719635322646	0.18417773535327187	0.09587267952997763	0.10946690206988649	0.15316328012190988	0.16183958222650924	0.14253383158920324	0.14024335326964962	0.161945169230574	0.14441994021966323	0.18293704695443744	0.09103194979289175	0.07762691665120164	0.06499509553379783	0.05602214644960277	0.07621168979876361	0.03394738847838112
f14ppA	0.1290734751916544	0.08392698211092961	0.0	0.07098892805504291	0.17158922534819496	0.20845391875509117	0.16484524819212323	0.174776356720857	0.19698462180088033	0.1579940003256486	0.17466297319658863	0.14345330344590607	0.22787512909831792	0.15281955329846458	0.1484607147367399	0.1779622627764722	0.24060882403336792	0.1726566694469639	0.4399384875906698	0.4215406633279748	0.40203230204280527	0.45089780678229124	0.43751419790557633	0.40564834421758994	0.39737285626692687	0.43315668328139184	0.44271701372269606	0.41275892125806357	0.5234937388791066	0.5518607368463282	0.4763973290257471	0.44407136304593015	0.38041578115973446	0.4656262627548972	0.4708990857476549	0.4407694569153874	0.27920260301581823	0.2175006821928518	0.28530683321030254	0.16717526679317277	0.16441456791025905	0.18204242254064645	0.1967751468615177	0.24139023047461688	0.14737537846754226	0.17074374154547323	0.1470138427713431	0.15628089075415325	0.17381184941385752	0.2086837104682595	0.19985766589913267	0.22306726803973514	0.19209649222665712	0.17513135439354266	0.1487241462035076	0.14454588658354206	0.23285642558358743	0.14455136976029323	0.1581455923002021	0.20184197035222545	0.2105182724568248	0.19121252181951884	0.18892204349996522	0.21062385946088957	0.19309863044997883	0.23161573718475303	0.13971064002320735	0.12630560688151724	0.11367378576411341	0.10470083667991836	0.1248903800290792	0.08262607870869672
w4pp	0.10029823878028861	0.055151745699563805	0.07098892805504291	0.0	0.14281398893682914	0.17967868234372536	0.13607001178075742	0.1460011203094912	0.16820938538951452	0.12921876391428277	0.14588773678522282	0.11467806703454025	0.1990998926869521	0.12404431688709876	0.1196854783253741	0.1491870263651064	0.2118335876220021	0.14388143303559808	0.41116325117930397	0.392765426916609	0.37325706563143946	0.42212257037092543	0.4087389614942105	0.37687310780622413	0.36859761985556105	0.40438144687002603	0.41394177731133025	0.38398368484669776	0.49471850246774074	0.5230855004349624	0.4476220926143813	0.41529612663456433	0.35164054474836864	0.4368510263435314	0.44212384933628907	0.41199422050402157	0.2504273666044524	0.18872544578148598	0.2565315967989367	0.13840003038180695	0.13563933149889323	0.15326718612928064	0.1679999104501519	0.21261499406325107	0.11860014205617644	0.14196850513410741	0.11823860635997731	0.12750565434278743	0.1450366130024917	0.1799084740568937	0.17108242948776686	0.19429203162836933	0.1633212558152913	0.14635611798217685	0.11994890979214179	0.11577065017217623	0.20408118917222162	0.11577613334892742	0.12937035588883627	0.17306673394085964	0.181743036045459	0.16243728540815303	0.1601468070885994	0.18184862304952376	0.164323394038613	0.20284050077338722	0.11093540361184154	0.09753037047015142	0.0848985493527476	0.07592560026855255	0.0961151436177134	0.0538508422973309
w25pp	0.16805702819860419	0.12291053511787936	0.17158922534819496	0.14281398893682914	0.0	0.15824792870143878	0.11463925813847084	0.12457036666720461	0.1467786317472279	0.10778801027199618	0.12445698314293621	0.10881977991718489	0.19324160556959674	0.11818602976974339	0.11382719120801874	0.15442214709398733	0.21706870835088304	0.14911655376447902	0.4163983719081849	0.3980005476454899	0.3784921863603204	0.42735769109980637	0.41397408222309146	0.38210822853510507	0.373832740584442	0.40961656759890697	0.4191768980402112	0.3892188055755787	0.4999536231966217	0.5283206211638434	0.45285721334326223	0.42053124736344527	0.3568756654772496	0.44208614707241234	0.44735897006517	0.4172293412329025	0.25566248733333335	0.19396056651036692	0.26176671752781766	0.1710150049682592	0.16825430608534547	0.18588216071573288	0.2006148850366041	0.2452299686497033	0.15121511664262868	0.17458347972055965	0.15085358094642953	0.16012062892923967	0.17765158758894395	0.21252344864334594	0.20369740407421907	0.22690700621482157	0.19593623040174354	0.1789710925686291	0.15256388437859403	0.1483856247586285	0.23669616375867386	0.14839110793537966	0.1619853304752885	0.20568170852731188	0.21435801063191123	0.19505225999460526	0.19276178167505165	0.214463597635976	0.19693836862506525	0.23545547535983946	0.14355037819829378	0.13014534505660366	0.14442939034092467	0.13545644125672962	0.15564598460589046	0.11338168328550798
f10pp	0.2049217216055004	0.1597752285247756	0.20845391875509117	0.17967868234372536	0.15824792870143878	0.0	0.06917692888985627	0.12749615312990492	0.14970441820992822	0.13046275250619	0.14713172537713004	0.1456844733240811	0.23010629897649298	0.15505072317663962	0.15069188461491495	0.19128684050088357	0.2539334017577793	0.18598124717137526	0.45326306531508115	0.43486524105238616	0.41535687976721664	0.4642223845067026	0.4508387756299877	0.4189729219420013	0.41069743399133823	0.4464812610058032	0.45604159144710743	0.42608349898247494	0.5368183166035179	0.5651853145707395	0.4897219067501585	0.4573959407703415	0.3937403588841458	0.4789508404793086	0.48422366347206625	0.45409403463979875	0.2925271807402296	0.23082525991726316	0.2986314109347139	0.2078796983751554	0.20511899949224172	0.2227468541226291	0.23747957844350032	0.28209466205659955	0.1880798100495249	0.2114481731274559	0.18771827435332578	0.19698532233613592	0.2145162809958402	0.24938814205024218	0.2405620974811153	0.2637716996217178	0.23280092380863976	0.21583578597552533	0.18942857778549027	0.1852503181655247	0.2735608571655701	0.18525580134227587	0.19885002388218476	0.24254640193420812	0.2512227040388075	0.23191695340150148	0.22962647508194786	0.25132829104287224	0.23380306203196147	0.2723201687667357	0.18041507160519	0.16701003846349988	0.1812940837478209	0.17232113466362586	0.1925106780127867	0.1502463766924042
s2pp	0.16131305104253246	0.11616655796180764	0.16484524819212323	0.13607001178075742	0.11463925813847084	0.06917692888985627	0.0	0.083887482566937	0.10609574764696028	0.08685408194322206	0.1035230548141621	0.10207580276111317	0.18649762841352502	0.11144205261367167	0.10708321405194701	0.1476781699379156	0.21032473119481132	0.1423725766084073	0.4096543947521132	0.3912565704894182	0.37174820920424867	0.42061371394373465	0.40723010506701973	0.37536425137903334	0.36708876342837027	0.40287259044283524	0.41243292088413946	0.382474828419507	0.49320964604054995	0.5215766440077716	0.4461132361871905	0.41378727020737355	0.35013168832117786	0.4353421699163406	0.4406149929090983	0.4104853640768308	0.24891851017726163	0.1872165893542952	0.25502274037174594	0.16427102781218747	0.16151032892927375	0.17913818355966116	0.19387090788053238	0.2384859914936316	0.14447113948655696	0.16783950256448793	0.1441096037903578	0.15337665177316795	0.17090761043287223	0.2057794714872742	0.19695342691814735	0.22016302905874985	0.18919225324567182	0.17222711541255736	0.1458199072225223	0.14164164760255676	0.22995218660260214	0.14164713077930793	0.1552413533192168	0.19893773137124016	0.2076140334758395	0.18830828283853354	0.18601780451897992	0.20771962047990428	0.19019439146899353	0.22871149820376774	0.13680640104222205	0.12340136790053194	0.13768541318485295	0.1287124641006579	0.14890200744981874	0.10663770612943625
w13pp	0.17124415957126624	0.12609766649054144	0.174776356720857	0.1460011203094912	0.12457036666720461	0.12749615312990492	0.083887482566937	0.0	0.07856761481243543	0.09678519047195586	0.11345416334289589	0.11200691128984694	0.19642873694225882	0.12137316114240546	0.11701432258068079	0.1576092784666494	0.22025583972354512	0.1523036851371411	0.419585503280847	0.401187679018152	0.38167931773298247	0.43054482247246845	0.41716121359575353	0.38529535990776714	0.37701987195710407	0.41280369897156904	0.42236402941287327	0.3924059369482408	0.5031407545692838	0.5315077525365054	0.4560443447159243	0.42371837873610735	0.36006279684991166	0.4452732784450744	0.4505461014378321	0.4204164726055646	0.25884961870599543	0.197147697883029	0.2649538489004797	0.17420213634092124	0.17144143745800755	0.18906929208839493	0.20380201640926615	0.2484171000223654	0.15440224801529073	0.17777061109322173	0.1540407123190916	0.16330776030190175	0.18083871896160603	0.215710580016008	0.20688453544688112	0.23009413758748365	0.1991233617744056	0.18215822394129116	0.1557510157512561	0.15157275613129054	0.23988329513133594	0.1515782393080417	0.1651724618479506	0.20886883989997396	0.2175451420045733	0.19823939136726731	0.1959489130477137	0.21765072900863808	0.2001254999977273	0.2386426067325015	0.14673750957095583	0.1333324764292657	0.14761652171358675	0.1386435726293917	0.15883311597855254	0.11656881465817004
w15pp	0.19345242465128953	0.14830593157056474	0.19698462180088033	0.16820938538951452	0.1467786317472279	0.14970441820992822	0.10609574764696028	0.07856761481243543	0.0	0.11899345555197914	0.13566242842291917	0.13421517636987024	0.2186370020222821	0.14358142622242875	0.13922258766070408	0.1798175435466727	0.24246410480356842	0.1745119502171644	0.44179376836087025	0.42339594409817527	0.40388758281300574	0.4527530875524918	0.4393694786757768	0.40750362498779047	0.39922813703712734	0.43501196405159237	0.4445722944928966	0.41461420202826405	0.525349019649307	0.5537160176165287	0.47825260979594764	0.4459266438161307	0.382271061929935	0.46748154352509774	0.4727543665178554	0.44262473768558785	0.2810578837860187	0.2193559629630523	0.287162113980503	0.19641040142094457	0.19364970253803085	0.21127755716841823	0.22601028148928948	0.27062536510238866	0.17661051309531406	0.199978876173245	0.1762489773991149	0.18551602538192502	0.20304698404162932	0.23791884509603128	0.22909280052690445	0.2523024026675069	0.22133162685442892	0.20436648902131446	0.17795928083127938	0.17378102121131384	0.26209156021135926	0.17378650438806503	0.18738072692797386	0.23107710497999726	0.2397534070845966	0.22044765644729064	0.218157178127737	0.23985899408866138	0.2223337650777506	0.2608508718125248	0.16894577465097912	0.155540741509289	0.16982478679361004	0.16085183770941497	0.18104138105857584	0.13877707973819334
s22pp	0.1544618031760578	0.10931531009533299	0.1579940003256486	0.12921876391428277	0.10778801027199618	0.13046275250619	0.08685408194322206	0.09678519047195586	0.11899345555197914	0.0	0.07378374406438204	0.0952245548946385	0.17964638054705037	0.10459080474719701	0.10023196618547235	0.14082692207144099	0.2034734833283367	0.13552132874193268	0.40280314688563856	0.3844053226229436	0.36489696133777405	0.41376246607726	0.4003788572005451	0.3685130035125587	0.36023751556189565	0.3960213425763606	0.40558167301766485	0.37562358055303235	0.48635839817407533	0.514725396141297	0.4392619883207159	0.40693602234089893	0.34328044045470324	0.428490922049866	0.43376374504262366	0.40363411621035616	0.242067262310787	0.18036534148782057	0.24817149250527126	0.15741977994571282	0.15465908106279913	0.17228693569318648	0.18701966001405773	0.23163474362715697	0.1376198916200823	0.16098825469801328	0.1372583559238832	0.1465254039066933	0.1640563625663976	0.19892822362079957	0.1901021790516727	0.21331178119227523	0.18234100537919717	0.16537586754608274	0.13896865935604766	0.1347903997360821	0.22310093873612752	0.1347958829128333	0.14839010545274214	0.19208648350476554	0.2007627856093649	0.1814570349720589	0.17916655665250525	0.20086837261342966	0.18334314360251885	0.22186025033729306	0.1299551531757474	0.11655012003405729	0.1308341653183783	0.12186121623418325	0.1420507595833441	0.0997864582629616
