	F7H1	f14ppB	S28Hp	f1pp	w20pp	f7pp	S18H1	s24H1	f16ppA	f24pp	S31Hp	31071	530451	F3H1	31379	S14Hp	530258	f20ppA	f2pp
F7H1	0.0	0.1291385117804523	0.15567592786368206	0.15996839970826565	0.1481464583047216	0.16437731730343283	0.28029122491987235	0.22246395581325612	0.1596594428770808	0.1568824477543302	0.6564518975700601	0.6753338376556919	0.7161249485199083	0.7411247370077111	0.6531463344388091	0.6450983209253921	0.5494871911140132	0.15794649901459445	0.14989244993696385
f14ppB	0.1291385117804523	0.0	0.0884829424756727	0.09277541432025627	0.0809534729167122	0.09718433191542347	0.213098239531863	0.15527097042524673	0.09246645748907144	0.0896894623663208	0.5892589121820507	0.6081408522676826	0.6489319631318989	0.6739317516197018	0.5859533490507998	0.5779053355373828	0.4822942057260039	0.09075351362658507	0.08269946454895447
S28Hp	0.15567592786368206	0.0884829424756727	0.0	0.10874140724807388	0.09691946584452982	0.11315032484324108	0.2290642324596806	0.17123696335306438	0.10843245041688905	0.10565545529413842	0.6052249051098684	0.6241068451955002	0.6648979560597166	0.6898977445475194	0.6019193419786174	0.5938713284652004	0.49826019865382154	0.10671950655440268	0.09866545747677208
f1pp	0.15996839970826565	0.09277541432025627	0.10874140724807388	0.0	0.06141274959662991	0.0891986242196807	0.20511253183612024	0.14728526272950399	0.08448074979332867	0.08170375467057804	0.581273204486308	0.6001551445719399	0.6409462554361562	0.6659460439239591	0.5779676413550571	0.5699196278416401	0.4743084980302611	0.0827678059308423	0.08337801298122346
w20pp	0.1481464583047216	0.0809534729167122	0.09691946584452982	0.06141274959662991	0.0	0.07737668281613665	0.19329059043257618	0.13546332132595992	0.07265880838978461	0.06988181326703398	0.569451263082764	0.5883332031683958	0.6291243140326122	0.654124102520415	0.566145699951513	0.558097686438096	0.46248655662671706	0.07094586452729824	0.07155607157767942
f7pp	0.16437731730343283	0.09718433191542347	0.11315032484324108	0.0891986242196807	0.07737668281613665	0.0	0.17684583117944236	0.11901856207282606	0.059753551997833526	0.06542048957221286	0.564989939387943	0.5838718794735747	0.6246629903377912	0.649662778825594	0.5616843762566919	0.553636362743275	0.4580252329318959	0.08158839664032275	0.08778693057639067
S18H1	0.28029122491987235	0.213098239531863	0.2290642324596806	0.20511253183612024	0.19329059043257618	0.17684583117944236	0.0	0.20074697483420773	0.17566745961427307	0.1813343971886524	0.6809038470043824	0.6997857870900143	0.7405768979542307	0.7655766864420335	0.6775982838731315	0.6695502703597145	0.5739391405483354	0.1975023042567623	0.2037008381928302
s24H1	0.22246395581325612	0.15527097042524673	0.17123696335306438	0.14728526272950399	0.13546332132595992	0.11901856207282606	0.20074697483420773	0.0	0.1178401905076568	0.12350712808203615	0.6230765778977662	0.641958517983398	0.6827496288476144	0.7077494173354172	0.6197710147665152	0.6117230012530982	0.5161118714417192	0.13967503515014604	0.14587356908621396
f16ppA	0.1596594428770808	0.09246645748907144	0.10843245041688905	0.08448074979332867	0.07265880838978461	0.059753551997833526	0.17566745961427307	0.1178401905076568	0.0	0.06070261514586084	0.5602720649615909	0.5791540050472227	0.6199451159114391	0.6449449043992419	0.5569665018303399	0.5489184883169229	0.4533073585055439	0.07687052221397073	0.08306905615003865
f24pp	0.1568824477543302	0.0896894623663208	0.10565545529413842	0.08170375467057804	0.06988181326703398	0.06542048957221286	0.1813343971886524	0.12350712808203615	0.06070261514586084	0.0	0.5526037628983338	0.5714857029839656	0.612276813848182	0.6372766023359848	0.5492981997670828	0.5412501862536658	0.4456390564422868	0.0740935270912201	0.080292061027288
