	f15pp	f12ppA	f17ppA	f30pp	f4pp	f7pp	f3pp	f21pp	S20H1	f18pp	f25pp	f32pp	w30pp	f20ppB	f23ppB	f14ppB	f14ppA	w3pp	w14pp	f19pp	w16pp	w8pp	w4pp	w25pp	w17pp	w27pp	w15pp	w1pp	w19pp	w13pp	f16ppA	w18pp	f12ppB	f17ppB	f26pp	S18H1	f29pp	f10pp	f1pp	f2pp	f28pp	f6ppB	f16ppB	f22ppA	f13pp	s16pp	w9pp
f15pp	0.0	0.1824294748504278	0.17375290778880192	0.30305127968032664	0.24188433252608604	0.2320191916733548	0.2182513972893595	0.2607358492386269	0.3436064577522332	0.2590572348104353	0.28720214757566065	0.2556826993502814	0.3712615156167588	0.2818555557682238	0.32010172991323127	0.2732884223148374	0.1583912846481709	0.20446759455408822	0.31156429715633027	0.3035097799492916	0.35968616891550553	0.32213247842830117	0.4266311378365426	0.4324957929348583	0.34501914086913277	0.4853912059669555	0.4175810109770489	0.3221972294292549	0.32830394129321283	0.3501055253943113	0.30592539452046075	0.3560404100377341	0.3330862025238924	0.3931048415882854	0.24732076857053134	0.3521198948757964	0.27125437915689743	0.34466448513155656	0.26649600590118294	0.22990947567888956	0.2805443305820059	0.2953096637684487	0.2650072794743319	0.2228134968749055	0.19909744574848814	0.2744317678317457	0.20798703294997004
f12ppA	0.1824294748504278	0.0	0.16097261675107707	0.29027098864260176	0.2291040414883612	0.21923890063562995	0.20547110625163464	0.24795555820090207	0.33082616671450826	0.24627694377271045	0.2744218565379358	0.24290240831255652	0.358481224579034	0.2690752647304989	0.30732143887550645	0.2605081312771126	0.14561099361044605	0.19168730351636337	0.29878400611860545	0.2907294889115668	0.3469058778777806	0.30935218739057635	0.4138508467988177	0.41971550189713347	0.33223884983140795	0.4726109149292307	0.4048007199393241	0.30941693839153006	0.315523650255488	0.33732523435658646	0.2931451034827359	0.3432601190000092	0.32030591148616755	0.38032455055056047	0.2345404775328065	0.3393396038380716	0.2584740881191726	0.3318841940938317	0.2537157148634581	0.2171291846411647	0.2677640395442811	0.2825293727307238	0.25222698843660707	0.22988409218231448	0.2061680410558971	0.3016650361508246	0.2794153852648868
f17ppA	0.17375290778880192	0.16097261675107707	0.0	0.2663975438684912	0.20523059671425065	0.19536545586151938	0.18159766147752407	0.22408211342679152	0.30695272194039774	0.2224034989985999	0.25054841176382525	0.21902896353844598	0.3346077798049234	0.2452018199563884	0.2834479941013959	0.236634686503002	0.12173754883633547	0.1678138587422528	0.27491056134449493	0.2668560441374562	0.3230324331036701	0.2854787426164658	0.38997740202470715	0.3958420571230229	0.30836540505729737	0.4487374701551201	0.3809272751652135	0.28554349361741954	0.29165020548137743	0.3134517895824759	0.26927165870862535	0.31938667422589867	0.296432466712057	0.35645110577644995	0.21066703275869592	0.31546615906396097	0.23460064334506203	0.3080107493197211	0.22984227008934754	0.19325573986705413	0.2438905947701705	0.25865592795661324	0.2283535436624965	0.22120752512068861	0.19749147399427125	0.29298846908919873	0.27073881820326096
f30pp	0.30305127968032664	0.29027098864260176	0.2663975438684912	0.0	0.2077263271199157	0.2249871595756534	0.24474989898630917	0.2872343509355766	0.37010495944918287	0.285555736507385	0.3281057721108238	0.29658632388544454	0.41216514015192196	0.322759180303387	0.3610053544483945	0.31419204685000063	0.2271243606740816	0.2732006705799989	0.380297373182241	0.37224285597520235	0.42841924494141614	0.3908655544542119	0.4953642138624532	0.501228868960769	0.4137522168950435	0.5541242819928662	0.48631408700295964	0.3909303054551656	0.39703701731912355	0.418838601420222	0.37465847054637147	0.42477348606364473	0.4018192785498031	0.461837917614196	0.31605384459644204	0.4208529709017071	0.33998745518280815	0.41339756115746723	0.33522908192709366	0.29864255170480025	0.3492774066079166	0.36404273979435936	0.3337403555002426	0.3505058970122133	0.3267898458857959	0.4222868409807234	0.4000371900947856
f4pp	0.24188433252608604	0.2291040414883612	0.20523059671425065	0.2077263271199157	0.0	0.16382021242141284	0.1835829518320686	0.22606740378133605	0.3089380122949423	0.22438878935314444	0.2669388249565833	0.235419376731204	0.3509981929976814	0.2615922331491464	0.2998384072941539	0.25302509969576004	0.16595741351984106	0.21203372342575835	0.31913042602800046	0.3110759088209618	0.3672522977871756	0.3296986072999713	0.4341972667082127	0.4400619218065284	0.3525852697408029	0.49295733483862564	0.42514713984871905	0.32976335830092507	0.33587007016488296	0.3576716542659814	0.3134915233921309	0.3636065389094042	0.34065233139556256	0.4006709704599555	0.2548868974422015	0.35968602374746655	0.2788205080285676	0.3522306140032267	0.27406213477285307	0.23747560455055972	0.2881104594536761	0.3028757926401188	0.2725734083460021	0.2893389498579727	0.26562289873155537	0.3611198938264828	0.338870242940545
f7pp	0.2320191916733548	0.21923890063562995	0.19536545586151938	0.2249871595756534	0.16382021242141284	0.0	0.17371781097933736	0.2162022629286048	0.29907287144221106	0.21452364850041322	0.257073684103852	0.22555423587847273	0.34113305214495016	0.2517270922964152	0.2899732664414227	0.24315995884302882	0.1560922726671098	0.2021685825730271	0.30926528517526924	0.30121076796823054	0.3573871569344444	0.3198334664472401	0.42433212585548147	0.4301967809537972	0.3427201288880717	0.4830921939858944	0.41528199899598783	0.31989821744819386	0.32600492931215175	0.3478065134132502	0.30362638253939966	0.353741398056673	0.3307871905428313	0.39080582960722426	0.24502175658947023	0.3498208828947353	0.26895536717583635	0.3423654731504954	0.26419699392012186	0.22761046369782845	0.2782453186009448	0.29301065178738755	0.2627082674932708	0.2794738090052415	0.2557577578788241	0.3512547529737516	0.3290051020878138
f3pp	0.2182513972893595	0.20547110625163464	0.18159766147752407	0.24474989898630917	0.1835829518320686	0.17371781097933736	0.0	0.17504228231989774	0.257912890833504	0.17336366789170615	0.2433058897198567	0.2117864414944774	0.3273652577609548	0.23795929791241985	0.27620547205742735	0.2293921644590335	0.14232447828311445	0.18840078818903178	0.2954974907912739	0.2874429735842352	0.34361936255044906	0.30606567206324475	0.41056433147148613	0.4164289865698019	0.32895233450407635	0.4693243996018991	0.4015142046119925	0.3061304230641985	0.3122371349281564	0.33403871902925486	0.28985858815540433	0.33997360367267765	0.31701939615883595	0.37703803522322893	0.2312539622054749	0.33605308851073995	0.255187572791841	0.3285976787665001	0.2504291995361265	0.2138426693138331	0.2644775242169495	0.2792428574033922	0.24894047310927547	0.2657060146212462	0.24198996349482882	0.3374869585897563	0.3152373077038185
f21pp	0.2607358492386269	0.24795555820090207	0.22408211342679152	0.2872343509355766	0.22606740378133605	0.2162022629286048	0.17504228231989774	0.0	0.26515630786645833	0.1806070849246605	0.28579034166912415	0.25427089344374487	0.3698497097102223	0.2804437498616873	0.3186899240066948	0.27187661640830096	0.1848089302323819	0.2308852401382992	0.33798194274054133	0.3299274255335026	0.3861038144997165	0.3485501240125122	0.45304878342075355	0.4589134385190693	0.37143678645334377	0.5118088515511665	0.4439986565612599	0.34861487501346594	0.35472158687742383	0.3765231709785223	0.33234304010467175	0.38245805562194507	0.35950384810810343	0.41952248717249635	0.2737384141547423	0.3785375404600074	0.29767202474110843	0.37108213071576757	0.29291365148539394	0.25632712126310053	0.3069619761662169	0.3217273093526597	0.2914249250585429	0.30819046657051363	0.28447441544409624	0.3799714105390237	0.35772175965308595
S20H1	0.3436064577522332	0.33082616671450826	0.30695272194039774	0.37010495944918287	0.3089380122949423	0.29907287144221106	0.257912890833504	0.26515630786645833	0.0	0.18905718792804413	0.3686609501827304	0.3371415019573511	0.4527203182238285	0.3633143583752935	0.401560532520301	0.35474722492190713	0.26767953874598815	0.3137558486519054	0.42085255125414756	0.4127980340471089	0.4689744230133227	0.4314207325261184	0.5359193919343598	0.5417840470326756	0.45430739496695	0.5946794600647727	0.5268692650748661	0.43148548352707217	0.43759219539103006	0.4593937794921285	0.415213648618278	0.4653286641355513	0.4423744566217096	0.5023930956861026	0.3566090226683486	0.4614081489736136	0.3805426332547147	0.45395273922937374	0.37578425999900017	0.3391977297767068	0.3898325846798232	0.40459791786626587	0.3742955335721492	0.39106107508411986	0.36734502395770247	0.46284201905262995	0.44059236816669217
f18pp	0.2590572348104353	0.24627694377271045	0.2224034989985999	0.285555736507385	0.22438878935314444	0.21452364850041322	0.17336366789170615	0.1806070849246605	0.18905718792804413	0.0	0.28411172724093253	0.25259227901555326	0.3681710952820307	0.2787651354334957	0.3170113095785032	0.27019800198010935	0.18313031580419029	0.22920662571010758	0.3363033283123497	0.328248811105311	0.38442520007152486	0.34687150958432056	0.45137016899256194	0.4572348240908777	0.36975817202515215	0.5101302371229749	0.4423200421330683	0.3469362605852743	0.3530429724492322	0.37484455655033067	0.33066442567648013	0.38077944119375345	0.3578252336799118	0.41784387274430473	0.2720597997265507	0.3768589260318158	0.2959934103129168	0.36940351628757595	0.29123503705720233	0.2546485068349089	0.3052833617380253	0.3200486949244681	0.2897463106303513	0.306511852142322	0.2827958010159046	0.3782927961108321	0.35604314522489433
