	w19pp	w20pp	S2Hp	f2pp	w2pp	S3Hp	F14H1A	F7H1	f12ppB	f24pp	w24pp	w18pp	f11pp	F16H1	f7pp	S1Hp	S8Hp	F8H1	w14pp	S18H1	f8pp	f10pp	w4pp	f4pp	f6ppA	f16ppA
w19pp	0.0	0.1979298587688992	0.3353052443108295	0.30249627214573016	0.30169615455754567	0.395774842143843	0.3427099992469204	0.3298665898239202	0.22071690691315488	0.2850816181252526	0.31036294627576	0.330659354970187	0.2773427486088699	0.3396075470358457	0.37362772259901517	3.993431214141372	0.41332959692636967	0.4355907942848693	0.3314221645897373	0.3578325349621675	0.28918136176540193	0.29928568257021	0.33003237511719996	0.29411634675765447	0.2637458791775915	0.052067324654909555
w20pp	0.1979298587688992	0.0	0.3357381423594379	0.30292917019433857	0.3021290526061541	0.3962077401924514	0.3431428972955288	0.3302994878725286	0.22114980496176329	0.28551451617386103	0.3107958443243684	0.3310922530187954	0.27777564665747834	0.34004044508445413	0.3740606206476236	3.9938641121899803	0.4137624949749781	0.4360236923334777	0.3318550626383457	0.3582654330107759	0.28961425981401034	0.2997185806188184	0.33046527316580837	0.2945492448062629	0.2641787772261999	0.18289485556035304
S2Hp	0.3353052443108295	0.3357381423594379	0.0	0.12245493440322663	0.12165481681504214	0.3471950909706819	0.33691855753092825	0.32407514810792803	0.27353031705439756	0.33789502826649537	0.36317635641700274	0.3834727651114297	0.33015615875011267	0.39242095717708847	0.4264411327402579	4.046244624282615	0.46614300706761236	0.488404204426112	0.38423557473098	0.41064594510341024	0.3419947719066446	0.3520990927114527	0.3828457852584427	0.34692975689889716	0.34213872617043267	0.3202702411022833
f2pp	0.30249627214573016	0.30292917019433857	0.12245493440322663	0.0	0.00273870461727177	0.3143861188055826	0.30410958536582894	0.2912661759428287	0.24072134488929825	0.30508605610139605	0.3303673842519034	0.3506637929463304	0.29734718658501336	0.3596119850119891	0.3936321605751586	4.013435652117515	0.43333403490251304	0.4555952322610127	0.35142660256588065	0.37783697293831087	0.3091857997415453	0.31929012054635336	0.35003681309334334	0.31412078473379784	0.30932975400533336	0.287461268937184
w2pp	0.30169615455754567	0.3021290526061541	0.12165481681504214	0.00273870461727177	0.0	0.3135860012173981	0.30330946777764445	0.29046605835464423	0.23992122730111376	0.3042859385132115	0.32956726666371894	0.3498636753581459	0.2965470689968288	0.3588118674238046	0.39283204298697405	4.0126355345293305	0.43253391731432855	0.4547951146728282	0.3506264849776962	0.37703685535012643	0.3083856821533608	0.31849000295816887	0.3492366955051589	0.31332066714561335	0.3085296364171488	0.2866611513489995
S3Hp	0.395774842143843	0.3962077401924514	0.3471950909706819	0.3143861188055826	0.3135860012173981	0.0	0.3973881553639418	0.38454474594094157	0.3339999148874111	0.39836462609950885	0.4236459542500163	0.4439423629444432	0.39062575658312615	0.45289055501010195	0.4869107305732714	4.106714222115628	0.5266126049006259	0.5488738022591255	0.44470517256399356	0.47111554293642377	0.40246436973965816	0.4125686905444662	0.44331538309145624	0.4073993547319107	0.4026083240034462	0.38073983893529684
F14H1A	0.3427099992469204	0.3431428972955288	0.33691855753092825	0.30410958536582894	0.30330946777764445	0.3973881553639418	0.0	0.2673303640203213	0.2809350719904885	0.34529978320258625	0.3705811113530937	0.39087752004752063	0.33756091368620356	0.39982571211317935	0.4338458876763488	4.053649379218705	0.4735477620037033	0.49580895936220293	0.39164032966707096	0.4180507000395012	0.34939952684273556	0.3595038476475436	0.39025054019453365	0.3543345118349881	0.34954348110652356	0.32767499603837424
F7H1	0.3298665898239202	0.3302994878725286	0.32407514810792803	0.2912661759428287	0.29046605835464423	0.38454474594094157	0.2673303640203213	0.0	0.2680916625674883	0.33245637377958603	0.35773770193009347	0.3780341106245204	0.32471750426320334	0.38698230269017914	0.4210024782533486	4.040805969795705	0.4607043525807031	0.4829655499392027	0.37879692024407075	0.40520729061650096	0.33655611741973535	0.3466604382245434	0.37740713077153343	0.3414911024119879	0.33670007168352334	0.314831586615374
f12ppB	0.22071690691315488	0.22114980496176329	0.27353031705439756	0.24072134488929825	0.23992122730111376	0.3339999148874111	0.2809350719904885	0.2680916625674883	0.0	0.17377549060763783	0.1990568187581452	0.21935322745257219	0.16603662109125514	0.2283014195182309	0.26232159508140035	3.882125086623757	0.30202346940875485	0.3242846667672544	0.2201160370721225	0.2465264074445527	0.17787523424778712	0.18797955505259517	0.21872624759958517	0.18281021924003965	0.22755038877275804	0.2056819037046087
f24pp	0.2850816181252526	0.28551451617386103	0.33789502826649537	0.30508605610139605	0.3042859385132115	0.39836462609950885	0.34529978320258625	0.33245637377958603	0.17377549060763783	0.0	0.04729191585296784	0.21487973244037073	0.1615631260790537	0.22382792450602945	0.2578481000691989	3.9111610544389412	0.3310594372239389	0.3533206345824385	0.2491520048873065	0.2755623752597367	0.20691120206297114	0.2170155228677792	0.24776221541476917	0.21184618705522368	0.2919150999848558	0.27004661491670645
w24pp	0.31036294627576	0.3107958443243684	0.36317635641700274	0.3303673842519034	0.32956726666371894	0.4236459542500163	0.3705811113530937	0.35773770193009347	0.1990568187581452	0.04729191585296784	0.0	0.24016106059087808	0.18684445422956106	0.2491092526565368	0.28312942821970627	3.9364423825894486	0.35634076537444626	0.3786019627329459	0.27443333303781386	0.3008437034102441	0.2321925302134785	0.24229685101828657	0.27304354356527655	0.23712751520573105	0.3171964281353632	0.2953279430672138
w18pp	0.330659354970187	0.3310922530187954	0.3834727651114297	0.3506637929463304	0.3498636753581459	0.4439423629444432	0.39087752004752063	0.3780341106245204	0.21935322745257219	0.21487973244037073	0.24016106059087808	0.0	0.09261400435856183	0.19095554234593862	0.22497571790910809	3.9567387912838754	0.3766371740688732	0.39889837142737283	0.29472974173224087	0.3211401121046711	0.25248893890790547	0.2625932597127135	0.29333995225970355	0.257423923900158	0.33749283682979014	0.31562435176164083
f11pp	0.2773427486088699	0.27777564665747834	0.33015615875011267	0.29734718658501336	0.2965470689968288	0.39062575658312615	0.33756091368620356	0.32471750426320334	0.16603662109125514	0.1615631260790537	0.18684445422956106	0.09261400435856183	0.0	0.13763893598462162	0.1716591115477911	3.9034221849225585	0.3233205677075562	0.3455817650660558	0.2414131353709238	0.267823505743354	0.19917233254658845	0.2092766533513965	0.24002334589838648	0.20410731753884098	0.2841762304684731	0.26230774540032376
F16H1	0.3396075470358457	0.34004044508445413	0.39242095717708847	0.3596119850119891	0.3588118674238046	0.45289055501010195	0.39982571211317935	0.38698230269017914	0.2283014195182309	0.22382792450602945	0.2491092526565368	0.19095554234593862	0.13763893598462162	0.0	0.18262785282209254	3.965686983349534	0.3855853661345319	0.40784656349303156	0.30367793379789954	0.33008830417032975	0.2614371309735642	0.27154145177837224	0.3022881443253622	0.2663721159658167	0.3464410288954489	0.32457254382729955
f7pp	0.37362772259901517	0.3740606206476236	0.4264411327402579	0.3936321605751586	0.39283204298697405	0.4869107305732714	0.4338458876763488	0.4210024782533486	0.26232159508140035	0.2578481000691989	0.28312942821970627	0.22497571790910809	0.1716591115477911	0.18262785282209254	0.0	3.999707158912704	0.41960554169770137	0.441866739056201	0.33769810936106903	0.36410847973349925	0.29545730653673363	0.30556162734154174	0.3363083198885317	0.3003922915289862	0.38046120445861836	0.358592719390469
S1Hp	3.993431214141372	3.9938641121899803	4.046244624282615	4.013435652117515	4.0126355345293305	4.106714222115628	4.053649379218705	4.040805969795705	3.882125086623757	3.9111610544389412	3.9364423825894486	3.9567387912838754	3.9034221849225585	3.965686983349534	3.999707158912704	0.0	3.8755505734625073	3.897813770822007	3.793645141126875	3.8593264938441827	3.836027012921075	3.846131333725883	3.92819745572538	3.8922814273658344	4.000264696000975	3.978396210932826
S8Hp	0.41332959692636967	0.4137624949749781	0.46614300706761236	0.43333403490251304	0.43253391731432855	0.5266126049006259	0.4735477620037033	0.4607043525807031	0.30202346940875485	0.3310594372239389	0.35634076537444626	0.3766371740688732	0.3233205677075562	0.3855853661345319	0.41960554169770137	3.8755505734625073	0.0	0.3177121536070049	0.21354352391187284	0.27922487662918044	0.25592539570607253	0.2660297165108806	0.34809583851037773	0.31217981015083224	0.42016307878597287	0.3982945937178235
F8H1	0.4355907942848693	0.4360236923334777	0.488404204426112	0.4555952322610127	0.4547951146728282	0.5488738022591255	0.49580895936220293	0.4829655499392027	0.3242846667672544	0.3533206345824385	0.3786019627329459	0.39889837142737283	0.3455817650660558	0.40784656349303156	0.441866739056201	3.897813770822007	0.3177121536070049	0.0	0.2141436901438719	0.30148607398768007	0.27818659306457216	0.28829091386938027	0.3703570358688774	0.3344410075093319	0.4424242761444725	0.4205557910763231
w14pp	0.3314221645897373	0.3318550626383457	0.38423557473098	0.35142660256588065	0.3506264849776962	0.44470517256399356	0.39164032966707096	0.37879692024407075	0.2201160370721225	0.2491520048873065	0.27443333303781386	0.29472974173224087	0.2414131353709238	0.30367793379789954	0.33769810936106903	3.793645141126875	0.21354352391187284	0.2141436901438719	0.0	0.19731744429254805	0.17401796336944017	0.18412228417424825	0.2661884061737454	0.2302723778141999	0.3382556464493405	0.3163871613811911
S18H1	0.3578325349621675	0.3582654330107759	0.41064594510341024	0.37783697293831087	0.37703685535012643	0.47111554293642377	0.4180507000395012	0.40520729061650096	0.2465264074445527	0.2755623752597367	0.3008437034102441	0.3211401121046711	0.267823505743354	0.33008830417032975	0.36410847973349925	3.8593264938441827	0.27922487662918044	0.30148607398768007	0.19731744429254805	0.0	0.20042833374187038	0.21053265454667847	0.2925987765461756	0.2566827481866301	0.3646660168217707	0.3427975317536213
f8pp	0.28918136176540193	0.28961425981401034	0.3419947719066446	0.3091857997415453	0.3083856821533608	0.40246436973965816	0.34939952684273556	0.33655611741973535	0.17787523424778712	0.20691120206297114	0.2321925302134785	0.25248893890790547	0.19917233254658845	0.2614371309735642	0.29545730653673363	3.836027012921075	0.25592539570607253	0.27818659306457216	0.17401796336944017	0.20042833374187038	0.0	0.03994253835493922	0.22394760334941002	0.1880315749898645	0.2960148436250051	0.27414635855685576
f10pp	0.29928568257021	0.2997185806188184	0.3520990927114527	0.31929012054635336	0.31849000295816887	0.4125686905444662	0.3595038476475436	0.3466604382245434	0.18797955505259517	0.2170155228677792	0.24229685101828657	0.2625932597127135	0.2092766533513965	0.27154145177837224	0.30556162734154174	3.846131333725883	0.2660297165108806	0.28829091386938027	0.18412228417424825	0.21053265454667847	0.03994253835493922	0.0	0.2340519241542181	0.19813589579467258	0.30611916442981313	0.2842506793616638
w4pp	0.33003237511719996	0.33046527316580837	0.3828457852584427	0.35003681309334334	0.3492366955051589	0.44331538309145624	0.39025054019453365	0.37740713077153343	0.21872624759958517	0.24776221541476917	0.27304354356527655	0.29333995225970355	0.24002334589838648	0.3022881443253622	0.3363083198885317	3.92819745572538	0.34809583851037773	0.3703570358688774	0.2661884061737454	0.2925987765461756	0.22394760334941002	0.2340519241542181	0.0	0.1156339903011305	0.33686585697680316	0.3149973719086538
f4pp	0.29411634675765447	0.2945492448062629	0.34692975689889716	0.31412078473379784	0.31332066714561335	0.4073993547319107	0.3543345118349881	0.3414911024119879	0.18281021924003965	0.21184618705522368	0.23712751520573105	0.257423923900158	0.20410731753884098	0.2663721159658167	0.3003922915289862	3.8922814273658344	0.31217981015083224	0.3344410075093319	0.2302723778141999	0.2566827481866301	0.1880315749898645	0.19813589579467258	0.1156339903011305	0.0	0.3009498286172576	0.2790813435491083
f6ppA	0.2637458791775915	0.2641787772261999	0.34213872617043267	0.30932975400533336	0.3085296364171488	0.4026083240034462	0.34954348110652356	0.33670007168352334	0.22755038877275804	0.2919150999848558	0.3171964281353632	0.33749283682979014	0.2841762304684731	0.3464410288954489	0.38046120445861836	4.000264696000975	0.42016307878597287	0.4424242761444725	0.3382556464493405	0.3646660168217707	0.2960148436250051	0.30611916442981313	0.33686585697680316	0.3009498286172576	0.0	0.24871087596904534
f16ppA	0.052067324654909555	0.18289485556035304	0.3202702411022833	0.287461268937184	0.2866611513489995	0.38073983893529684	0.32767499603837424	0.314831586615374	0.2056819037046087	0.27004661491670645	0.2953279430672138	0.31562435176164083	0.26230774540032376	0.32457254382729955	0.358592719390469	3.978396210932826	0.3982945937178235	0.4205557910763231	0.3163871613811911	0.3427975317536213	0.27414635855685576	0.2842506793616638	0.3149973719086538	0.2790813435491083	0.24871087596904534	0.0
