	31700	530451	31328	S28Hp	S15Hp	S4Hp	S22Hp	530075	31750	31071	31267	F1H1	S1Hp	w18pp	f7pp	w26pp	31232	f16ppA	w20pp	530227	f1pp	S19H1	w8pp	31160	530154	530055	31519	530315	530177	31333	530444	530258	31236	530331	S7Hp	31723	31600	530295	530119	F32H1	530368
31700	0.0	0.04936039421151467	0.052822120118419746	0.12794289375101453	0.18625087304971777	0.2524180440978903	0.27311654904896066	0.2605338354675324	0.25585275031211085	0.26033915298833193	0.2834576315247432	0.2813535608787833	0.22975534472261827	0.231370171927681	0.21474015611520053	0.22933231797153153	0.266473227767536	0.22797146238901322	0.22490967874371665	0.29086512678444393	0.22267852666115284	0.27364423283428435	0.23183076118522794	0.26992027389559825	0.3055449409700254	0.24318497699975355	0.2464727403353188	0.2711259246208411	0.2723148159205324	0.22961501551706193	0.2597298290762988	0.27034303318222924	0.28017973579889754	0.25761617900366884	0.19407316008747522	0.1512982043043975	0.16243936117916224	0.15438513514316787	0.09084360083870235	0.0833045720040755	0.07879322526662406
530451	0.04936039421151467	0.0	0.01063888405350309	0.14674228668915765	0.20505026598786089	0.2712174370360334	0.2919159419871038	0.27933322840567554	0.274652143250254	0.279138545926475	0.3022570244628863	0.30015295381692647	0.24855473766076142	0.25016956486582415	0.23353954905334365	0.24813171090967465	0.28527262070567916	0.24677085532715634	0.24370907168185976	0.3096645197225871	0.241477919599296	0.29244362577242744	0.2506301541233711	0.2887196668337414	0.3243443339081685	0.2619843699378967	0.2652721332734619	0.28992531755898426	0.29111420885867556	0.24841440845520504	0.27852922201444197	0.2891424261203724	0.2989791287370407	0.276415571941812	0.21287255302561836	0.17009759724254062	0.1812387541173054	0.17318452808131102	0.10964299377684548	0.10210396494221863	0.0975926182047672
31328	0.052822120118419746	0.01063888405350309	0.0	0.15020401259606272	0.20851199189476596	0.2746791629429385	0.2953776678940089	0.2827949543125806	0.2781138691571591	0.2826002718333801	0.3057187503697914	0.30361467972383155	0.2520164635676665	0.2536312907727292	0.23700127496024873	0.25159343681657975	0.28873434661258424	0.25023258123406145	0.24717079758876484	0.31312624562949215	0.24493964550620106	0.2959053516793325	0.25409188003027616	0.2921813927406465	0.3278060598150736	0.2654460958448018	0.26873385918036696	0.29338704346588934	0.29457593476558064	0.2518761343621101	0.28199094792134705	0.29260415202727746	0.30244085464394577	0.27987729784871707	0.21633427893252344	0.1735593231494457	0.18470048002421047	0.1766462539882161	0.11310471968375056	0.1055656908491237	0.10105434411167227
S28Hp	0.12794289375101453	0.14674228668915765	0.15020401259606272	0.0	0.14320283328155203	0.20937000432972458	0.23006850928079495	0.21748579569936666	0.21280471054394515	0.2172911132201662	0.24040959175657747	0.23830552111061762	0.18670730495445256	0.1883221321595153	0.1716921163470348	0.1862842782033658	0.2234251879993703	0.1849234226208475	0.1818616389755509	0.24781708701627825	0.17963048689298713	0.23059619306611862	0.1887827214170622	0.22687223412743251	0.26249690120185964	0.20013693723158785	0.20342470056715306	0.2280778848526754	0.22926677615236668	0.1865669757488962	0.2166817893081331	0.22729499341406353	0.2371316960307318	0.21456813923550314	0.15102512031930954	0.1722796987276316	0.18342085560239638	0.17536662956640203	0.1544077432389213	0.14686871440429447	0.14235736766684304
S15Hp	0.18625087304971777	0.20505026598786089	0.20851199189476596	0.14320283328155203	0.0	0.18525640853923275	0.20595491349030315	0.19337219990887483	0.18869111475345335	0.19317751742967437	0.21629599596608567	0.21419192532012582	0.16259370916396076	0.1642085363690235	0.147578520556543	0.162170682412874	0.1993115922088785	0.1608098268303557	0.15774804318505908	0.22370349122578642	0.15551689110249534	0.2064825972756268	0.1646691256265704	0.2027586383369407	0.23838330541136787	0.17602334144109605	0.17931110477666123	0.2039642890621836	0.20515318036187485	0.16245337995840436	0.19256819351764126	0.20318139762357174	0.21301810024023998	0.19045454344501134	0.15852266850168434	0.23058767802633484	0.24172883490109962	0.23367460886510527	0.21271572253762455	0.2051766937029977	0.20066534696554628
S4Hp	0.2524180440978903	0.2712174370360334	0.2746791629429385	0.20937000432972458	0.18525640853923275	0.0	0.2615587226903697	0.2489760091089414	0.2442949239535199	0.24878132662974095	0.2718998051661522	0.26979573452019234	0.21819751836402732	0.21981234556909007	0.20318232975660955	0.21777449161294055	0.2549154014089451	0.21641363603042224	0.21335185238512566	0.279307300425853	0.21112070030256191	0.26208640647569337	0.22027293482663696	0.25836244753700727	0.29398711461143445	0.2316271506411626	0.2349149139767278	0.25956809826225014	0.26075698956194143	0.21805718915847094	0.24817200271770784	0.25878520682363826	0.26862190944030656	0.2460583526450779	0.22468983954985688	0.2967548490745074	0.30789600594927213	0.2998417799132778	0.2788828935857971	0.2713438647511703	0.2668325180137188
S22Hp	0.27311654904896066	0.2919159419871038	0.2953776678940089	0.23006850928079495	0.20595491349030315	0.2615587226903697	0.0	0.2532555847268894	0.24857449957146788	0.25306090224768896	0.2761793807841002	0.27407531013814035	0.2224770939819753	0.22409192118703805	0.20746190537455755	0.22205406723088855	0.25919497702689304	0.22069321164837025	0.21763142800307367	0.28358687604380095	0.2154002759205099	0.2663659820936414	0.22455251044458496	0.2701699508671206	0.3057946179415478	0.24343465397127595	0.24672241730684116	0.2713756015923635	0.27256449289205475	0.2298646924885843	0.25997950604782116	0.27059271015375164	0.2804294127704199	0.25786585597519124	0.24538834450092725	0.3174533540255777	0.32859451090034253	0.32054028486434816	0.2995813985368675	0.2920423697022407	0.2875310229647892
530075	0.2605338354675324	0.27933322840567554	0.2827949543125806	0.21748579569936666	0.19337219990887483	0.2489760091089414	0.2532555847268894	0.0	0.1638428260522387	0.22588758866106817	0.24900606719747945	0.2469019965515196	0.19530378039535454	0.20626735405694407	0.1896373382444636	0.2042295001007946	0.2413704098967991	0.2028686445182763	0.1998068608729797	0.265762308913707	0.19757570879041592	0.24854141496354737	0.20672794331449101	0.2575872372856923	0.29321190436011946	0.23085194038984766	0.23413970372541287	0.25879288801093525	0.2599817793106265	0.217281978907156	0.2473967924663929	0.2580099965723234	0.2678466991889916	0.24528314239376295	0.23280563091949896	0.30487064044414947	0.31601179731891427	0.3079575712829199	0.2869986849554392	0.27945965612081236	0.2749483093833609
31750	0.25585275031211085	0.274652143250254	0.2781138691571591	0.21280471054394515	0.18869111475345335	0.2442949239535199	0.24857449957146788	0.1638428260522387	0.0	0.22120650350564666	0.24432498204205794	0.24222091139609808	0.19062269523993303	0.2015862689015226	0.18495625308904207	0.19954841494537306	0.23668932474137755	0.19818755936285476	0.19512577571755818	0.2610812237582855	0.19289462363499443	0.2438603298081259	0.20204685815906948	0.2529061521302708	0.288530819204698	0.22617085523442615	0.22945861856999136	0.2541118028555137	0.25530069415520495	0.2126008937517345	0.2427157073109714	0.25332891141690184	0.2631656140335701	0.24060205723834144	0.22812454576407745	0.3001895552887279	0.31133071216349273	0.30327648612749836	0.2823175998000177	0.2747785709653908	0.27026722422793936
31071	0.26033915298833193	0.279138545926475	0.2826002718333801	0.2172911132201662	0.19317751742967437	0.24878132662974095	0.25306090224768896	0.22588758866106817	0.22120650350564666	0.0	0.23758069403835397	0.2354766233923941	0.18387840723622906	0.20607267157774362	0.18944265576526315	0.20403481762159414	0.24117572741759863	0.20267396203907584	0.19961217839377923	0.26556762643450654	0.19738102631121546	0.2483467324843469	0.20653326083529056	0.25739255480649187	0.29301722188091905	0.2306572579106472	0.23394502124621241	0.25859820553173474	0.25978709683142603	0.21708729642795555	0.24720210998719244	0.25781531409312286	0.26765201670979116	0.2450884599145625	0.2326109484402985	0.304675957964949	0.31581711483971375	0.30776288880371944	0.2868040024762387	0.2792649736416119	0.27475362690416044
