	w16pp	w20pp	w26pp	f1pp	w13pp	f16ppB	w18pp	w8pp	f14ppB	w7pp	f20ppB	31333	530368	31219	31300	31267	31009	31160	w25pp	f12ppA	w11pp	f21pp	f23ppA	f11pp	w27pp	w9pp	w4pp	w15pp	w6pp	f6ppA	f14ppA	w1pp	f31pp	w17pp	f4pp	f7pp	w14pp	w19pp	f15pp	f12ppB	w32pp	w21pp	f16ppA	w3pp	w2pp	f2pp	f24pp	f19pp	w24pp	f25pp	w12pp	f32pp	w10pp
w16pp	0.0	0.03900092404365072	0.05740938231070308	0.0633664297707576	0.07902160360449044	0.06754766973801637	0.06759479917935107	0.06146525345349421	0.0455402640464102	0.07651204282122992	0.07958356141909742	0.4185607436848869	0.595553283941221	0.5871497055701802	0.5714592954904012	0.5671866543175078	0.42606312401694335	0.4454303450868787	0.0664793790218885	0.07841083462491624	0.0655028580061997	0.07463479725864153	0.09526004537467189	0.09029015321382369	0.08033576431648734	0.07201738281724906	0.07845525447823759	0.058603686255026904	0.09248416822854039	0.064855693827844	0.09483069647732839	0.07083581731275125	0.07867984454927206	0.06693398448484444	0.08347937233956175	0.036249797628788646	0.04827782355431726	0.07514731126051157	0.09001961110103779	0.09700136527793674	0.10679407918073658	0.07648885843035366	0.057836121074990615	0.06030581478113489	0.08206619361950938	0.06005088213039476	0.06688034500749213	0.09600204330177192	0.06564604653667916	0.03242075703700182	0.026748567842947518	0.048715186564871726	0.03718444448567448
w20pp	0.03900092404365072	0.0	0.022622493070976187	0.028579540531030692	0.04423471436476354	0.03276078049828948	0.03280790993962417	0.026678364213767312	0.016920047614014243	0.04789182638883396	0.05096334498670146	0.38994052725249095	0.566933067508825	0.5585294891377842	0.5428390790580052	0.5385664378851118	0.3974429075845474	0.41681012865448275	0.037859162589492526	0.04979061819252027	0.03688264157380374	0.04601458082624556	0.06663982894227594	0.06166993678142772	0.05171554788409138	0.0433971663848531	0.049835038045841606	0.029983469822630938	0.0638639517961444	0.03623547739544803	0.06621048004493243	0.04221560088035528	0.05005962811687609	0.038313768052448474	0.05485915590716578	0.012306856582787426	0.024334882508316037	0.051204370214510346	0.06607667005503656	0.07305842423193551	0.08285113813473535	0.05254591738435243	0.03389318002898939	0.03636287373513367	0.05812325257350816	0.03610794108439353	0.04293740396149091	0.0720591022557707	0.04170310549067794	0.020585350374676754	0.020770902427410996	0.05549332045139706	0.049472682996527
w26pp	0.05740938231070308	0.022622493070976187	0.0	0.035200020130406726	0.05736912107458934	0.04589518720811528	0.04594231664944998	0.039812770923593116	0.035328505881066605	0.06630028465588632	0.06937180325375382	0.4083489855195433	0.5853415257758774	0.5769379474048366	0.5612475373250576	0.5569748961521642	0.41585136585159976	0.4352185869215351	0.056267620856544895	0.06819907645957264	0.0552910998408561	0.06442303909329793	0.08504828720932829	0.08007839504848009	0.07012400615114374	0.061805624651905464	0.06824349631289398	0.0483919280896833	0.08227241006319677	0.05464393566250039	0.0846189383119848	0.06062405914740765	0.06846808638392846	0.05672222631950084	0.07326761417421815	0.03071531484983979	0.0427433407753684	0.06961282848156271	0.08448512832208893	0.09146688249898788	0.10125959640178772	0.07095437565140479	0.05230163829604175	0.054771332002186035	0.07653171084056051	0.05451639935144589	0.06134586222854327	0.09046756052282307	0.0601115637577303	0.03899380864172912	0.03917936069446336	0.07390177871844943	0.06788114126357936
f1pp	0.0633664297707576	0.028579540531030692	0.035200020130406726	0.0	0.06332616853464385	0.05185223466816978	0.05189936410950448	0.04576981838364762	0.04128555334112111	0.07225733211594082	0.07532885071380832	0.41430603297959784	0.5912985732359318	0.582894994864891	0.567204584785112	0.5629319436122187	0.4218084133116543	0.44117563438158963	0.062224668316599396	0.07415612391962714	0.06124814730091061	0.07038008655335243	0.09100533466938279	0.0860354425085346	0.07608105361119824	0.06776267211195997	0.07420054377294848	0.054348975549737805	0.08822945752325129	0.0606009831225549	0.0905759857720393	0.06658110660746215	0.07442513384398296	0.06267927377955534	0.07922466163427265	0.0366723623098943	0.048700388235422915	0.07556987594161721	0.09044217578214345	0.0974239299590424	0.10721664386184224	0.07691142311145929	0.05825868575609626	0.06072837946224054	0.08248875830061503	0.06047344681150041	0.06730290968859778	0.09642460798287758	0.06606861121778482	0.044950856101783634	0.045136408154517874	0.07985882617850394	0.07383818872363387
w13pp	0.07902160360449044	0.04423471436476354	0.05736912107458934	0.06332616853464385	0.0	0.05846890188786635	0.05851603132920104	0.05238648560334418	0.05694072717485396	0.08791250594967367	0.09098402454754118	0.42996120681333067	0.6069537470696648	0.598550168698624	0.582859758618845	0.5785871174459516	0.43746358714538713	0.45683080821532246	0.07787984215033225	0.08981129775336	0.07690332113464346	0.08603526038708528	0.10666050850311565	0.10169061634226745	0.0917362274449311	0.08341784594569282	0.08985571760668132	0.07000414938347066	0.10388463135698413	0.07625615695628775	0.10623115960577215	0.08223628044119499	0.0900803076777158	0.0783344476132882	0.09487983546800549	0.052327536143627146	0.06435556206915576	0.09122504977535006	0.10609734961587629	0.11307910379277523	0.12287181769557508	0.09256659694519215	0.0739138595898291	0.07638355329597339	0.09814393213434788	0.07612862064523325	0.08295808352233063	0.11207978181661042	0.08172378505151766	0.060606029935516476	0.060791581988250715	0.09551400001223678	0.08949336255736672
f16ppB	0.06754766973801637	0.03276078049828948	0.04589518720811528	0.05185223466816978	0.05846890188786635	0.0	0.04284141071439493	0.03671186498853807	0.045466793308379896	0.07643857208319961	0.07951009068106711	0.4184872729468566	0.5954798132031907	0.5870762348321499	0.5713858247523709	0.5671131835794775	0.4259896532789131	0.4453568743488484	0.06640590828385817	0.07833736388688592	0.0654293872681694	0.0745613265206112	0.09518657463664158	0.09021668247579337	0.08026229357845703	0.07194391207921876	0.07838178374020727	0.058530215516996595	0.09241069749051006	0.06478222308981368	0.0947572257392981	0.07076234657472094	0.07860637381124175	0.06686051374681412	0.08340590160153144	0.04085360227715308	0.05288162820268169	0.079751115908876	0.09462341574940222	0.10160516992630117	0.11139788382910101	0.08109266307871808	0.06243992572335504	0.06490961942949933	0.0866699982678738	0.06465468677875919	0.07148414965585656	0.10060584795013636	0.0702498511850436	0.04913209606904241	0.04931764812177665	0.08404006614576272	0.07801942869089265
w18pp	0.06759479917935107	0.03280790993962417	0.04594231664944998	0.05189936410950448	0.05851603132920104	0.04284141071439493	0.0	0.033476373735446964	0.045513922749714594	0.07648570152453431	0.07955722012240181	0.4185344023881913	0.5955269426445253	0.5871233642734845	0.5714329541937055	0.5671603130208122	0.42603678272024775	0.4454040037901831	0.06645303772519287	0.07838449332822062	0.06547651670950409	0.0746084559619459	0.09523370407797628	0.09026381191712807	0.08030942301979173	0.07199104152055345	0.07842891318154196	0.05857734495833129	0.09245782693184476	0.06482935253114838	0.0948043551806328	0.07080947601605564	0.07865350325257645	0.06690764318814882	0.08345303104286614	0.04090073171848778	0.05292875764401639	0.0797982453502107	0.09467054519073692	0.10165229936763587	0.11144501327043571	0.08113979252005278	0.06248705516468974	0.06495674887083402	0.0867171277092085	0.06470181622009388	0.07153127909719126	0.10065297739147105	0.07029698062637829	0.04917922551037711	0.04936477756311135	0.08408719558709742	0.07806655813222735
w8pp	0.06146525345349421	0.026678364213767312	0.039812770923593116	0.04576981838364762	0.05238648560334418	0.03671186498853807	0.033476373735446964	0.0	0.03938437702385773	0.07035615579867745	0.07342767439654495	0.41240485666233445	0.5893973969186684	0.5809938185476277	0.5653034084678487	0.5610307672949553	0.4199072369943909	0.43927445806432625	0.06032349199933602	0.07225494760236376	0.05934697098364723	0.06847891023608904	0.08910415835211942	0.0841342661912712	0.07417987729393487	0.06586149579469659	0.0722993674556851	0.05244779923247443	0.0863282812059879	0.05869980680529152	0.08867480945477593	0.06467993029019878	0.07252395752671958	0.060778097462291965	0.07732348531700928	0.03477118599263092	0.04679921191815953	0.07366869962435384	0.08854099946488006	0.095522753641779	0.10531546754457885	0.07501024679419592	0.05635750943883287	0.058827203144977164	0.08058758198335164	0.05857227049423702	0.0654017333713344	0.0945234316656142	0.06416743490052143	0.04304967978452025	0.04323523183725449	0.07795764986124055	0.07193701240637049
f14ppB	0.0455402640464102	0.016920047614014243	0.035328505881066605	0.04128555334112111	0.05694072717485396	0.045466793308379896	0.045513922749714594	0.03938437702385773	0.0	0.03884154173679666	0.04191306033466416	0.3808902426004536	0.5578827828567876	0.5494792044857468	0.5337887944059678	0.5295161532330744	0.3883926229325101	0.4077598440024454	0.028808877937455218	0.040740333540482974	0.032719998918440296	0.04185193817088211	0.062477186286912484	0.05750729412606428	0.04755290522872793	0.039234523729489656	0.04567239539047816	0.025820827167267493	0.059701309140780964	0.032072834740084585	0.06204783738956899	0.038052958224991836	0.04589698546151264	0.03415112539708503	0.050696513251802335	0.01884619658554691	0.030874222511075522	0.05774371021726983	0.07261601005779605	0.079597764234695	0.08939047813749484	0.059085257387111914	0.04043252003174887	0.04290221373789316	0.06466259257626764	0.042647281087153016	0.04947674396425039	0.07859844225853019	0.048242445493437425	0.02712469037743624	0.02731024243017048	0.06203266045415655	0.05601202299928648
w7pp	0.07651204282122992	0.04789182638883396	0.06630028465588632	0.07225733211594082	0.08791250594967367	0.07643857208319961	0.07648570152453431	0.07035615579867745	0.03884154173679666	0.0	0.048358564042237255	0.38733574630802675	0.5643282865643607	0.55592470819332	0.540234298113541	0.5359616569406476	0.3948381266400832	0.41420534771001855	0.04591555225815919	0.05784700786118694	0.06369177769326001	0.07282371694570183	0.0934489650617322	0.088479072900884	0.07852468400354765	0.07020630250430937	0.07664417416529787	0.05679260594208721	0.09067308791560068	0.0630446135149043	0.0930196161643887	0.06902473699981154	0.07686876423633235	0.06512290417190475	0.08166829202662204	0.049817975360366626	0.061846001285895236	0.08871548899208954	0.10358778883261577	0.11056954300951471	0.12036225691231456	0.09005703616193163	0.0714042988065686	0.07387399251271287	0.09563437135108735	0.07361905986197273	0.0804485227390701	0.1095702210333499	0.07921422426825714	0.058096469152255956	0.058282021204990195	0.09300443922897626	0.0869838017741062
