	530177	530074	S3Hp	31537	530075	F29H1	S18H1	S30H1	31232	S6Hp	31711	31328	S17H1	530215	31267	S27H1	S21H1	530451	530055	31129	f7pp	w20pp	531414	s24H1	F3H1	S10H1	31021	31766	31714	31343	31300	31519	31160	31749	31452	F14H1A	S29H1	530258	31512	530119	530315	31379	530394	31700	31333	31360	530052	31416	530364	31236	31219
530177	0.0	0.3272917114652364	0.3020831659909884	0.32809530862998315	0.3238777855105625	0.3594059812655598	0.3213956603949812	0.3413562988588188	0.3688222083021231	0.3695936969974852	0.38734281194816644	0.36603915306647394	0.24478591649251955	0.3793666165510922	0.3723709371207004	0.3163949320467359	0.3593750489420356	0.39700986939758315	0.3877615502919953	0.36636135220326926	0.3746692646173445	0.37862221562369625	0.3549542416487065	0.3636239602731623	0.25443512219948006	0.3160156458889257	0.3562214362166744	0.3754662860449303	0.40827062237279654	0.38911651035200395	0.2723407685132966	0.3145646707970915	0.2698535686156778	0.3137299589149004	0.19373982912873344	0.22732905014854068	0.22652549892789048	0.2585041480955245	0.3395270371980369	0.3301867233951409	0.32357294403716175	0.3291622076104412	0.3292649554397322	0.3219932153343351	0.33328006668166826	0.2932289919783073	0.32815531178773916	0.2957816516067199	0.2885192921835393	0.19915795228829872	0.2648381291811551
530074	0.3272917114652364	0.0	0.17814718631441884	0.20415932895341365	0.19994180583399299	0.23547000158899026	0.2560177902819841	0.2759784287458218	0.3034443381891261	0.3042158268844881	0.32196494183516944	0.30066128295347694	0.1794080463795225	0.31398874643809516	0.3069930670077034	0.25101706193373885	0.2939971788290386	0.33163199928458614	0.3223836801789983	0.30098348209027226	0.3092913945043475	0.31324434551069924	0.2895763715357095	0.29824609016016523	0.21206388282057112	0.2736444065100168	0.3138501968377655	0.3330950466660214	0.3658993829938876	0.34674527097309504	0.22996952913438762	0.28398685858404316	0.23927575640262946	0.28315214670185207	0.19071102573877363	0.25060190934400495	0.2497983581233547	0.28177700729098876	0.3627998963935012	0.35345958259060506	0.346845803232626	0.3524350668059054	0.35253781463519646	0.3452660745297993	0.3565529258771325	0.31650185117377155	0.35142817098320334	0.3190545108021841	0.3117921513790035	0.22243081148376295	0.2881109883766193
S3Hp	0.3020831659909884	0.17814718631441884	0.0	0.14308607674206525	0.13886855362264458	0.17439674937764188	0.2308092448077361	0.2507698832715737	0.27823579271487797	0.2790072814102401	0.2967563963609213	0.2754527374792289	0.15419950090527446	0.28878020096384716	0.28178452153345535	0.2258085164594908	0.26878863335479053	0.3064234538103381	0.29717513470475027	0.27577493661602415	0.2840828490300994	0.28803580003645113	0.26436782606146136	0.27303754468591723	0.1868553373463231	0.24843586103576876	0.28864165136351744	0.30788650119177335	0.3406908375196395	0.321536725498847	0.2047609836601396	0.25877831310979516	0.21406721092838144	0.25794360122760407	0.1655024802645256	0.22539336386975686	0.22458981264910666	0.2565684618167407	0.3375913509192531	0.32825103711635706	0.3216372577583779	0.32722652133165736	0.3273292691609484	0.3200575290555513	0.33134438040288444	0.2912933056995235	0.32621962550895534	0.29384596532793605	0.28658360590475546	0.1972222660095149	0.2629024429023713
31537	0.32809530862998315	0.20415932895341365	0.14308607674206525	0.0	0.11805603083206556	0.15358422658706283	0.2568213874467309	0.27678202591056855	0.30424793535387284	0.3050194240492349	0.3227685389999162	0.3014648801182237	0.18021164354426927	0.3147923436028419	0.30779666417245016	0.2518206590984856	0.29480077599378535	0.3324355964493329	0.3231872773437451	0.301787079255019	0.31009499166909427	0.314047942675446	0.29037996870045624	0.299049687324912	0.21286747998531788	0.2744480036747636	0.31465379400251225	0.33389864383076817	0.36670298015863434	0.3475488681378418	0.23077312629913438	0.2847904557487899	0.24007935356737622	0.28395574386659883	0.1915146229035204	0.2514055065087517	0.2506019552881015	0.2825806044557355	0.36360349355824795	0.3542631797553518	0.34764940039737274	0.3532386639706522	0.3533414117999432	0.34606967169454605	0.35735652304187926	0.3173054483385183	0.3522317681479501	0.31985810796693087	0.3125957485437503	0.2232344086485097	0.28891458554136606
530075	0.3238777855105625	0.19994180583399299	0.13886855362264458	0.11805603083206556	0.0	0.09127080529229818	0.25260386432731025	0.27256450279114786	0.30003041223445215	0.30080190092981424	0.3185510158804955	0.297247356998803	0.17599412042484858	0.3105748204834213	0.3035791410530295	0.24760313597906497	0.2905832528743647	0.32821807332991226	0.3189697542243244	0.2975695561355983	0.30587746854967357	0.3098304195560253	0.28616244558103554	0.29483216420549135	0.2086499568658972	0.27023048055534293	0.31043627088309156	0.3296811207113475	0.36248545703921364	0.3433313450184211	0.22655560317971374	0.2805729326293693	0.23586183044795556	0.2797382207471782	0.18729709978409975	0.24718798338933104	0.24638443216868083	0.2783630813363149	0.35938597043882725	0.35004565663593123	0.3434318772779521	0.34902114085123154	0.3491238886805226	0.34185214857512547	0.3531389999224586	0.3130879252190977	0.3480142450285295	0.31564058484751023	0.30837822542432963	0.21901688552908907	0.2846970624219455
F29H1	0.3594059812655598	0.23547000158899026	0.17439674937764188	0.15358422658706283	0.09127080529229818	0.0	0.2881320600823075	0.3080926985461451	0.3355586079894494	0.3363300966848115	0.3540792116354928	0.33277555275380033	0.21152231617984585	0.34610301623841855	0.33910733680802674	0.28313133173406224	0.3261114486293619	0.3637462690849095	0.3544979499793217	0.3330977518905956	0.34140566430467084	0.3453586153110226	0.3216906413360328	0.3303603599604886	0.24417815262089448	0.30575867631034015	0.3459644666380889	0.36520931646634475	0.3980136527942109	0.3788595407734184	0.262083798934711	0.31610112838436655	0.2713900262029528	0.31526641650217546	0.22282529553909702	0.28271617914432834	0.2819126279236781	0.31389127709131215	0.3949141661938246	0.38557385239092845	0.3789600730329494	0.3845493366062288	0.38465208443551985	0.3773803443301227	0.3886671956774559	0.34861612097409495	0.38354244078352673	0.3511687806025075	0.3439064211793269	0.25454508128408637	0.3202252581769427
S18H1	0.3213956603949812	0.2560177902819841	0.2308092448077361	0.2568213874467309	0.25260386432731025	0.2881320600823075	0.0	0.08634157754687923	0.26074625876752255	0.2615177474628846	0.2792668624135659	0.2579632035318734	0.15967874323041345	0.2942594432889861	0.28726376385859437	0.23128775878462982	0.27426787567992955	0.3119026961354771	0.3026543770298893	0.28125417894116317	0.2895620913552384	0.29351504236159015	0.2698470683866004	0.2785167870110562	0.2061678317503159	0.2677483554397616	0.30795414576751023	0.32719899559576615	0.3600033319236323	0.3408492199028398	0.22407347806413241	0.27809080751378795	0.23337970533237423	0.27725609563159687	0.18481497466851843	0.24470585827374972	0.2439023070530995	0.27588095622073355	0.3569038453232459	0.3475635315203499	0.3409497521623708	0.3465390157356502	0.34664176356494125	0.33937002345954415	0.3506568748068773	0.31060580010351635	0.3455321199129482	0.3131584597319289	0.3058961003087483	0.21653476041350775	0.28221493730636416
S30H1	0.3413562988588188	0.2759784287458218	0.2507698832715737	0.27678202591056855	0.27256450279114786	0.3080926985461451	0.08634157754687923	0.0	0.2807068972313601	0.2814783859267222	0.29922750087740346	0.27792384199571096	0.17963938169425103	0.31422008175282373	0.307224402322432	0.2512483972484674	0.29422851414376716	0.3318633345993147	0.32261501549372684	0.3012148174050008	0.309522729819076	0.31347568082542776	0.289807706850438	0.2984774254748938	0.2261284702141535	0.28770899390359916	0.3279147842313479	0.34715963405960376	0.37996397038746993	0.3608098583666774	0.24403411652797002	0.29805144597762556	0.25334034379621184	0.2972167340954345	0.20477561313235604	0.26466649673758735	0.2638629455169371	0.29584159468457116	0.3768644837870836	0.36752416998418747	0.3609103906262084	0.3664996541994878	0.36660240202877886	0.3593306619233817	0.3706175132707149	0.33056643856735396	0.36549275837678574	0.3331190981957665	0.3258567387725859	0.23649539887734536	0.3021755757702017
31232	0.3688222083021231	0.3034443381891261	0.27823579271487797	0.30424793535387284	0.30003041223445215	0.3355586079894494	0.26074625876752255	0.2807068972313601	0.0	0.1494837105694758	0.16723282552015706	0.14592916663846459	0.20710529113755533	0.341685991196128	0.33469031176573627	0.2787143066917717	0.32169442358707145	0.359329244042619	0.35008092493703113	0.32868072684830507	0.3369886392623803	0.34094159026873205	0.3172736162937423	0.3259433349181981	0.2535943796574578	0.31517490334690346	0.3553806936746522	0.37462554350290805	0.4074298798307742	0.3882757678099817	0.2715000259712743	0.32551735542092985	0.28080625323951613	0.32468264353873877	0.23224152257566033	0.29213240618089165	0.2913288549602414	0.32330750412787546	0.4043303932303879	0.39499007942749176	0.3883763000695127	0.3939655636427921	0.39406831147208315	0.386796571366686	0.3980834227140192	0.35803234801065825	0.39295866782009004	0.3605850076390708	0.3533226482158902	0.2639613083206497	0.329641485213506
S6Hp	0.3695936969974852	0.3042158268844881	0.2790072814102401	0.3050194240492349	0.30080190092981424	0.3363300966848115	0.2615177474628846	0.2814783859267222	0.1494837105694758	0.0	0.12726686567611606	0.1059632067944236	0.2078767798329174	0.3424574798914901	0.3354618004610983	0.2794857953871338	0.3224659122824335	0.36010073273798104	0.3508524136323933	0.32945221554366716	0.3377601279577424	0.34171307896409414	0.3180451049891044	0.3267148236135602	0.2543658683528199	0.3159463920422656	0.3561521823700142	0.37539703219827014	0.4082013685261363	0.3890472565053438	0.2722715146666364	0.32628884411629194	0.2815777419348782	0.32545413223410086	0.23301301127102242	0.29290389487625373	0.2921003436556035	0.32407899282323754	0.4051018819257499	0.3957615681228539	0.38914778876487477	0.3947370523381542	0.39483980016744524	0.38756806006204814	0.3988549114093813	0.35880383670602034	0.3937301565154522	0.3613564963344329	0.3540941369112523	0.26473279701601177	0.33041297390886815
