	w15pp	f32pp	f20ppB	f11pp	f17ppA	f14ppA	w1pp	w11pp	w20pp	f2pp	w2pp	f4pp	w13pp	f1pp	w26pp	w18pp	s23pp	s18pp	f25pp	w32pp	w7pp	w19pp	f6ppA	w23pp	w9pp	f10pp	f12ppA	f16ppB	w24pp	w6pp	f3pp	f12ppB	w14pp	f24pp	w10pp	f15pp	f20ppA	S14Hp	S18H1	S26Hp	S16H2	S20H1	S19H1	31300	f13pp	f14ppB	f16ppA	w3pp	f21pp	w17pp	f22ppB	f7pp	f30pp	w16pp	f19pp	f8pp	w25pp	w8pp	w12pp
w15pp	0.0	0.04500721112653559	0.05110361587204635	0.05523948227781459	0.04916518990334945	0.04345141795175022	0.048062980452400476	0.046531326089328424	0.03937268884297089	0.055549286151697345	0.04694259281337534	0.05295710483910808	0.05800772385587032	0.056196393406695584	0.060532166274185326	0.05311970841696671	0.10236645959112545	0.10337214634866294	0.04332045921649281	0.07993612677775969	0.06880139168926633	0.07040774293613032	0.07373650225465259	0.07546712586069779	0.0699161670434233	0.06083078296186523	0.056978284958427515	0.05666052155701763	0.06981002507357373	0.07314991008875447	0.06733697656393361	0.06851949384659325	0.057135362743291264	0.04458869621846654	0.06914596705699051	0.05963809547002908	0.055131719603795405	0.2762320225542351	0.2859320699712862	0.3830760589182692	0.8082150313430173	0.8049394592779321	0.8512146123389305	0.7954746955929934	0.07708184039213088	0.03530188479568434	0.04699399696802756	0.04668475182299841	0.054358880038925174	0.06134305664185077	0.05022970100905673	0.02533931209656437	0.05124383703084356	0.03262942422684045	0.02621603965645701	0.039936208176816285	0.035221603328465516	0.02101304746310522	0.03103317759946847
f32pp	0.04500721112653559	0.0	0.03210243053375816	0.0362382969395264	0.038837053239741404	0.03312328128814218	0.03773484378879243	0.03620318942572038	0.036353671278846186	0.052530268587572634	0.043923575249250627	0.04993808727498336	0.05498870629174561	0.05317737584257087	0.05751314871006061	0.050100690852841995	0.09934744202700073	0.10035312878453823	0.0403014416523681	0.07691710921363497	0.06578237412514161	0.0673887253720056	0.07071748469052787	0.07244810829657307	0.06689714947929858	0.05781176539774052	0.053959267394302804	0.053641503992892914	0.06679100750944901	0.07013089252462976	0.0643179589998089	0.06550047628246854	0.05411634517916655	0.04156967865434183	0.0661269494928658	0.05661907790590437	0.052112702039670694	0.2732130049901104	0.28291305240716147	0.3800570413541445	0.8051960137788926	0.8019204417138074	0.8481955947748058	0.7924556780288687	0.07406282282800616	0.03228286723155964	0.04397497940390284	0.0436657342588737	0.05133986247480046	0.058324039077726056	0.04721068344493201	0.027431790316750596	0.05333631525102978	0.034721902447026685	0.03738306719806071	0.059495934192158775	0.054781329343808007	0.041773945588155524	0.05805192289061671
f20ppB	0.05110361587204635	0.03210243053375816	0.0	0.028162697979946905	0.044933457985252154	0.03921968603365293	0.04383124853430319	0.042299594171231136	0.04245007602435694	0.058626673333083384	0.05001997999476138	0.056034492020494125	0.06108511103725636	0.05927378058808162	0.06360955345557137	0.05619709559835276	0.1054438467725115	0.10644953353004899	0.04639784639787886	0.08301351395914573	0.07187877887065237	0.07348513011751637	0.07681388943603863	0.07854451304208383	0.07299355422480934	0.06390817014325127	0.060055672139813554	0.05973790873840368	0.07288741225495977	0.07622729727014052	0.07041436374531966	0.0715968810279793	0.0602127499246773	0.04766608339985258	0.07222335423837656	0.06271548265141512	0.058209106785181444	0.2793094097356212	0.28900945715267223	0.38615344609965524	0.8112924185244034	0.8080168464593181	0.8542919995203165	0.7985520827743795	0.08015922757351693	0.038379271977070396	0.0500713841494136	0.04976213900438445	0.05743626722031121	0.0644204438232368	0.053307088190442775	0.03352819506226135	0.05943271999654054	0.04081830719253744	0.04347947194357147	0.06559233893766953	0.060877734089318764	0.04787035033366628	0.06414832763612746
f11pp	0.05523948227781459	0.0362382969395264	0.028162697979946905	0.0	0.049069324391020394	0.04335555243942117	0.04796711494007143	0.04643546057699938	0.046585942430125184	0.06276253973885162	0.05415584640052962	0.060170358426262366	0.0652209774430246	0.06340964699384986	0.06774541986133961	0.060332962004121	0.10957971317827973	0.11058539993581723	0.0505337128036471	0.08714938036491397	0.07601464527642061	0.07762099652328461	0.08094975584180687	0.08268037944785207	0.07712942063057758	0.06804403654901951	0.0641915385455818	0.06387377514417192	0.07702327866072801	0.08036316367590876	0.0745502301510879	0.07573274743374754	0.06434861633044554	0.05180194980562082	0.0763592206441448	0.06685134905718336	0.062344973190949685	0.2834452761413894	0.2931453235584405	0.3902893125054235	0.8154282849301716	0.8121527128650864	0.8584278659260848	0.8026879491801477	0.08429509397928517	0.04251513838283864	0.05420725055518184	0.05389800541015269	0.06157213362607945	0.06855631022900505	0.057442954596211016	0.03766406146802959	0.06356858640230878	0.04495417359830568	0.04761533834933971	0.06972820534343777	0.065013600495087	0.05200621673943452	0.0682841940418957
f17ppA	0.04916518990334945	0.038837053239741404	0.044933457985252154	0.049069324391020394	0.0	0.03542228097155863	0.04003384347220888	0.03850218910913683	0.040511650055660035	0.05668824736438648	0.048081554026064476	0.05409606605179722	0.05914668506855946	0.05733535461938472	0.061671127486874464	0.05425866962965585	0.10350542080381459	0.10451110756135208	0.04445942042918195	0.08107508799044882	0.06994035290195547	0.07154670414881946	0.07487546346734172	0.07660608707338692	0.07105512825611243	0.06196974417455437	0.05811724617111665	0.05779948276970677	0.07094898628626287	0.07428887130144361	0.06847593777662275	0.06965845505928239	0.0582743239559804	0.04572765743115568	0.07028492826967965	0.06077705668271822	0.05627068081648454	0.27737098376692426	0.2870710311839753	0.3842150201309583	0.8093539925557065	0.8060784204906213	0.8523535735516197	0.7966136568056825	0.07822080160482002	0.03644084600837349	0.048132958180716695	0.04782371303568755	0.05549784125161431	0.062482017854539905	0.05136866222174587	0.031589769093564445	0.05749429402784363	0.038879881223840534	0.04154104597487457	0.06365391296897263	0.05893930812062186	0.04593192436496938	0.06220990166743057
f14ppA	0.04345141795175022	0.03312328128814218	0.03921968603365293	0.04335555243942117	0.03542228097155863	0.0	0.02789570657436889	0.026364052211296837	0.03479787810406081	0.05097447541278726	0.04236778207446525	0.048382294100197995	0.05343291311696024	0.0516215826677855	0.05595735553527524	0.04854489767805663	0.09779164885221536	0.09879733560975286	0.03874564847758273	0.0753613160388496	0.06422658095035624	0.06583293219722024	0.0691616915157425	0.0708923151217877	0.06534135630451321	0.05625597222295515	0.05240347421951743	0.05208571081810755	0.06523521433466364	0.06857509934984439	0.06276216582502353	0.06394468310768317	0.05256055200438118	0.040013885479556456	0.06457115631808043	0.055063284731118996	0.05055690886488532	0.27165721181532504	0.2813572592323761	0.3785012481793591	0.8036402206041072	0.800364648539022	0.8466398016000204	0.7908998848540834	0.0725070296532208	0.030727074056774266	0.04241918622911747	0.042109941084088325	0.04978406930001509	0.05676824590294068	0.045654890270146645	0.025875997141965226	0.05178052207624441	0.03316610927224131	0.035827274023275346	0.05794014101737341	0.05322553616902263	0.04021815241337015	0.05649612971583134
w1pp	0.048062980452400476	0.03773484378879243	0.04383124853430319	0.04796711494007143	0.04003384347220888	0.02789570657436889	0.0	0.026034326717052574	0.03940944060471107	0.05558603791343751	0.0469793445751155	0.05299385660084825	0.05804447561761049	0.05623314516843575	0.0605689180359255	0.053156460178706885	0.10240321135286562	0.10340889811040312	0.04335721097823299	0.07997287853949986	0.0688381434510065	0.0704444946978705	0.07377325401639276	0.07550387762243796	0.06995291880516347	0.0608675347236054	0.05701503672016768	0.056697273318757804	0.0698467768353139	0.07318666185049465	0.06737372832567379	0.06855624560833343	0.05717211450503143	0.044625447980206706	0.06918271881873068	0.059674847231769246	0.05516847136553557	0.2762687743159753	0.28596882173302635	0.38311281068000935	0.8082517831047574	0.8049762110396722	0.8512513641006706	0.7955114473547336	0.07711859215387105	0.03533863655742452	0.04703074872976773	0.046721503584738575	0.05439563180066534	0.06137980840359093	0.0502664527707969	0.03048755964261548	0.056392084576894666	0.03777767177289157	0.040438836523925596	0.06255170351802367	0.05783709866967289	0.04482971491402041	0.061107692216481595
w11pp	0.046531326089328424	0.03620318942572038	0.042299594171231136	0.04643546057699938	0.03850218910913683	0.026364052211296837	0.026034326717052574	0.0	0.03787778624163902	0.05405438355036546	0.04544769021204345	0.0514622022377762	0.05651282125453844	0.0547014908053637	0.059037263672853446	0.05162480581563483	0.10087155698979357	0.10187724374733106	0.041825556615160936	0.0784412241764278	0.06730648908793445	0.06891284033479844	0.0722415996533207	0.07397222325936591	0.06842126444209141	0.05933588036053335	0.05548338235709563	0.05516561895568575	0.06831512247224185	0.0716550074874226	0.06584207396260174	0.06702459124526138	0.05564046014195938	0.043093793617134654	0.06765106445565863	0.058143192868697194	0.05363681700246352	0.27473711995290323	0.2844371673699543	0.3815811563169373	0.8067201287416854	0.8034445566766002	0.8497197097375986	0.7939797929916615	0.075586937790799	0.03380698219435247	0.04549909436669568	0.04518984922166652	0.05286397743759329	0.05984815404051888	0.04873479840772485	0.028955905279543427	0.054860430213822614	0.03624601740981952	0.038907182160853544	0.06102004915495161	0.05630544430660084	0.043298060550948356	0.05957603785340954
w20pp	0.03937268884297089	0.036353671278846186	0.04245007602435694	0.046585942430125184	0.040511650055660035	0.03479787810406081	0.03940944060471107	0.03787778624163902	0.0	0.03291508621509687	0.02430839287677486	0.030322904902507598	0.035373523919269845	0.0416367940089019	0.04597256687639164	0.038560109019173026	0.08780686019333175	0.08881254695086925	0.028760859818699126	0.06537652737996599	0.05424179229147264	0.055848143538336635	0.0591769028568589	0.0609075264629041	0.05535656764562961	0.04627118356407155	0.04241868556063383	0.042100922159223945	0.05525042567578004	0.05859031069096079	0.05277737716613993	0.05395989444879957	0.04257576334549758	0.030029096820672854	0.054586367659196826	0.045078496072235394	0.04057212020600172	0.2616724231564414	0.2713724705734925	0.3685164595204755	0.7936554319452236	0.7903798598801384	0.8366550129411368	0.7809150961951997	0.0625222409943372	0.020742285397890664	0.032434397570233864	0.03212515242520472	0.03979928064113149	0.04678345724405708	0.035670101611263036	0.0217972680331859	0.04770179296746509	0.02908738016346199	0.03174854491449602	0.05386141190859407	0.04914680706024331	0.03613942330459082	0.05241740060705201
f2pp	0.055549286151697345	0.052530268587572634	0.058626673333083384	0.06276253973885162	0.05668824736438648	0.05097447541278726	0.05558603791343751	0.05405438355036546	0.03291508621509687	0.0	0.020549738007621127	0.040626144846383744	0.04567676386314599	0.057813391317628346	0.06214916418511809	0.054736706327899474	0.1039834575020582	0.1049891442595957	0.04493745712742557	0.08155312468869244	0.07041838960019908	0.07202474084706309	0.07535350016558534	0.07708412377163054	0.07153316495435605	0.062447780872797995	0.05859528286936028	0.058277519467950394	0.07142702298450648	0.07476690799968724	0.06895397447486637	0.07013649175752601	0.058752360654224026	0.0462056941293993	0.07076296496792328	0.06125509338096184	0.05674871751472817	0.27784902046516785	0.28754906788221896	0.38469305682920196	0.80983202925395	0.8065564571888648	0.8528316102498632	0.7970916935039262	0.07869883830306365	0.03691888270661711	0.04861099487896031	0.04830174973393117	0.055975877949857936	0.06296005455278353	0.051846698919989484	0.03797386534191235	0.06387839027619154	0.04526397747218844	0.047925142223222465	0.07003800921732053	0.06532340436896976	0.05231602061331728	0.06859399791577847
