	S23Hp	530295	31452	530315	31009	S20H1	31160	31700	S26Hp	S13Hp	f14ppB	S18H1	F32H1	530119	530215	S17H1	S16H2	S21H1	S28Hp	S31Hp	S19H1	F14H1B	S25Hp	31236	530167	S3Hp	31219	S1Hp	S22Hp	F8H1	S14Hp	31300	31267	31750	S6Hp	S7Hp	F23HpA	31328	F14H1A	530055	S9H1	F7H1
S23Hp	0.0	0.27000729160409	0.2363544223270297	0.2963120403567044	0.2953225738694665	0.3198572555636093	0.22212445214557336	0.26527783711360314	0.25962949461208285	0.3916706817920995	0.293596452074778	0.22271959659963286	0.23781465511319322	0.32529872806468596	0.3238744082075234	0.3423420440623219	0.21339765597420157	0.23064007622161287	0.2585564702102557	0.303053487131275	0.3227076869738773	0.25373834417983737	0.3714671113697202	0.33572445726938804	0.344160906743625	0.2899468937352319	0.27820423722159215	0.2438491130334644	0.31940575350107947	0.32980230807055066	0.29072116635385237	0.23144686666376424	0.2847286793635118	0.2722717842071712	0.2786148869403185	0.35719224577679615	0.21071169933456846	0.3108432454390236	0.14669821386843748	0.26676253596954863	0.18373770162841657	0.18412224881478506
530295	0.27000729160409	0.0	0.1362881980055453	0.25894491846135137	0.2634665287641644	0.30817575298823796	0.21044294957020204	0.25359633453823177	0.2737333629953653	0.405774550175382	0.3077003204580605	0.23682346498291534	0.2519185234964757	0.33940259644796844	0.33797827659080587	0.37575776821626583	0.2468133801281455	0.2640558003755568	0.29197219436419963	0.33646921128521895	0.3561234111278212	0.2871540683337813	0.4048828355236641	0.369140181423332	0.3775766308975689	0.32336261788917586	0.3116199613755361	0.27726483718740835	0.3528214776550234	0.3632180322244946	0.32413689050779626	0.2648625908177082	0.31814440351745576	0.30568750836111513	0.31203061109426244	0.3906079699307401	0.2717862434300393	0.3719177895344945	0.2292014305167801	0.3492657526178913	0.26624091827675916	0.2873619850838587
31452	0.2363544223270297	0.1362881980055453	0.0	0.2252920491842911	0.22981365948710408	0.27452288371117767	0.17679008029314175	0.21994346526117148	0.24008049371830503	0.3721216808983217	0.2740474511810002	0.20317059570585505	0.2182656542194154	0.30574972717090815	0.3043254073137456	0.34210489893920554	0.2131605108510852	0.23040293109849652	0.25831932508713934	0.30281634200815866	0.32247054185076096	0.25350119905672097	0.37122996624660387	0.3354873121462717	0.34392376162050864	0.28970974861211557	0.2779670920984758	0.24361196791034803	0.3191686083779631	0.3295651629474343	0.290484021230736	0.2312097215406479	0.2844915342403954	0.2720346390840548	0.27837774181720215	0.3569551006536798	0.23813337415297905	0.33826492025743415	0.1955485612397198	0.31561288334083093	0.23258804899969887	0.25370911580679845
530315	0.2963120403567044	0.25894491846135137	0.2252920491842911	0.0	0.2897712775167788	0.3344805017408523	0.2367476983228164	0.2799010832908462	0.3000381117479797	0.43207929892799635	0.33400506921067485	0.26312821373552975	0.2782232722490901	0.3657073452005828	0.3642830253434203	0.4020625169688802	0.27311812888075987	0.2903605491281712	0.318276943116814	0.36277396003783335	0.3824281598804356	0.31345881708639567	0.4311875842762785	0.3954449301759464	0.4038813796501833	0.3496673666417902	0.3379247101281505	0.3035695859400227	0.3791262264076378	0.389522780977109	0.35044163926041066	0.2911673395703226	0.3444491522700701	0.3319922571137295	0.3383353598468768	0.41691271868335444	0.2980909921826537	0.39822253828710885	0.2555061792693945	0.3755705013705056	0.29254566702937357	0.31366673383647314
31009	0.2953225738694665	0.2634665287641644	0.22981365948710408	0.2897712775167788	0.0	0.33349103525361445	0.23575823183557854	0.27891161680360826	0.2990486452607418	0.4310898324407585	0.333015602723437	0.26213874724829184	0.2772338057618522	0.36471787871334493	0.36329355885618236	0.4010730504816423	0.27212866239352196	0.2893710826409333	0.3172874766295761	0.36178449355059544	0.3814386933931977	0.3124693505991578	0.4301981177890406	0.3944554636887085	0.40289191316294537	0.34867790015455236	0.3369352436409126	0.30258011945278485	0.3781367599203999	0.3885333144898711	0.34945217277317275	0.2901778730830847	0.34345968578283226	0.3310027906264916	0.33734589335963894	0.4159232521961166	0.2971015256954158	0.397233071799871	0.2545167127821566	0.37458103488326777	0.29155620054213566	0.3126772673492352
S20H1	0.3198572555636093	0.30817575298823796	0.27452288371117767	0.3344805017408523	0.33349103525361445	0.0	0.23239980671160865	0.2755531916796384	0.3235833269548846	0.4556245141349013	0.3575502844175798	0.28667342894243464	0.301768487455995	0.38925256040748774	0.38782824055032517	0.4256077321757851	0.2966633440876648	0.3139057643350761	0.3418221583237189	0.38631917524473824	0.40597337508734055	0.33700403229330056	0.45473279948318346	0.4189901453828513	0.4274265948570882	0.37321258184869516	0.3614699253350554	0.3271148011469276	0.4026714416145427	0.4130679961840139	0.3739868544673156	0.3147125547772275	0.367994367476975	0.3555374723206344	0.36188057505378174	0.4404579338902594	0.32163620738955867	0.42176775349401374	0.2790513944762994	0.3991157165774105	0.31609088223627846	0.33721194904337803
31160	0.22212445214557336	0.21044294957020204	0.17679008029314175	0.2367476983228164	0.23575823183557854	0.23239980671160865	0.0	0.17233593700344418	0.2258505235368487	0.3578917107168654	0.2598174809995439	0.18894062552439872	0.20403568403795908	0.2915197569894518	0.29009543713228925	0.32787492875774915	0.19893054066962884	0.2161729609170402	0.24408935490568298	0.2885863718267023	0.3082405716693046	0.23927122887526464	0.3569999960651475	0.32125734196481537	0.32969379143905225	0.2754797784306592	0.2637371219170195	0.22938199772889167	0.3049386381965068	0.315335192765978	0.27625405104927964	0.21697975135919154	0.2702615640589391	0.25780466890259846	0.26414777163574577	0.3427251304722234	0.2239034039715227	0.3240349500759778	0.18131859105826348	0.3013829131593746	0.21835807881824254	0.2394791456253421
31700	0.26527783711360314	0.25359633453823177	0.21994346526117148	0.2799010832908462	0.27891161680360826	0.2755531916796384	0.17233593700344418	0.0	0.26900390850487843	0.4010450956848951	0.3029708659675736	0.2320940104924285	0.24718906900598886	0.33467314195748155	0.33324882210031903	0.37102831372577894	0.24208392563765863	0.25932634588507	0.28724273987371274	0.3317397567947321	0.35139395663733436	0.2824246138432944	0.40015338103317727	0.36441072693284515	0.37284717640708204	0.31863316339868897	0.30689050688504926	0.27253538269692146	0.3480920231645366	0.3584885777340078	0.3194074360173094	0.26013313632722135	0.31341494902696887	0.30095805387062824	0.30730115660377555	0.3858785154402532	0.2670567889395525	0.3671883350440076	0.22447197602629326	0.3445362981274044	0.2615114637862723	0.2826325305933719
S26Hp	0.25962949461208285	0.2737333629953653	0.24008049371830503	0.3000381117479797	0.2990486452607418	0.3235833269548846	0.2258505235368487	0.26900390850487843	0.0	0.35021217853661635	0.2521379488192949	0.18126109334414975	0.22604206825019973	0.3135261412016924	0.3121018213445299	0.3653799712242587	0.23643558313613836	0.2536780033835497	0.2815943973721925	0.3260914142932118	0.34574561413581406	0.2767762713417742	0.39450503853165697	0.35876238443132485	0.36719883390556174	0.3129848208971687	0.30124216438352897	0.2668870401954012	0.3424436806630163	0.3528402352324875	0.3137590935157891	0.25448479382570105	0.3077666065254486	0.295309711369108	0.3016528141022553	0.38023017293873296	0.2614084464380322	0.36153999254248737	0.21882363352477296	0.33888795562588414	0.255863121284752	0.27698418809185155
S13Hp	0.3916706817920995	0.405774550175382	0.3721216808983217	0.43207929892799635	0.4310898324407585	0.4556245141349013	0.3578917107168654	0.4010450956848951	0.35021217853661635	0.0	0.244968399727591	0.2840381856158175	0.35808325543021635	0.4455673283817091	0.4441430085245465	0.49742115840427537	0.368476770316155	0.38571919056356635	0.41363558455220917	0.45813260147322843	0.47778680131583073	0.4088174585217908	0.5265462257116736	0.49080357161134147	0.4992400210855784	0.4450260080771854	0.4332833515635456	0.39892822737541783	0.4744848678430329	0.4848814224125041	0.4458002806958058	0.38652598100571767	0.43980779370546524	0.4273508985491246	0.433694001282272	0.5122713601187496	0.39344963361804886	0.493581179722504	0.35086482070478964	0.4709291428059008	0.3879043084647687	0.4090253752718683
