	F23HpA	F22HpB	w24pp	w11pp	f2pp	f8pp	f16ppA	f11pp	f4pp	w19pp	f10pp	w20pp	S4Hp	f24pp	w17pp	S17H1	w18pp	f14ppB	f20ppA	w14pp	w1pp	w26pp	f7pp	f1pp	f30pp	S9H1	S20H1	S27H1	S18H1	F14H1A	S16H2	S11Hp	S1Hp	S29H1	S23Hp	S3Hp
F23HpA	0.0	0.3708175169675644	0.3545214877736528	0.36982274808246773	0.38246937424632643	0.3825953806172953	0.38993132762500693	0.3879326864300424	0.39082531317999275	0.3869784895538682	0.37954511106832844	0.3840839037806744	0.4199244425344535	0.35915265691835385	0.37976111627983533	0.3985916708368406	0.3919223714115516	0.3532558118825593	0.3510955150222179	0.3614368056161029	0.375464224084495	0.3690425087116741	0.3584355454862722	0.34568943298316845	0.34711360957918536	0.35745747564995156	0.4082574266992284	0.41483509592517154	0.35361118863614927	0.36987534864702726	0.38530026323527117	0.32367871849431384	0.4022460528516564	0.4218947770551198	0.38850641972366495	0.3092585662379197
F22HpB	0.3708175169675644	0.0	0.2573482295944145	0.27264948990322946	0.2852961160670881	0.285422122438057	0.2927580694457686	0.29075942825080414	0.2936520550007544	0.2898052313746299	0.28237185288909017	0.2869106456014361	0.3227511843552151	0.2619793987391156	0.28258785810059706	0.3014184126576023	0.29474911323231334	0.256082553703321	0.25392225684297964	0.2642635474368646	0.2782909659052567	0.27186925053243577	0.26126228730703394	0.24851617480393012	0.24994035139994705	0.27653094153020785	0.32733089257948467	0.33390856180542783	0.27268465451640556	0.30376592512608536	0.31919083971432927	0.2575692949733719	0.3361366293307144	0.42820066174769045	0.3948123044162356	0.3778531004580149
w24pp	0.3545214877736528	0.2573482295944145	0.0	0.042445975293217	0.05509260145707564	0.055218607828044566	0.06255455483575616	0.06055591364079167	0.063448540390742	0.059601716764617466	0.05216833827907767	0.056707130991423646	0.09254766974520269	0.031775884129103114	0.05857327233927685	0.07740382689628213	0.07073452747099314	0.03206796794200078	0.029907671081659447	0.0486799602496035	0.06270737871799556	0.06117059827709245	0.05056363505169059	0.04841781232459581	0.060372978034843025	0.2602349123362963	0.3110348633855732	0.31761253261151623	0.256388625322494	0.28746989593217376	0.30289481052041767	0.24127326577946037	0.31984060013680293	0.4119046325537789	0.3785162752223241	0.3615570712641034
w11pp	0.36982274808246773	0.27264948990322946	0.042445975293217	0.0	0.05502157691531423	0.05514758328628316	0.06248353029399475	0.06048488909903026	0.0633775158489806	0.06974322686943198	0.06230984838389218	0.06684864109623816	0.1026891798500172	0.04191739423391763	0.07387453264809182	0.0927050872050971	0.08603578777980811	0.04736922825081574	0.04520893139047441	0.06398122055841846	0.07800863902681053	0.07647185858590741	0.06586489536050555	0.06371907263341077	0.075674238343658	0.27553617264511127	0.32633612369438814	0.3329137929203312	0.27168988563130897	0.3027711562409887	0.3181960708292326	0.25657452608827536	0.3351418604456179	0.42720589286259386	0.3938175355311391	0.37685833157291837
f2pp	0.38246937424632643	0.2852961160670881	0.05509260145707564	0.05502157691531423	0.0	0.037866522544278025	0.060981110119476135	0.05898246892451165	0.061875095674461984	0.0823898530332906	0.07495647454775081	0.07949526726009679	0.11533580601387583	0.05456402039777626	0.08652115881195045	0.10535171336895573	0.09868241394366674	0.06001585441467437	0.05785555755433304	0.0766278467222771	0.09065526519066916	0.08911848474976605	0.07851152152436419	0.07636569879726941	0.08832086450751662	0.2881827988089699	0.3389827498582467	0.3455604190841899	0.2843365117951676	0.3154177824048474	0.3308426969930913	0.26922115225213394	0.3477884866094765	0.4398525190264525	0.40646416169499766	0.38950495773677696
f8pp	0.3825953806172953	0.285422122438057	0.055218607828044566	0.05514758328628316	0.037866522544278025	0.0	0.06110711649044506	0.05910847529548058	0.06200110204543091	0.08251585940425954	0.07508248091871975	0.07962127363106572	0.11546181238484476	0.054690026768745195	0.08664716518291937	0.10547771973992465	0.09880842031463566	0.060141860785643306	0.057981563925301974	0.07675385309324602	0.0907812715616381	0.08924449112073499	0.07863752789533313	0.07649170516823833	0.08844687087848555	0.28830880517993884	0.33910875622921566	0.34568642545515876	0.28446251816613655	0.3155437887758163	0.3309687033640602	0.2693471586231029	0.3479144929804454	0.43997852539742144	0.4065901680659666	0.3896309641077459
f16ppA	0.38993132762500693	0.2927580694457686	0.06255455483575616	0.06248353029399475	0.060981110119476135	0.06110711649044506	0.0	0.056667678070584954	0.05956030482053528	0.08985180641197113	0.08241842792643134	0.08695722063877731	0.12279775939255635	0.062025973776456786	0.09398311219063096	0.11281366674763624	0.10614436732234725	0.0674778077933549	0.06531751093301356	0.08408980010095761	0.09811721856934968	0.09658043812844658	0.08597347490304472	0.08382765217594992	0.09578281788619714	0.2956447521876504	0.3464447032369272	0.3530223724628704	0.2917984651738481	0.3228797357835279	0.3383046503717718	0.27668310563081444	0.355250439988157	0.447314472405133	0.41392611507367816	0.39696691111545745
f11pp	0.3879326864300424	0.29075942825080414	0.06055591364079167	0.06048488909903026	0.05898246892451165	0.05910847529548058	0.056667678070584954	0.0	0.055618576166392125	0.08785316521700665	0.08041978673146685	0.08495857944381283	0.12079911819759187	0.0600273325814923	0.09198447099566648	0.11081502555267175	0.10414572612738277	0.06547916659839041	0.06331886973804908	0.08209115890599313	0.0961185773743852	0.09458179693348209	0.08397483370808023	0.08182901098098544	0.09378417669123265	0.2936461109926859	0.34444606204196276	0.35102373126790587	0.2897998239788836	0.3208810945885634	0.3363060091768073	0.27468446443585	0.3532517987931925	0.4453158312101685	0.4119274738787137	0.394968269920493
f4pp	0.39082531317999275	0.2936520550007544	0.063448540390742	0.0633775158489806	0.061875095674461984	0.06200110204543091	0.05956030482053528	0.055618576166392125	0.0	0.09074579196695698	0.08331241348141719	0.08785120619376316	0.1236917449475422	0.06291995933144263	0.09487709774561681	0.11370765230262209	0.1070383528773331	0.06837179334834075	0.06621149648799941	0.08498378565594346	0.09901120412433553	0.09747442368343243	0.08686746045803057	0.08472163773093577	0.09667680344118298	0.2965387377426363	0.3473386887919131	0.3539163580178562	0.292692450728834	0.32377372133851373	0.33919863592675764	0.2775770911858003	0.35614442554314285	0.4482084579601189	0.41482010062866403	0.39786089667044333
w19pp	0.3869784895538682	0.2898052313746299	0.059601716764617466	0.06974322686943198	0.0823898530332906	0.08251585940425954	0.08985180641197113	0.08785316521700665	0.09074579196695698	0.0	0.032962966913121935	0.05037209584133029	0.09611285097088215	0.04708203364279323	0.09103027411949227	0.10986082867649755	0.10319152925120856	0.0645249697222162	0.06236467286187487	0.08113696202981892	0.095164380498211	0.09362760005730789	0.08302063683190603	0.08087481410481123	0.09282997981505844	0.29269191411651174	0.34349186516578856	0.35006953439173166	0.28884562710270945	0.3199268977123892	0.3353518123006331	0.2737302675596758	0.3522976019170183	0.44436163433399434	0.4109732770025395	0.3940140730443188
f10pp	0.37954511106832844	0.28237185288909017	0.05216833827907767	0.06230984838389218	0.07495647454775081	0.07508248091871975	0.08241842792643134	0.08041978673146685	0.08331241348141719	0.032962966913121935	0.0	0.042938717355790496	0.08867947248534236	0.03964865515725344	0.08359689563395248	0.10242745019095775	0.09575815076566876	0.05709159123667641	0.05493129437633508	0.07370358354427912	0.0877310020126712	0.08619422157176809	0.07558725834636623	0.07344143561927144	0.08539660132951865	0.2852585356309719	0.3360584866802488	0.3426361559061919	0.2814122486171696	0.3124935192268494	0.32791843381509334	0.266296889074136	0.34486422343147854	0.4369282558484545	0.40353989851699973	0.386580694558779
w20pp	0.3840839037806744	0.2869106456014361	0.056707130991423646	0.06684864109623816	0.07949526726009679	0.07962127363106572	0.08695722063877731	0.08495857944381283	0.08785120619376316	0.05037209584133029	0.042938717355790496	0.0	0.09321826519768833	0.04418744786959941	0.08813568834629845	0.10696624290330373	0.10029694347801474	0.061630383949022385	0.05947008708868105	0.0782423762566251	0.09226979472501717	0.09073301428411407	0.0801260510587122	0.07798022833161741	0.08993539404186462	0.28979732834331795	0.34059727939259477	0.34717494861853787	0.28595104132951565	0.3170323119391954	0.3324572265274393	0.270835681786482	0.3494030161438245	0.44146704856080055	0.4080786912293457	0.391119487271125
S4Hp	0.4199244425344535	0.3227511843552151	0.09254766974520269	0.1026891798500172	0.11533580601387583	0.11546181238484476	0.12279775939255635	0.12079911819759187	0.1236917449475422	0.09611285097088215	0.08867947248534236	0.09321826519768833	0.0	0.08002798662337846	0.1239762271000775	0.14280678165708277	0.13613748223179378	0.09747092270280143	0.0953106258424601	0.11408291501040414	0.12811033347879622	0.1265735530378931	0.11596658981249125	0.11382076708539647	0.12577593279564367	0.32563786709709697	0.3764378181463738	0.3830154873723169	0.32179158008329467	0.3528728506929744	0.3682977652812183	0.306676220540261	0.38524355489760354	0.47730758731457956	0.4439192299831247	0.426960026024904
f24pp	0.35915265691835385	0.2619793987391156	0.031775884129103114	0.04191739423391763	0.05456402039777626	0.054690026768745195	0.062025973776456786	0.0600273325814923	0.06291995933144263	0.04708203364279323	0.03964865515725344	0.04418744786959941	0.08002798662337846	0.0	0.06320444148397793	0.0820349960409832	0.07536569661569421	0.03669913708670185	0.034538840226360515	0.05331112939430456	0.06733854786269663	0.06580176742179353	0.05519480419639167	0.053048981469296874	0.06500414717954409	0.26486608148099733	0.3156660325302742	0.3222437017562173	0.26101979446719503	0.29210106507687483	0.30752597966511874	0.24590443492416142	0.32447176928150395	0.4165358016984799	0.38314744436702514	0.36618824040880443
w17pp	0.37976111627983533	0.28258785810059706	0.05857327233927685	0.07387453264809182	0.08652115881195045	0.08664716518291937	0.09398311219063096	0.09198447099566648	0.09487709774561681	0.09103027411949227	0.08359689563395248	0.08813568834629845	0.1239762271000775	0.06320444148397793	0.0	0.06653666250234389	0.059867363077054904	0.03710043256452286	0.040456859972379064	0.07391958875578605	0.08794700722417811	0.08641022678327501	0.07580326355787315	0.07365744083077837	0.08561260654102558	0.28547454084247886	0.33627449189175573	0.3428521611176988	0.28162825382867657	0.3127095244383563	0.3281344390266002	0.26651289428564295	0.3450802286429855	0.43714426105996146	0.40375590372850667	0.38679669977028597
S17H1	0.3985916708368406	0.3014184126576023	0.07740382689628213	0.0927050872050971	0.10535171336895573	0.10547771973992465	0.11281366674763624	0.11081502555267175	0.11370765230262209	0.10986082867649755	0.10242745019095775	0.10696624290330373	0.14280678165708277	0.0820349960409832	0.06653666250234389	0.0	0.076351052361499	0.055930987121528136	0.05928741452938434	0.09275014331279131	0.10677756178118339	0.10524078134028028	0.09463381811487842	0.09248799538778364	0.10444316109803084	0.30430509539948414	0.35510504644876095	0.36168271567470406	0.30045880838568184	0.3315400789953616	0.3469649935836055	0.2853434488426482	0.3639107831999907	0.45597481561696673	0.4225864582855119	0.4056272543272912
w18pp	0.3919223714115516	0.29474911323231334	0.07073452747099314	0.08603578777980811	0.09868241394366674	0.09880842031463566	0.10614436732234725	0.10414572612738277	0.1070383528773331	0.10319152925120856	0.09575815076566876	0.10029694347801474	0.13613748223179378	0.07536569661569421	0.059867363077054904	0.076351052361499	0.0	0.04926168769623915	0.05261811510409535	0.08608084388750234	0.1001082623558944	0.0985714819149913	0.08796451868958943	0.08581869596249465	0.09777386167274185	0.2976357959741951	0.34843574702347196	0.35501341624941507	0.2937895089603928	0.3248707795700726	0.3402956941583165	0.2786741494173592	0.3572414837747017	0.4493055161916777	0.4159171588602229	0.3989579549020022
f14ppB	0.3532558118825593	0.256082553703321	0.03206796794200078	0.04736922825081574	0.06001585441467437	0.060141860785643306	0.0674778077933549	0.06547916659839041	0.06837179334834075	0.0645249697222162	0.05709159123667641	0.061630383949022385	0.09747092270280143	0.03669913708670185	0.03710043256452286	0.055930987121528136	0.04926168769623915	0.0	0.013951555575102987	0.04741428435850997	0.06144170282690204	0.05990492238599893	0.049297959160597066	0.04715213643350229	0.0591073021437495	0.25896923644520276	0.3097691874944796	0.31634685672042273	0.25512294943140046	0.28620422004108026	0.30162913462932417	0.24000758988836685	0.3185749242457094	0.41063895666268535	0.37725059933123056	0.36029139537300986
f20ppA	0.3510955150222179	0.25392225684297964	0.029907671081659447	0.04520893139047441	0.05785555755433304	0.057981563925301974	0.06531751093301356	0.06331886973804908	0.06621149648799941	0.06236467286187487	0.05493129437633508	0.05947008708868105	0.0953106258424601	0.034538840226360515	0.040456859972379064	0.05928741452938434	0.05261811510409535	0.013951555575102987	0.0	0.04525398749816864	0.05928140596656071	0.057744625525657595	0.047137662300255734	0.044991839573160955	0.05694700528340817	0.25680893958486145	0.3076088906341383	0.31418655986008137	0.25296265257105915	0.2840439231807389	0.2994688377689828	0.2378472930280255	0.3164146273853681	0.40847865980234405	0.37509030247088926	0.35813109851266856
w14pp	0.3614368056161029	0.2642635474368646	0.0486799602496035	0.06398122055841846	0.0766278467222771	0.07675385309324602	0.08408980010095761	0.08209115890599313	0.08498378565594346	0.08113696202981892	0.07370358354427912	0.0782423762566251	0.11408291501040414	0.05331112939430456	0.07391958875578605	0.09275014331279131	0.08608084388750234	0.04741428435850997	0.04525398749816864	0.0	0.052417194006211525	0.06808591611954255	0.05747895289414069	0.05533313016704591	0.06728829587729313	0.2671502301787464	0.3179501812280232	0.32452785045396637	0.2633039431649441	0.2943852137746239	0.3098101283628678	0.24818858362191046	0.32675591797925296	0.418819950396229	0.38543159306477415	0.36847238910655344
w1pp	0.375464224084495	0.2782909659052567	0.06270737871799556	0.07800863902681053	0.09065526519066916	0.0907812715616381	0.09811721856934968	0.0961185773743852	0.09901120412433553	0.095164380498211	0.0877310020126712	0.09226979472501717	0.12811033347879622	0.06733854786269663	0.08794700722417811	0.10677756178118339	0.1001082623558944	0.06144170282690204	0.05928140596656071	0.052417194006211525	0.0	0.08211333458793463	0.07150637136253277	0.06936054863543797	0.08131571434568519	0.28117764864713846	0.3319775996964153	0.33855526892235843	0.27733136163333616	0.30841263224301596	0.32383754683125987	0.26221600209030255	0.3407833364476451	0.43284736886462105	0.39945901153316626	0.38249980757494556
w26pp	0.3690425087116741	0.27186925053243577	0.06117059827709245	0.07647185858590741	0.08911848474976605	0.08924449112073499	0.09658043812844658	0.09458179693348209	0.09747442368343243	0.09362760005730789	0.08619422157176809	0.09073301428411407	0.1265735530378931	0.06580176742179353	0.08641022678327501	0.10524078134028028	0.0985714819149913	0.05990492238599893	0.057744625525657595	0.06808591611954255	0.08211333458793463	0.0	0.045271579286433314	0.06293883326261708	0.07489399897286429	0.2747559332743176	0.3255558843235944	0.33213355354953755	0.2709096462605153	0.3019909168701951	0.317415831458439	0.2557942867174816	0.33436162107482414	0.42642565349180017	0.39303729616034533	0.3760780922021246
f7pp	0.3584355454862722	0.26126228730703394	0.05056363505169059	0.06586489536050555	0.07851152152436419	0.07863752789533313	0.08597347490304472	0.08397483370808023	0.08686746045803057	0.08302063683190603	0.07558725834636623	0.0801260510587122	0.11596658981249125	0.05519480419639167	0.07580326355787315	0.09463381811487842	0.08796451868958943	0.049297959160597066	0.047137662300255734	0.05747895289414069	0.07150637136253277	0.045271579286433314	0.0	0.05233187003721522	0.06428703574746243	0.2641489700489157	0.31494892109819256	0.32152659032413566	0.2603026830351134	0.2913839536447932	0.3068088682330371	0.24518732349207978	0.3237546578494223	0.4158186902663983	0.3824303329349435	0.3654711289767228
f1pp	0.34568943298316845	0.24851617480393012	0.04841781232459581	0.06371907263341077	0.07636569879726941	0.07649170516823833	0.08382765217594992	0.08182901098098544	0.08472163773093577	0.08087481410481123	0.07344143561927144	0.07798022833161741	0.11382076708539647	0.053048981469296874	0.07365744083077837	0.09248799538778364	0.08581869596249465	0.04715213643350229	0.044991839573160955	0.05533313016704591	0.06936054863543797	0.06293883326261708	0.05233187003721522	0.0	0.051540923244358654	0.25140285754581193	0.30220280859508875	0.3087804778210319	0.24755657053200963	0.27863784114168944	0.29406275572993334	0.232441210988976	0.3110085453463185	0.4030725777632945	0.3696842204318397	0.352725016473619
f30pp	0.34711360957918536	0.24994035139994705	0.060372978034843025	0.075674238343658	0.08832086450751662	0.08844687087848555	0.09578281788619714	0.09378417669123265	0.09667680344118298	0.09282997981505844	0.08539660132951865	0.08993539404186462	0.12577593279564367	0.06500414717954409	0.08561260654102558	0.10444316109803084	0.09777386167274185	0.0591073021437495	0.05694700528340817	0.06728829587729313	0.08131571434568519	0.07489399897286429	0.06428703574746243	0.051540923244358654	0.0	0.25282703414182883	0.3036269851911057	0.3102046544170488	0.24898074712802656	0.28006201773770634	0.29548693232595025	0.23386538758499292	0.31243272194233546	0.40449675435931143	0.37110839702785664	0.35414919306963594
S9H1	0.35745747564995156	0.27653094153020785	0.2602349123362963	0.27553617264511127	0.2881827988089699	0.28830880517993884	0.2956447521876504	0.2936461109926859	0.2965387377426363	0.29269191411651174	0.2852585356309719	0.28979732834331795	0.32563786709709697	0.26486608148099733	0.28547454084247886	0.30430509539948414	0.2976357959741951	0.25896923644520276	0.25680893958486145	0.2671502301787464	0.28117764864713846	0.2747559332743176	0.2641489700489157	0.25140285754581193	0.25282703414182883	0.0	0.18815959834875276	0.3034871091689012	0.242263201879879	0.29040588380847254	0.30583079839671645	0.2442092536557591	0.3227765880131016	0.41484062043007763	0.3814522630986228	0.3644930591404021
