	S2Hp	S8Hp	F14H1A	S17H1	S28Hp	S1Hp	S11Hp	S4Hp	S15Hp	S22Hp	530451	F23HpA	S12Hp	S19H1	S26Hp	31267	S14Hp	S23Hp	S27H1	F1H1	S7Hp	S31Hp	530295	S18H1	S9H1	31300	S30H1	F6H1	S20H1	S6Hp	F8H1	F16H1	w14pp	w11pp	S10H1	s24pp	s17pp	s12pp	s2pp	w2pp	s29pp	F29H1	w24pp	s24H1	F22HpB	S13Hp	S21H1	F14H1B	F7H1	S16H2	530167	S25Hp	S3Hp	S29H1
S2Hp	0.0	0.07039998613655658	0.19009014012504363	0.37064545529584214	0.3905498695652504	0.2533890722931458	0.2618700678859501	0.30016783252696494	0.35731158811850594	0.34324432680054445	0.4244094657022856	0.42022148933917963	0.40303377915015953	0.3695357299086365	0.3613227285795413	0.4257950134587092	0.44446307905170207	0.4791518209854543	0.5107440633660715	0.45802584050741896	0.4270181637863537	0.4009856575862605	0.4382022925840366	0.24195726012635424	0.2130637050185537	0.28614739406023443	0.43312599152537007	0.32994704629942795	0.3052411260023168	0.31135354054952497	0.2393845645314482	0.4428319824480974	0.4871717621362024	0.45240133826351275	0.4895986512243631	0.44762096961007153	0.5175579123529175	0.5470888816726313	0.6159561803396068	0.5418460353677845	0.5181870048618923	0.53010746158581	0.4776591353302826	0.39459594424533895	0.3197858704529404	0.28282842948980486	0.38641765676420275	0.44048070115664567	0.3950090106286053	0.3324933084244626	0.3825679280441116	0.11033445859676161	0.09490033008143735	0.10782532337251113
S8Hp	0.07039998613655658	0.0	0.19522195432506878	0.3757772694958673	0.39568168376527557	0.25852088649317095	0.2670018820859752	0.3052996467269901	0.3624434023185311	0.34837614100056963	0.4295412799023108	0.4253533035392048	0.4081655933501847	0.37466754410866165	0.36645454277956646	0.43092682765873436	0.44959489325172725	0.48428363518547946	0.5158758775660965	0.46315765470744413	0.4321499779863789	0.40611747178628566	0.44333410678406177	0.2470890743263794	0.21819551921857885	0.29127920826025955	0.43825780572539524	0.3350788604994531	0.31037294020234196	0.31648535474955014	0.24451637873147336	0.4479637966481226	0.49230357633622757	0.45753315246353793	0.49473046542438825	0.4527527838100967	0.5226897265529427	0.5522206958726563	0.6210879945396318	0.5469778495678097	0.5233188190619175	0.5352392757858351	0.48279094953030777	0.3997277584453641	0.32491768465296555	0.28796024368983	0.39154947096422793	0.44561251535667085	0.40014082482863045	0.3376251226244878	0.3876997422441368	0.11546627279678676	0.1000321442814625	0.11295713757253628
F14H1A	0.19009014012504363	0.19522195432506878	0.0	0.19909340879800883	0.21899782306741708	0.08183702579531243	0.1172719211331204	0.15556968577413527	0.21271344136567627	0.19864618004771484	0.279811318949456	0.27562334258635	0.25843563239732986	0.2249375831558068	0.21672458182671167	0.28119686670587957	0.29986493229887246	0.33455367423262466	0.3661459166132418	0.31342769375458934	0.2824200170335241	0.25638751083343087	0.293604145831207	0.09735911337352458	0.06846555826572404	0.14154924730740476	0.28852784477254045	0.18534889954659833	0.16064297924948712	0.1667553937966953	0.09478641777861854	0.2982338356952678	0.3425736153833728	0.30780319151068314	0.34500050447153346	0.3030228228572419	0.37295976560008787	0.40249073491980164	0.47135803358677714	0.3972478886149549	0.37358885810906267	0.38550931483298034	0.333060988577453	0.24999779749250933	0.17518772370011076	0.13823028273697519	0.24181951001137314	0.29588255440381606	0.2504108638757756	0.187895161671633	0.2772375122131743	0.1274663179775725	0.11203218946224824	0.20830557451182907
S17H1	0.37064545529584214	0.3757772694958673	0.19909340879800883	0.0	0.3543632260377654	0.21720242876566073	0.29782723630391894	0.3361250009449338	0.39326875653647486	0.3792014952185134	0.4603666341202545	0.45617865775714855	0.4389909475681284	0.4054928983266054	0.3972798969975102	0.4617521818766781	0.480420247469671	0.5151089894034232	0.5467012317840403	0.4939830089253879	0.46297533220432263	0.4369428260042294	0.4741594610020055	0.27791442854432313	0.2490208734365226	0.3221045624782033	0.469083159943339	0.36590421471739687	0.3411982944202857	0.34731070896749383	0.2753417329494171	0.4787891508660663	0.5231289305541713	0.4883585066814817	0.525555819642332	0.48357813802804045	0.5535150807708864	0.5830460500906002	0.6519133487575757	0.5778032037857534	0.5541441732798612	0.5660646300037788	0.5136163037482515	0.43055311266330787	0.3557430388709093	0.3187855979077737	0.4223748251821717	0.4764378695746146	0.4309661790465742	0.36845047684243154	0.45779282738397287	0.30802163314837105	0.2925875046330468	0.3888608896826276
S28Hp	0.3905498695652504	0.39568168376527557	0.21899782306741708	0.3543632260377654	0.0	0.1482771345184173	0.3177316505733272	0.35602941521434206	0.4131731708058831	0.39910590948792163	0.4802710483896628	0.4760830720265568	0.45889536183753665	0.42539731259601365	0.41718431126691846	0.48165659614608636	0.5003246617390793	0.5350134036728315	0.5666056460534485	0.5138874231947961	0.4828797464737309	0.45684724027363766	0.49406387527141377	0.2978188428137314	0.2689252877059308	0.34200897674761155	0.48898757421274724	0.3858086289868051	0.36110270868969396	0.3672151232369021	0.29524614721882536	0.4986935651354746	0.5430333448235796	0.50826292095089	0.5454602339117403	0.5034825522974486	0.5734194950402947	0.6029504643600084	0.6718177630269839	0.5977076180551617	0.5740485875492695	0.5859690442731871	0.5335207180176598	0.4504575269327161	0.37564745314031756	0.338690012177182	0.44227923945157993	0.49634228384402285	0.45087059331598245	0.3883548911118398	0.4776972416533811	0.3279260474177793	0.31249191890245503	0.40876530395203586
S1Hp	0.2533890722931458	0.25852088649317095	0.08183702579531243	0.21720242876566073	0.1482771345184173	0.0	0.18057085330122258	0.21886861794223744	0.27601237353377844	0.261945112215817	0.34311025111755816	0.3389222747544522	0.32173456456543204	0.288236515323909	0.28002351399481384	0.34449579887398174	0.36316386446697463	0.39785260640072684	0.429444848781344	0.3767266259226915	0.34571894920162627	0.31968644300153304	0.35690307799930915	0.16065804554162677	0.1317644904338262	0.20484817947550693	0.3518267769406426	0.2486478317147005	0.2239419114175893	0.23005432596479747	0.15808534994672072	0.36153276786336996	0.40587254755147495	0.3711021236787853	0.40829943663963564	0.3663217550253441	0.43625869776819004	0.4657896670879038	0.5346569657548793	0.4605468207830571	0.43688779027716484	0.4488082470010825	0.39635992074555515	0.3132967296606115	0.23848665586821294	0.20152921490507736	0.3051184421794753	0.35918148657191823	0.3137097960438778	0.2511940938397352	0.3405364443812765	0.19076525014567466	0.17533112163035042	0.27160450667993125
S11Hp	0.2618700678859501	0.2670018820859752	0.1172719211331204	0.29782723630391894	0.3177316505733272	0.18057085330122258	0.0	0.12441192332598855	0.18155567891752952	0.16748841759956806	0.24865355650130921	0.24446558013820327	0.22727786994918311	0.19377982070766006	0.1855668193785649	0.2500391042577328	0.26870716985072574	0.303395911784478	0.3349881541650951	0.2822699313064426	0.2512622545853773	0.2252297483852841	0.26244638338306026	0.0840030518770134	0.07320890405382259	0.18404173239255828	0.331020329857694	0.22784138463175183	0.20313546433464064	0.20924787888184881	0.13727890286377206	0.3407263207804213	0.3850661004685263	0.35029567659583666	0.387492989556687	0.34551530794239543	0.4154522506852414	0.44498322000495516	0.5138505186719307	0.43974037370010843	0.4160813431942162	0.42800179991813386	0.3755534736626065	0.29249028257766285	0.21768020878526426	0.1807227678221287	0.2843119950965266	0.3383750394889696	0.2929033489609291	0.2303876467567865	0.34901743997408075	0.19924624573847893	0.1838121172231547	0.28008550227273554
S4Hp	0.30016783252696494	0.3052996467269901	0.15556968577413527	0.3361250009449338	0.35602941521434206	0.21886861794223744	0.12441192332598855	0.0	0.09529052104271986	0.08122325972475841	0.16238839862649956	0.15820042226339362	0.14101271207437344	0.10751466283285041	0.09930166150375523	0.16377394638292314	0.18244201197591609	0.2171307539096683	0.24872299629028544	0.196004773431633	0.16499709671056767	0.1389645905104744	0.1761812255082506	0.12230081651802827	0.11150666869483745	0.22233949703357314	0.36931809449870884	0.2661391492727667	0.2414332289756555	0.24754564352286368	0.17557666750478693	0.3790240854214362	0.42336386510954116	0.3885934412368515	0.42579075419770185	0.3838130725834103	0.45375001532625625	0.48328098464597	0.5521482833129455	0.4780381383411233	0.45437910783523106	0.4662995645591487	0.41385123830362136	0.3307880472186777	0.25597797342627915	0.21902053246314357	0.32260975973754147	0.37667280412998444	0.331201113601944	0.26868541139780133	0.3873152046150956	0.23754401037949383	0.22210988186416958	0.3183832669137504
S15Hp	0.35731158811850594	0.3624434023185311	0.21271344136567627	0.39326875653647486	0.4131731708058831	0.27601237353377844	0.18155567891752952	0.09529052104271986	0.0	0.05515178992359073	0.13631692882533186	0.13212895246222595	0.11494124227320576	0.13316760009377238	0.12495459876467721	0.18942688364384513	0.20809494923683808	0.2427836911705903	0.27437593355120743	0.221657710692555	0.19065003397148966	0.1646175277713964	0.2018341627691726	0.17944457210956927	0.16865042428637844	0.27948325262511414	0.42646185009024984	0.32328290486430766	0.2985769845671965	0.3046893991144047	0.23272042309632793	0.4361678410129772	0.48050762070108216	0.4457371968283925	0.48293450978924285	0.4409568281749513	0.5108937709177972	0.5404247402375111	0.6092920389044865	0.5351818939326642	0.5115228634267721	0.5234433201506897	0.47099499389516236	0.38793180281021866	0.3131217290178201	0.27616428805468457	0.3797535153290825	0.43381655972152544	0.388344869193485	0.3258291669893424	0.44445896020663667	0.29468776597103485	0.2792536374557106	0.3755270225052914
S22Hp	0.34324432680054445	0.34837614100056963	0.19864618004771484	0.3792014952185134	0.39910590948792163	0.261945112215817	0.16748841759956806	0.08122325972475841	0.05515178992359073	0.0	0.0903509794067584	0.08616300304365246	0.06897529285463229	0.11910033877581094	0.11088733744671578	0.1753596223258837	0.19402768791887665	0.22871642985262886	0.260308672233246	0.20759044937459356	0.17658277265352823	0.15055026645343497	0.18776690145121117	0.1653773107916078	0.15458316296841698	0.26541599130715265	0.4123945887722884	0.30921564354634623	0.28450972324923507	0.2906221377964432	0.21865316177836647	0.4221005796950157	0.4664403593831207	0.4316699355104311	0.46886724847128136	0.42688956685698987	0.49682650959983576	0.5263574789195495	0.595224777586525	0.5211146326147028	0.49745560210881057	0.5093760588327283	0.4569277325772009	0.37386454149225723	0.29905446769985866	0.2620970267367231	0.36568625401112104	0.419749298403564	0.37427760787552355	0.3117619056713809	0.4303916988886752	0.28062050465307337	0.2651863761377491	0.3614597611873299
