	S1Hp	S15Hp	w9pp	31267	S13Hp	s24pp	s24H1	F29H1	S9H1	S16H2
S1Hp	0.0	1.3391286003703065	0.8434285693753303	1.0455094468493782	1.0820382601964789	0.8700234971272807	0.8890237562785299	0.9663346291123809	0.7068477325784417	0.8093652304189192
S15Hp	1.3391286003703065	0.0	0.4957020309959764	1.6039980837375867	1.6405268970846874	1.4285121340154892	1.4475123931667384	1.5248232660005894	1.2653363694666502	1.3678538673071277
w9pp	0.8434285693753303	0.4957020309959764	0.0	1.1082980527426103	1.144826866089711	0.9328121030205129	0.9518123621717621	1.029123235005613	0.7696363384716739	0.8721538363121514
31267	1.0455094468493782	1.6039980837375867	1.1082980527426103	0.0	0.9811104816543998	0.7690957185852019	0.7880959777364511	0.8654068505703021	0.6059199540363629	0.7190392772123115
S13Hp	1.0820382601964789	1.6405268970846874	1.144826866089711	0.9811104816543998	0.0	0.38545851017655275	0.5309776126063824	0.6082884854402334	0.5836476096047525	0.7555680905594121
s24pp	0.8700234971272807	1.4285121340154892	0.9328121030205129	0.7690957185852019	0.38545851017655275	0.0	0.31896284953718435	0.3962737223710353	0.3716328465355544	0.543553327490214
s24H1	0.8890237562785299	1.4475123931667384	0.9518123621717621	0.7880959777364511	0.5309776126063824	0.31896284953718435	0.0	0.12346272832335309	0.39063310568680365	0.5625535866414633
F29H1	0.9663346291123809	1.5248232660005894	1.029123235005613	0.8654068505703021	0.6082884854402334	0.3962737223710353	0.12346272832335309	0.0	0.4679439785206546	0.6398644594753142
S9H1	0.7068477325784417	1.2653363694666502	0.7696363384716739	0.6059199540363629	0.5836476096047525	0.3716328465355544	0.39063310568680365	0.4679439785206546	0.0	0.38037756294137504
S16H2	0.8093652304189192	1.3678538673071277	0.8721538363121514	0.7190392772123115	0.7555680905594121	0.543553327490214	0.5625535866414633	0.6398644594753142	0.38037756294137504	0.0
