	S28Hp	530331	S15Hp	s24H1	S17H1	S25Hp	530394	530050	S1Hp	31452	S16H2
S28Hp	0.0	0.26984595305670805	0.23186393328302307	0.2401622665094576	0.2582250132139863	0.4536612172431365	0.5164837368901203	0.5577436605928636	0.5538035907733909	0.4124983623630203	0.36437453582330287
530331	0.26984595305670805	0.0	0.17603453094937832	0.18433286417581285	0.2023956108803415	0.6539530241721627	0.7167755438191464	0.7580354675218899	0.7540953977024172	0.6127901692920465	0.5646663427523291
S15Hp	0.23186393328302307	0.17603453094937832	0.0	0.056970342341872086	0.07503308904640071	0.6159710043984777	0.6787935240454614	0.7200534477482049	0.7161133779287321	0.5748081495183615	0.5266843229786441
s24H1	0.2401622665094576	0.18433286417581285	0.056970342341872086	0.0	0.052262716590087036	0.6242693376249122	0.687091857271896	0.7283517809746394	0.7244117111551667	0.583106482744796	0.5349826562050786
S17H1	0.2582250132139863	0.2023956108803415	0.07503308904640071	0.052262716590087036	0.0	0.6423320843294409	0.7051546039764247	0.746414527679168	0.7424744578596953	0.6011692294493247	0.5530454029096072
S25Hp	0.4536612172431365	0.6539530241721627	0.6159710043984777	0.6242693376249122	0.6423320843294409	0.0	0.5760972521821335	0.7126351992105661	0.7086951293910932	0.6316878280199592	0.5914428390723178
530394	0.5164837368901203	0.7167755438191464	0.6787935240454614	0.687091857271896	0.7051546039764247	0.5760972521821335	0.0	0.7754577188575498	0.7715176490380771	0.6945103476669428	0.6542653587193015
530050	0.5577436605928636	0.7580354675218899	0.7200534477482049	0.7283517809746394	0.746414527679168	0.7126351992105661	0.7754577188575498	0.0	0.06937401285730951	0.7357702713696863	0.6955252824220449
S1Hp	0.5538035907733909	0.7540953977024172	0.7161133779287321	0.7244117111551667	0.7424744578596953	0.7086951293910932	0.7715176490380771	0.06937401285730951	0.0	0.7318302015502135	0.6915852126025721
31452	0.4124983623630203	0.6127901692920465	0.5748081495183615	0.583106482744796	0.6011692294493247	0.6316878280199592	0.6945103476669428	0.7357702713696863	0.7318302015502135	0.0	0.5502799841922015
S16H2	0.36437453582330287	0.5646663427523291	0.5266843229786441	0.5349826562050786	0.5530454029096072	0.5914428390723178	0.6542653587193015	0.6955252824220449	0.6915852126025721	0.5502799841922015	0.0
