	f30pp	w20pp	f13pp	f25pp	f21pp	w12pp	f16ppB	w28pp	f2pp	f10pp	s15pp	530295	s31pp	s23pp	w11pp	w31pp	f32pp	w19pp	f26pp	f11pp	f19pp	f14ppA	w10pp	f20ppB	w17pp	f20ppA	f6ppA	f6ppB	w25pp	f15pp	s25pp	s12pp	w4pp	f14ppB	f24pp	w18pp	w9pp	w3pp	f1pp	w16pp	f12ppB	w27pp	f7pp	f8pp	f22ppA	f4pp	w15pp	w14pp	f16ppA
f30pp	0.0	0.18246526003930108	0.19003582792140644	0.18545579686910055	0.22484214196310365	0.2241054729961977	0.17954595633746454	0.2741168136773411	0.24281380011778936	0.24719500343547557	0.3723384941465362	0.4114101349315773	0.40941996399086233	0.4029918504165032	0.30324908356019153	0.268666806600157	0.23211707898660167	0.23667829226541437	0.25533484321335187	0.3341868057904847	0.22452403570098928	0.2172003793647156	0.3069399015621525	0.2793084240982398	0.26005623080616586	0.2719214498052893	0.2639645262055595	0.2966655624627701	0.30648190345287857	0.2522910543532018	0.39091579296119044	0.40484800241289337	0.34172779807390713	0.15339684447283994	0.2188659319323023	0.25468800242492207	0.1936576626049726	0.22415909444728926	0.21416777518573127	0.22535588869068113	0.2419160197024397	0.2622955840244545	0.203406815980496	0.17201747288312322	0.1756964861707576	0.22788450955924405	0.19690764220605853	0.13787436678110546	0.16435105604309297
w20pp	0.18246526003930108	0.0	0.20620676103902336	0.20162672998671743	0.24101307508072053	0.2402764061138146	0.19571688945508145	0.29028774679495795	0.2589847332354063	0.2633659365530925	0.38850942726415305	0.42758106804919416	0.4255908971084792	0.41916278353412006	0.3194200166778084	0.28483773971777393	0.24828801210421855	0.25284922538303123	0.27150577633096873	0.3503577389081016	0.24069496881860616	0.23337131248233248	0.3231108346797694	0.2954793572158567	0.27622716392378277	0.2880923829229062	0.2801354593231764	0.31283649558038695	0.3226528365704955	0.26846198747081873	0.40708672607880736	0.4210189355305103	0.35789873119152404	0.16956777759045685	0.2350368650499192	0.2708589355425389	0.2098285957225895	0.24033002756490615	0.23033870830334816	0.24152682180829801	0.25808695282005656	0.2784665171420714	0.2195777490981129	0.1881884060007401	0.19186741928837447	0.24405544267686094	0.2130785753236754	0.18570539672221104	0.22487240913171003
f13pp	0.19003582792140644	0.20620676103902336	0.0	0.13841697675848447	0.19675035064745855	0.1960136816805526	0.15145416502181946	0.24602502236169596	0.21472200880214423	0.21910321211983044	0.3442467028308911	0.3833183436159322	0.4166772674006301	0.410249153826271	0.3105063869699593	0.2759241100099248	0.23937438239636943	0.24393559567518214	0.2625921466231196	0.3414441092002525	0.23178133911075702	0.22445768277448336	0.3141972049719203	0.2865657275080076	0.2673135342159336	0.2791787532150571	0.27122182961532726	0.30392286587253786	0.31373920686264634	0.2595483577629696	0.3981730963709582	0.41210530582266114	0.3489851014836749	0.1606541478826077	0.22612323534207004	0.26194530583468983	0.20091496601474038	0.231416397857057	0.22142507859549904	0.23261319210044887	0.24917332311220744	0.26955288743422223	0.21066411939026378	0.17927477629289099	0.18295378958052536	0.2351418129690118	0.2041649456158263	0.1932759646043164	0.2324429770138154
f25pp	0.18545579686910055	0.20162672998671743	0.13841697675848447	0.0	0.19217031959515266	0.19143365062824672	0.14687413396951354	0.24144499130939007	0.21014197774983834	0.21452318106752455	0.3396666717785852	0.3787383125636263	0.4120972363483242	0.40566912277396505	0.3059263559176534	0.27134407895761886	0.23479435134406354	0.23935556462287624	0.2580121155708137	0.3368640781479466	0.22720130805845112	0.21987765172217746	0.3096171739196144	0.28198569645570165	0.2627335031636277	0.27459872216275116	0.26664179856302134	0.29934283482023194	0.30915917581034047	0.2549683267106637	0.39359306531865235	0.4075252747703553	0.34440507043136903	0.1560741168303018	0.22154320428976415	0.2573652747823839	0.19633493496243448	0.2268363668047511	0.21684504754319314	0.22803316104814297	0.24459329205990155	0.26497285638191637	0.20608408833795788	0.1746947452405851	0.17837375852821946	0.2305617819167059	0.1995849145635204	0.18869593355201048	0.2278629459615095
f21pp	0.22484214196310365	0.24101307508072053	0.19675035064745855	0.19217031959515266	0.0	0.19891821855242015	0.15435870189368697	0.2489295592335635	0.2369919711555419	0.24137317447322812	0.36651666518428877	0.4055883059693298	0.4514835814423273	0.4450554678679682	0.3453127010116565	0.310730424051622	0.27418069643806664	0.27874190971687934	0.2973984606648168	0.3762504232419497	0.26658765315245425	0.25926399681618056	0.3490035190136175	0.3213720415497048	0.30211984825763083	0.3139850672567543	0.30602814365702447	0.33872917991423507	0.34854552090434354	0.2943546718046668	0.4329794104126554	0.44691161986435834	0.3837914155253721	0.1954604619243049	0.2609295493837672	0.29675161987638704	0.23572128005643758	0.26622271189875424	0.25623139263719624	0.26741950614214605	0.2839796371539046	0.30435920147591944	0.24547043343196098	0.2140810903345882	0.21776010362222256	0.269948127010709	0.2389712596575235	0.2280822786460136	0.2672492910555126
w12pp	0.2241054729961977	0.2402764061138146	0.1960136816805526	0.19143365062824672	0.19891821855242015	0.0	0.119060195531314	0.21363105287119052	0.23625530218863597	0.24063650550632218	0.36577999621738283	0.4048516370024239	0.45074691247542137	0.44431879890106224	0.34457603204475057	0.30999375508471605	0.2734440274711607	0.2780052407499734	0.29666179169791085	0.37551375427504374	0.2658509841855483	0.2585273278492746	0.34826685004671154	0.32063537258279884	0.3013831792907249	0.31324839828984835	0.3052914746901185	0.33799251094732913	0.3478088519374376	0.29361800283776085	0.4322427414457495	0.4461749508974524	0.38305474655846616	0.19472379295739897	0.2601928804168613	0.2960149509094811	0.23498461108953164	0.2654860429318483	0.2554947236702903	0.2666828371752401	0.2832429681869987	0.3036225325090135	0.24473376446505504	0.21334442136768225	0.21702343465531662	0.2692114580438031	0.23823459069061756	0.22734560967910766	0.26651262208860665
f16ppB	0.17954595633746454	0.19571688945508145	0.15145416502181946	0.14687413396951354	0.15435870189368697	0.119060195531314	0.0	0.12411574857250803	0.1916957855299028	0.196076988847589	0.3212204795586497	0.36029212034369074	0.4061873958166882	0.3997592822423291	0.3000165153860174	0.26543423842598285	0.22888451081242756	0.23344572409124026	0.2521022750391777	0.3309542376163106	0.2212914675268151	0.21396781119054148	0.3037073333879784	0.27607585592406564	0.2568236626319917	0.2686888816311152	0.2607319580313853	0.293432994288596	0.30324933527870446	0.2490584861790277	0.38768322478701633	0.40161543423871926	0.338495229899733	0.15016427629866583	0.21563336375812814	0.25145543425074796	0.19042509443079847	0.2209265262731151	0.21093520701155716	0.22212332051650696	0.23868345152826553	0.25906301585028035	0.20017424780632187	0.16878490470894908	0.17246391799658345	0.2246519413850699	0.1936750740318844	0.1827860930203745	0.22195310542987348
w28pp	0.2741168136773411	0.29028774679495795	0.24602502236169596	0.24144499130939007	0.2489295592335635	0.21363105287119052	0.12411574857250803	0.0	0.2862666428697793	0.29064784618746553	0.4157913368985262	0.4548629776835672	0.5007582531565647	0.4943301395822056	0.39458737272589395	0.3600050957658594	0.323455368152304	0.3280165814311168	0.3466731323790542	0.42552509495618707	0.31586232486669163	0.308538668530418	0.39827819072785486	0.37064671326394216	0.3513945199718682	0.36325973897099173	0.35530281537126185	0.3880038516284725	0.3978201926185809	0.3436293435189042	0.4822540821268928	0.49618629157859573	0.4330660872396095	0.24473513363854232	0.31020422109800466	0.3460262915906245	0.284995951770675	0.3154973836129916	0.3055060643514337	0.3166941778563835	0.33325430886814206	0.3536338731901569	0.2947451051461984	0.2633557620488256	0.26703477533646	0.3192227987249464	0.2882459313717609	0.27735695036025104	0.31652396276975003
f2pp	0.24281380011778936	0.2589847332354063	0.21472200880214423	0.21014197774983834	0.2369919711555419	0.23625530218863597	0.1916957855299028	0.2862666428697793	0.0	0.22823167108314285	0.3533751617942035	0.3924468025792446	0.46945523959701296	0.46302712602265383	0.36328435916634216	0.32870208220630764	0.29215235459275235	0.296713567871565	0.3153701188195025	0.3942220813966354	0.2845593113071399	0.2772356549708662	0.3669751771683032	0.33934369970439043	0.3200915064123165	0.33195672541143995	0.3239998018117101	0.3567008380689207	0.36651717905902925	0.3123263299593525	0.45095106856734113	0.46488327801904406	0.4017630736800578	0.2134321200789906	0.27890120753845293	0.3147232780310727	0.25369293821112326	0.2841943700534399	0.2742030507918819	0.28539116429683176	0.30195129530859033	0.32233085963060515	0.26344209158664667	0.23205274848927387	0.23573176177690824	0.2879197851653947	0.2569429178122092	0.2460539368006993	0.2852209492101983
f10pp	0.24719500343547557	0.2633659365530925	0.21910321211983044	0.21452318106752455	0.24137317447322812	0.24063650550632218	0.196076988847589	0.29064784618746553	0.22823167108314285	0.0	0.3226924024212125	0.3737736365535815	0.4738364429146992	0.46740832934034005	0.3676655624840284	0.33308328552399386	0.29653355791043856	0.3010947711892512	0.3197513221371887	0.3986032847143216	0.2889405146248261	0.28161685828855243	0.3713563804859894	0.34372490302207664	0.3244727097300027	0.33633792872912616	0.32838100512939633	0.36108204138660693	0.37089838237671546	0.3167075332770387	0.45533227188502734	0.46926448133673027	0.406144276997744	0.2178133233966768	0.28328241085613914	0.3191044813487589	0.2580741415288095	0.2885755733711261	0.2785842541095681	0.28977236761451797	0.30633249862627654	0.32671206294829136	0.2678232949043329	0.23643395180696009	0.24011296509459445	0.2923009884830809	0.2613241211298954	0.2504351401183855	0.2896021525278845
