	S22Hp	S16H2	31300	S9H1	F7H1	S2Hp	S26Hp	S28Hp	F23HpA	S3Hp	S15Hp	F32H1	S1Hp	530451
S22Hp	0.0	0.39422842750475395	0.4216052197463242	0.4572196999626463	0.6512668140502429	0.48209661767053574	0.46025275942089194	0.6683083135772065	0.43147044025807124	0.43519163996410815	0.4739755531231294	0.46625332819291687	0.47716635521504747	0.45516218882530446
S16H2	0.39422842750475395	0.0	0.4303689734188415	0.4659834536351636	0.6600305677227603	0.49086037134305305	0.46901651309340925	0.6770720672497239	0.4402341939305886	0.4439553936366255	0.4827393067956467	0.47501708186543423	0.4859301088875648	0.4639259424978218
31300	0.4216052197463242	0.4303689734188415	0.0	0.39979061744276684	0.6143431570638185	0.467771516243233	0.44592765799358913	0.6539832121499038	0.41714533883076854	0.4208665385368054	0.45965045169582663	0.4519282267656141	0.4628412537877447	0.44083708739800176
S9H1	0.4572196999626463	0.4659834536351636	0.39979061744276684	0.0	0.6499576372801406	0.5033859964595551	0.4815421382099112	0.6895976923662259	0.4527598190470906	0.45648101875312747	0.4952649319121487	0.4875427069819362	0.4984557340040668	0.47645156761432383
F7H1	0.6512668140502429	0.6600305677227603	0.6143431570638185	0.6499576372801406	0.0	0.6974331105471516	0.6755892522975079	0.8836448064538225	0.6468069331346872	0.6505281328407241	0.6893120459997453	0.6815898210695328	0.6925028480916634	0.6704986817019204
S2Hp	0.48209661767053574	0.49086037134305305	0.467771516243233	0.5033859964595551	0.6974331105471516	0.0	0.26149307824953094	0.630700568542069	0.4332031653276136	0.4369243650336505	0.4757082781926717	0.46798605326245923	0.47889908028458983	0.4836276121046721
S26Hp	0.46025275942089194	0.46901651309340925	0.44592765799358913	0.4815421382099112	0.6755892522975079	0.26149307824953094	0.0	0.6088567102924252	0.41135930707796975	0.41508050678400665	0.45386441994302784	0.4461421950128154	0.457055222034946	0.46178375385502823
S28Hp	0.6683083135772065	0.6770720672497239	0.6539832121499038	0.6895976923662259	0.8836448064538225	0.630700568542069	0.6088567102924252	0.0	0.6194148612342845	0.6231360609403214	0.6619199740993426	0.65419774916913	0.6651107761912607	0.669839308011343
F23HpA	0.43147044025807124	0.4402341939305886	0.41714533883076854	0.4527598190470906	0.6468069331346872	0.4332031653276136	0.41135930707796975	0.6194148612342845	0.0	0.11048457001360146	0.22808941975183697	0.22036719482162445	0.23128022184375507	0.4330014346922076
S3Hp	0.43519163996410815	0.4439553936366255	0.4208665385368054	0.45648101875312747	0.6505281328407241	0.4369243650336505	0.41508050678400665	0.6231360609403214	0.11048457001360146	0.0	0.23181061945787385	0.22408839452766133	0.23500142154979192	0.43672263439824444
S15Hp	0.4739755531231294	0.4827393067956467	0.45965045169582663	0.4952649319121487	0.6893120459997453	0.4757082781926717	0.45386441994302784	0.6619199740993426	0.22808941975183697	0.23181061945787385	0.0	0.1797735141534111	0.19068654117554173	0.47550654755726574
F32H1	0.46625332819291687	0.47501708186543423	0.4519282267656141	0.4875427069819362	0.6815898210695328	0.46798605326245923	0.4461421950128154	0.65419774916913	0.22036719482162445	0.22408839452766133	0.1797735141534111	0.0	0.07849636566644363	0.46778432262705316
S1Hp	0.47716635521504747	0.4859301088875648	0.4628412537877447	0.4984557340040668	0.6925028480916634	0.47889908028458983	0.457055222034946	0.6651107761912607	0.23128022184375507	0.23500142154979192	0.19068654117554173	0.07849636566644363	0.0	0.47869734964918376
530451	0.45516218882530446	0.4639259424978218	0.44083708739800176	0.47645156761432383	0.6704986817019204	0.4836276121046721	0.46178375385502823	0.669839308011343	0.4330014346922076	0.43672263439824444	0.47550654755726574	0.46778432262705316	0.47869734964918376	0.0
