	S25Hp	531414	F32H1	S31Hp	S3Hp	S7Hp	S23Hp	F8H1	530050	530055	530167	530227	31519	S2Hp	S6Hp	530364	31537	31232	S10H1	S28Hp	w24pp	f24pp	f19pp	w2pp	530215	s24H1	f22ppA	31700	31452	S4Hp	S19H1	F7H1	F14H1B	530295	31021	31750	S9H1	530368	31236	31219
S25Hp	0.0	0.17194830727596114	0.16153987903256592	0.18245173075656557	0.24435776217437088	0.2786817033411486	0.2834871805308069	0.2825994362972847	0.27805916172064216	0.27785111167480575	0.2742603082534327	0.2822859462864281	0.24629456103458477	0.2863822961124497	0.2660142100019022	0.4042935658769523	0.29996510486484795	0.3110843619318905	0.31436323749418327	0.31753480848940696	0.2861687284030741	0.28134472285504275	0.28878072184356474	0.2899957253712806	0.3219611646580323	0.32075123769134517	0.2891395567440863	0.2858304875373788	0.29471952447094674	0.2801977977150821	0.31023059441479084	0.31221898066143117	0.3064533286581023	0.28886224202213984	0.3048882720450484	0.310481852320903	0.2818666376350075	0.31342331030552206	0.21178566542832938	0.20253304966140018
531414	0.17194830727596114	0.0	0.07625332472852057	0.28742208793083324	0.3493281193486386	0.3836520605154163	0.38845753770507463	0.3875697934715524	0.3830295188949098	0.3828214688490734	0.37923066542770045	0.3872563034606958	0.3512649182088525	0.3913526532867174	0.37098456717616984	0.50926392305122	0.4049354620391157	0.4160547191061582	0.419333594668451	0.4225051656636747	0.3911390855773418	0.3863150800293105	0.3937510790178324	0.39496608254554827	0.4269315218323	0.4257215948656129	0.39410991391835404	0.39080084471164644	0.3996898816452144	0.38516815488934975	0.41520095158905856	0.4171893378356989	0.41142368583237	0.3938325991964075	0.40985862921931615	0.4154522094951707	0.3868369948092752	0.4183936674797898	0.31675602260259705	0.3075034068356679
F32H1	0.16153987903256592	0.07625332472852057	0.0	0.2770136596874381	0.33891969110524334	0.37324363227202106	0.37804910946167936	0.3771613652281572	0.3726210906515146	0.37241304060567826	0.36882223718430523	0.37684787521730057	0.34085648996545725	0.38094422504332215	0.3605761389327746	0.49885549480782476	0.39452703379572046	0.40564629086276294	0.4089251664250557	0.4120967374202794	0.3807306573339466	0.37590665178591526	0.3833426507744372	0.38455765430215305	0.4165230935889048	0.4153131666222176	0.38370148567495876	0.3803924164682513	0.3892814534018192	0.3747597266459546	0.4047925233456633	0.4067809095923036	0.4010152575889748	0.3834241709530123	0.3994502009759209	0.4050437812517754	0.37642856656588	0.4079852392363945	0.3063475943592019	0.29709497859227263
S31Hp	0.18245173075656557	0.28742208793083324	0.2770136596874381	0.0	0.12963784776770768	0.1639617889344854	0.16876726612414372	0.16787952189062152	0.16333924731397895	0.16313119726814257	0.15954039384676957	0.1675660318797649	0.1315746466279216	0.17166238170578652	0.15129429559523896	0.2895736514702891	0.1852451904581848	0.19636444752522728	0.1996433230875201	0.20281489408274375	0.17144881399641093	0.1666248084483796	0.17406080743690153	0.1752758109646174	0.20724125025136914	0.20603132328468202	0.17441964233742313	0.1711105731307156	0.17999961006428353	0.1654778833084189	0.19551068000812766	0.197499066254768	0.19173341425143914	0.17414232761547663	0.19016835763838524	0.1957619379142398	0.1671467232283443	0.1987033958988589	0.27776629897685534	0.26851368320992614
S3Hp	0.24435776217437088	0.3493281193486386	0.33891969110524334	0.12963784776770768	0.0	0.06349942414402777	0.0683049013336861	0.06741715710016391	0.06287688252352132	0.06266883247768495	0.059078029056311966	0.06710366708930729	0.08978943476258261	0.14546445574119646	0.1250963696306489	0.26337572550569904	0.15904726449359474	0.17016652156063722	0.17344539712293006	0.1766169681181537	0.14525088803182087	0.14042688248378954	0.14786288147231147	0.14907788500002733	0.18104332428677908	0.17983339732009196	0.14822171637283307	0.14491264716612554	0.15380168409969347	0.13927995734382884	0.1693127540435376	0.17130114029017796	0.16553548828684908	0.14794440165088657	0.1639704316737952	0.16956401194964973	0.14094879726375426	0.17250546993426885	0.33967233039466066	0.33041971462773145
S7Hp	0.2786817033411486	0.3836520605154163	0.37324363227202106	0.1639617889344854	0.06349942414402777	0.0	0.006367268175174922	0.058024702398685124	0.053484427822042546	0.05327637777620618	0.04968557435483319	0.05771121238782851	0.12411337592936034	0.17978839690797419	0.15942031079742663	0.2976996666724767	0.19337120566037247	0.20449046272741495	0.20776933828970778	0.21094090928493142	0.1795748291985986	0.17475082365056727	0.1821868226390892	0.18340182616680506	0.2153672654535568	0.21415733848686969	0.1825456575396108	0.17923658833290323	0.1881256252664712	0.17360389851060656	0.2036366952103153	0.20562508145695568	0.19985942945362678	0.1822683428176643	0.19829437284057289	0.20388795311642743	0.17527273843053198	0.20682941110104658	0.37399627156143833	0.3647436557945092
S23Hp	0.2834871805308069	0.38845753770507463	0.37804910946167936	0.16876726612414372	0.0683049013336861	0.006367268175174922	0.0	0.06283017958834344	0.058289905011700865	0.0580818549658645	0.054491051544491506	0.06251668957748684	0.12891885311901866	0.1845938740976325	0.16422578798708493	0.30250514386213506	0.1981766828500308	0.20929593991707324	0.2125748154793661	0.2157463864745897	0.18438030638825692	0.17955630084022559	0.18699229982874752	0.18820730335646335	0.22017274264321512	0.218962815676528	0.18735113472926912	0.18404206552256158	0.1929311024561295	0.17840937570026488	0.20844217239997365	0.21043055864661397	0.20466490664328513	0.1870738200073226	0.20309985003023123	0.20869343030608578	0.1800782156201903	0.2116348882907049	0.3788017487510967	0.36954913298416747
F8H1	0.2825994362972847	0.3875697934715524	0.3771613652281572	0.16787952189062152	0.06741715710016391	0.058024702398685124	0.06283017958834344	0.0	0.03818706751549642	0.03797901746966006	0.03438821404828706	0.042413852081282385	0.12803110888549646	0.1837061298641103	0.16333804375356276	0.3016173996286129	0.1972889386165086	0.20840819568355107	0.2116870712458439	0.21485864224106754	0.18349256215473472	0.1786685566067034	0.18610455559522532	0.18731955912294118	0.21928499840969293	0.2180750714430058	0.18646339049574692	0.18315432128903936	0.19204335822260732	0.17752163146674269	0.20755442816645142	0.2095428144130918	0.2037771624097629	0.18618607577380042	0.202212105796709	0.20780568607256356	0.1791904713866681	0.2107471440571827	0.37791400451757445	0.36866138875064525
530050	0.27805916172064216	0.3830295188949098	0.3726210906515146	0.16333924731397895	0.06287688252352132	0.053484427822042546	0.058289905011700865	0.03818706751549642	0.0	0.028230954060519824	0.024640150639146832	0.032665788672142156	0.12349083430885388	0.17916585528746773	0.15879776917692018	0.29707712505197026	0.192748664039866	0.2038679211069085	0.20714679666920133	0.21031836766442497	0.17895228757809215	0.1741282820300608	0.18156428101858274	0.1827792845462986	0.21474472383305035	0.21353479686636323	0.18192311591910434	0.17861404671239678	0.18750308364596474	0.1729813568901001	0.20301415358980884	0.20500253983644923	0.19923688783312032	0.18164580119715784	0.19767183122006643	0.20326541149592098	0.17465019681002553	0.20620686948054012	0.3733737299409319	0.3641211141740027
530055	0.27785111167480575	0.3828214688490734	0.37241304060567826	0.16313119726814257	0.06266883247768495	0.05327637777620618	0.0580818549658645	0.03797901746966006	0.028230954060519824	0.0	0.018942228034124764	0.026967866067120087	0.1232827842630175	0.17895780524163135	0.15858971913108377	0.2968690750061339	0.19254061399402964	0.20365987106107208	0.20693874662336495	0.21011031761858856	0.17874423753225577	0.17392023198422443	0.18135623097274636	0.1825712345004622	0.21453667378721397	0.21332674682052685	0.18171506587326797	0.17840599666656043	0.18729503360012834	0.17277330684426373	0.2028061035439725	0.20479448979061282	0.19902883778728397	0.18143775115132144	0.19746378117423008	0.20305736145008463	0.17444214676418915	0.20599881943470374	0.3731656798950955	0.3639130641281663
