	S10H1	s9pp	s12pp	S9H1	S6Hp	s10pp	s24H1	s2pp	s15pp	S2Hp	530451	s20pp	s21pp	31537	F29H1	31750	S12Hp	31219	S1Hp	S26Hp	F3H1	31300	31700	S3Hp	S31Hp	s29pp	s26pp	s23pp	s30pp
S10H1	0.0	0.04814230393542909	0.13737419268340034	0.148668756941182	0.21783901948582635	0.21040438207986442	0.22595329959321722	0.2255824217655908	0.23345326269853076	0.2204838967602397	0.2165073426419091	0.1870480610008324	0.3169692785652207	0.38452472695689427	0.39805842767879046	0.40376768636507504	0.3983275304602419	0.4203693745404176	0.416973145519741	0.368779414972136	0.3995559760274718	0.39151487741658336	0.3932555891172728	0.370426886682275	0.3932355675086317	0.07175948233462907	0.03173551448191322	0.029104528114736912	0.03329295608810577
s9pp	0.04814230393542909	0.0	0.13834719649440635	0.14964176075218805	0.2188120232968324	0.21137738589087046	0.22692630340422326	0.22655542557659683	0.2344262665095368	0.22145690057124573	0.21748034645291514	0.18802106481183845	0.3179422823762268	0.38549773076790034	0.39903143148979653	0.4047406901760811	0.39930053427124795	0.4213423783514237	0.4179461493307471	0.3697524187831421	0.40052897983847785	0.39248788122758943	0.3942285929282789	0.3713998904932811	0.39420857131963777	0.0727324861456351	0.036142236918634885	0.049770381911806695	0.053958809885175554
s12pp	0.13737419268340034	0.13834719649440635	0.0	0.13213226160352068	0.20130252414816502	0.1938678867422031	0.2094168042555559	0.20904592642792946	0.21691676736086943	0.20394740142257836	0.19997084730424777	0.17051156566317108	0.3004327832275594	0.36798823161923294	0.38152193234112913	0.3872311910274137	0.38179103512258056	0.4038328792027563	0.4004366501820797	0.3522429196344747	0.38301948068981045	0.37497838207892203	0.3767190937796115	0.3538903913446137	0.3766990721709704	0.12192679521305391	0.1253741256666061	0.1390022706597779	0.1431906986331468
S9H1	0.148668756941182	0.14964176075218805	0.13213226160352068	0.0	0.17981293835939458	0.17237830095343268	0.18792721846678545	0.18755634063915902	0.19542718157209898	0.18245781563380792	0.17848126151547736	0.14902197987440063	0.2789431974387889	0.3464986458304625	0.3600323465523587	0.3657416052386433	0.36030144933381014	0.3823432934139859	0.3789470643933093	0.33075333384570427	0.36152989490104004	0.3534887962901516	0.3552295079908411	0.3324008055558433	0.35520948638219996	0.13322135947083563	0.1366686899243878	0.1502968349175596	0.15448526289092848
S6Hp	0.21783901948582635	0.2188120232968324	0.20130252414816502	0.17981293835939458	0.0	0.09718496758287903	0.1127338850962318	0.1123630072686054	0.12023384820154534	0.10726448226325427	0.10328792814492371	0.11441349667584685	0.30345513440774186	0.37101058279941546	0.38454428352131165	0.3902535422075962	0.38481338630276307	0.4068552303829388	0.4034590013622622	0.3552652708146572	0.38604183186999297	0.37800073325910455	0.379741444959794	0.3569127425247962	0.3797214233511529	0.20239162201547997	0.20583895246903214	0.21946709746220394	0.22365552543557282
s10pp	0.21040438207986442	0.21137738589087046	0.1938678867422031	0.17237830095343268	0.09718496758287903	0.0	0.05840843317705618	0.05803755534942977	0.06590839628236972	0.052939030344078646	0.04896247622574807	0.10697885926988493	0.29602049700177996	0.3635759453934535	0.3771096461153497	0.3828189048016343	0.3773787488968011	0.39942059297697685	0.39602436395630025	0.34783063340869524	0.378607194464031	0.3705660958531426	0.37230680755383205	0.34947810511883426	0.37228678594519093	0.19495698460951805	0.1984043150630702	0.21203246005624202	0.2162208880296109
s24H1	0.22595329959321722	0.22692630340422326	0.2094168042555559	0.18792721846678545	0.1127338850962318	0.05840843317705618	0.0	0.029665419127077878	0.03753626006001783	0.02456689412172676	0.035669714358905584	0.12252777678323773	0.31156941451513276	0.3791248629068063	0.3926585636287025	0.3983678223149871	0.3929276664101539	0.41496951049032965	0.41157328146965305	0.36337955092204804	0.3941561119773838	0.3861150133664954	0.38785572506718485	0.36502702263218706	0.38783570345854373	0.21050590212287085	0.213953232576423	0.22758137756959482	0.2317698055429637
s2pp	0.2255824217655908	0.22655542557659683	0.20904592642792946	0.18755634063915902	0.1123630072686054	0.05803755534942977	0.029665419127077878	0.0	0.035380827045069674	0.0224114611067786	0.035298836531279174	0.1221568989556113	0.3111985366875063	0.3787539850791799	0.3922876858010761	0.39799694448736067	0.3925567885825275	0.41459863266270325	0.41120240364202665	0.36300867309442164	0.3937852341497574	0.385744135538869	0.38748484723955845	0.36465614480456066	0.38746482563091733	0.21013502429524442	0.21358235474879658	0.22721049974196839	0.23139892771533727
s15pp	0.23345326269853076	0.2344262665095368	0.21691676736086943	0.19542718157209898	0.12023384820154534	0.06590839628236972	0.03753626006001783	0.035380827045069674	0.0	0.0302803020387185	0.043169677464219125	0.13002773988855126	0.3190693776204463	0.38662482601211984	0.40015852673401603	0.4058677854203006	0.40042762951546745	0.4224694735956432	0.4190732445749666	0.3708795140273616	0.40165607508269735	0.39361497647180893	0.3953556881724984	0.3725269857375006	0.39533566656385727	0.21800586522818438	0.22145319568173655	0.23508134067490835	0.23926976864827723
S2Hp	0.2204838967602397	0.22145690057124573	0.20394740142257836	0.18245781563380792	0.10726448226325427	0.052939030344078646	0.02456689412172676	0.0224114611067786	0.0302803020387185	0.0	0.03020031152592805	0.1170583739502602	0.3061000116821552	0.37365546007382877	0.38718916079572496	0.39289841948200954	0.3874582635771764	0.4095001076573521	0.4061038786366755	0.3579101480890705	0.3886867091444063	0.38064561053351786	0.3823863222342073	0.3595576197992095	0.3823663006255662	0.20503649928989331	0.20848382974344548	0.22211197473661728	0.22630040270998616
