	f14ppB	s3pp	f4pp	w9pp	w24pp	f22ppB	f20ppA	f16ppA	f7pp	S15Hp	530295	f25pp	S13Hp	f24pp	S18H1	31300	S1Hp	f8pp	w10pp
f14ppB	0.0	0.22369807570686046	0.1439338601511226	0.20026473537645106	0.26065720385806096	0.17585077633822452	0.16409248824568534	0.16274618880544633	0.22912297986406235	0.35806777827867536	0.29123935010881974	0.2617372221117179	0.29989573601402986	0.19631326493284637	0.2262668507641348	0.5463114000916067	0.5734044624333849	0.0936114955151845	0.21432191647478263
s3pp	0.22369807570686046	0.0	0.21836635142921804	0.2746972266545465	0.3350896951361564	0.28907126666689675	0.2773129785743576	0.2759666791341186	0.3423434701927346	0.4712882686073476	0.40445984043749195	0.3749577124403901	0.4131162263427022	0.3095337552615186	0.3394873410928071	0.6595318904202789	0.6866249527620573	0.20683198584385676	0.3275424068034549
f4pp	0.1439338601511226	0.21836635142921804	0.0	0.15881309378412548	0.21920556226573534	0.20930705111115896	0.1975487630186198	0.19620246357838078	0.26257925463699683	0.3915240530516098	0.3246956248817542	0.29519349688465235	0.3333520107869643	0.22976953970578082	0.2597231255370692	0.5797676748645411	0.6068607372063195	0.12706777028811894	0.24777819124771708
w9pp	0.20026473537645106	0.2746972266545465	0.15881309378412548	0.0	0.2333589069190353	0.2656379263364874	0.2538796382439482	0.2525333388037092	0.31891012986232525	0.44785492827693824	0.3810265001070826	0.3515243721099808	0.38968288601229273	0.28610041493110927	0.31605400076239765	0.6360985500898695	0.6631916124316479	0.18339864551344737	0.3041090664730455
w24pp	0.26065720385806096	0.3350896951361564	0.21920556226573534	0.2333589069190353	0.0	0.32603039481809726	0.3142721067255581	0.3129258072853191	0.3793025983439351	0.5082473967585481	0.44141896858869245	0.4119168405915906	0.4500753544939027	0.3464928834127191	0.3764464692440076	0.6964910185714794	0.7235840809132578	0.24379111399505726	0.3645015349546554
f22ppB	0.17585077633822452	0.28907126666689675	0.20930705111115896	0.2656379263364874	0.32603039481809726	0.0	0.15131140504302995	0.14996510560279097	0.21634189666140696	0.38495815523551785	0.3181297270656622	0.2886275990685604	0.3267861129708724	0.2232036418896889	0.2531572277209773	0.5732017770484492	0.6002948393902274	0.1425029163251134	0.26506929845090343
f20ppA	0.16409248824568534	0.2773129785743576	0.1975487630186198	0.2538796382439482	0.3142721067255581	0.15131140504302995	0.0	0.1224579486969693	0.18883473975558532	0.3731998671429787	0.306371438973123	0.2768693109760212	0.31502782487833325	0.2114453537971497	0.24139893962843814	0.56144348895591	0.5885365512976883	0.1307446282325742	0.25331101035836423
f16ppA	0.16274618880544633	0.2759666791341186	0.19620246357838078	0.2525333388037092	0.3129258072853191	0.14996510560279097	0.1224579486969693	0.0	0.1367348893409288	0.3718535677027397	0.30502513953288407	0.27552301153578224	0.31368152543809424	0.21009905435691073	0.24005264018819916	0.560097189515671	0.5871902518574493	0.12939832879233523	0.2519647109181253
f7pp	0.22912297986406235	0.3423434701927346	0.26257925463699683	0.31891012986232525	0.3793025983439351	0.21634189666140696	0.18883473975558532	0.1367348893409288	0.0	0.4382303587613557	0.37140193059150006	0.3418998025943982	0.38005831649671024	0.2764758454155267	0.30642943124681515	0.6264739805742869	0.6535670429160654	0.19577511985095122	0.31834150197674127
S15Hp	0.35806777827867536	0.4712882686073476	0.3915240530516098	0.44785492827693824	0.5082473967585481	0.38495815523551785	0.3731998671429787	0.3718535677027397	0.4382303587613557	0.0	0.3451499155343039	0.41823627847244677	0.4563947923747588	0.35281232129357526	0.3827659071248637	0.7472896438725561	0.7743827062143345	0.32471991826556423	0.4472863003913543
