	S20H1	w30pp	s30pp	s28pp	s14pp	s25pp	S9H1	s2pp	F8H1	S12Hp
S20H1	0.0	0.07017492692579902	0.068644342691562	1.2082546266823235	1.1812287731104711	1.1619060833681132	1.4692513222432664	1.0903594596971216	1.0466654829335413	0.22063290504316002
w30pp	0.07017492692579902	0.0	0.00267878112917682	1.1762687584880853	1.149242904916233	1.1299202151738748	1.4372654540490282	1.0583735915028833	1.014679614739303	0.1886470368489217
s30pp	0.068644342691562	0.00267878112917682	0.0	1.1747381742538483	1.147712320681996	1.1283896309396377	1.4357348698147911	1.0568430072686463	1.0131490305050659	0.18711645261468468
s28pp	1.2082546266823235	1.1762687584880853	1.1747381742538483	0.0	0.056679228204660446	0.4028729669980478	1.3010055956400852	1.145348588277861	1.1016546115142805	1.071282580896727
s14pp	1.1812287731104711	1.149242904916233	1.147712320681996	0.056679228204660446	0.0	0.3758471134261955	1.2739797420682328	1.1183227347060085	1.074628757942428	1.0442567273248746
s25pp	1.1619060833681132	1.1299202151738748	1.1283896309396377	0.4028729669980478	0.3758471134261955	0.0	1.2546570523258747	1.0990000449636503	1.05530606820007	1.0249340375825167
S9H1	1.4692513222432664	1.4372654540490282	1.4357348698147911	1.3010055956400852	1.2739797420682328	1.2546570523258747	0.0	1.4063452838388035	1.362651307075223	1.3322792764576699
s2pp	1.0903594596971216	1.0583735915028833	1.0568430072686463	1.145348588277861	1.1183227347060085	1.0990000449636503	1.4063452838388035	0.0	0.43419759461113927	0.953387413911525
F8H1	1.0466654829335413	1.014679614739303	1.0131490305050659	1.1016546115142805	1.074628757942428	1.05530606820007	1.362651307075223	0.43419759461113927	0.0	0.9096934371479447
S12Hp	0.22063290504316002	0.1886470368489217	0.18711645261468468	1.071282580896727	1.0442567273248746	1.0249340375825167	1.3322792764576699	0.953387413911525	0.9096934371479447	0.0
