	f7pp	w21pp	w24pp	S4Hp	f17ppB	w9pp	f6ppA	f21pp	w12pp	S1Hp	31267	S7Hp	31700	F14H1A	S9H1	530451	S21H1	S6Hp	F7H1	S20H1	S26Hp	w6pp	f19pp	f12ppB	f32pp	f8pp	s27pp	s10pp	f30pp	s29pp	w16pp	f24pp	f4pp	f22ppB	f1pp	f6ppB	w1pp	f10pp	f12ppA	w19pp	w4pp	f2pp	f25pp	f18pp	w3pp	f20ppB	f15pp	f11pp	f20ppA	w10pp	w20pp	s12pp	w18pp	w11pp	w8pp	F29H1	s25pp	s7pp	w15pp	s24pp	w2pp	s2pp	s1pp	w25pp	f14ppA	f14ppB	f16ppA	f16ppB	w17pp	f22ppA	w14pp
f7pp	0.0	0.09059765824857803	0.105539326299688	0.15147740943705362	0.1172880574392225	0.06210315179233461	0.11165889555685836	0.10452853171283609	0.11521311755914522	0.20842905916654053	0.36068568804760903	0.38402331502575304	0.35175314554697934	0.340107787762508	0.3624850081217972	0.3546667287257181	0.3765955147184982	0.36452349030670583	0.36562183882456656	0.35435676455469317	0.22421349450815667	0.12605406673243957	0.10328390013648318	0.0962720489461039	0.08882134314957531	0.06473998483789843	0.13359113315140542	0.12494238227648592	0.10376749537638007	0.15326996625183076	0.08801491085482889	0.05004178556421089	0.052790167677282576	0.08445583797012426	0.06065149162151656	0.1030799984196558	0.11912836316677962	0.0909317293005041	0.11065226027519486	0.09822364635081683	0.052745585606332676	0.0774485295461467	0.06974401961408092	0.09313499559915454	0.06102126507617932	0.08909822202553185	0.09359759310654779	0.08896018418087326	0.06282796726031502	0.07922766138265105	0.08800934166661349	0.16392442383503728	0.08888837865355376	0.10356173896960427	0.09926306979053302	0.16497642358718262	0.08795921781807792	0.10790185761258894	0.10613670635694807	0.14089681379017915	0.16598493686608345	0.16569352378886915	0.16672437202987758	0.081614918696028	0.0906529836415284	0.022604304817813427	0.05785992675846477	0.06611456644113213	0.07566070091659759	0.055025562201775596	0.03864390623569676
w21pp	0.09059765824857803	0.0	0.07340658973945069	0.11934467287681629	0.10418485691959951	0.048999951272711624	0.09855569503723538	0.09142533119321311	0.1197006283469906	0.2129165699543859	0.3651731988354544	0.3885108258135984	0.3562406563348247	0.34459529855035337	0.36697251890964255	0.35915423951356346	0.3810830255063436	0.3690110010945512	0.37010934961241193	0.35884427534253854	0.22870100529600204	0.13054157752028497	0.10777141092432854	0.10075955973394926	0.10523408134229217	0.0811527230306153	0.1500038713441223	0.1413551204692028	0.12018023356909696	0.1696827044445476	0.1129351644447599	0.0749620391541419	0.07771042126721359	0.10937609156005529	0.08557174521144757	0.1280002520095868	0.14404861675671063	0.1158519828904351	0.1355725138651259	0.12314389994074787	0.08711528940587566	0.11181823334568969	0.1041137234136239	0.12750469939869755	0.09539096887572232	0.12346792582507485	0.1279672969060908	0.13372297254050108	0.10759075561994286	0.1239904497422789	0.13277213002624133	0.20868721219466513	0.13365116701318158	0.14832452732923213	0.14402585815016086	0.20973921194681044	0.13272200617770574	0.1526646459722168	0.1508994947165759	0.185659602149807	0.21074772522571128	0.21045631214849697	0.21148716038950544	0.12637770705565582	0.13541577200115623	0.07904627285161679	0.11430189479226814	0.1225565344749355	0.14304940906783106	0.12241427035300909	0.10603261438693024
w24pp	0.105539326299688	0.07340658973945069	0.0	0.099538531536648	0.11912652497070947	0.06394161932382159	0.11349736308834535	0.10636699924432308	0.13464229639810055	0.22785823800549587	0.3801148668865644	0.4034524938647084	0.3711823243859347	0.35953696660146334	0.3819141869607525	0.3740959075646734	0.39602469355745357	0.3839526691456612	0.3850510176635219	0.3737859433936485	0.243642673347112	0.14548324557139491	0.12271307897543851	0.11570122778505923	0.12017574939340214	0.09609439108172527	0.16494553939523227	0.15629678852031276	0.13512190162020693	0.18462437249565758	0.12787683249586987	0.08990370720525187	0.09265208931832355	0.12431775961116524	0.10051341326255753	0.14294192006069678	0.1589902848078206	0.13079365094154508	0.15051418191623583	0.13808556799185784	0.10205695745698563	0.12675990139679966	0.11905539146473387	0.14244636744980751	0.11033263692683229	0.13840959387618482	0.14290896495720076	0.14866464059161105	0.12253242367105283	0.13893211779338888	0.1477137980773513	0.2236288802457751	0.14859283506429155	0.1632661953803421	0.15896752620127083	0.2246808799979204	0.1476636742288157	0.16760631402332676	0.16584116276768587	0.20060127020091698	0.22568939327682125	0.22539798019960694	0.2264288284406154	0.1413193751067658	0.1503574400522662	0.09398794090272676	0.12924356284337812	0.13749820252604547	0.15799107711894103	0.13735593840411905	0.1209742824380402
S4Hp	0.15147740943705362	0.11934467287681629	0.099538531536648	0.0	0.16506460810807508	0.1098797024611872	0.15943544622571093	0.15230508238168866	0.18058037953546618	0.27379632114286145	0.42605295002392995	0.44939057700207397	0.41712040752330026	0.405475049738829	0.4278522700981181	0.42003399070203906	0.4419627766948192	0.42989075228302676	0.4309891008008875	0.41972402653101415	0.2895807564844776	0.19142132870876055	0.16865116211280412	0.16163931092242484	0.16611383253076775	0.14203247421909088	0.21088362253259788	0.20223487165767837	0.1810599847575725	0.2305624556330232	0.17381491563323548	0.13584179034261748	0.13859017245568916	0.17025584274853084	0.14645149639992314	0.1888800031980624	0.2049283679451862	0.17673173407891068	0.19645226505360147	0.18402365112922342	0.14799504059435126	0.17269798453416527	0.16499347460209948	0.18838445058717312	0.1562707200641979	0.18434767701355043	0.18884704809456637	0.1946027237289767	0.16847050680841846	0.18487020093075449	0.19365188121471694	0.2695669633831407	0.1945309182016572	0.2092042785177077	0.20490560933863644	0.27061896313528605	0.19360175736618135	0.21354439716069237	0.21177924590505148	0.24653935333828259	0.2716274764141869	0.2713360633369726	0.272366911577981	0.18725745824413143	0.19629552318963184	0.13992602404009238	0.17518164598074373	0.18343628566341108	0.20392916025630664	0.18329402154148466	0.16691236557540584
f17ppB	0.1172880574392225	0.10418485691959951	0.11912652497070947	0.16506460810807508	0.0	0.05840185411312316	0.12328222174816594	0.11615185790414367	0.14639102753763505	0.23960696914503038	0.3918635980260989	0.4152012250042429	0.3829310555254692	0.37128569774099784	0.39366291810028703	0.38584463870420793	0.4077734246969881	0.3957014002851957	0.3967997488030564	0.385534674533183	0.25539140448664654	0.15723197671092942	0.13446181011497302	0.12744995892459374	0.13192448053293665	0.10784312222125977	0.17669427053476677	0.16804551965984726	0.14687063275974144	0.1963731036351921	0.13962556363540438	0.10165243834478638	0.10440082045785806	0.13606649075069976	0.11226214440209203	0.1546906512002313	0.1707390159473551	0.14254238208107958	0.16226291305577034	0.14983429913139235	0.11380568859652014	0.13850863253633416	0.13080412260426838	0.15419509858934202	0.1220813680663668	0.15015832501571932	0.15465769609673527	0.16041337173114556	0.13428115481058733	0.15068084893292338	0.1594625292168858	0.2353776113853096	0.16034156620382606	0.1750149265198766	0.17071625734080534	0.23642961113745492	0.15941240536835022	0.17935504516286127	0.17758989390722038	0.21235000134045148	0.23743812441635576	0.23714671133914145	0.2381775595801499	0.1530681062463003	0.1621061711918007	0.10573667204226127	0.14099229398291263	0.14924693366557998	0.16973980825847554	0.14910466954365356	0.1327230135775747
w9pp	0.06210315179233461	0.048999951272711624	0.06394161932382159	0.1098797024611872	0.05840185411312316	0.0	0.06809731610127806	0.060966952257255784	0.09120612189074717	0.1844220634981425	0.336678692379211	0.360016319357355	0.3277461498785813	0.31610079209410996	0.33847801245339915	0.33065973305732005	0.3525885190501002	0.3405164946383078	0.3416148431561685	0.33034976888629514	0.2002064988397586	0.10204707106404154	0.07927690446808512	0.07226505327770584	0.07673957488604875	0.05265821657437186	0.12150936488787888	0.11286061401295937	0.09168572711285353	0.14118819798830418	0.08444065798851647	0.04646753269789847	0.04921591481097016	0.08088158510381185	0.05707723875520414	0.09950574555334338	0.1155541103004672	0.08735747643419167	0.10707800740888246	0.09464939348450443	0.05862078294963223	0.08332372688944625	0.07561921695738047	0.09901019294245411	0.06689646241947889	0.09497341936883141	0.09947279044984736	0.10522846608425768	0.07909624916369942	0.09549594328603547	0.1042776235699979	0.1801927057384217	0.10515666055693818	0.11983002087298869	0.11553135169391743	0.18124470549056704	0.10422749972146234	0.12417013951597336	0.12240498826033247	0.15716509569356357	0.18225321876946787	0.18196180569225356	0.182992653933262	0.09788320059941241	0.10692126554491282	0.05055176639537337	0.08580738833602472	0.09406202801869207	0.11455490261158764	0.09391976389676565	0.07753810793068681
f6ppA	0.11165889555685836	0.09855569503723538	0.11349736308834535	0.15943544622571093	0.12328222174816594	0.06809731610127806	0.0	0.07935130839166438	0.14076186565527093	0.23397780726266623	0.38623443614373476	0.40957206312187877	0.37730189364310507	0.36565653585863367	0.3880337562179229	0.38021547682184376	0.4021442628146239	0.39007223840283156	0.3911705869206923	0.37990551265081884	0.24976224260428237	0.1516028148285653	0.12883264823260887	0.12182079704222959	0.1262953186505725	0.10221396033889563	0.17106510865240263	0.16241635777748312	0.14124147087737726	0.19074394175282794	0.13399640175304023	0.09602327646242223	0.09877165857549391	0.1304373288683356	0.10663298251972789	0.14906148931786714	0.16510985406499096	0.13691322019871544	0.15663375117340622	0.14420513724902817	0.108176526714156	0.13287947065397002	0.12517496072190423	0.14856593670697787	0.11645220618400265	0.14452916313335518	0.14902853421437112	0.15478420984878144	0.12865199292822319	0.1450516870505592	0.15383336733452166	0.22974844950294543	0.15471240432146194	0.16938576463751243	0.1650870954584412	0.2308004492550908	0.1537832434859861	0.1737258832804971	0.17196073202485623	0.20672083945808734	0.23180896253399164	0.23151754945677733	0.23254839769778574	0.14743894436393618	0.1564770093094366	0.10010751015989712	0.13536313210054846	0.14361777178321583	0.1641106463761114	0.14347550766128941	0.12709385169521056
f21pp	0.10452853171283609	0.09142533119321311	0.10636699924432308	0.15230508238168866	0.11615185790414367	0.060966952257255784	0.07935130839166438	0.0	0.13363150181124867	0.22684744341864396	0.3791040722997125	0.4024416992778565	0.3701715297990828	0.35852617201461146	0.38090339237390064	0.37308511297782154	0.3950138989706017	0.3829418745588093	0.38404022307667	0.37277514880679663	0.2426318787602601	0.14447245098454303	0.1217022843885866	0.11469043319820732	0.11916495480655023	0.09508359649487336	0.16393474480838036	0.15528599393346085	0.134111107033355	0.18361357790880567	0.12686603790901796	0.08889291261839996	0.09164129473147165	0.12330696502431333	0.09950261867570562	0.14193112547384487	0.1579794902209687	0.12978285635469317	0.14950338732938395	0.1370747734050059	0.10104616287013372	0.12574910680994775	0.11804459687788196	0.1414355728629556	0.10932184233998038	0.1373987992893329	0.14189817037034885	0.14765384600475917	0.12152162908420092	0.13792132320653694	0.1467030034904994	0.22261808565892316	0.14758204047743967	0.16225540079349016	0.15795673161441892	0.22367008541106853	0.14665287964196383	0.16659551943647483	0.16483036818083396	0.19959047561406507	0.22467859868996937	0.22438718561275506	0.22541803385376347	0.1403085805199139	0.14934664546541432	0.09297714631587485	0.1282327682565262	0.13648740793919356	0.15698028253208912	0.13634514381726714	0.1199634878511883
w12pp	0.11521311755914522	0.1197006283469906	0.13464229639810055	0.18058037953546618	0.14639102753763505	0.09120612189074717	0.14076186565527093	0.13363150181124867	0.0	0.20077853734479803	0.35303516622586656	0.37637279320401057	0.34410262372523687	0.3324572659407655	0.3548344863000547	0.3470162069039756	0.36894499289675575	0.35687296848496336	0.3579713170028241	0.3467062427329507	0.21656297268641417	0.11840354491069713	0.0956333783147407	0.10705239182972233	0.12984954065285936	0.10576818234118249	0.1746193306546895	0.16597057977976998	0.14479569287966415	0.19429816375511483	0.13755062375532712	0.09957749846470909	0.10232588057778079	0.13399155087062248	0.11018720452201478	0.152615711320154	0.16866407606727785	0.14046744220100232	0.16018797317569308	0.14775935925131506	0.11173074871644285	0.13643369265625688	0.1287291827241911	0.15212015870926474	0.12000642818628951	0.14808338513564204	0.15258275621665798	0.15833843185106827	0.13220621493051005	0.1486059090528461	0.15738758933680852	0.23330267150523232	0.15826662632374877	0.17293998663979931	0.16864131746072805	0.23435467125737763	0.15733746548827293	0.17728010528278398	0.1755149540271431	0.2102750614603742	0.23536318453627847	0.23507177145906416	0.23610261970007262	0.150993166366223	0.16003123131172342	0.10366173216218398	0.13891735410283534	0.1471719937855027	0.16766486837839825	0.14702972966357628	0.13064807369749742
S1Hp	0.20842905916654053	0.2129165699543859	0.22785823800549587	0.27379632114286145	0.23960696914503038	0.1844220634981425	0.23397780726266623	0.22684744341864396	0.20077853734479803	0.0	0.33834064562615535	0.36167827260429936	0.32940810312552565	0.3177627453410543	0.3401399657003435	0.3323216863042644	0.35425047229704454	0.34217844788525215	0.34327679640311287	0.3320117221332395	0.201868452086703	0.20345847508558998	0.18068830848963355	0.20026833343711764	0.2230654822602547	0.1989841239485778	0.2678352722620848	0.2591865213871653	0.23801163448705948	0.2875141053625101	0.2307665653627224	0.1927934400721044	0.19554182218517607	0.22720749247801778	0.20340314612941007	0.24583165292754933	0.2618800176746731	0.2336833838083976	0.2534039147830884	0.24097530085871036	0.20494669032383817	0.22964963426365217	0.2219451243315864	0.24533610031666003	0.2132223697936848	0.24129932674303733	0.24579869782405328	0.2515543734584636	0.22542215653790537	0.2418218506602414	0.25060353094420385	0.32651861311262764	0.2514825679311441	0.2661559282471946	0.26185725906812335	0.32757061286477296	0.25055340709566826	0.27049604689017925	0.2687308956345384	0.3034910030677695	0.3285791261436738	0.3282877130664595	0.32931856130746795	0.24420910797361833	0.25324717291911875	0.1968776737695793	0.23213329571023064	0.240387935392898	0.26088080998579355	0.24024567127097157	0.22386401530489275
