	S17H1	S19H1	S31Hp	31700	S16H2	F14H1B	S21H1	S28Hp	F14H1A	31071	31600	S9H1	S1Hp	31009	530331	S20H1	31267	31519	S27H1	31452	S6Hp	S4Hp	S25Hp	S11Hp	F23HpA	F8H1	F32H1	31750	S23Hp	S12Hp	S18H1	S26Hp	S15Hp	F29H1	s32pp	S13Hp	31160	S14Hp	31300	S3Hp	F6H1	F1H1	530055	31219	31328	S22Hp	F7H1
S17H1	0.0	0.4787444046970592	0.3519398852842419	0.3712335825546869	0.39702821991583037	0.4963002483671143	0.4840326931997557	0.4762556684781702	0.4001614794156265	0.39823165978620406	0.38057275446984046	0.44991690545338986	0.3278727385974375	0.44240724611026483	0.4651687595405018	0.35913920493961443	0.4045963850779349	0.49415106842771084	0.4838399869779943	0.5425695459467562	0.5410065978394949	0.5105878280643859	0.5679217759736257	0.5552078733732899	0.5420185531501196	0.5427927983388814	0.46957615229315985	0.4157135776165526	0.4763585885945413	0.38698194424515203	0.4401917359429331	0.4395516431364098	0.4013096891921314	0.4863692494605485	0.48436179390843664	0.48683768153873846	0.4009695401564895	0.42400980637268293	0.35705446775885885	0.376727216756955	0.20171873377102614	0.20029501008030268	0.17706950060814877	0.16616175654960622	0.19986401722048136	0.13766130727349177	0.08206685716292306
S19H1	0.4787444046970592	0.0	0.3138423059172956	0.3592840676300816	0.385078704991225	0.4843507334425089	0.47208317827515034	0.4643061535535648	0.38821196449102113	0.3862821448615987	0.3686232395452351	0.4379673905287844	0.31592322367283215	0.43045773118565944	0.4532192446158964	0.3471896900150091	0.3926468701533295	0.48220155350310545	0.47189047205338885	0.5306200310221508	0.5290570829148895	0.49863831313978046	0.5559722610490203	0.5432583584486845	0.5300690382255142	0.530843283414276	0.45762663736855447	0.4037640626919472	0.4644090736699359	0.3750324293205467	0.42824222101832765	0.42760212821180443	0.389360174267526	0.4744197345359431	0.4724122789838312	0.474888166614133	0.3890200252318841	0.41206029144807754	0.3859732306459174	0.4056459796440135	0.3489321059829542	0.39900189520928403	0.41499277800587675	0.43823203521175347	0.4719342958826286	0.43204316866811504	0.48666036211273633
S31Hp	0.3519398852842419	0.3138423059172956	0.0	0.2324795482172643	0.2582741855784077	0.3575462140296916	0.3452786588623331	0.3375016341407475	0.26140744507820385	0.2594776254487814	0.24181872013241787	0.3111628711159672	0.1891187042600149	0.3036532117728422	0.3264147252030791	0.22038517060219182	0.2658423507405122	0.35539703409028817	0.3450859526405716	0.40381551160933354	0.4022525635020722	0.3718337937269632	0.429167741636203	0.41645383903586725	0.4032645188126969	0.4040387640014587	0.3308221179557372	0.2769595432791299	0.33760455425711866	0.24822790990772944	0.3014377016055104	0.30079760879898715	0.2625556548547087	0.3476152151231258	0.345607759571014	0.3480836472013158	0.26221550581906683	0.28525577203526026	0.25916871123310015	0.27884146023119627	0.222127586570137	0.27219737579646675	0.28818825859305947	0.3114275157989361	0.3451297764698113	0.30523864925529776	0.359855842699919
31700	0.3712335825546869	0.3592840676300816	0.2324795482172643	0.0	0.2440235344050022	0.3432955628562861	0.3310280076889276	0.32325098296734206	0.24715679390479836	0.24522697427537593	0.22756806895901238	0.2969122199425617	0.1748680530866094	0.2894025605994367	0.31216407402967367	0.20613451942878636	0.25159169956710675	0.3411463829168827	0.3308353014671661	0.3895648604359281	0.3880019123286667	0.3575831425535577	0.41491709046279757	0.40220318786246173	0.38901386763929147	0.38978811282805326	0.3165714667823317	0.26270889210572446	0.338361840337539	0.24898519598814983	0.3021949876859308	0.3015548948794075	0.2633129409351291	0.3483725012035462	0.34636504565143433	0.34884093328173615	0.26297279189948725	0.2860130581156806	0.2784624085035452	0.2981351575016413	0.241421283840582	0.29149107306691174	0.30748195586350446	0.3307212130693812	0.3644234737402563	0.32453234652574275	0.37914953997036405
S16H2	0.39702821991583037	0.385078704991225	0.2582741855784077	0.2440235344050022	0.0	0.30102463734105434	0.318213042961081	0.31043601823949546	0.23434182917695176	0.2638874541141787	0.24622854879781514	0.31557269978136443	0.19352853292541217	0.3080630404382394	0.3308245538684764	0.22479499926758909	0.2702521794059095	0.3598068627556854	0.34949578130596887	0.4082253402747308	0.4066623921674694	0.3762436223923604	0.43357757030160027	0.42086366770126443	0.40767434747809417	0.40844859266685596	0.3352319466211344	0.28136937194452716	0.3641564776986824	0.27477983334929323	0.3279896250470742	0.3273495322405509	0.2891075782962725	0.3741671385646896	0.37215968301257774	0.37463557064287956	0.2887674292606306	0.311807695476824	0.3042570458646886	0.3239297948627847	0.2672159212017254	0.3172857104280552	0.3332765932246479	0.3565158504305246	0.39021811110139976	0.3503269838868862	0.40494417733150745
F14H1B	0.4963002483671143	0.4843507334425089	0.3575462140296916	0.3432955628562861	0.30102463734105434	0.0	0.41748507141236485	0.4097080466907793	0.33361385762823564	0.36315948256546254	0.345500577249099	0.4148447282326483	0.292800561376696	0.4073350688895233	0.4300965823197603	0.32406702771887297	0.36952420785719337	0.4590788912069693	0.4487678097572527	0.5074973687260147	0.5059344206187533	0.47551565084364433	0.5328495987528842	0.5201356961525483	0.5069463759293781	0.5077206211181399	0.43450397507241834	0.38064140039581107	0.4634285061499663	0.3740518618005771	0.4272616534983581	0.42662156069183477	0.38837960674755634	0.47343916701597344	0.47143171146386165	0.47390759909416347	0.3880394577119145	0.4110797239281079	0.4035290743159725	0.42320182331406864	0.3664879496530093	0.4165577388793391	0.43254862167593183	0.4557878788818085	0.48949013955268367	0.4495990123381701	0.5042162057827914
S21H1	0.4840326931997557	0.47208317827515034	0.3452786588623331	0.3310280076889276	0.318213042961081	0.41748507141236485	0.0	0.3505514283229787	0.274457239260435	0.35089192739810404	0.3332330220817405	0.40257717306528984	0.2805330062093375	0.3950675137221648	0.4178290271524018	0.31179947255151447	0.35725665268983486	0.44681133603961076	0.4365002545898943	0.49522981355865614	0.4936668654513948	0.4632480956762858	0.5205820435855256	0.5078681409851898	0.4946788207620195	0.4954530659507813	0.4222364199050598	0.3683738452284525	0.4511609509826078	0.3617843066332186	0.41499409833099954	0.4143540055244763	0.3761120515801979	0.461171611848615	0.4591641562965031	0.4616400439268049	0.375771902544556	0.39881216876074943	0.39126151914861396	0.4109342681467101	0.35422039448565074	0.40429018371198056	0.4202810665085733	0.44352032371444994	0.4772225843853251	0.43733145717081157	0.4919486506154328
S28Hp	0.4762556684781702	0.4643061535535648	0.3375016341407475	0.32325098296734206	0.31043601823949546	0.4097080466907793	0.3505514283229787	0.0	0.19822133616208232	0.3431149026765185	0.32545599736015496	0.39480014834370425	0.272755981487752	0.3872904890005793	0.41005200243081624	0.30402244782992893	0.34947962796824933	0.4390343113180253	0.4287232298683087	0.48745278883707066	0.48588984072980923	0.4554710709547003	0.5128050188639401	0.5000911162636043	0.48690179604043404	0.48767604122919583	0.4144593951834743	0.36059682050686703	0.44338392626102224	0.35400728191163305	0.40721707360941406	0.40657698080289073	0.3683350268586123	0.4533945871270294	0.4513871315749176	0.45386301920521943	0.36799487782297047	0.39103514403916384	0.38348449442702837	0.4031572434251245	0.3464433697640652	0.396513158990395	0.41250404178698774	0.43574329899286446	0.4694455596637396	0.42955443244922603	0.4841716258938473
F14H1A	0.4001614794156265	0.38821196449102113	0.26140744507820385	0.24715679390479836	0.23434182917695176	0.33361385762823564	0.274457239260435	0.19822133616208232	0.0	0.26702071361397484	0.2493618082976113	0.3187059592811606	0.19666179242520831	0.31119629993803555	0.33395781336827257	0.22792825876738523	0.27338543890570566	0.36294012225548156	0.352629040805765	0.41135859977452693	0.40979565166726556	0.37937688189215657	0.4367108298013964	0.4239969272010606	0.4108076069778903	0.4115818521666521	0.3383652061209306	0.2845026314443233	0.36728973719847857	0.2779130928490894	0.33112288454687033	0.33048279174034706	0.29224083779606863	0.37730039806448573	0.3752929425123739	0.3777688301426757	0.29190068876042674	0.31494095497662017	0.30739030536448475	0.3270630543625809	0.27034918070152153	0.32041896992785135	0.33640985272444407	0.35964910993032073	0.3933513706011959	0.35346024338668236	0.4080774368313036
31071	0.39823165978620406	0.3862821448615987	0.2594776254487814	0.24522697427537593	0.2638874541141787	0.36315948256546254	0.35089192739810404	0.3431149026765185	0.26702071361397484	0.0	0.11336628392792361	0.2912812330787806	0.16923706622282836	0.28377157373565565	0.3065330871658926	0.2005035325650053	0.2459607127033257	0.33551539605310166	0.32520431460338506	0.38393387357214703	0.3823709254648856	0.35195215568977667	0.4092861035990165	0.3965722009986806	0.3833828807755104	0.3841571259642722	0.31094047991855067	0.2570779052419434	0.3653599175690561	0.2759832732196669	0.32919306491744793	0.3285529721109246	0.2903110181666462	0.3753705784350633	0.3733631228829515	0.3758390105132533	0.28997086913100434	0.3130111353471977	0.30546048573506224	0.32513323473315836	0.26841936107209907	0.3184891502984289	0.3344800330950216	0.35771929030089833	0.39142155097177345	0.3515304237572599	0.4061476172018812
