	S3Hp	S15Hp	S26Hp	S13Hp	S4Hp	S1Hp	S18H1	530451	S9H1	S20H1
S3Hp	0.0	0.5398620710092632	0.5529107021360703	0.5835965893660964	0.42203165177764146	0.3726963982359338	0.6222810818492006	0.7562383200070886	0.7095179514685448	0.6232952826521783
S15Hp	0.5398620710092632	0.0	0.4199668890647852	0.45065277629481126	0.3639852936012812	0.4227139551087459	0.7182327084699527	0.8521899466278406	0.8054695780892969	0.7192469092729303
S26Hp	0.5529107021360703	0.4199668890647852	0.0	0.36014889281737117	0.3770339247280883	0.435762586235553	0.7312813395967597	0.8652385777546479	0.8185182092161039	0.7322955403997373
S13Hp	0.5835965893660964	0.45065277629481126	0.36014889281737117	0.0	0.40771981195811435	0.46644847346557905	0.7619672268267859	0.8959244649846738	0.84920409644613	0.7629814276297635
S4Hp	0.42203165177764146	0.3639852936012812	0.3770339247280883	0.40771981195811435	0.0	0.30488353587712413	0.6004022892383308	0.7343595273962189	0.6876391588576749	0.6014164900413085
S1Hp	0.3726963982359338	0.4227139551087459	0.435762586235553	0.46644847346557905	0.30488353587712413	0.0	0.5510670356966232	0.6850242738545113	0.6383039053159674	0.5520812364996008
S18H1	0.6222810818492006	0.7182327084699527	0.7312813395967597	0.7619672268267859	0.6004022892383308	0.5510670356966232	0.0	0.7296551515564401	0.7190283063823535	0.6328056375659871
530451	0.7562383200070886	0.8521899466278406	0.8652385777546479	0.8959244649846738	0.7343595273962189	0.6850242738545113	0.7296551515564401	0.0	0.8529855445402417	0.7667628757238751
S9H1	0.7095179514685448	0.8054695780892969	0.8185182092161039	0.84920409644613	0.6876391588576749	0.6383039053159674	0.7190283063823535	0.8529855445402417	0.0	0.09994470771234891
S20H1	0.6232952826521783	0.7192469092729303	0.7322955403997373	0.7629814276297635	0.6014164900413085	0.5520812364996008	0.6328056375659871	0.7667628757238751	0.09994470771234891	0.0
