	31749	31219	S28Hp	S14Hp	S6Hp	S29H1	31236	31360	31519	w8pp	f16ppA	w20pp	S8Hp	f7pp	f14ppB	w9pp	F29H1	31232	F14H1A	S26Hp
31749	0.0	0.40891070609235636	0.5297054923741072	0.5582807254877328	0.5411102018241891	0.5787355806049863	0.6134383019001457	0.5908373481557125	0.5408260071328007	0.5255484076711083	0.5341650672014288	0.5260630290636898	0.5961659907465358	0.5140077146447427	0.5237452643407174	0.5400320390794674	0.594715264046754	0.5743783702861776	0.4795106364022276	0.5160326259438361
31219	0.40891070609235636	0.0	0.46526540527147525	0.4938406383851008	0.4766701147215571	0.5142954935023543	0.5489982147975137	0.5263972610530805	0.4763859200301687	0.4611083205684763	0.46972498009879676	0.4616229419610579	0.5317259036439037	0.4495676275421107	0.4593051772380854	0.4755919519768354	0.5302751769441221	0.5099382831835455	0.41507054929959564	0.4515925388412041
S28Hp	0.5297054923741072	0.46526540527147525	0.0	0.4245223917170323	0.4558707358500674	0.4934961146308645	0.5281988359260239	0.5055978821815907	0.45558654115867897	0.47354689915967674	0.4821635586899972	0.47406152055225836	0.5441644822351042	0.46200620613331117	0.47174375582928585	0.48803053056803586	0.5427137555353225	0.522376861774746	0.4530475013449989	0.5333448191423049
S14Hp	0.5582807254877328	0.4938406383851008	0.4245223917170323	0.0	0.48444596896369296	0.52207134774449	0.5567740690396495	0.5341731152952163	0.48416177427230456	0.5021221322733023	0.5107387918036228	0.5026367536658839	0.5727397153487298	0.49058143924693676	0.5003189889429114	0.5166057636816614	0.5712889886489481	0.5509520948883715	0.4816227344586244	0.5619200522559304
S6Hp	0.5411102018241891	0.4766701147215571	0.4558707358500674	0.48444596896369296	0.0	0.13844968936656152	0.17315241066172096	0.15055145691728775	0.4097998928313658	0.48495160860975867	0.49356826814007915	0.48546623000234024	0.5555691916851861	0.4734109155833931	0.4831484652793678	0.4994352400181178	0.5541184649854044	0.5337815712248279	0.46445221079508076	0.5447495285923869
S29H1	0.5787355806049863	0.5142954935023543	0.4934961146308645	0.52207134774449	0.13844968936656152	0.0	0.048468331952630596	0.025867378208197372	0.44742527161216294	0.5225769873905558	0.5311936469208762	0.5230916087831374	0.5931945704659833	0.5110362943641902	0.5207738440601649	0.5370606187989149	0.5917438437662015	0.571406950005625	0.502077589575878	0.5823749073731841
31236	0.6134383019001457	0.5489982147975137	0.5281988359260239	0.5567740690396495	0.17315241066172096	0.048468331952630596	0.0	0.03153315311738816	0.48212799290732244	0.5572797086857153	0.5658963682160357	0.5577943300782968	0.6278972917611427	0.5457390156593497	0.5554765653553244	0.5717633400940744	0.626446565061361	0.6061096713007845	0.5367803108710374	0.6170776286683435
31360	0.5908373481557125	0.5263972610530805	0.5055978821815907	0.5341731152952163	0.15055145691728775	0.025867378208197372	0.03153315311738816	0.0	0.4595270391628892	0.534678754941282	0.5432954144716025	0.5351933763338637	0.6052963380167096	0.5231380619149164	0.5328756116108911	0.5491623863496411	0.6038456113169277	0.5835087175563513	0.5141793571266042	0.5944766749239103
31519	0.5408260071328007	0.4763859200301687	0.45558654115867897	0.48416177427230456	0.4097998928313658	0.44742527161216294	0.48212799290732244	0.4595270391628892	0.0	0.48466741391837026	0.49328407344869074	0.48518203531095183	0.5552849969937977	0.4731267208920047	0.48286427058797937	0.4991510453267294	0.553834270294016	0.5334973765334394	0.46416801610369235	0.5444653339009984
w8pp	0.5255484076711083	0.4611083205684763	0.47354689915967674	0.5021221322733023	0.48495160860975867	0.5225769873905558	0.5572797086857153	0.534678754941282	0.48466741391837026	0.0	0.08700620019841523	0.07890416206067634	0.15778482169649208	0.07562654559469906	0.08536409529067372	0.10165087002942375	0.15633409499671036	0.49375930832501946	0.4488904166419999	0.529187734439306
