	F8H1	S30H1	F14H1A	530119	31267	31333	530177	31300	31071	S16H2	31700	S14Hp	31232	31009	530258	530451	w20pp	31360	S6Hp	31160	f7pp	530444
F8H1	0.0	0.20360449325201535	0.13744147618379304	0.5814283332938182	0.5742659269021497	0.581032594344761	0.6771093203241478	0.584708595049473	0.6025394796812025	0.5951632939521667	0.6090800282339568	0.5539117843616945	0.32157651576493673	0.34101576747505835	0.3299639918609365	0.3759809648754366	0.2373166309678063	0.3242357694520479	0.2943031101784802	0.303820239515326	0.18286076016786354	0.21454310846144148
S30H1	0.20360449325201535	0.0	0.1518181982614387	0.6379570000569319	0.6307945936652636	0.6375612611078748	0.7336379870872617	0.6412372618125868	0.6590681464443162	0.6516919607152806	0.6656086949970705	0.6104404511248084	0.3781051825280505	0.3975444342381721	0.38649265862405024	0.4325096316385504	0.29384529773092005	0.38076443621516165	0.35083177694159395	0.36034890627843974	0.2393894269309773	0.2710717752245552
F14H1A	0.13744147618379304	0.1518181982614387	0.0	0.5717939829887095	0.5646315765970412	0.5713982440396524	0.6674749700190393	0.5750742447443644	0.5929051293760939	0.5855289436470582	0.5994456779288482	0.544277434056586	0.31194216545982817	0.3313814171699498	0.32032964155582794	0.366346614570328	0.22768228066269774	0.31460141914693934	0.28466875987337165	0.29418588921021743	0.173226409862755	0.20490875815633292
530119	0.5814283332938182	0.6379570000569319	0.5717939829887095	0.0	0.4471481699016122	0.4539148373442234	0.5747203309107687	0.4823196056360938	0.5001504902678232	0.49277430453878757	0.5066910388205775	0.48462538791869825	0.5238013767265062	0.6124298195975271	0.6013780439834051	0.6473950169979052	0.508730683090275	0.5956498215745166	0.5657171623009489	0.5752342916377947	0.48918653004289353	0.5936577975605528
31267	0.5742659269021497	0.6307945936652636	0.5646315765970412	0.4471481699016122	0.0	0.41471125406714215	0.5675579245191004	0.4751571992444255	0.49298808387615495	0.4856118981471193	0.49952863242890927	0.47746298152702993	0.5166389703348379	0.6052674132058588	0.5942156375917369	0.6402326106062369	0.5015682766986067	0.5884874151828483	0.5585547559092806	0.5680718852461264	0.4820241236512252	0.5864953911688845
31333	0.581032594344761	0.6375612611078748	0.5713982440396524	0.4539148373442234	0.41471125406714215	0.0	0.5743245919617116	0.4819238666870367	0.4997547513187661	0.4923785655897305	0.5062952998715204	0.48422964896964116	0.5234056377774491	0.61203408064847	0.6009823050343481	0.6469992780488482	0.5083349441412179	0.5952540826254595	0.5653214233518918	0.5748385526887376	0.48879079109383644	0.5932620586114957
530177	0.6771093203241478	0.7336379870872617	0.6674749700190393	0.5747203309107687	0.5675579245191004	0.5743245919617116	0.0	0.5103149064661581	0.5281457910978876	0.5543392937148292	0.5682560279966191	0.580306374949028	0.619482363756836	0.7081108066278569	0.697059031013735	0.743076004028235	0.6044116701206048	0.6913308086048464	0.6613981493312787	0.6709152786681245	0.5848675170732233	0.6893387845908826
31300	0.584708595049473	0.6412372618125868	0.5750742447443644	0.4823196056360938	0.4751571992444255	0.4819238666870367	0.5103149064661581	0.0	0.40432409082229337	0.46193856844015424	0.4758553027219442	0.4879056496743532	0.527081638482161	0.615710081353182	0.60465830573906	0.6506752787535601	0.5120109448459299	0.5989300833301715	0.5689974240566038	0.5785145533934496	0.4924667917985484	0.5969380593162077
31071	0.6025394796812025	0.6590681464443162	0.5929051293760939	0.5001504902678232	0.49298808387615495	0.4997547513187661	0.5281457910978876	0.40432409082229337	0.0	0.47976945307188373	0.49368618735367364	0.5057365343060827	0.5449125231138905	0.6335409659849114	0.6224891903707894	0.6685061633852896	0.5298418294776593	0.6167609679619009	0.5868283086883332	0.596345438025179	0.5102976764302778	0.6147689439479371
S16H2	0.5951632939521667	0.6516919607152806	0.5855289436470582	0.49277430453878757	0.4856118981471193	0.4923785655897305	0.5543392937148292	0.46193856844015424	0.47976945307188373	0.0	0.4322034561080086	0.498360348577047	0.5375363373848548	0.6261647802558757	0.6151130046417539	0.6611299776562539	0.5224656437486237	0.6093847822328653	0.5794521229592976	0.5889692522961434	0.5029214907012421	0.6073927582189015
