	s25pp	s2pp	s13pp	s28pp	s24pp	S10H1	31450	s24H1	s23pp	s22pp	s17pp	s32pp	s7pp	s30pp	s26pp	s29pp
s25pp	0.0	0.13256450245261425	0.13779090783102727	0.4436810473022411	0.4797182764219476	1.6334896533052574	1.7447119145283692	1.4796284719001367	0.244261686252137	0.21132954110938837	0.09804790453043065	0.0903920444829677	0.11194147327176361	0.16501100910595182	0.12008882460940226	0.04522787516291343
s2pp	0.13256450245261425	0.0	0.09862241697343689	0.4045125564446508	0.44054978556435725	1.594321162447667	1.7055434236707787	1.4404599810425462	0.20509319539454662	0.17216105025179798	0.15825473454604097	0.150598874498578	0.17214830328737393	0.22521783912156215	0.18029565462501257	0.14836569524129556
s13pp	0.13779090783102727	0.09862241697343689	0.0	0.34776677709143267	0.3838040062111392	1.5375753830944487	1.6487976443175605	1.383714201689328	0.14834741604132856	0.11541527089857992	0.16348113992445398	0.15582527987699102	0.17737470866578695	0.23044424449997516	0.18552206000342558	0.15359210061970857
s28pp	0.4436810473022411	0.4045125564446508	0.34776677709143267	0.0	0.0929492507428403	1.24672062762615	1.3579428888492617	1.0928594462210293	0.3226105456826003	0.33476460054908347	0.46937127939566786	0.4617154193482049	0.4832648481370008	0.536334383971189	0.4914121994746395	0.4594822400909224
s24pp	0.4797182764219476	0.44054978556435725	0.3838040062111392	0.0929492507428403	0.0	1.1743522164249018	1.2855744776480134	1.0204910350197811	0.3586477748023068	0.37080182966878994	0.5054085085153743	0.4977526484679114	0.5193020772567073	0.5723716130908956	0.527449428594346	0.49551946921062895
S10H1	1.6334896533052574	1.594321162447667	1.5375753830944487	1.24672062762615	1.1743522164249018	0.0	0.6978017367319289	0.4327182941036969	1.5124191516856165	1.5245732065520996	1.659179885398684	1.6515240253512211	1.673073454140017	1.7261429899742051	1.6812208054776556	1.6492908460939386
31450	1.7447119145283692	1.7055434236707787	1.6487976443175605	1.3579428888492617	1.2855744776480134	0.6978017367319289	0.0	0.373283239899459	1.6236414129087282	1.6357954677752113	1.7704021466217958	1.7627462865743329	1.7842957153631287	1.8373652511973169	1.7924430667007674	1.7605131073170504
s24H1	1.4796284719001367	1.4404599810425462	1.383714201689328	1.0928594462210293	1.0204910350197811	0.4327182941036969	0.373283239899459	0.0	1.3585579702804957	1.3707120251469789	1.5053187039935634	1.4976628439461004	1.5192122727348962	1.5722818085690844	1.527359624072535	1.4954296646888179
s23pp	0.244261686252137	0.20509319539454662	0.14834741604132856	0.3226105456826003	0.3586477748023068	1.5124191516856165	1.6236414129087282	1.3585579702804957	0.0	0.13534523949897936	0.26995191834556376	0.26229605829810076	0.2838454870868967	0.3369150229210849	0.29199283842453533	0.2600628790408183
s22pp	0.21132954110938837	0.17216105025179798	0.11541527089857992	0.33476460054908347	0.37080182966878994	1.5245732065520996	1.6357954677752113	1.3707120251469789	0.13534523949897936	0.0	0.2370197732028151	0.22936391315535215	0.25091334194414805	0.30398287777833627	0.2590606932817867	0.22713073389806968
s17pp	0.09804790453043065	0.15825473454604097	0.16348113992445398	0.46937127939566786	0.5054085085153743	1.659179885398684	1.7704021466217958	1.5053187039935634	0.26995191834556376	0.2370197732028151	0.0	0.09389481230637842	0.11544424109517432	0.16851377692936256	0.12359159243281298	0.11384909731911196
s32pp	0.0903920444829677	0.150598874498578	0.15582527987699102	0.4617154193482049	0.4977526484679114	1.6515240253512211	1.7627462865743329	1.4976628439461004	0.26229605829810076	0.22936391315535215	0.09389481230637842	0.0	0.05305082569117828	0.10612036152536651	0.0942756669532955	0.106193237271649
s7pp	0.11194147327176361	0.17214830328737393	0.17737470866578695	0.4832648481370008	0.5193020772567073	1.673073454140017	1.7842957153631287	1.5192122727348962	0.2838454870868967	0.25091334194414805	0.11544424109517432	0.05305082569117828	0.0	0.09145620710377549	0.11582509574209142	0.12774266606044493
s30pp	0.16501100910595182	0.22521783912156215	0.23044424449997516	0.536334383971189	0.5723716130908956	1.7261429899742051	1.8373652511973169	1.5722818085690844	0.3369150229210849	0.30398287777833627	0.16851377692936256	0.10612036152536651	0.09145620710377549	0.0	0.16889463157627965	0.18081220189463312
s26pp	0.12008882460940226	0.18029565462501257	0.18552206000342558	0.4914121994746395	0.527449428594346	1.6812208054776556	1.7924430667007674	1.527359624072535	0.29199283842453533	0.2590606932817867	0.12359159243281298	0.0942756669532955	0.11582509574209142	0.16889463157627965	0.0	0.13589001739808357
s29pp	0.04522787516291343	0.14836569524129556	0.15359210061970857	0.4594822400909224	0.49551946921062895	1.6492908460939386	1.7605131073170504	1.4954296646888179	0.2600628790408183	0.22713073389806968	0.11384909731911196	0.106193237271649	0.12774266606044493	0.18081220189463312	0.13589001739808357	0.0
