	F6H1	S8Hp	S23Hp	S21H1	S25Hp	S18H1	S1Hp	S4Hp	F29H1	F7H1	S13Hp	S26Hp	w14pp	w10pp	w1pp	w2pp	S10H1	f24pp	w16pp	w24pp	s24H1	w11pp	S31Hp	S9H1	S7Hp	F14H1B	S3Hp
F6H1	0.0	0.3327674652039227	0.35588300824535024	0.4935648545353654	0.5991266805303044	0.5282072293776345	0.4764813505683905	0.5648784718937137	0.500785922763066	0.49649797631002485	0.49311152904904393	0.5768124058340856	0.5505221656382266	0.5271294247399014	0.5605231796925891	0.5520798653010561	0.6146895233864513	0.5514605259043652	0.5541308908382274	0.5733091991608761	0.549287736229015	0.5379351729305137	0.5053584609858692	0.34095499554870057	0.31119090287334783	0.314256708580603	0.24900640789795878
S8Hp	0.3327674652039227	0.0	0.22719922177741395	0.3648810680674291	0.47044289406236817	0.39952344290969816	0.34779756410045426	0.43619468542577733	0.3721021362951297	0.3678141898420885	0.36442774258110766	0.44812861936614934	0.42183837917029027	0.39844563827196505	0.43183939322465276	0.4233960788331199	0.48600573691851506	0.42277673943642896	0.4254471043702912	0.4446254126929398	0.42060394976107873	0.4092513864625774	0.37667467451793296	0.2328276769897338	0.2587518107922371	0.3445130696263081	0.35697650001488945
S23Hp	0.35588300824535024	0.22719922177741395	0.0	0.3616196118847726	0.46718143787971167	0.39626198672704166	0.34453610791779776	0.43293322924312083	0.36884068011247323	0.364552733659432	0.36116628639845116	0.44486716318349284	0.41857692298763377	0.39518418208930856	0.42857793704199626	0.4201346226504634	0.48274428073585857	0.41951528325377246	0.4221856481876347	0.4413639565102833	0.41734249357842224	0.4059899302799209	0.37341321833527646	0.2559432200311613	0.28186735383366457	0.3676286126677356	0.38009204305631705
S21H1	0.4935648545353654	0.3648810680674291	0.3616196118847726	0.0	0.4223316005914682	0.35141214943879817	0.43839035689529177	0.5267874782206148	0.46269492908996723	0.45840698263692603	0.45502053537594517	0.5387214121609869	0.5124311719651278	0.48903843106680256	0.5224321860194903	0.5139888716279575	0.5765985297133526	0.5133695322312665	0.5160398971651288	0.5352182054877773	0.5111967425559163	0.4998441792574149	0.46726746731277047	0.3936250663211765	0.41954920012367974	0.5053104589577508	0.5177738893463322
S25Hp	0.5991266805303044	0.47044289406236817	0.46718143787971167	0.4223316005914682	0.0	0.40812592581021245	0.5439521828902308	0.6323493042155539	0.5682567550849063	0.563968808631865	0.5605823613708842	0.6442832381559259	0.6179929979600669	0.5946002570617417	0.6279940120144294	0.6195506976228965	0.6821603557082916	0.6189313582262055	0.6216017231600678	0.6407800314827163	0.6167585685508553	0.605406005252354	0.5728292933077095	0.4991868923161155	0.5251110261186187	0.6108722849526899	0.6233357153412712
S18H1	0.5282072293776345	0.39952344290969816	0.39626198672704166	0.35141214943879817	0.40812592581021245	0.0	0.47303273173756083	0.5614298530628838	0.4973373039322363	0.4930493574791951	0.48966291021821423	0.573363787003256	0.5470735468073968	0.5236808059090716	0.5570745608617593	0.5486312464702265	0.6112409045556216	0.5480119070735355	0.5506822720073978	0.5698605803300464	0.5458391173981854	0.5344865540996839	0.5019098421550395	0.42826744116344556	0.4541915749659488	0.5399528338000199	0.5524162641886012
S1Hp	0.4764813505683905	0.34779756410045426	0.34453610791779776	0.43839035689529177	0.5439521828902308	0.47303273173756083	0.0	0.4365005941843712	0.3724080450537236	0.4181229939950667	0.4147365467340858	0.49843742351912745	0.47214718332326844	0.4487544424249432	0.4821481973776309	0.47370488298609803	0.5363145410714932	0.47308554358940713	0.4757559085232693	0.494934216845918	0.47091275391405685	0.45956019061555553	0.42698347867091113	0.3765415623542016	0.40246569615670486	0.48822695499077595	0.5006903853793573
S4Hp	0.5648784718937137	0.43619468542577733	0.43293322924312083	0.5267874782206148	0.6323493042155539	0.5614298530628838	0.4365005941843712	0.0	0.38910734786964923	0.5065201153203898	0.5031336680594088	0.5868345448444505	0.5605443046485914	0.5371515637502662	0.5705453187029539	0.5621020043114211	0.6247116623968163	0.5614826649147302	0.5641530298485924	0.583331338171241	0.5593098752393799	0.5479573119408786	0.5153805999962342	0.4649386836795247	0.4908628174820279	0.576624076316099	0.5890875067046804
F29H1	0.500785922763066	0.3721021362951297	0.36884068011247323	0.46269492908996723	0.5682567550849063	0.4973373039322363	0.3724080450537236	0.38910734786964923	0.0	0.4424275661897421	0.43904111892876124	0.5227419957138029	0.49645175551794385	0.47305901461961863	0.5064527695723063	0.4980094551807735	0.5606191132661686	0.49739011578408254	0.5000604807179447	0.5192387890405934	0.4952173261087323	0.483864762810231	0.45128805086558654	0.40084613454887713	0.4267702683513804	0.5125315271854515	0.5249949575740328
F7H1	0.49649797631002485	0.3678141898420885	0.364552733659432	0.45840698263692603	0.563968808631865	0.4930493574791951	0.4181229939950667	0.5065201153203898	0.4424275661897421	0.0	0.34461931716231337	0.42832019394735504	0.40202995375149597	0.37863721285317076	0.41203096780585846	0.4035876534143256	0.46619731149972077	0.40296831401763467	0.4056386789514969	0.4248169872741455	0.40079552434228444	0.3894429610437832	0.35686624909913867	0.39655818809583593	0.4224823218983392	0.5082435807324103	0.5207070111209916
