	w30pp	s9pp	s27pp	s14pp	s25pp	s24pp	s11pp	s22pp	s19pp	s18pp	s28pp	S28Hp	s23pp	s32pp	s12pp	s3pp	s13pp	s15pp	s20pp	s10pp	s2pp	s1pp	s29pp	s26pp	s21pp	s7pp	S29H1	s17pp	s30pp	s31pp
w30pp	0.0	0.3592363200722224	0.23967254340501237	0.35723539331509535	0.33310798256707586	0.30905370837717616	0.405100232922854	0.44628492659977215	0.4075171970177801	0.39765216834428185	0.46693676530985484	0.6807163687738138	0.5315302635539101	0.3955375652790799	0.3421292277037602	0.45173604659827093	0.4969721335416959	0.4795210588666965	0.5494480863618847	0.42720481682129596	0.40088936637037864	0.2722807293261593	0.3739403740635652	0.41214139029838126	0.36650073214771006	0.35274033011751105	1.9143970202031892	0.25196146711088496	0.18005257245501124	0.14793920867591676
s9pp	0.3592363200722224	0.0	0.19630354932694394	0.3428846117417615	0.318757200993742	0.29470292680384236	0.3907494513495202	0.43193414502643834	0.39316641544444625	0.38330138677094794	0.45258598373652104	0.6663655872004799	0.5171794819805762	0.381186783705746	0.32777844613042634	0.437385265024937	0.482621351968362	0.4651702772933627	0.5350973047885509	0.4128540352479621	0.3865385847970447	0.25792994775282546	0.35958959249023126	0.39779060872504735	0.35214995057437615	0.33838954854417724	1.9767022260986664	0.31426867300736205	0.3133073130652713	0.3700141127356482
s27pp	0.23967254340501237	0.19630354932694394	0.0	0.22332083507455147	0.19919342432653198	0.17513915013663237	0.2711856746823102	0.3123703683592283	0.27360263877723623	0.2637376101037379	0.333022207069311	0.5468018105332699	0.3976157053133662	0.26162300703853597	0.20821466946321632	0.31782148835772706	0.363057575301152	0.34560650062615267	0.41553352812134087	0.2932902585807521	0.2669748081298347	0.13836617108561547	0.24002581582302124	0.2782268320578373	0.23258617390716613	0.21882577187696722	1.8571384494314565	0.1947048963401521	0.19374353639806133	0.2504503360684382
s14pp	0.35723539331509535	0.3428846117417615	0.22332083507455147	0.0	0.2445195318096916	0.22046525761979202	0.3165117821654698	0.35769647584238795	0.31892874626039586	0.30906371758689755	0.37834831455247064	0.5921279180164296	0.4429418127965259	0.3069491145216956	0.25354077694637595	0.3631475958408867	0.4083836827843117	0.3909326081093123	0.4608596356045005	0.3386163660639117	0.31230091561299433	0.21179670173171464	0.3134563464691204	0.3516573627039365	0.3060167045532653	0.2922563025230664	1.9747012993415394	0.312267746250235	0.3113063863081443	0.3680131859785212
s25pp	0.33310798256707586	0.318757200993742	0.19919342432653198	0.2445195318096916	0.0	0.08453066416887509	0.2298294113863569	0.27101410506327506	0.2605119833582027	0.2506469546847044	0.3199315516502775	0.5337111551142364	0.38452504989433267	0.24853235161950243	0.19512401404418278	0.3047308329386935	0.3499669198821185	0.33251584520711913	0.40244287270230733	0.28019960316171855	0.25388415271080117	0.18766929098369514	0.2893289357211009	0.327529951955917	0.2818892938052458	0.2681288917750469	1.9505738885935198	0.2881403355022155	0.2871789755601248	0.3438857752305017
s24pp	0.30905370837717616	0.29470292680384236	0.17513915013663237	0.22046525761979202	0.08453066416887509	0.0	0.2057751371964573	0.24695983087337542	0.2364577091683031	0.2265926804948048	0.2958772774603779	0.5096568809243368	0.3604707757044331	0.22447807742960285	0.1710697398542832	0.28067655874879394	0.3259126456922189	0.30846157101721955	0.37838859851240775	0.25614532897181896	0.2298298785209016	0.16361501679379553	0.2652746615312013	0.30347567776601736	0.25783501961534616	0.24407461758514729	1.9265196144036203	0.26408606131231593	0.26312470137022514	0.319831501040602
s11pp	0.405100232922854	0.3907494513495202	0.2711856746823102	0.3165117821654698	0.2298294113863569	0.2057751371964573	0.0	0.21257262082747969	0.33250423371398086	0.3226392050404826	0.3919238020060557	0.6057034054700146	0.45651730025011084	0.32052460197528065	0.26711626439996095	0.3767230832944717	0.42195917023789664	0.40450809556289735	0.47443512305808555	0.3521918535174967	0.3258764030665794	0.25966154133947333	0.36132118607687913	0.3995222023116952	0.353881544161024	0.3401211421308251	2.022566138949298	0.3601325858579937	0.3591712259159029	0.41587802558627984
s22pp	0.44628492659977215	0.43193414502643834	0.3123703683592283	0.35769647584238795	0.27101410506327506	0.24695983087337542	0.21257262082747969	0.0	0.373688927390899	0.36382389871740073	0.4331084956829738	0.6468880991469327	0.49770199392702896	0.3617092956521988	0.3083009580768791	0.4179077769713898	0.46314386391481477	0.4456927892398155	0.5156198167350037	0.39337654719441484	0.3670610967434975	0.30084623501639146	0.40250587975379726	0.44070689598861335	0.39506623783794215	0.38130583580774324	2.063750832626216	0.4013172795349118	0.400355919592821	0.45706271926319797
s19pp	0.4075171970177801	0.39316641544444625	0.27360263877723623	0.31892874626039586	0.2605119833582027	0.2364577091683031	0.33250423371398086	0.373688927390899	0.0	0.14084048324674886	0.25935558638727685	0.4731351898512357	0.32394908463133204	0.18795638635650178	0.2352909889694808	0.3448978078639916	0.39013389480741656	0.37268282013241716	0.44260984762760536	0.32036657808701663	0.2940511276360992	0.26207850543439937	0.36373815017180516	0.40193916640662125	0.35629850825595005	0.34253810622575115	2.024983103044224	0.36254954995291977	0.361588190010829	0.41829498968120593
s18pp	0.39765216834428185	0.38330138677094794	0.2637376101037379	0.30906371758689755	0.2506469546847044	0.2265926804948048	0.3226392050404826	0.36382389871740073	0.14084048324674886	0.0	0.2494905577137785	0.4632701611777374	0.31408405595783373	0.17809135768300347	0.2254259602959825	0.33503277919049324	0.3802688661339182	0.3628177914589189	0.4327448189541071	0.31050154941351826	0.28418609896260094	0.2522134767609011	0.35387312149830685	0.39207413773312294	0.34643347958245174	0.33267307755225284	2.0151180743707258	0.3526845212794215	0.3517231613373307	0.4084299610077077
