	F14H1B	31300	F14H1A	S26Hp	S20H1	S9H1	F7H1	S18H1	S28Hp	S13Hp
F14H1B	0.0	0.2366631882547631	0.31284334725235224	0.7726411966504217	0.368777270342289	0.38929269483537876	0.5397244703916848	0.41716721623961484	0.49311809413799723	0.5204100328717041
31300	0.2366631882547631	0.0	0.16520993839504974	0.6778248787851094	0.2739609524769767	0.29447637697006646	0.4449081525263725	0.32235089837430253	0.39830177627268487	0.42559371500639176
F14H1A	0.31284334725235224	0.16520993839504974	0.0	0.7540050377826986	0.35014111147456584	0.3706565359676556	0.5210883115239617	0.39853105737189165	0.47448193527027405	0.5017738740039809
S26Hp	0.7726411966504217	0.6778248787851094	0.7540050377826986	0.0	0.6600386552753112	0.680554079768401	0.830985855324707	0.768317596538957	0.8442684744373393	0.8715604131710462
S20H1	0.368777270342289	0.2739609524769767	0.35014111147456584	0.6600386552753112	0.0	0.0532086477772767	0.39107799760264117	0.3644536702308243	0.4404045481292067	0.46769648686291354
S9H1	0.38929269483537876	0.29447637697006646	0.3706565359676556	0.680554079768401	0.0532086477772767	0.0	0.41159342209573097	0.38496909472391405	0.46091997262229645	0.4882119113560033
F7H1	0.5397244703916848	0.4449081525263725	0.5210883115239617	0.830985855324707	0.39107799760264117	0.41159342209573097	0.0	0.5354008702802202	0.6113517481786026	0.6386436869123094
S18H1	0.41716721623961484	0.32235089837430253	0.39853105737189165	0.768317596538957	0.3644536702308243	0.38496909472391405	0.5354008702802202	0.0	0.3115584601444966	0.33885039887820345
S28Hp	0.49311809413799723	0.39830177627268487	0.47448193527027405	0.8442684744373393	0.4404045481292067	0.46091997262229645	0.6113517481786026	0.3115584601444966	0.0	0.335444644288282
S13Hp	0.5204100328717041	0.42559371500639176	0.5017738740039809	0.8715604131710462	0.46769648686291354	0.4882119113560033	0.6386436869123094	0.33885039887820345	0.335444644288282	0.0
