	530227	F14H1A	S29H1	31021	31537	S25Hp	S30H1	530050	31300	S28Hp	531414	S26Hp	31452	530451	S13Hp	S31Hp	S7Hp	530258	F23HpA	S17H1	S4Hp	F32H1	S10H1	S21H1	S20H1
530227	0.0	0.42000812549151767	0.42446379760142505	0.42269034472957145	0.41468693531409007	0.3791358000486914	0.49471323392692224	0.40581728355535107	0.3691545432837051	0.4331660769790222	0.4331257894650995	0.38319959619825117	0.4047616773654722	0.3980942443332002	0.32299338816355827	0.2700187101425332	0.3628823343492804	0.3987757727091067	0.3713262504999476	0.4224489645376661	0.4324216702105155	0.4438581247844241	0.44350804570175506	0.45218288464574086	0.28703204315793107
F14H1A	0.42000812549151767	0.0	0.35392910260119426	0.35215564972934066	0.38128388386929735	0.3457327486038987	0.46131018248212957	0.39509542367377304	0.358432683402127	0.42244421709744406	0.4224039295835214	0.3724777363166731	0.3940398174838941	0.3873723844516221	0.3476402709661038	0.33617449821382817	0.42903812242057543	0.46493156078040165	0.4374820385712426	0.4886047526089611	0.49857745828181044	0.5100139128557191	0.5096638337730501	0.5183386727170358	0.4133739698286054
S29H1	0.42446379760142505	0.35392910260119426	0.0	0.29573260090710635	0.38573955597920484	0.3501884207138062	0.465765854592037	0.3995510957836805	0.36288835551203447	0.42689988920735156	0.42685960169342885	0.3769334084265805	0.39849548959380154	0.3918280565615295	0.3520959430760112	0.34063017032373566	0.43349379453048287	0.46938723289030915	0.44193771068115006	0.4930604247188685	0.5030331303917179	0.5144695849656264	0.5141195058829575	0.5227943448269432	0.4178296419385129
31021	0.42269034472957145	0.35215564972934066	0.29573260090710635	0.0	0.38396610310735124	0.3484149678419526	0.4639924017201834	0.3977776429118269	0.36111490264018087	0.42512643633549796	0.42508614882157525	0.3751599555547269	0.39672203672194795	0.3900546036896759	0.3503224902041576	0.33885671745188206	0.43172034165862927	0.46761378001845555	0.44016425780929647	0.4912869718470149	0.5012596775198643	0.5126961320937728	0.5123460530111039	0.5210208919550896	0.4160561890666593
31537	0.41468693531409007	0.38128388386929735	0.38573955597920484	0.38396610310735124	0.0	0.3180187119660567	0.4335961458442876	0.38977423349634543	0.35311149322469937	0.41712302692001646	0.4170827394060938	0.3671565461392455	0.3887186273064665	0.3820511942741945	0.3423190807886762	0.33085330803640056	0.4237169322431478	0.45961037060297405	0.432160848393815	0.4832835624315335	0.49325626810438283	0.5046927226782915	0.5043426435956224	0.5130174825396082	0.4080527796511778
S25Hp	0.3791358000486914	0.3457327486038987	0.3501884207138062	0.3484149678419526	0.3180187119660567	0.0	0.3604843980807727	0.3542230982309468	0.3175603579593007	0.3815718916546178	0.38153160414069515	0.3316054108738468	0.35316749204106784	0.3465000590087958	0.3067679455232775	0.2953021727710019	0.38816579697774917	0.4240592353375754	0.39660971312841636	0.4477324271661348	0.4577051328389842	0.4691415874128928	0.4687915083302238	0.47746634727420956	0.37250164438577915
S30H1	0.49471323392692224	0.46131018248212957	0.465765854592037	0.4639924017201834	0.4335961458442876	0.3604843980807727	0.0	0.4698005321091776	0.4331377918375316	0.4971493255328487	0.49710903801892603	0.4471828447520777	0.4687449259192987	0.4620774928870267	0.4223453794015084	0.41087960664923284	0.50374323085598	0.5396366692158063	0.5121871470066472	0.5633098610443656	0.573282566717215	0.5847190212911237	0.5843689422084547	0.5930437811524405	0.4880790782640101
530050	0.40581728355535107	0.39509542367377304	0.3995510957836805	0.3977776429118269	0.38977423349634543	0.3542230982309468	0.4698005321091776	0.0	0.31363706576305483	0.39160307750488854	0.39156278999096583	0.3416365967241175	0.36319867789133853	0.3565312448590665	0.33344942902993724	0.3219836562776617	0.4148472804844089	0.45074071884423517	0.4232911966350761	0.47441391067279454	0.4843866163456439	0.4958230709195525	0.49547299183688354	0.5041478307808693	0.3991831278924389
31300	0.3691545432837051	0.358432683402127	0.36288835551203447	0.36111490264018087	0.35311149322469937	0.3175603579593007	0.4331377918375316	0.31363706576305483	0.0	0.3549403372332425	0.3549000497193198	0.3049738564524715	0.3265359376196925	0.3198685045874205	0.29678668875829123	0.2853209160060156	0.3781845402127629	0.4140779785725891	0.3866284563634301	0.4377511704011485	0.4477238760739979	0.4591603306479065	0.4588102515652375	0.46748509050922327	0.36252038762079286
S28Hp	0.4331660769790222	0.42244421709744406	0.42689988920735156	0.42512643633549796	0.41712302692001646	0.3815718916546178	0.4971493255328487	0.39160307750488854	0.3549403372332425	0.0	0.3533339693244483	0.3537154043934656	0.37527748556068663	0.3686100525284146	0.3607982224536083	0.3493324497013327	0.44219607390807997	0.4780895122679062	0.45063999005874716	0.5017627040964656	0.511735409769315	0.5231718643432236	0.5228217852605546	0.5314966242045404	0.42653192131610995
