	w20pp	f16ppA	w11pp	f22ppB	f19pp	f6ppA	w24pp	f2pp	f24pp	w3pp	f16ppB	w9pp	f15pp	f20ppA	w14pp	S7Hp	F14H1A	S18H1	31267	S9H1	S16H2	S21H1	S1Hp	S22Hp	S26Hp	S27H1	F23HpA	530331	S15Hp	S4Hp	S17H1	S6Hp	31750	S31Hp	F14H1B	31452	S19H1	S28Hp	F7H1	31749	31219	S3Hp	S29H1	530055	31300	S13Hp	S14Hp	31160	F1H1	F6H1	S25Hp	31328	f22ppA	f6ppB	w25pp	f8pp	w4pp	F29H1	s22pp	s24pp	s32pp	s2pp	s25pp	s23pp	w10pp	f14ppB	f4pp	f1pp	f7pp	f25pp	w18pp
w20pp	0.0	0.09512550948135573	0.11856893495827919	0.13649897318898982	0.12879800706164185	0.15328020976939974	0.1518303849985513	0.15546137288417353	0.14378573607412554	0.1316362214379197	0.15488364724227613	0.13721526699677417	0.16132008524650088	0.15701805740975072	0.17373744280718093	0.29732609068077825	0.4497028310826382	0.5036418071142845	0.530023975721543	0.4902935350921523	0.4170669003923513	0.5053791426082337	0.48757490744016196	0.5333193015174721	0.5201536442862617	0.5836283002057281	0.5378882402359594	0.559598137380382	0.5602175095694202	0.5971017338408224	0.5869971676949239	0.6408180208093921	0.5560401971638704	0.5971243758922908	0.547155957074619	0.5810379886985018	0.5677821409782757	0.5825014643595938	0.5695720745184418	0.5429660674064056	0.600328900918341	0.5702129851381079	0.5662721077145554	0.5675671628006602	0.5584962359193797	0.5641419463668444	0.5942325177930001	0.5672623740959208	0.6408205232331425	0.6043197195610193	0.4958467358520795	0.5205057514590488	0.140604797313719	0.14066888762497382	0.13649382288401485	0.12816308175583535	0.15288495734864285	0.17900005227740587	0.17535330093343568	0.17167236700651292	0.20593286029373997	0.21808627519568508	0.16901123913279634	0.1728765122529307	0.1628973929449612	0.11448362739080813	0.14989952143020907	0.13801872766041598	0.09718451628875016	0.08703034376962518	0.07980492584674308
f16ppA	0.09512550948135573	0.0	0.09001939331645954	0.10794943154717017	0.1002484654198222	0.12473066812758009	0.12328084335673166	0.1269118312423539	0.1152361944323059	0.10308667979610003	0.1263341056004565	0.10866572535495451	0.1327705436046812	0.12846851576793106	0.1451879011653613	0.2687765490389586	0.42115328944081853	0.47509226547246486	0.5014744340797234	0.46174399345033257	0.3885173587505316	0.476829600966414	0.4590253657983423	0.5047697598756524	0.491604102644442	0.5550787585639085	0.5093386985941397	0.5310485957385623	0.5316679679276005	0.5685521921990029	0.5584476260531043	0.6122684791675725	0.5274906555220509	0.5685748342504713	0.5186064154327993	0.5524884470566821	0.5392325993364561	0.5539519227177742	0.5410225328766223	0.514416525764586	0.5717793592765213	0.5416634434962884	0.5377225660727358	0.5390176211588406	0.5299466942775601	0.5355924047250248	0.5656829761511805	0.5387128324541013	0.6122709815913229	0.5757701779191997	0.46729719421025984	0.4919562098172291	0.11205525567189935	0.11211934598315416	0.1079442812421952	0.09961354011401569	0.1243354157068232	0.15045051063558623	0.14680375929161604	0.14312282536469328	0.1773833186519203	0.1895367335538654	0.1404616974909767	0.14432697061111105	0.13434785130314153	0.08593408574898846	0.12134997978838942	0.10946918601859633	0.0686349746469305	0.07760573440292519	0.07457219669914548
w11pp	0.11856893495827919	0.09001939331645954	0.0	0.08890985768423657	0.0812088915568886	0.13653575596713266	0.13508593119628423	0.13871691908190645	0.12704128227185849	0.11489176763565262	0.13813919344000905	0.12047081319450709	0.1445756314442338	0.14027360360748364	0.15699298900491385	0.2805816368785112	0.4329583772803711	0.48689735331201744	0.513279521919276	0.4735490812898852	0.4003224465900842	0.4886346888059666	0.4708304536378949	0.516574847715205	0.5034091904839946	0.566883846403461	0.5211437864336923	0.5428536835781149	0.5434730557671531	0.5803572800385554	0.5702527138926567	0.624073567007125	0.5392957433616035	0.5803799220900238	0.5304115032723519	0.5642935348962346	0.5510376871760085	0.5657570105573266	0.5528276207161748	0.5262216136041385	0.5835844471160738	0.5534685313358408	0.5495276539122884	0.5508227089983931	0.5417517821171127	0.5473974925645774	0.5774880639907329	0.5505179202936539	0.6240760694308753	0.5875752657587522	0.4791022820498124	0.5037612976567817	0.12386034351145192	0.12392443382270674	0.11974936908174777	0.11141862795356827	0.13614050354637577	0.1622555984751388	0.1586088471311686	0.15492791320424584	0.1891884064914729	0.201341821393418	0.15226678533052926	0.1561320584506636	0.14615293914269412	0.09773917358854105	0.133155067627942	0.1212742738581489	0.08044006248648308	0.10104915987984867	0.09801562217606895
f22ppB	0.13649897318898982	0.10794943154717017	0.08890985768423657	0.0	0.06937917276409358	0.1544657941978433	0.15301596942699486	0.15664695731261707	0.1449713205025691	0.13282180586636322	0.15606923167071968	0.1384008514252177	0.16250566967494443	0.15820364183819427	0.17492302723562447	0.29851167510922183	0.4508884155110817	0.504827391542728	0.5312095601499865	0.4914791195205958	0.4182524848207948	0.5065647270366772	0.4887604918686055	0.5345048859459156	0.5213392287147052	0.5848138846341717	0.5390738246644029	0.5607837218088255	0.5614030939978637	0.5982873182692661	0.5881827521233673	0.6420036052378357	0.5572257815923141	0.5983099603207345	0.5483415415030625	0.5822235731269452	0.5689677254067191	0.5836870487880372	0.5707576589468855	0.5441516518348491	0.6015144853467844	0.5713985695665516	0.567457692142999	0.5687527472291037	0.5596818203478233	0.565327530795288	0.5954181022214435	0.5684479585243645	0.642006107661586	0.6055053039894629	0.497032320280523	0.5216913358874924	0.14179038174216255	0.14185447205341736	0.1376794073124584	0.12934866618427887	0.1540705417770864	0.18018563670584942	0.17653888536187923	0.17285795143495647	0.20711844472218352	0.21927185962412862	0.17019682356123988	0.17406209668137423	0.16408297737340474	0.11566921181925166	0.15108510585865262	0.13920431208885953	0.09837010071719371	0.11897919811055929	0.11594566040677957
f19pp	0.12879800706164185	0.1002484654198222	0.0812088915568886	0.06937917276409358	0.0	0.14676482807049532	0.1453150032996469	0.1489459911852691	0.13727035437522112	0.12512083973901528	0.1483682655433717	0.13069988529786974	0.15480470354759646	0.1505026757108463	0.1672220611082765	0.29081070898187383	0.4431874493837338	0.4971264254153801	0.5235085940226386	0.4837781533932478	0.41055151869344686	0.49886376090932927	0.48105952574125754	0.5268039198185677	0.5136382625873572	0.5771129185068237	0.531372858537055	0.5530827556814776	0.5537021278705158	0.590586352141918	0.5804817859960194	0.6343026391104877	0.5495248154649661	0.5906089941933864	0.5406405753757145	0.5745226069995972	0.5612667592793712	0.5759860826606893	0.5630566928195374	0.5364506857075012	0.5938135192194365	0.5636976034392035	0.5597567260156511	0.5610517811017558	0.5519808542204754	0.55762656466794	0.5877171360940956	0.5607469923970165	0.634305141534238	0.5978043378621148	0.4893313541531751	0.5139903697601443	0.13408941561481458	0.1341535059260694	0.12997844118511043	0.12164770005693092	0.14636957564973843	0.17248467057850145	0.16883791923453126	0.1651569853076085	0.19941747859483555	0.21157089349678065	0.16249585743389192	0.16636113055402627	0.15638201124605677	0.10796824569190369	0.14338413973130465	0.13150334596151156	0.09066913458984574	0.11127823198321132	0.1082446942794316
f6ppA	0.15328020976939974	0.12473066812758009	0.13653575596713266	0.1544657941978433	0.14676482807049532	0.0	0.08702177492911985	0.09065276281474208	0.0789771260046941	0.08194051581535551	0.10518794161971194	0.08751956137420999	0.13458706371377877	0.1302850358770286	0.1470044212744588	0.27059306914805614	0.4229698095499161	0.4769087855815624	0.5032909541888209	0.4635605135594302	0.39033387885962917	0.4786461210755116	0.46084188590743985	0.5065862799847499	0.49342062275353954	0.556895278673006	0.5111552187032372	0.5328651158476598	0.533484488036698	0.5703687123081004	0.5602641461622018	0.61408499927667	0.5293071756311484	0.5703913543595688	0.5204229355418968	0.5543049671657795	0.5410491194455536	0.5557684428268717	0.5428390529857198	0.5162330458736835	0.5735958793856188	0.5434799636053859	0.5395390861818333	0.540834141267938	0.5317632143866576	0.5374089248341223	0.567499496260278	0.5405293525631988	0.6140875017004204	0.5775866980282972	0.4691137143193574	0.4937727299263267	0.1138717757809969	0.11393586609225172	0.10976080135129275	0.11774726020654261	0.1424691357993501	0.16858423072811313	0.16493747938414294	0.16125654545722018	0.19551703874444726	0.20767045364639233	0.1585954175835036	0.16246069070363794	0.15248157139566845	0.1040678058415154	0.13948369988091636	0.12760290611112324	0.10504840196559528	0.1357604346909692	0.1327268969871895
w24pp	0.1518303849985513	0.12328084335673166	0.13508593119628423	0.15301596942699486	0.1453150032996469	0.08702177492911985	0.0	0.06705637006195475	0.055380733251906775	0.08049069104450708	0.10373811684886351	0.08606973660336156	0.13313723894293034	0.12883521110618018	0.14555459650361038	0.2691432443772077	0.42151998477906766	0.475458960810714	0.5018411294179724	0.46211068878858175	0.38888405408878074	0.47719629630466315	0.4593920611365914	0.5051364552139015	0.4919707979826911	0.5554454539021576	0.5097053939323888	0.5314152910768114	0.5320346632658496	0.568918887537252	0.5588143213913533	0.6126351745058216	0.5278573508603	0.5689415295887204	0.5189731107710484	0.552855142394931	0.5395992946747051	0.5543186180560232	0.5413892282148713	0.514783221102835	0.5721460546147704	0.5420301388345374	0.5380892614109849	0.5393843164970896	0.5303133896158092	0.5359591000632739	0.5660496714894295	0.5390795277923504	0.6126376769295719	0.5761368732574488	0.46766388954850896	0.4923229051554783	0.11242195101014847	0.11248604132140329	0.10831097658044432	0.11629743543569418	0.14101931102850168	0.1671344059572647	0.1634876546132945	0.15980672068637175	0.19406721397359883	0.2062206288755439	0.15714559281265517	0.16101086593278952	0.15103174662482002	0.10261798107066697	0.13803387511006793	0.1261530813402748	0.10359857719474685	0.13431060992012078	0.13127707221634108
f2pp	0.15546137288417353	0.1269118312423539	0.13871691908190645	0.15664695731261707	0.1489459911852691	0.09065276281474208	0.06705637006195475	0.0	0.0543880464695877	0.08412167893012931	0.10736910473448574	0.0897007244889838	0.13676822682855255	0.1324661989918024	0.14918558438923263	0.27277423226282993	0.4251509726646899	0.4790899486963362	0.5054721173035948	0.46574167667420396	0.39251504197440296	0.48082728419028536	0.46302304902221364	0.5087674430995237	0.4956017858683133	0.5590764417877798	0.513336381818011	0.5350462789624337	0.5356656511514719	0.5725498754228742	0.5624453092769757	0.6162661623914438	0.5314883387459222	0.5725725174743426	0.5226040986566707	0.5564861302805533	0.5432302825603275	0.5579496059416456	0.5450202161004936	0.5184142089884574	0.5757770425003927	0.5456611267201597	0.5417202492966071	0.543015304382712	0.5339443775014314	0.5395900879488962	0.5696806593750519	0.5427105156779726	0.6162686648151943	0.579767861143071	0.4712948774341312	0.4959538930411005	0.1160529388957707	0.11611702920702552	0.11194196446606655	0.1199284233213164	0.1446502989141239	0.17076539384288691	0.16711864249891673	0.16343770857199397	0.19769820185922105	0.20985161676116612	0.16077658069827738	0.16464185381841173	0.15466273451044224	0.10624896895628919	0.14166486299569014	0.12978406922589703	0.10722956508036907	0.137941597805743	0.1349080601019633
f24pp	0.14378573607412554	0.1152361944323059	0.12704128227185849	0.1449713205025691	0.13727035437522112	0.0789771260046941	0.055380733251906775	0.0543880464695877	0.0	0.07244604212008134	0.09569346792443777	0.07802508767893582	0.1250925900185046	0.12079056218175444	0.13750994757918464	0.26109859545278197	0.4134753358546419	0.46741431188628824	0.49379648049354674	0.454066039864156	0.380839405164355	0.4691516473802374	0.4513474122121657	0.4970918062894758	0.48392614905826536	0.5474008049777319	0.5016607450079631	0.5233706421523857	0.5239900143414239	0.5608742386128263	0.5507696724669277	0.6045905255813959	0.5198127019358743	0.5608968806642947	0.5109284618466227	0.5448104934705054	0.5315546457502794	0.5462739691315975	0.5333445792904457	0.5067385721784093	0.5641014056903447	0.5339854899101117	0.5300446124865592	0.5313396675726639	0.5222687406913835	0.5279144511388482	0.5580050225650038	0.5310348788679247	0.6045930280051462	0.5680922243330231	0.4596192406240832	0.48427825623105253	0.10437730208572273	0.10444139239697754	0.10026632765601858	0.10825278651126843	0.13297466210407594	0.15908975703283895	0.15544300568886876	0.151762071761946	0.18602256504917306	0.19817597995111816	0.14910094388822942	0.15296621700836377	0.14298709770039428	0.09457333214624121	0.12998922618564215	0.11810843241584906	0.0955539282703211	0.126265960995695	0.1232324232919153
w3pp	0.1316362214379197	0.10308667979610003	0.11489176763565262	0.13282180586636322	0.12512083973901528	0.08194051581535551	0.08049069104450708	0.08412167893012931	0.07244604212008134	0.0	0.07520763276328112	0.05974065516985262	0.11294307538229872	0.10864104754554857	0.12536043294297877	0.24894908081657613	0.401325821218436	0.45526479725008234	0.48164696585734085	0.4419165252279501	0.3686898905281491	0.4570021327440315	0.4391978975759598	0.4849422916532699	0.47177663442205947	0.5352512903415261	0.4895112303717572	0.5112211275161799	0.511840499705218	0.5487247239766204	0.5386201578307218	0.5924410109451901	0.5076631872996684	0.5487473660280888	0.49877894721041677	0.5326609788342995	0.5194051311140736	0.5341244544953917	0.5211950646542398	0.49458905754220345	0.5519518910541389	0.5218359752739059	0.5178950978503534	0.5191901529364581	0.5101192260551777	0.5157649365026423	0.545855507928798	0.5188853642317188	0.5924435133689404	0.5559427096968172	0.4474697259878773	0.47212874159484663	0.09222778744951686	0.09229187776077168	0.08811681301981271	0.09610327187506257	0.12082514746787007	0.1469402423966331	0.1432934910526629	0.13961255712574014	0.1738730504129672	0.1860264653149123	0.13695142925202355	0.1408167023721579	0.1308375830641884	0.08242381751003534	0.11783971154943629	0.1059589177796432	0.08340441363411523	0.11411644635948914	0.11108290865570944
