	S30H1	F23HpA	531414	F14H1A	S12Hp	F6H1	S16H2	31300	F7H1	31452	S21H1	S1Hp	S13Hp	S19H1	S28Hp	s24H1	S31Hp	S26Hp	S6Hp	S9H1	S25Hp	F29H1	F14H1B	S22Hp	S17H1
S30H1	0.0	0.12842640089979537	0.260609573712222	0.21980832499101893	0.2690027732177012	0.34064133287651355	0.32076355442462484	0.4183163467227601	0.31820244719973734	0.35029721142002374	0.44995316608196756	0.4018639415663693	0.47647691287022154	0.4737242216757669	0.5496609074428699	0.66675745767943	0.48279188375104487	0.431057902674419	0.692648061777865	0.4626511821995204	0.5473426403315133	0.7418029679392317	0.36837484660200925	0.23514272008026255	0.12912594547857292
F23HpA	0.12842640089979537	0.0	0.17527345175668646	0.1344722030354834	0.18366665126216572	0.2553052109209781	0.23542743246908931	0.3329802247672246	0.2328663252442018	0.2649610894644882	0.36461704412643203	0.31652781961083376	0.39114079091468607	0.38838809972023136	0.46432478548733436	0.5814213357238944	0.39745576179550934	0.3457217807188835	0.6073119398223294	0.37731506024398487	0.4620065183759778	0.6564668459836962	0.2830387246464738	0.14980659812472705	0.10787169654537503
531414	0.260609573712222	0.17527345175668646	0.0	0.17864880016713758	0.2811091886407945	0.35274774829960687	0.3328699698477181	0.4304227621458534	0.3303088626228306	0.362403626843117	0.4620595815050608	0.41397035698946255	0.48858332829331486	0.48583063709886015	0.5617673228659632	0.6788638731025233	0.49489829917413813	0.4431643180975123	0.7047544772009583	0.47475759762261366	0.5594490557546066	0.753909383362325	0.3804812620251026	0.24724913550335584	0.24005486935780163
F14H1A	0.21980832499101893	0.1344722030354834	0.17864880016713758	0.0	0.24030793991959148	0.3119464995784038	0.29206872112651505	0.38962151342465035	0.28950761390162755	0.321602378121914	0.42125833278385777	0.3731691082682595	0.4477820795721118	0.4450293883776571	0.5209660741447601	0.6380626243813202	0.4540970504529351	0.4023630693763092	0.6639532284797552	0.4339563489014106	0.5186478070334035	0.713108134641122	0.3396800133038995	0.2064478867821528	0.1992536206365986
S12Hp	0.2690027732177012	0.18366665126216572	0.2811091886407945	0.24030793991959148	0.0	0.28619659261577113	0.26631881416388237	0.36387160646201766	0.26375770693899486	0.29585247115928126	0.3955084258212251	0.3474192013056268	0.4220321726094791	0.4192794814150244	0.4952161671821274	0.6123127174186875	0.4283471434903024	0.37661316241367654	0.6382033215171226	0.4082064419387779	0.49289790007077083	0.6873582276784893	0.3139301063412668	0.21710194978593927	0.24844806886328089
F6H1	0.34064133287651355	0.2553052109209781	0.35274774829960687	0.3119464995784038	0.28619659261577113	0.0	0.2104356084830197	0.38355432089021746	0.28344042136719466	0.31553518558748106	0.4151911402494249	0.3671019157338266	0.4417148870376789	0.4389621958432242	0.5148988816103273	0.6319954318468874	0.4480298579185022	0.3962958768418764	0.6578860359453224	0.4278891563669777	0.5125806144989706	0.7070409421066891	0.33361282076946663	0.2887405094447516	0.32008662852209324
S16H2	0.32076355442462484	0.23542743246908931	0.3328699698477181	0.29206872112651505	0.26631881416388237	0.2104356084830197	0.0	0.3636765424383287	0.2635626429153059	0.2956574071355923	0.3953133617975361	0.34722413728193785	0.42183710858579015	0.41908441739133545	0.49502110315843845	0.6121176533949986	0.42815207946661343	0.37641809838998763	0.6380082574934336	0.40801137791508896	0.49270283604708187	0.6871631636548003	0.3137350423175779	0.26886273099286284	0.3002088500702045
31300	0.4183163467227601	0.3329802247672246	0.4304227621458534	0.38962151342465035	0.36387160646201766	0.38355432089021746	0.3636765424383287	0.0	0.21990095551298094	0.3111810597478312	0.45911433315005423	0.41102510863445596	0.4856380799383082	0.48288538874385356	0.5588220745109566	0.6759186247475167	0.49195305081913154	0.4402190697425057	0.7018092288459516	0.47181234926760707	0.5565038073995999	0.7509641350073185	0.3775360136700959	0.36641552329099814	0.3977616423683398
F7H1	0.31820244719973734	0.2328663252442018	0.3303088626228306	0.28950761390162755	0.26375770693899486	0.28344042136719466	0.2635626429153059	0.21990095551298094	0.0	0.21106716022480843	0.3590004336270314	0.31091120911143316	0.3855241804152854	0.3827714892208307	0.4587081749879337	0.5758047252244939	0.3918391512961087	0.3401051702194829	0.6016953293229289	0.3716984497445842	0.45638990787657713	0.6508502354842957	0.27742211414707313	0.2663016237679754	0.297647742845317
31452	0.35029721142002374	0.2649610894644882	0.362403626843117	0.321602378121914	0.29585247115928126	0.31553518558748106	0.2956574071355923	0.3111810597478312	0.21106716022480843	0.0	0.39109519784731783	0.34300597333171956	0.41761894463557186	0.41486625344111716	0.49080293920822016	0.6078994894447803	0.42393391551639514	0.37219993443976934	0.6337900935432152	0.40379321396487067	0.4884846720968636	0.6829449997045821	0.3095168783673596	0.2983963879882618	0.3297425070656034
