	S7Hp	S18H1	530451	S6Hp	31300	31452	530295	F14H1A	S16H2	531414	530258	F14H1B	S31Hp	S13Hp	S14Hp	w24pp	f20ppA	w14pp	f4pp	f8pp	f14ppA	f1pp	w3pp	f22ppA	f19pp	f10pp	f2pp	w9pp	f32pp	f25pp	f16ppA	f14ppB	f7pp	f12ppB	f24pp	f6ppB	f22ppB	w11pp	S15Hp	w20pp	s24H1	F6H1	S25Hp	S28Hp	S26Hp	F23HpA	F7H1	S1Hp	S20H1	S3Hp	S21H1	S9H1	F29H1	S23Hp	31219	S19H1
S7Hp	0.0	0.24477835446232274	0.21625258978005343	0.2723698787324849	0.22416854816164772	0.27120605872199116	0.32745368938092123	0.2727845849819186	0.30729296023827257	0.3364999052036751	0.35532879485748914	0.24371936808064437	0.2209033398312346	0.23901124868180287	0.3303232422978031	0.30769368565274896	0.30198401687856524	0.32684871003688226	0.31096431034946337	0.3085300494567099	0.3569555399622867	0.3198221896544001	0.3322438545679981	0.34048292202400526	0.35082091107205465	0.3627929533212807	0.3502464268016667	0.33050006449946634	0.3450698387699408	0.34243728780021154	0.3220371806523655	0.32065714832576087	0.3250392530571052	0.35263624047008907	0.3044031235821532	0.30553824341411084	0.3053562374219612	0.3043802028974788	0.3197060595613728	0.31058578773714574	0.35517363487916964	0.29160165593953236	0.238709862387819	0.2549963921262512	0.2785188440489548	0.28443706523679657	0.37974908141873354	0.618482719032531	0.4024415820858378	0.37387989812416766	0.3626067651741207	0.37171601092469697	0.3195152359779893	0.3006444267328416	0.27764177721101435	0.28163641974908815
S18H1	0.24477835446232274	0.0	0.17833755507146182	0.23445484402389333	0.204571634826745	0.2516091453870884	0.30785677604601847	0.25318767164701583	0.2876960469033698	0.3169029918687724	0.33573188152258643	0.22412245474574166	0.2013064264963319	0.21941433534690014	0.3107263289629003	0.28809677231784625	0.28238710354366253	0.30725179670197955	0.2913673970145606	0.28893313612180715	0.3373586266273839	0.30022527631949736	0.31264694123309533	0.32088600868910255	0.33122399773715194	0.34319603998637793	0.33064951346676397	0.3109031511645636	0.32547292543503803	0.3228403744653088	0.30244026731746276	0.3010602349908581	0.30544233972220247	0.33303932713518636	0.2848062102472505	0.28594133007920813	0.2857593240870585	0.28478328956257604	0.3001091462264701	0.29098887440224297	0.3355767215442669	0.2720047426046296	0.21911294905291623	0.23539947879134848	0.258921930714052	0.26484015190189386	0.3601521680838308	0.5988858056976283	0.38284466875093504	0.35428298478926495	0.34300985183921795	0.3521190975897942	0.2999183226430866	0.2810475133979388	0.2580448638761116	0.26203950641418544
530451	0.21625258978005343	0.17833755507146182	0.0	0.1359448167615917	0.1760458701444757	0.2230833807048191	0.27933101136374916	0.22466190696474653	0.2591702822211005	0.2883772271865031	0.3072061168403171	0.19559669006347236	0.1727806618140626	0.19088857066463083	0.282200564280631	0.25957100763557694	0.2538613388613932	0.27872603201971025	0.2628416323322913	0.26040737143953785	0.3088328619451146	0.27169951163722805	0.284121176550826	0.29236024400683325	0.30269823305488264	0.3146702753041086	0.30212374878449466	0.28237738648229427	0.2969471607527687	0.29431460978303947	0.27391450263519346	0.2725344703085888	0.27691657503993317	0.30451356245291705	0.2562804455649812	0.25741556539693883	0.2572335594047892	0.25625752488030673	0.2715833815442008	0.26246310971997366	0.30705095686199757	0.2434789779223603	0.19058718437064692	0.20687371410907918	0.2303961660317827	0.23631438721962456	0.3316264034015615	0.570360041015359	0.35431890406866573	0.32575722010699565	0.31448408715694864	0.3235933329075249	0.2713925579608173	0.2525217487156695	0.22951909919384228	0.2335137417319161
S6Hp	0.2723698787324849	0.23445484402389333	0.1359448167615917	0.0	0.23216315909690716	0.2792006696572506	0.33544830031618067	0.28077919591717804	0.315287571173532	0.34449451613893456	0.3633234057927486	0.2517139790159038	0.22889795076649405	0.2470058596170623	0.3383178532330625	0.3156882965880084	0.3099786278138247	0.3348433209721417	0.3189589212847228	0.31652466039196936	0.3649501508975461	0.32781680058965956	0.34023846550325754	0.3484775329592647	0.3588155220073141	0.37078756425654014	0.3582410377369261	0.3384946754347258	0.35306444970520023	0.350431898735471	0.3300317915876249	0.3286517592610203	0.3330338639923646	0.3606308514053485	0.31239773451741265	0.3135328543493703	0.31335084835722066	0.31237481383273824	0.32770067049663226	0.3185803986724052	0.3631682458144291	0.2995962668747918	0.24670447332307843	0.26299100306151063	0.2865134549842142	0.292431676172056	0.387743692353993	0.6264773299677904	0.41043619302109724	0.3818745090594271	0.37060137610938015	0.3797106218599564	0.32750984691324875	0.308639037668101	0.2856363881462738	0.2896310306843476
31300	0.22416854816164772	0.204571634826745	0.1760458701444757	0.23216315909690716	0.0	0.21460727100385332	0.27085490166278336	0.21618579726378073	0.2506941725201347	0.2799011174855373	0.29873000713935133	0.18712058036250656	0.1643045521130968	0.18241246096366504	0.27372445457966527	0.25109489793461115	0.24538522916042743	0.27024992231874445	0.25436552263132556	0.25193126173857205	0.3003567522441489	0.2632234019362623	0.2756450668498603	0.28388413430586745	0.29422212335391684	0.3061941656031429	0.29364763908352887	0.27390127678132853	0.288471051051803	0.28583850008207373	0.26543839293422766	0.26405836060762305	0.26844046533896737	0.29603745275195126	0.2478043358640154	0.24893945569597303	0.2487574497038234	0.24778141517934094	0.263107271843235	0.2539870000190079	0.29857484716103183	0.23500286822139455	0.18211107466968116	0.19839760440811338	0.2219200563308169	0.22783827751865876	0.3231502937005957	0.5618839313143932	0.3458427943677	0.31728111040602985	0.30600797745598285	0.3151172232065591	0.2629164482598515	0.24404563901470372	0.22104298949287648	0.2250376320309503
31452	0.27120605872199116	0.2516091453870884	0.2230833807048191	0.2792006696572506	0.21460727100385332	0.0	0.22043943277893105	0.16577032837992844	0.20027870363628242	0.229485648601685	0.248314538255499	0.15056829257697735	0.1277522643275676	0.16771902880585193	0.25903102242185216	0.23640146577679805	0.23069179700261433	0.25555649016093135	0.23967209047351246	0.23723782958075895	0.28566332008633577	0.2485299697784492	0.2609516346920472	0.26919070214805435	0.27952869119610374	0.2915007334453298	0.27895420692571576	0.2592078446235154	0.2737776188939899	0.27114506792426063	0.25074496077641456	0.24936492844980995	0.25374703318115427	0.28134402059413816	0.2331109037062023	0.23424602353815993	0.2340640175460103	0.23308798302152783	0.2484138396854219	0.23929356786119482	0.28388141500321873	0.22030943606358144	0.18643562364635236	0.20272215338478458	0.22624460530748813	0.23216282649533	0.32747484267726695	0.5662084802910644	0.35016734334437116	0.3216056593827011	0.3103325264326541	0.31944177218323033	0.2865116510642912	0.26764084181914344	0.2446381922973162	0.24863283483539003
530295	0.32745368938092123	0.30785677604601847	0.27933101136374916	0.33544830031618067	0.27085490166278336	0.22043943277893105	0.0	0.16885184526207905	0.24309396320781987	0.27230090817322244	0.29112979782703646	0.2068159232359074	0.18399989498649766	0.223966659464782	0.3152786530807822	0.2926490964357281	0.2869394276615444	0.3118041208198614	0.29591972113244247	0.293485460239689	0.3419109507452658	0.3047776004373792	0.3171992653509772	0.3254383328069844	0.3357763218550338	0.3477483641042598	0.33520183758464583	0.31545547528244544	0.3300252495529199	0.32739269858319064	0.30699259143534463	0.30561255910873997	0.30999466384008434	0.3375916512530682	0.28935853436513237	0.29049365419709	0.2903116482049404	0.2893356136804579	0.304661470344352	0.29554119852012484	0.34012904566214874	0.27655706672251146	0.24268325430528243	0.2589697840437146	0.2824922359664182	0.28841045715426006	0.383722473336197	0.6224561109499944	0.40641497400330123	0.37785329004163115	0.36658015709158415	0.3756894028421604	0.34275928172322123	0.3238884724780735	0.3008858229562463	0.30488046549432013
F14H1A	0.2727845849819186	0.25318767164701583	0.22466190696474653	0.28077919591717804	0.21618579726378073	0.16577032837992844	0.16885184526207905	0.0	0.18842485880881726	0.21763180377421984	0.23646069342803386	0.15214681883690476	0.12933079058749503	0.16929755506577937	0.26060954868177955	0.23797999203672546	0.23227032326254177	0.2571350164208588	0.24125061673343987	0.2388163558406864	0.28724184634626315	0.2501084960383766	0.26253016095197457	0.2707692284079818	0.2811072174560312	0.29307925970525717	0.2805327331856432	0.2607863708834428	0.27535614515391726	0.272723594184188	0.252323487036342	0.25094345470973733	0.2553255594410817	0.2829225468540656	0.2346894299661297	0.23582454979808737	0.23564254380593772	0.23466650928145527	0.24999236594534932	0.24087209412112223	0.2854599412631461	0.22188796232350885	0.1880141499062798	0.204300679644712	0.22782313156741557	0.23374135275525743	0.3290533689371944	0.5677870065509918	0.3517458696042986	0.3231841856426285	0.3119110526925815	0.32102029844315777	0.2880901773242186	0.2692193680790709	0.24621671855724364	0.2502113610953175
S16H2	0.30729296023827257	0.2876960469033698	0.2591702822211005	0.315287571173532	0.2506941725201347	0.20027870363628242	0.24309396320781987	0.18842485880881726	0.0	0.21422112695652173	0.23305001661033575	0.18665519409325873	0.163839165843849	0.20380593032213334	0.2951179239381335	0.27248836729307946	0.26677869851889574	0.29164339167721276	0.2757589919897938	0.27332473109704036	0.3217502216026171	0.28461687129473057	0.29703853620832854	0.30527760366433576	0.31561559271238515	0.32758763496161114	0.3150411084419972	0.2952947461397968	0.30986452041027124	0.307231969440542	0.28683186229269597	0.2854518299660913	0.2898339346974357	0.31743092211041957	0.2691978052224837	0.27033292505444134	0.2701509190622917	0.26917488453780924	0.2845007412017033	0.2753804693774762	0.3199683165195001	0.2563963375798628	0.22252252516263377	0.238809054901066	0.26233150682376954	0.2682497280116114	0.36356174419354836	0.6022953818073458	0.3862542448606526	0.3576925608989825	0.3464194279489355	0.35552867369951174	0.3225985525805726	0.30372774333542485	0.2807250938135976	0.28471973635167147
531414	0.3364999052036751	0.3169029918687724	0.2883772271865031	0.34449451613893456	0.2799011174855373	0.229485648601685	0.27230090817322244	0.21763180377421984	0.21422112695652173	0.0	0.23606280541131047	0.21586213905866133	0.1930461108092516	0.23301287528753595	0.3243248689035362	0.301695312258482	0.29598564348429834	0.3208503366426153	0.30496593695519647	0.30253167606244297	0.3509571665680198	0.3138238162601332	0.3262454811737312	0.3344845486297383	0.3448225376777877	0.3567945799270138	0.3442480534073997	0.32450169110519944	0.3390714653756739	0.33643891440594464	0.3160388072580985	0.31465877493149397	0.31904087966283823	0.3466378670758221	0.29840475018788626	0.29953987001984395	0.29935786402769426	0.29838182950321185	0.31370768616710587	0.30458741434287884	0.34917526148490274	0.28560328254526546	0.25172947012803637	0.2680159998664686	0.29153845178917215	0.297456672977014	0.39276868915895097	0.6315023267727484	0.4154611898260552	0.3868995058643851	0.3756263729143381	0.38473561866491435	0.35180549754597523	0.33293468830082745	0.3099320387790002	0.313926681317074
