	w15pp	f12ppA	w16pp	w18pp	w24pp	w10pp	w9pp	f14ppA	f19pp	f22ppA	f7pp	f21pp	f8pp	f30pp	f32pp	f12ppB	f6ppA	f14ppB	f1pp	f4pp	f6ppB	f16ppA	w3pp	f24pp	f2pp	f22ppB	f20ppA	f16ppB	w11pp	f18pp	f25pp	w13pp	S28Hp
w15pp	0.0	0.2596947375926732	0.36634332957340426	0.3519067170902482	0.29506757666330063	0.4042098067277519	0.19130213074451966	0.30989032586460413	0.3134706053196698	0.29861857464144126	0.2783768801654922	0.3493337117334292	0.21480722000921282	0.27996219857137206	0.3284675845089835	0.30377556331124406	0.3062211027156435	0.19074167438957548	0.27709254303603387	0.22719040300720977	0.275259746635976	0.19169586370050995	0.24113022545468987	0.20974640353604262	0.22817325579747907	0.2325237474798626	0.19054109639009942	0.22264229724225823	0.31340599694764654	0.2639093803919983	0.20128353332221655	0.2570798370052818	0.23747411436276047
f12ppA	0.2596947375926732	0.0	0.35984751097379974	0.34541089849064366	0.2885717580636961	0.3977139881281474	0.1848063121449151	0.3033945072649996	0.3069747867200653	0.29212275604183674	0.2718810615658877	0.3428378931338247	0.21959463377988958	0.2847496123420488	0.33325499827966026	0.3085629770819208	0.3110085164863203	0.19552908816025222	0.28187995680671063	0.23197781677788654	0.2800471604066528	0.1964832774711867	0.2459176392253666	0.21453381730671933	0.2329606695681558	0.2499216063773533	0.20793895528759015	0.2606798471063275	0.35144354681171586	0.30194693025606767	0.23932108318628587	0.29511738686935113	0.4279231520235385
w16pp	0.36634332957340426	0.35984751097379974	0.0	0.40098513397010327	0.3441459935431558	0.45328822360760707	0.24038054762437477	0.3589707427454593	0.362551022200525	0.34769899152229644	0.3274572970463474	0.3984141286142844	0.32624322576062065	0.3913982043227799	0.43990359026039133	0.4152115690626519	0.41765710846705134	0.3021776801409833	0.3885285487874417	0.3386264087586176	0.38669575238738385	0.3031318694519178	0.35256623120609765	0.3211824092874504	0.3396092615488869	0.35657019835808434	0.3145875472683212	0.3673284390870586	0.4580921387924469	0.40859552223679874	0.34596967516701693	0.4017659788500822	0.5345717440042695
w18pp	0.3519067170902482	0.34541089849064366	0.40098513397010327	0.0	0.27966089544891415	0.3888031255133654	0.19310513032823315	0.3445341302623032	0.34811440971736884	0.33326237903914036	0.3130206845631913	0.3839775161311283	0.3118066132774645	0.37696159183962374	0.4254669777772352	0.4007749565794958	0.4032204959838952	0.28774106765782714	0.3740919363042856	0.32418979627546146	0.37225913990422776	0.28869525696876164	0.33812961872294156	0.3067457968042943	0.32517264906573073	0.34213358587492826	0.3001509347851651	0.3528918266039025	0.44365552630929084	0.39415890975364265	0.33153306268386085	0.3873293663669261	0.5201351315211135
w24pp	0.29506757666330063	0.2885717580636961	0.3441459935431558	0.27966089544891415	0.0	0.33196198508541785	0.13626598990128566	0.2876949898353557	0.29127526929042136	0.2764232386121928	0.2561815441362438	0.32713837570418075	0.254967472850517	0.32012245141267626	0.3686278373502877	0.34393581615254826	0.3463813555569477	0.23090192723087966	0.31725279587733807	0.267350655848514	0.3154199994772802	0.23185611654181415	0.2812904782959941	0.24990665637734677	0.26833350863878325	0.28529444544798077	0.2433117943582176	0.296052686176955	0.3868163858823433	0.33731976932669505	0.2746939222569133	0.33049022593997857	0.46329599109416586
w10pp	0.4042098067277519	0.3977139881281474	0.45328822360760707	0.3888031255133654	0.33196198508541785	0.0	0.24540821996573692	0.39683721989980697	0.40041749935487264	0.3855654686766441	0.36532377420069506	0.43628060576863203	0.3641097029149683	0.42926468147712754	0.477770067414739	0.45307804621699954	0.455523585621399	0.34004415729533094	0.42639502594178935	0.37649288591296526	0.4245622295417315	0.34099834660626543	0.3904327083604453	0.35904888644179805	0.37747573870323453	0.394436675512432	0.3524540244226689	0.40519491624140624	0.4959586159467946	0.4464619993911464	0.3838361523213646	0.43963245600442985	0.5724382211586172
w9pp	0.19130213074451966	0.1848063121449151	0.24038054762437477	0.19310513032823315	0.13626598990128566	0.24540821996573692	0.0	0.18392954391657468	0.18750982337164035	0.1726577926934118	0.15241609821746277	0.22337292978539974	0.151202026931736	0.21635700549389525	0.2648623914315067	0.24017037023376725	0.2426159096381667	0.12713648131209865	0.21348734995855706	0.16358520992973297	0.21165455355849921	0.12809067062303314	0.17752503237721304	0.14614121045856576	0.16456806272000224	0.18152899952919976	0.13954634843943658	0.192287240258174	0.28305093996356234	0.2335543234079141	0.1709284763381323	0.22672478002119759	0.3595305451753849
f14ppA	0.30989032586460413	0.3033945072649996	0.3589707427454593	0.3445341302623032	0.2876949898353557	0.39683721989980697	0.18392954391657468	0.0	0.18347447316488064	0.1862556934396783	0.2398916659204005	0.3108484974883375	0.2697902220518205	0.33494520061397975	0.3834505865515912	0.35875856535385175	0.3612041047582512	0.24572467643218315	0.33207554507864157	0.28217340504981747	0.3302427486785837	0.24667886574311765	0.2961132274972975	0.26472940557865027	0.28315625784008674	0.3001171946492842	0.2581345435595211	0.31087543537825846	0.4016391350836468	0.3521425185279986	0.2895166714582168	0.34531297514128206	0.4781187402954694
f19pp	0.3134706053196698	0.3069747867200653	0.362551022200525	0.34811440971736884	0.29127526929042136	0.40041749935487264	0.18750982337164035	0.18347447316488064	0.0	0.18983597289474394	0.24347194537546618	0.31442877694340315	0.2733705015068862	0.3385254800690454	0.38703086600665687	0.3623388448089174	0.3647843842133169	0.24930495588724882	0.33565582453370724	0.28575368450488314	0.3338230281336494	0.2502591451981833	0.2996935069523632	0.26830968503371594	0.2867365372951524	0.3036974741043499	0.26171482301458676	0.31445571483332413	0.40521941453871246	0.3557227979830643	0.2930969509132825	0.34889325459634773	0.4816990197505351
f22ppA	0.29861857464144126	0.29212275604183674	0.34769899152229644	0.33326237903914036	0.2764232386121928	0.3855654686766441	0.1726577926934118	0.1862556934396783	0.18983597289474394	0.0	0.22861991469723764	0.2995767462651746	0.25851847082865764	0.3236734493908169	0.3721788353284283	0.3474868141306889	0.34993235353508834	0.23445292520902028	0.3208037938554787	0.2709016538266546	0.31897099745542085	0.23540711451995477	0.2848414762741347	0.2534576543554874	0.27188450661692387	0.2888454434261214	0.24686279233635822	0.29960368415509564	0.3903673838604839	0.3408707673048357	0.2782449202350539	0.3340412239181192	0.4668469890723065
