	w10pp	f16ppB	w9pp	s24pp	s1pp	f9pp	w3pp	f22ppA	f16ppA	w4pp	w30pp	f22ppB	f18pp	f24pp	w20pp	f14ppA	f19pp	s16pp	w18pp	w7pp	f20ppB	f4pp	f2pp	S15Hp	w21pp	f32pp	f21pp	f30pp	f25pp	f1pp	f7pp	f14ppB	w12pp	f17ppA	530295	w6pp
w10pp	0.0	0.22636370992279856	0.20045660807241072	0.34974781327041354	0.268609844338186	0.24206791619870677	0.28904428613226196	0.23578687602976767	0.22442727690075503	0.29895353182504686	0.34078676434417615	0.2159395890969144	0.2613947761976139	0.21396855030879516	0.2852311194754495	0.2629404175760038	0.23841464855678834	0.3619921275475947	0.24599269916718752	0.2770129881318281	0.29577664852585295	0.24314112212765598	0.2828439106983112	0.2706189257057105	0.3197004533277165	0.29623632811588196	0.2837384368703982	0.28780220507917725	0.2821740125828413	0.282145473078028	0.21621771493669845	0.16362989957936233	0.24759185784675164	0.28255207774175545	0.3444291642368626	0.23836045820720564
f16ppB	0.22636370992279856	0.0	0.19404405071625908	0.34333525591426195	0.2621972869820344	0.23565535884255517	0.28263172877611037	0.22937431867361607	0.2180147195446034	0.29254097446889527	0.33437420698802456	0.2095270317407628	0.2549822188414623	0.20755599295264354	0.2788185621192979	0.2565278602198522	0.23200209120063675	0.3555795701914431	0.2395801418110359	0.2706004307756765	0.28936409116970135	0.23672856477150436	0.2764313533421596	0.2642063683495589	0.3132878959715649	0.28982377075973037	0.2773258795142466	0.28138964772302566	0.2757614552266897	0.2757329157218764	0.2098051575805468	0.1572173422232107	0.24117930049060005	0.27613952038560385	0.338016606880711	0.23194990085205408
w9pp	0.20045660807241072	0.19404405071625908	0.0	0.20771809471693978	0.14060291544989173	0.11406098731041248	0.16103735724396762	0.10777994714147336	0.09642234801346078	0.187817595229672	0.22965082774880133	0.11795893040728359	0.17199138371119993	0.12456515782238113	0.19582772698903544	0.17353702508958976	0.14901125607037433	0.2785227071321394	0.16252327875173223	0.19354356771637282	0.21230722811039768	0.1596717017122007	0.19937449028285592	0.1871495052902552	0.23623103291226122	0.2127669077004267	0.20026901645494288	0.20433278466372198	0.198704592167386	0.19867605266257274	0.13274829452124315	0.08016047916390703	0.16412243743129637	0.23539624747019344	0.2972733339653006	0.20604279900166622
s24pp	0.34974781327041354	0.34333525591426195	0.20771809471693978	0.0	0.28989412064789455	0.26335219250841535	0.3103285624419705	0.2570711523394762	0.2457135532114636	0.3371088004276749	0.3789420329468042	0.26725013560528643	0.32128258890920275	0.27385636302038396	0.34511893218703826	0.3228282302875926	0.2983024612683772	0.42781391233014227	0.3118144839497351	0.3428347729143757	0.3615984333084005	0.30896290691020356	0.3486656954808588	0.3364407104882581	0.3855222381102641	0.36205811289842954	0.34956022165294576	0.35362398986172483	0.3479957973653889	0.3479672578605756	0.282039499719246	0.22945168436190988	0.3134136426292992	0.38468745266819626	0.44656453916330346	0.3553340041996691
s1pp	0.268609844338186	0.2621972869820344	0.14060291544989173	0.28989412064789455	0.0	0.16356974000220048	0.2184127875581179	0.16515537745562364	0.16457558427923613	0.25597083149544736	0.29780406401457665	0.1861121666730589	0.24014461997697523	0.19271839408815644	0.2639809632548108	0.2416902613553651	0.21716449233614965	0.34667594339791474	0.23067651501750758	0.2616968039821481	0.280460464376173	0.227824937977976	0.2675277265486312	0.2553027415560305	0.3043842691780365	0.280920143966202	0.2684222527207182	0.2724860209294973	0.2668578284331613	0.26682928892834806	0.20090153078701847	0.14831371542968236	0.2322756736970717	0.3035494837359688	0.36542657023107594	0.2741960352674416
f9pp	0.24206791619870677	0.23565535884255517	0.11406098731041248	0.26335219250841535	0.16356974000220048	0.0	0.19187085941863868	0.1386134493161444	0.13803365613975688	0.2294289033559681	0.2712621358750974	0.15957023853357968	0.213602691837496	0.16617646594867722	0.23743903511533154	0.21514833321588583	0.1906225641966704	0.3201340152584355	0.20413458687802832	0.23515487584266892	0.25391853623669375	0.20128300983849678	0.24098579840915202	0.2287608134165513	0.2778423410385573	0.25437821582672276	0.24188032458123898	0.24594409279001805	0.2403159002936821	0.2402873607888688	0.17435960264753925	0.12177178729020312	0.20573374555759247	0.2770075555964895	0.3388846420915967	0.24765410712796232
w3pp	0.28904428613226196	0.28263172877611037	0.16103735724396762	0.3103285624419705	0.2184127875581179	0.19187085941863868	0.0	0.1462144159162915	0.18501002607331202	0.27640527328952325	0.3182385058086526	0.20654660846713485	0.26057906177105117	0.21315283588223238	0.28441540504888674	0.26212470314944103	0.2375989341302256	0.3671103851919907	0.2511109568115835	0.28213124577622406	0.30089490617024894	0.24825937977205195	0.28796216834270716	0.27573718335010644	0.32481871097211246	0.30135458576027796	0.2888566945147941	0.29292046272357325	0.28729227022723725	0.287263730722424	0.22133597258109441	0.1687481572237583	0.25271011549114764	0.32398392553004474	0.3858610120251519	0.2946304770615175
f22ppA	0.23578687602976767	0.22937431867361607	0.10777994714147336	0.2570711523394762	0.16515537745562364	0.1386134493161444	0.1462144159162915	0.0	0.13175261597081778	0.223147863187029	0.2649810957061583	0.15328919836464056	0.20732165166855687	0.1598954257797381	0.23115799494639241	0.20886729304694673	0.1843415240277313	0.3138529750894964	0.19785354670908922	0.2288738356737298	0.24763749606775465	0.19500196966955766	0.2347047582402129	0.22247977324761217	0.27156130086961816	0.24809717565778366	0.23559928441229985	0.23966305262107895	0.23403486012474298	0.2340063206199297	0.16807856247860012	0.115490747121264	0.19945270538865334	0.2707265154275504	0.3326036019226576	0.24137306695902322
f16ppA	0.22442727690075503	0.2180147195446034	0.09642234801346078	0.2457135532114636	0.16457558427923613	0.13803365613975688	0.18501002607331202	0.13175261597081778	0.0	0.21178826405801635	0.25362149657714567	0.14192959923562792	0.19596205253954424	0.14853582665072546	0.21979839581737975	0.1975076939179341	0.17298192489871866	0.30249337596048376	0.18649394758007656	0.21751423654471713	0.23627789693874202	0.183642370540545	0.22334515911120023	0.2111201741185995	0.26020170174060553	0.23673757652877103	0.2242396852832872	0.22830345349206632	0.22267526099573032	0.22264672149091708	0.15671896334958746	0.10413114799225136	0.1880931062596407	0.25936691629853775	0.32124400279364496	0.23001346783001056
w4pp	0.29895353182504686	0.29254097446889527	0.187817595229672	0.3371088004276749	0.25597083149544736	0.2294289033559681	0.27640527328952325	0.223147863187029	0.21178826405801635	0.0	0.2738477303181087	0.21645585415991972	0.27048830746383606	0.22306208157501728	0.2943246507416716	0.27203394884222587	0.24750817982301046	0.3770196308847755	0.26102020250436836	0.29204049146900896	0.3108041518630338	0.2581686254648368	0.29787141403549205	0.28564642904289134	0.33472795666489735	0.3112638314530628	0.298765940207579	0.30282970841635815	0.29720151592002214	0.2971729764152089	0.23124521827387928	0.17865740291654317	0.26261936118393253	0.3338931712228296	0.3957702577179367	0.30453972275430236
