	f7pp	f26pp	f22ppA	f24pp	w26pp	f25pp	F16H1	S25Hp	S17H1	31267	S3Hp	S14Hp	F3H1	F29H1	S8Hp	S10H1	w17pp	f6ppA	f8pp	S13Hp	w18pp	s29pp	s2pp	w7pp	s4pp	w4pp	s13pp	s18pp	s7pp	s24pp	s12pp	s23pp	s22pp	S6Hp	w14pp	S29H1	S30H1	F8H1	F23HpA	S2Hp	S4Hp	S31Hp	F7H1	530075	31328	F6H1	S7Hp	530295	530394	S21H1	S12Hp	31750	S16H2	530050	S22Hp	F22HpB	F14H1A	31360	31009	F14H1B	S15Hp	530119	S11Hp	31700	s24H1	S23Hp	S19H1	S9H1	S1Hp	S27H1	31452	S20H1	31219	S26Hp	S18H1	F1H1	f6ppB	w11pp	w9pp	f10pp	f4pp	f15pp	f16ppA	f14ppB	f11pp	w12pp	f1pp	w3pp	f16ppB
f7pp	0.0	0.06704351371818207	0.08286506880471867	0.05206489230164205	0.08021879516896058	0.08756790776302964	0.23737889375834156	0.23856132583723602	0.2805277975127042	0.3329605311817564	0.299176454275559	0.33437759381959486	0.37392292937859073	0.47206011208707227	0.4362690587280163	0.4301933953865381	0.265924336016099	0.2763335955894998	0.3079015695616926	0.2782399360301774	0.31478992852202964	0.33108463671281585	0.34967575012230445	0.36710335579297315	0.3654426926232373	0.36722015892524024	0.34978931821675496	0.3801208106514184	0.3279301502988307	0.3505306275786185	0.35723672140866425	0.3475480571682034	0.3541623624302521	0.32875746009904283	0.327868002703218	0.35839822645093344	0.3142507893648038	0.26880097116469137	0.23112098934322936	0.33316198283305337	0.264299037830001	0.2728934824584614	0.2741667684251911	0.33429135473390886	0.4115272744744057	0.3668726287873417	0.3464813154716046	0.3875491045605033	0.40984029599521205	0.37633674853066956	0.30088748890196754	0.3328946660703882	0.3064869719524881	0.3391111267326899	0.3364943684836473	0.28019430825584474	0.3597206595492103	0.38248395002180285	0.38285312563704516	0.3909728996928723	0.3884179461417143	0.3863043779292948	0.37646433554339814	0.42355818325563593	0.4603977310979519	0.4486926707256169	0.4372152191950332	0.28665423489164626	0.34940226945602304	0.4458673788576518	0.43036496584176753	0.2961093232675886	0.32790219543397114	0.2509376041580011	0.3148171679765949	0.38770927177521086	0.1834082143345638	0.17467981817875755	0.12621918510223779	0.13745188500840455	0.13016670658206375	0.10967271281734287	0.0914118071778309	0.09715178633553109	0.11013753696817805	0.1458140030728183	0.10683358774801766	0.08165925051491463	0.06973658482749995
f26pp	0.06704351371818207	0.0	0.05768980492747801	0.07185154241545273	0.10000544528277125	0.10735455787684033	0.25716554387215224	0.2583479759510467	0.3003144476265149	0.3527471812955671	0.3189631043893697	0.35416424393340556	0.39370957949240143	0.49184676220088297	0.456055708841827	0.4499800455003488	0.2857109861299097	0.2961202457033105	0.3276882196755033	0.2980265861439881	0.33457657863584034	0.35087128682662655	0.36946240023611515	0.38689000590678385	0.385229342737048	0.38700680903905094	0.36957596833056566	0.3999074607652291	0.3477168004126414	0.3703172776924292	0.37702337152247495	0.3673347072820141	0.3739490125440628	0.34854411021285353	0.3476546528170287	0.37818487656474414	0.3340374394786145	0.28858762127850207	0.25090763945704003	0.35294863294686407	0.2840856879438117	0.2926801325722721	0.2939534185390018	0.35407800484771956	0.4313139245882164	0.3866592789011524	0.3662679655854153	0.407335754674314	0.42962694610902274	0.39612339864448026	0.32067413901577824	0.3526813161841989	0.3262736220662988	0.3588977768465006	0.356281018597458	0.29998095836965544	0.379507309663021	0.40227060013561355	0.40263977575085586	0.410759549806683	0.408204596255525	0.4060910280431055	0.39625098565720884	0.44334483336944663	0.4801843812117626	0.4684793208394276	0.4570018693088439	0.30644088500545696	0.36918891956983374	0.4656540289714625	0.45015161595557823	0.3158959733813993	0.34768884554778184	0.2707242542718118	0.3346038180904056	0.40749592188902156	0.20319486444837448	0.19446646829256822	0.14600583521604849	0.15723853512221525	0.14995335669587445	0.12945936293115354	0.11119845729164159	0.11693843644934178	0.12992418708198872	0.16560065318662898	0.12662023786182833	0.1014459006287253	0.08952323494131062
f22ppA	0.08286506880471867	0.05768980492747801	0.0	0.08767309750198933	0.11582700036930785	0.12317611296337692	0.27298709895868883	0.2741695310375833	0.3161360027130515	0.3685687363821037	0.3347846594759063	0.36998579901994216	0.409531134578938	0.5076683172874196	0.4718772639283636	0.4658016005868854	0.3015325412164463	0.3119418007898471	0.3435097747620399	0.3138481412305247	0.35039813372237694	0.36669284191316315	0.38528395532265175	0.40271156099332045	0.4010508978235846	0.40282836412558753	0.38539752341710226	0.4157290158517657	0.363538355499178	0.3861388327789658	0.39284492660901155	0.3831562623685507	0.3897705676305994	0.36436566529939013	0.3634762079035653	0.39400643165128074	0.34985899456515107	0.30440917636503867	0.26672919454357663	0.36877018803340067	0.2999072430303483	0.3085016876588087	0.3097749736255384	0.36989955993425616	0.447135479674753	0.402480833987689	0.3820895206719519	0.4231573097608506	0.44544850119555934	0.41194495373101686	0.33649569410231484	0.3685028712707355	0.3420951771528354	0.3747193319330372	0.3721025736839946	0.31580251345619204	0.3953288647495576	0.41809215522215015	0.41846133083739245	0.4265811048932196	0.4240261513420616	0.4219125831296421	0.41207254074374544	0.45916638845598323	0.4960059362982992	0.4843008759259642	0.4728234243953805	0.32226244009199356	0.38501047465637034	0.4814755840579991	0.46597317104211483	0.3317175284679359	0.36351040063431844	0.2865458093583484	0.3504253731769422	0.42331747697555816	0.21901641953491108	0.21028802337910482	0.16182739030258508	0.17306009020875185	0.16577491178241105	0.14528091801769014	0.12702001237817817	0.13275999153587836	0.14574574216852532	0.18142220827316557	0.14244179294836493	0.1172674557152619	0.10534479002784722
f24pp	0.05206489230164205	0.07185154241545273	0.08767309750198933	0.0	0.04341613053598052	0.06709921354071713	0.21691019953602902	0.21809263161492348	0.26005910329039167	0.3124918369594439	0.2787077600532465	0.31390889959728235	0.3534542351562782	0.45159141786475976	0.4158003645057038	0.4097247011642256	0.24545564179378648	0.2558649013671873	0.2874328753393801	0.25777124180786487	0.2943212342997171	0.31061594249050334	0.32920705589999194	0.34663466157066064	0.3449739984009248	0.3467514647029277	0.32932062399444245	0.3596521164291059	0.3074614560765182	0.330061933356306	0.33676802718635174	0.3270793629458909	0.3336936682079396	0.3082887658767303	0.30739930848090546	0.33792953222862093	0.29378209514249126	0.24833227694237886	0.21065229512091682	0.31269328861074086	0.24383034360768852	0.2524247882361489	0.2536980742028786	0.31382266051159635	0.39105858025209317	0.3464039345650292	0.3260126212492921	0.3670804103381908	0.38937160177289953	0.35586805430835705	0.280418794679655	0.3124259718480757	0.2860182777301756	0.3186424325103774	0.31602567426133477	0.2597256140335322	0.3392519653268978	0.36201525579949034	0.36238443141473264	0.3705042054705598	0.3679492519194018	0.3658356837069823	0.35599564132108563	0.4030894890333234	0.4399290368756394	0.4282239765033044	0.4167465249727207	0.26618554066933375	0.32893357523371053	0.4253986846353393	0.409896271619455	0.2756406290452761	0.30743350121165863	0.23046890993568858	0.2943484737542824	0.36724057755289835	0.16293952011225127	0.154211123956445	0.10575049087992527	0.11698319078609204	0.10969801235975124	0.08920401859503034	0.07094311295551839	0.07668309211321857	0.08966884274586553	0.1253453088505058	0.08636489352570513	0.0611905562926021	0.06204374189452715
w26pp	0.08021879516896058	0.10000544528277125	0.11582700036930785	0.04341613053598052	0.0	0.09525311640803565	0.24506410240334756	0.246246534482242	0.28821300615771017	0.3406457398267624	0.306861662920565	0.34206280246460086	0.3816081380235967	0.47974532073207826	0.4439542673730223	0.4378786040315441	0.273609544661105	0.2840188042345059	0.3155867782066986	0.2859251446751834	0.32247513716703563	0.33876984535782184	0.35736095876731044	0.37478856443797914	0.3731279012682433	0.37490536757024623	0.35747452686176096	0.3878060192964244	0.3356153589438367	0.3582158362236245	0.36492193005367024	0.3552332658132094	0.3618475710752581	0.3364426687440488	0.33555321134822397	0.36608343509593944	0.32193599800980977	0.27648617980969736	0.23880619798823535	0.34084719147805936	0.2719842464750071	0.28057869110346745	0.28185197707019716	0.34197656337891486	0.41921248311941167	0.3745578374323477	0.3541665241166106	0.3952343132055093	0.41752550464021804	0.38402195717567555	0.30857269754697353	0.3405798747153942	0.3141721805974941	0.3467963353776959	0.34417957712865327	0.2878795169008508	0.3674058681942163	0.39016915866680885	0.39053833428205115	0.3986581083378783	0.3961031547867203	0.3939895865743008	0.38414954418840414	0.4312433919006419	0.4680829397429579	0.4563778793706229	0.4449004278400392	0.29433944353665226	0.35708747810102903	0.4535525875026578	0.4380501744867735	0.3037945319125946	0.33558740407897714	0.25862281280300714	0.3225023766216009	0.39539448042021685	0.1910934229795698	0.18236502682376354	0.13390439374724378	0.14513709365341054	0.13785191522706974	0.11735792146234886	0.0990970158228369	0.10483699498053708	0.11782274561318405	0.15349921171782432	0.11451879639302365	0.08934445915992062	0.09019764476184566
f25pp	0.08756790776302964	0.10735455787684033	0.12317611296337692	0.06709921354071713	0.09525311640803565	0.0	0.21574431707034744	0.2169267491492419	0.25889322082471006	0.3113259544937622	0.2775418775875648	0.3127430171316007	0.35228835269059655	0.4504255353990781	0.4146344820400221	0.40855881869854394	0.2442897593281049	0.2546990189015057	0.28626699287369844	0.25660535934218326	0.29315535183403546	0.30945006002482167	0.3280411734343103	0.345468779104979	0.34380811593524313	0.34558558223724606	0.3281547415287608	0.3584862339634242	0.30629557361083654	0.32889605089062435	0.33560214472067007	0.32591348048020924	0.33252778574225794	0.30712288341104865	0.3062334260152238	0.33676364976293927	0.2926162126768096	0.24716639447669728	0.20948641265523524	0.3115274061450592	0.24266446114200693	0.2512589057704673	0.252532191737197	0.3126567780459147	0.3898926977864115	0.34523805209934755	0.3248467387836104	0.3659145278725091	0.38820571930721787	0.3547021718426754	0.27925291221397336	0.311260089382394	0.2848523952644939	0.3174765500446957	0.3148597917956531	0.2585597315678506	0.3380860828612161	0.3608493733338087	0.361218548949051	0.3693383230048781	0.36678336945372014	0.3646698012413006	0.35482975885540396	0.40192360656764176	0.4387631544099577	0.42705809403762274	0.415580642507039	0.2650196582036521	0.32776769276802886	0.42423280216965764	0.40873038915377335	0.2744747465795944	0.30626761874597697	0.229303027470007	0.29318259128860075	0.3660746950872167	0.16177363764656968	0.1530452414907634	0.10458460841424366	0.11581730832041043	0.10853212989406963	0.08803813612934872	0.06977723048983676	0.07551720964753694	0.08850296028018392	0.12417942638482418	0.0851990110600235	0.08148926182198646	0.09754675735591475
F16H1	0.23737889375834156	0.25716554387215224	0.27298709895868883	0.21691019953602902	0.24506410240334756	0.21574431707034744	0.0	0.1368907987153205	0.1788572703907887	0.2312900040598408	0.19750592715364346	0.23270706669767927	0.27225240225667513	0.37038958496515667	0.3345985316061007	0.3285228682646225	0.16425380889418353	0.17466306846758434	0.20623104243977702	0.1765694089082619	0.21311940140011404	0.22941410959090025	0.24800522300038885	0.26543282867105755	0.2637721655013217	0.26554963180332464	0.24811879109483936	0.2784502835295028	0.22625962317691511	0.24886010045670293	0.25556619428674865	0.24587753004628782	0.2524918353083365	0.22708693297712723	0.22619747558130238	0.25672769932901784	0.21258026224288817	0.16713044404277588	0.12945046222131384	0.23149145571113777	0.16262851070808554	0.17122295533654594	0.17249624130327562	0.23262082761199326	0.30985674735249014	0.2652021016654261	0.244810788349689	0.2858785774385877	0.3081697688732965	0.27466622140875396	0.199216961780052	0.2312241389484726	0.20481644483057249	0.2374405996107743	0.23482384136173168	0.17852378113392925	0.2580501324272947	0.28081342289988726	0.28118259851512956	0.2893023725709567	0.2867474190197987	0.2846338508073792	0.27479380842148254	0.32188765613372033	0.3587272039760363	0.3470221436037013	0.3355446920731176	0.18498370776973072	0.24773174233410744	0.3441968517357362	0.32869443871985193	0.19443879614567305	0.22623166831205554	0.1492670770360856	0.21314664085467933	0.28603874465329526	0.10752674298225404	0.1632579409256138	0.15455748443658526	0.19799187252237874	0.2091752337866542	0.22853029992590823	0.2102693942863963	0.21600937344409646	0.22899512407674344	0.2646715901813837	0.22569117485658302	0.23130024781729838	0.24735774335122665
S25Hp	0.23856132583723602	0.2583479759510467	0.2741695310375833	0.21809263161492348	0.246246534482242	0.2169267491492419	0.1368907987153205	0.0	0.10879212785131678	0.16122486152036888	0.12744078461417152	0.16264192415820736	0.20218725971720322	0.30032444242568473	0.26453338906662877	0.3037151419069981	0.13944608253655916	0.14985534210995996	0.18142331608215267	0.15176168255063752	0.18831167504248966	0.2046063832332759	0.2231974966427645	0.24062510231343318	0.23896443914369733	0.2407419054457003	0.22331106473721501	0.25364255717187845	0.20145189681929077	0.22405237409907855	0.2307584679291243	0.22106980368866344	0.22768410895071214	0.20227920661950288	0.20138974922367803	0.2319199729713935	0.18777253588526382	0.14232271768515153	0.1046427358636895	0.20668372935351342	0.13782078435046116	0.14641522897892156	0.14768851494565127	0.2078131012543689	0.28504902099486573	0.24039437530780178	0.22000306199206465	0.26107085108096334	0.2833620425156721	0.24985849505112961	0.17440923542242764	0.20641641259084823	0.1800087184729481	0.21263287325314992	0.21001611500410733	0.1537160547763049	0.23324240606967034	0.2560056965422629	0.2563748721575052	0.26449464621333235	0.2619396926621744	0.25982612444975484	0.2499860820638582	0.297079929776096	0.3339194776184119	0.3222144172460769	0.31073696571549325	0.16017598141210637	0.2229240159764831	0.3193891253781118	0.30388671236222753	0.16963106978804868	0.20142394195443117	0.12445935067846123	0.18833891449705495	0.2612310182956709	0.10870917506114847	0.16444037300450826	0.15573991651547972	0.1991743046012732	0.21035766586554866	0.2297127320048027	0.21145182636529075	0.21719180552299092	0.2301775561556379	0.26585402226027816	0.22687360693547748	0.23248267989619284	0.2485401754301211
S17H1	0.2805277975127042	0.3003144476265149	0.3161360027130515	0.26005910329039167	0.28821300615771017	0.25889322082471006	0.1788572703907887	0.10879212785131678	0.0	0.13207056526760297	0.09828648836140559	0.1334876279054414	0.17303296346443725	0.2711701461729188	0.23537909281386288	0.3456816135824663	0.18141255421202734	0.19182181378542812	0.22338978775762086	0.19372815422610568	0.23027814671795782	0.2465728549087441	0.2651639683182327	0.28259157398890133	0.2809309108191655	0.2827083771211685	0.2652775364126832	0.2956090288473466	0.24341836849475895	0.2660188457745467	0.2727249396045925	0.2630362753641316	0.2696505806261803	0.24424567829497107	0.24335622089914621	0.2738864446468617	0.229739007560732	0.18428918936061972	0.14660920753915768	0.2486502010289816	0.17978725602592932	0.18838170065438975	0.18965498662111946	0.24977957292983705	0.3270154926703339	0.28236084698326996	0.26196953366753284	0.3030373227564315	0.3253285141911403	0.2918249667265978	0.21637570709789583	0.24838288426631638	0.22197519014841627	0.2545993449286181	0.2519825866795755	0.1956825264517731	0.2752088777451385	0.2979721682177311	0.29834134383297334	0.30646111788880054	0.30390616433764256	0.30179259612522297	0.2919525537393264	0.3390464014515641	0.3758859492938801	0.3641808889215451	0.3527034373909614	0.20214245308757456	0.2648904876519513	0.36135559705358	0.3458531840376957	0.21159754146351684	0.24339041362989933	0.1664258223539294	0.2303053861725231	0.3031974899711391	0.15067564673661665	0.20640684467997641	0.1977063881909479	0.24114077627674138	0.25232413754101685	0.2716792036802709	0.25341829804075894	0.25915827719845913	0.2721440278311061	0.30782049393574634	0.26884007861094567	0.274449151571661	0.2905066471055893
31267	0.3329605311817564	0.3527471812955671	0.3685687363821037	0.3124918369594439	0.3406457398267624	0.3113259544937622	0.2312900040598408	0.16122486152036888	0.13207056526760297	0.0	0.13256855783818197	0.16776969738221778	0.20731503294121365	0.30545221564969516	0.26966116229063924	0.3981143472515184	0.23384528788107944	0.24425454745448022	0.27582252142667296	0.24616088789515778	0.2827108803870099	0.29900558857779613	0.31759670198728474	0.33502430765795344	0.3333636444882176	0.3351411107902206	0.31771027008173525	0.3480417625163987	0.29585110216381105	0.3184515794435988	0.32515767327364453	0.3154690090331837	0.3220833142952324	0.2966784119640231	0.2957889545681983	0.3263191783159137	0.28217174122978406	0.2367219230296718	0.19904194120820975	0.3010829346980337	0.23221998969498142	0.24081443432344185	0.24208772029017153	0.30221230659888915	0.379448226339386	0.334793580652322	0.31440226733658494	0.35547005642548357	0.3777612478601924	0.34425770039564985	0.2688084407669479	0.3008156179353685	0.27440792381746837	0.3070320785976702	0.3044153203486276	0.24811526012082516	0.32764161141419057	0.3504049018867832	0.35077407750202544	0.3588938515578526	0.3563388980066946	0.35422532979427507	0.3443852874083785	0.3914791351206162	0.4283186829629322	0.4166136225905972	0.4051361710600135	0.2545751867566266	0.3173232213210033	0.4137883307226321	0.3982859177067478	0.26403027513256894	0.2958231472989514	0.2188585560229815	0.2827381198415752	0.35563022364019115	0.20310838040566875	0.2588395783490285	0.25013912186	0.29357350994579345	0.30475687121006895	0.324111937349323	0.30585103170981104	0.31159101086751123	0.3245767615001582	0.36025322760479844	0.32127281227999777	0.32688188524071315	0.34293938077464153
