	w2pp	s2pp	s24pp	530451	s18pp	s12pp	w11pp	s11pp	F16H1	s14pp	s15pp	w14pp	s29pp	s26pp	s17pp	s32pp	S17H1	w21pp	s31pp	w15pp	s28pp	s16pp	w16pp	w4pp	w18pp	s27pp	s25pp	s22pp	S29H1	s4pp	s10pp	S8Hp	w29pp	f8pp	w30pp	S4Hp	f4pp	S13Hp	S15Hp	S22Hp	S9H1	530331	S28Hp	S1Hp	31750	S6Hp	S20H1	F14H1A	S26Hp	S16H2	S18H1	f14ppB	s6pp	w6pp	S21H1	s13pp	s30pp	s20pp	s19pp	s9pp	s7pp	F23HpA	s23pp	w32pp	s1pp	w7pp
w2pp	0.0	0.004233963302420274	0.05724198457947349	0.0879259074974706	0.03786811334606066	0.05449634215943812	0.1043355600752859	0.10420877313919627	0.06010010505937195	0.044887240115525265	0.060834390913510415	0.06886778277610468	0.0584290166881369	0.042638403404090156	0.04784621710660122	0.06245825998172624	0.08004285269336547	0.0686136980129097	0.06501593016161794	0.0573297733051675	0.06054221214694716	0.058830507921258816	0.06616565912470795	0.06202756602990933	0.04518917202877086	0.09396797435930127	0.0569496020117333	0.08418736112470852	0.10892109612022058	0.09072508206475288	0.151395221662872	0.109377037556519	0.08379741044095688	0.15724775188238188	0.14758605281223264	0.18907740272468182	0.25382990905504843	0.30905347516617176	0.40133949202399827	0.5421035318814981	0.5137276842310607	0.6099468333064744	0.545169184024998	0.5310801326964677	0.5835398840003321	0.5590415808282394	0.47134983096344096	0.6391558909087393	0.629630470971995	0.5964919749654953	0.39582054086934215	0.2721607203958233	0.19092583082949383	0.10907277306947827	0.11178922374795658	0.15217056922732686	0.1417074983787276	0.1459516197343354	0.14913478547677805	0.09839241207811193	0.09686080305054898	0.12819690053464056	0.12468080015088888	0.14522420677340753	0.04582498973417646	0.09164815633980788
s2pp	0.004233963302420274	0.0	0.05753395417534908	0.08821787709334619	0.03816008294193625	0.05478831175531371	0.10462752967116148	0.10450074273507186	0.06039207465524754	0.04517920971140085	0.061126360509385996	0.06915975237198027	0.05872098628401248	0.04293037299996574	0.0481381867024768	0.06275022957760182	0.08033482228924105	0.06890566760878528	0.06530789975749353	0.05762174290104309	0.06083418174282275	0.0591224775171344	0.06645762872058354	0.06231953562578492	0.04548114162464645	0.09425994395517684	0.05724157160760888	0.08447933072058411	0.10921306571609615	0.09101705166062846	0.15168719125874758	0.10966900715239458	0.08408938003683247	0.15753972147825746	0.14787802240810824	0.1893693723205574	0.254121878650924	0.30934544476204734	0.40163146161987384	0.5423955014773737	0.5140196538269364	0.61023880290235	0.5454611536208737	0.5313721022923432	0.5838318535962077	0.559333550424115	0.47164180055931654	0.6394478605046149	0.6299224405678706	0.596783944561371	0.3961125104652177	0.27245268999169886	0.1912178004253694	0.10936474266535384	0.11208119334383215	0.15246253882320246	0.1419994679746032	0.14624358933021098	0.14942675507265363	0.09868438167398752	0.09715277264642455	0.12848887013051616	0.12497276974676447	0.14551617636928313	0.04611695933005204	0.09194012593568347
s24pp	0.05724198457947349	0.05753395417534908	0.0	0.07879733937596463	0.04537723708118628	0.06200546589456374	0.11184468381041152	0.1117178968743219	0.0810657069532503	0.06585284200940361	0.08179999280738877	0.08983338466998303	0.07939461858201526	0.0636040052979685	0.06881181900047957	0.08342386187560459	0.10100845458724382	0.08957929990678805	0.0859815320554963	0.07829537519904586	0.08150781404082552	0.07979610981513717	0.08713126101858631	0.08299316792378769	0.06615477392264922	0.11493357625317961	0.07791520390561166	0.10515296301858687	0.12988669801409894	0.11169068395863123	0.17236082355675036	0.13034263945039734	0.10476301233483523	0.1782133537762602	0.168551654706111	0.21004300461856015	0.2747955109489268	0.3300190770600501	0.42230509391787663	0.5630691337753765	0.5346932861249392	0.6309124352003528	0.5661347859188764	0.552045734590346	0.6045054858942105	0.5800071827221178	0.4923154328573193	0.6601214928026177	0.6505960728658734	0.6174575768593737	0.4167861427632205	0.29312632228970165	0.21189143272337216	0.13003837496335663	0.13275482564183494	0.17313617112120522	0.16267310027260595	0.16691722162821374	0.17010038737065641	0.11935801397199028	0.11782640494442732	0.14916250242851892	0.14564640204476723	0.1661898086672859	0.06679059162805481	0.11261375823368625
530451	0.0879259074974706	0.08821787709334619	0.07879733937596463	0.0	0.07606115999918339	0.09268938881256086	0.14252860672840864	0.14240181979231903	0.11174962987124742	0.09653676492740074	0.1124839157253859	0.12051730758798015	0.11007854150001238	0.09428792821596563	0.0994957419184767	0.1141077847936017	0.13169237750524093	0.12026322282478516	0.11666545497349341	0.10897929811704297	0.11219173695882263	0.11048003273313428	0.11781518393658344	0.11367709084178482	0.09683869684064635	0.14561749917117675	0.10859912682360878	0.135836885936584	0.16057062093209606	0.14237460687662837	0.2030447464747475	0.16102656236839447	0.13544693525283236	0.20889727669425734	0.19923557762410815	0.24072692753655728	0.3054794338669239	0.3607029999780472	0.4529890168358737	0.5937530566933736	0.5653772090429363	0.6615963581183499	0.5968187088368736	0.5827296575083432	0.6351894088122076	0.610691105640115	0.5229993557753164	0.6908054157206148	0.6812799957838706	0.6481414997773709	0.4474700656812176	0.32381024520769874	0.24257535564136928	0.16072229788135375	0.16343874855983206	0.20382009403920237	0.1933570231906031	0.19760114454621086	0.20078431028865354	0.1500419368899874	0.14851032786242446	0.17984642534651607	0.17633032496276435	0.19687373158528304	0.09747451454605194	0.14329768115168337
s18pp	0.03786811334606066	0.03816008294193625	0.04537723708118628	0.07606115999918339	0.0	0.022141166313903296	0.07198038422975109	0.07185359729366146	0.061691835719837475	0.04647897077599079	0.06242612157397594	0.0704595134365702	0.060020747348602424	0.04423013406455567	0.04943794776706674	0.06404999064219176	0.08163458335383099	0.07020542867337522	0.06660766082208347	0.058921503965633025	0.06213394280741268	0.06042223858172434	0.06775738978517348	0.06361929669037486	0.04678090268923639	0.09555970501976678	0.05854133267219882	0.08577909178517404	0.11051282678068611	0.0923168127252184	0.15298695232333753	0.11096876821698451	0.0853891411014224	0.15883948254284738	0.14917778347269817	0.19066913338514732	0.25542163971551396	0.3106452058266373	0.4029312226844638	0.5436952625419637	0.5153194148915263	0.61153856396694	0.5467609146854636	0.5326718633569332	0.5851316146607977	0.560633311488705	0.4729415616239065	0.6407476215692048	0.6312222016324606	0.5980837056259609	0.3974122715298077	0.2737524510562888	0.19251756148995933	0.1106645037299438	0.11338095440842211	0.1537622998877924	0.14329922903919312	0.1475433503948009	0.15072651613724358	0.09998414273857745	0.09845253371101449	0.12978863119510609	0.1262725308113544	0.14681593743387306	0.04741672039464198	0.09323988700027341
s12pp	0.05449634215943812	0.05478831175531371	0.06200546589456374	0.09268938881256086	0.022141166313903296	0.0	0.08399413356108952	0.0838673466249999	0.07832006453321494	0.06310719958936825	0.0790543503873534	0.08708774224994767	0.07664897616197988	0.06085836287793313	0.0660661765804442	0.08067821945556922	0.09826281216720845	0.08683365748675267	0.08323588963546091	0.07554973277901048	0.07876217162079013	0.0770504673951018	0.08438561859855094	0.08024752550375232	0.06340913150261385	0.11218793383314424	0.07516956148557627	0.10240732059855151	0.12714105559406355	0.10894504153859585	0.16961518113671498	0.12759699703036198	0.10201736991479987	0.17546771135622485	0.16580601228607564	0.2072973621985248	0.2720498685288914	0.32727343464001474	0.41955945149784124	0.5603234913553411	0.5319476437049038	0.6281667927803174	0.5633891434988411	0.5493000921703106	0.6017598434741751	0.5772615403020824	0.48956979043728394	0.6573758503825823	0.647850430445838	0.6147119344393384	0.4140405003431851	0.29038067986966626	0.2091457903033368	0.12729273254332124	0.13000918322179955	0.17039052870116986	0.1599274578525706	0.16417157920817838	0.16735474495062103	0.11661237155195492	0.11508076252439195	0.14641686000848356	0.14290075962473187	0.16344416624725053	0.06404494920801944	0.10986811581365087
w11pp	0.1043355600752859	0.10462752967116148	0.11184468381041152	0.14252860672840864	0.07198038422975109	0.08399413356108952	0.0	0.026048661931437678	0.12815928244906272	0.11294641750521603	0.1288935683032012	0.13692696016579545	0.1264881940778277	0.11069758079378092	0.11590539449629199	0.130517437371417	0.14810203008305622	0.13667287540260045	0.1330751075513087	0.12538895069485828	0.1286013895366379	0.12688968531094957	0.13422483651439873	0.1300867434196001	0.11324834941846164	0.16202715174899204	0.12500877940142407	0.1522465385143993	0.17698027350991136	0.15878425945444366	0.21945439905256278	0.17743621494620976	0.15185658783064765	0.22530692927207263	0.21564523020192344	0.25713658011437257	0.3218890864447392	0.3771126525558625	0.469398669413689	0.6101627092711889	0.5817868616207515	0.6780060106961652	0.6132283614146888	0.5991393100861585	0.6515990613900229	0.6271007582179302	0.5394090083531318	0.7072150682984301	0.6976896483616858	0.6645511523551861	0.4638797182590329	0.34021989778551404	0.2589850082191846	0.17713195045916905	0.17984840113764736	0.22022974661701766	0.2097666757684184	0.21401079712402615	0.21719396286646883	0.1664515894678027	0.16491998044023976	0.19625607792433136	0.19273997754057964	0.21328338416309833	0.11388416712386723	0.15970733372949866
s11pp	0.10420877313919627	0.10450074273507186	0.1117178968743219	0.14240181979231903	0.07185359729366146	0.0838673466249999	0.026048661931437678	0.0	0.12803249551297308	0.1128196305691264	0.12876678136711156	0.13680017322970583	0.12636140714173805	0.1105707938576913	0.11577860756020236	0.13039065043532738	0.1479752431469666	0.13654608846651084	0.13294832061521908	0.12526216375876864	0.1284746026005483	0.12676289837485996	0.1340980495783091	0.12995995648351047	0.113121562482372	0.1619003648129024	0.12488199246533443	0.15211975157830965	0.17685348657382172	0.15865747251835402	0.21932761211647314	0.17730942801012012	0.151729800894558	0.225180142335983	0.2155184432658338	0.25700979317828293	0.32176229950864954	0.3769858656197729	0.4692718824775994	0.6100359223350993	0.581660074684662	0.6778792237600756	0.6131015744785993	0.5990125231500688	0.6514722744539333	0.6269739712818406	0.5392822214170421	0.7070882813623405	0.6975628614255962	0.6644243654190966	0.46375293132294326	0.3400931108494244	0.25885822128309494	0.1770051635230794	0.17972161420155772	0.22010295968092802	0.20963988883232876	0.2138840101879365	0.2170671759303792	0.16632480253171306	0.16479319350415012	0.19612929098824172	0.19261319060449	0.2131565972270087	0.11375738018777759	0.15958054679340902
F16H1	0.06010010505937195	0.06039207465524754	0.0810657069532503	0.11174962987124742	0.061691835719837475	0.07832006453321494	0.12815928244906272	0.12803249551297308	0.0	0.060892246243788334	0.08042938921232151	0.08846278107491579	0.078024014986948	0.06223340170290126	0.06744121540541231	0.08205325828053733	0.09963785099217656	0.08820869631172079	0.08461092846042904	0.0769247716039786	0.08013721044575826	0.07842550622006991	0.08576065742351907	0.08162256432872043	0.06478417032758196	0.11356297265811235	0.0765446003105444	0.10378235942351963	0.12851609441903167	0.11032008036356397	0.17099021996168312	0.1289720358553301	0.10339240873976799	0.17684275018119297	0.16718105111104375	0.2086724010234929	0.2734249073538595	0.3286484734649828	0.4209344903228094	0.5616985301803092	0.5333226825298719	0.6295418316052855	0.5647641823238092	0.5506751309952788	0.6031348822991432	0.5786365791270506	0.490944829262252	0.6587508892075504	0.6492254692708062	0.6160869732643065	0.4154155391681532	0.29175571869463435	0.21052082912830491	0.12866777136828939	0.1313842220467677	0.17176556752613797	0.1613024966775387	0.1655466180331465	0.16872978377558917	0.11798741037692304	0.11645580134936007	0.14779189883345167	0.14427579844969998	0.16481920507221864	0.06541998803298756	0.111243154638619
s14pp	0.044887240115525265	0.04517920971140085	0.06585284200940361	0.09653676492740074	0.04647897077599079	0.06310719958936825	0.11294641750521603	0.1128196305691264	0.060892246243788334	0.0	0.06521652426847482	0.0732499161310691	0.06281115004310131	0.04702053675905457	0.05222835046156563	0.06684039333669065	0.08442498604832988	0.0729958313678741	0.06939806351658236	0.06171190666013192	0.06492434550191158	0.06321264127622322	0.07054779247967238	0.06640969938487375	0.049571305383735276	0.09835010771426567	0.06133173536669771	0.08856949447967294	0.113303229475185	0.09510721541971728	0.1557773550178364	0.11375917091148341	0.0881795437959213	0.16162988523734628	0.15196818616719707	0.19345953607964622	0.25821204241001283	0.31343560852113617	0.40572162537896267	0.5464856652364625	0.5181098175860253	0.6143289666614389	0.5495513173799624	0.5354622660514321	0.5879220173552966	0.5634237141832039	0.47573196431840536	0.6435380242637037	0.6340126043269594	0.6008741083204598	0.40020267422430655	0.2765428537507877	0.19530796418445823	0.11345490642444268	0.116171357102921	0.1565527025822913	0.14608963173369202	0.1503337530892998	0.15351691883174245	0.10277454543307635	0.10124293640551338	0.13257903388960499	0.1290629335058533	0.14960634012837196	0.050207123089140875	0.09603028969477231
